baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
evm.model.Herato0101.1	1617.615853664	-0.152719324627916	0.268291690006025	-0.569228680263954	0.569200959610387	0.724632712685152
evm.model.Herato0101.10	0	NA	NA	NA	NA	NA
evm.model.Herato0101.100	0.585838697924843	1.51248176893645	1.5819413425784	0.956092193956611	0.339025658219079	NA
evm.model.Herato0101.101	1668.27690682873	-0.270878411616211	0.504757159469926	-0.536650954888238	0.591508739909645	0.742291217651982
evm.model.Herato0101.102	462.244372865499	0.322719433608103	0.414936823281389	0.777755589528026	0.436713113687709	0.620320521935668
evm.model.Herato0101.103	284.663027724826	-0.365435224515035	0.242126205540548	-1.50927580804068	0.131228314328603	0.290567068307246
evm.model.Herato0101.104	0.10613519626154	0.745141102307312	4.09946771412751	0.181765330103569	0.855766893797676	NA
evm.model.Herato0101.104.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.104.2	0	NA	NA	NA	NA	NA
evm.model.Herato0101.105	0.187389988142327	0.818112064128135	3.11519733265553	0.262619659933627	0.792843745379045	NA
evm.model.Herato0101.105.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.106	0	NA	NA	NA	NA	NA
evm.model.Herato0101.107	0	NA	NA	NA	NA	NA
evm.model.Herato0101.108	0	NA	NA	NA	NA	NA
evm.model.Herato0101.109	0	NA	NA	NA	NA	NA
evm.model.Herato0101.110	0.0133378742503306	0.175999783372605	4.09971483516797	0.0429297623002587	0.965757523729243	NA
evm.model.Herato0101.111	6.9590035775223	5.1129856407031	1.7397096839644	2.93898785977426	0.00329285971928734	0.0197902073805076
evm.model.Herato0101.112	22.3101637732559	4.64034156128134	1.65501784404579	2.80380152877249	0.0050503983324557	0.027380354200426
evm.model.Herato0101.113	0	NA	NA	NA	NA	NA
evm.model.Herato0101.114	0.0261643105294398	0.175999783372605	4.09971483516797	0.0429297623002587	0.965757523729243	NA
evm.model.Herato0101.114.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.115	589.405250253595	4.13049985819331	0.654296558605484	6.31288641804373	2.73878511600615e-10	1.57836344546713e-08
evm.model.Herato0101.116	1.23586210450097	3.12305594887866	1.68568475069872	1.85269276926433	0.0639264070022402	0.177180853912689
evm.model.Herato0101.117	42.1983077444622	1.95711423989863	0.545493523319881	3.58778639201361	0.000333497329938473	0.00317267975141848
evm.model.Herato0101.118	0.0199729667884707	-0.392318234571599	4.09971483516797	-0.0956940300350245	0.923763582482774	NA
evm.model.Herato0101.119	16.7503813064399	1.66871895032107	0.643948943451603	2.59138394012519	0.00955907785691405	0.044265678696439
evm.model.Herato0101.119.1	0.488998648885521	1.87031604790166	2.20218797444227	0.849299001542017	0.39571493630079	NA
evm.model.Herato0101.11_evm.model.Herato0101.13_evm.model.Herato0101.13.1	583.114666233699	4.54362691558556	0.393030989982982	11.5604800419995	6.5342480607007e-31	7.23849479613178e-28
evm.model.Herato0101.12	0.0585188608617303	0.350868970264647	4.09971483516797	0.0855837501805833	0.931797316535625	NA
evm.model.Herato0101.120	11.5047789967753	1.46296364935264	0.81468602376011	1.79573922552453	0.0725360003236303	0.193623540355179
evm.model.Herato0101.121	418.699975084423	0.91008851629177	0.543058103883041	1.67585845747323	0.0937659205206103	0.230535689508644
evm.model.Herato0101.122	122.231901361786	-0.446371449019227	0.444432409562214	-1.00436295692054	0.315203698161953	0.50900240859648
evm.model.Herato0101.123	1.20245274033502	-0.16773191444468	1.65759647515357	-0.101189835378445	0.919399765494372	0.959045059750229
evm.model.Herato0101.124	1.88991474668777	-0.449088206020518	1.15401382744244	-0.389153227926047	0.697162800410578	0.82019748731317
evm.model.Herato0101.124.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.124.2	10.7088730307083	1.96923541193701	0.506309767168069	3.88938855150175	0.000100497106804405	0.00119138662882273
evm.model.Herato0101.125	16.6440168265216	0.526510748611489	1.54635663907027	0.340484682064059	0.733491556397652	0.844057111874953
evm.model.Herato0101.126	0	NA	NA	NA	NA	NA
evm.model.Herato0101.127	0	NA	NA	NA	NA	NA
evm.model.Herato0101.127.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.128	1.52410247382246	3.43260351032851	2.95151019549975	1.16299903539628	0.244829893787977	0.435340474597134
evm.model.Herato0101.129	0	NA	NA	NA	NA	NA
