baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
evm.model.Herato0101.1	1617.615853664	0.475315061570629	0.181021568911006	2.62573716728919	0.00864615516572231	0.029610178819403
evm.model.Herato0101.10	0	NA	NA	NA	NA	NA
evm.model.Herato0101.100	0.585838697924843	1.6369380914214	1.03617396042653	1.57979080148624	0.114154782861777	0.225820693681405
evm.model.Herato0101.101	1668.27690682873	-1.84627957013155	0.262543027422209	-7.03229329020593	2.03166170800502e-12	7.21879240445699e-11
evm.model.Herato0101.102	462.244372865499	0.357672801329051	0.300421288234718	1.1905707595848	0.233822136308034	0.378953830406999
evm.model.Herato0101.103	284.663027724826	-0.144625742704087	0.181805832255895	-0.795495616997167	0.426325259533214	0.581065390417552
evm.model.Herato0101.104	0.10613519626154	0.757602320283856	3.00395536402277	0.252201590395573	0.800885248843688	NA
evm.model.Herato0101.104.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.104.2	0	NA	NA	NA	NA	NA
evm.model.Herato0101.105	0.187389988142327	-0.109358052961319	2.31351587172303	-0.0472692036816991	0.962298672537159	NA
evm.model.Herato0101.105.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.106	0	NA	NA	NA	NA	NA
evm.model.Herato0101.107	0	NA	NA	NA	NA	NA
evm.model.Herato0101.108	0	NA	NA	NA	NA	NA
evm.model.Herato0101.109	0	NA	NA	NA	NA	NA
evm.model.Herato0101.110	0.0133378742503306	-0.272214702223118	3.00725511878861	-0.0905193245901836	0.927874538188467	NA
evm.model.Herato0101.111	6.9590035775223	5.44651286773633	0.843294622828854	6.45861211526034	1.05667564787313e-10	2.62364395726965e-09
evm.model.Herato0101.112	22.3101637732559	5.09943026083059	0.897300218723321	5.68308148646844	1.32289197808923e-08	2.14064144607369e-07
evm.model.Herato0101.113	0	NA	NA	NA	NA	NA
evm.model.Herato0101.114	0.0261643105294398	-0.272214702223118	3.00725511878861	-0.0905193245901836	0.927874538188467	NA
evm.model.Herato0101.114.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.115	589.405250253595	1.97906700358931	0.492579965548628	4.01775780991226	5.87545381960371e-05	0.000400713837012167
evm.model.Herato0101.116	1.23586210450097	1.93508301619788	1.13333199423347	1.70742820818949	0.0877424910660098	0.184949013526818
evm.model.Herato0101.117	42.1983077444622	-0.481963201880248	0.42120825950059	-1.14423967481476	0.252524253448717	0.401149204868824
evm.model.Herato0101.118	0.0199729667884707	-0.578000094112663	3.00725511878861	-0.192201882208615	0.847584071601069	NA
evm.model.Herato0101.119	16.7503813064399	1.63299384294429	0.405132174230901	4.03076809696576	5.55948754827537e-05	0.000381984533235797
evm.model.Herato0101.119.1	0.488998648885521	-0.465957643987687	1.63211358821381	-0.285493391729943	0.77526616647672	NA
evm.model.Herato0101.11_evm.model.Herato0101.13_evm.model.Herato0101.13.1	583.114666233699	-0.825940793567362	0.429266355004436	-1.92407530648152	0.0543451448043796	0.128610936539848
evm.model.Herato0101.12	0.0585188608617303	-0.217329595708099	3.00725511878861	-0.0722684265629062	0.942388290927955	NA
