baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HMEL000003g1.t1	0.2929858233048	-0.998191921193676	0.849156032643635	-1.17551060443633	0.23979049712792	NA
HMEL000004-RA	245.235041203392	1.37740413236716	0.270745979000955	5.08744077178815	3.62927675038368e-07	3.08574525601342e-06
HMEL000006-RA	451.077708590683	1.99457228123908	0.601439860795762	3.31632871589201	0.000912084782577117	0.00322102381878612
HMEL000007g1.t1	4.37434930048565	0.7617001970784	0.559667175475865	1.36098779856216	0.17351754537671	0.267920797336906
HMEL000008g1.t1	44.286762605151	-0.510225392596576	0.339730411320439	-1.50185375107713	0.133134883038905	0.216958310590935
HMEL000010g1.t1	52.1831196134669	-0.55259034314016	0.295793866857418	-1.86816024622487	0.0617397380825659	0.116652016977486
HMEL000012g1.t1	28.6383984200311	-2.27562198673538	0.464878192937649	-4.89509299706083	9.82592512804503e-07	7.50914150360502e-06
HMEL000013-RA	668.967590983456	0.0997446091898088	0.219921460051321	0.453546503222252	0.650155265344385	0.734047797353091
HMEL000014-RA	17604.1569626475	0.13622984995001	0.199150910127886	0.68405336366542	0.493941469345657	0.599091351985876
HMEL000015g1.t1	346.673199886629	0.273992496096949	0.277609672136678	0.986970280927574	0.323657208061927	0.434083566966151
HMEL000015g2.t1	0.258467155006193	0.984851686042507	1.01395856839812	0.971293814892658	0.331401987921164	NA
HMEL000016g1.t1	11.2993177224892	1.04006813266431	0.477450423951881	2.17837932586929	0.0293778077696323	0.062900217348919
HMEL000017-RA	255.043202561492	0.404503106200841	0.154298491082867	2.62156229372068	0.00875277646739107	0.0227778509265633
HMEL000019-RA	2.32469571808116	0.138353707187838	0.425519919180088	0.325140377574861	0.745074830800726	0.808713733053919
HMEL000020g1.t1	614.16676896755	0.499755590530416	0.529270389131826	0.944234933207157	0.345049607558258	0.455412172859676
HMEL000021g1.t1	351.828548151989	-0.154549212330648	0.255868294692035	-0.604018612453195	0.545831267819979	0.644330511247931
HMEL000022-RA	2932.92944794475	-0.226881925624382	0.19220066165016	-1.18044299991718	0.237824068268775	0.342523936557297
HMEL000024-RA	163.744809480588	0.443402776239685	0.23630883105619	1.87636989382869	0.0606045056270372	0.114930743229286
HMEL000025-RA	1.01735242029088	-3.61603171081883	1.03343071131397	-3.49905578693433	0.000466908880738661	0.00180719424389462
HMEL000025-RB	0.65479701853037	-0.84586804954835	1.05484873928325	-0.801885633501445	0.422619117230347	0.532079602831677
HMEL000025-RC	0	NA	NA	NA	NA	NA
HMEL000025-RD	0	NA	NA	NA	NA	NA
HMEL000025-RE	0	NA	NA	NA	NA	NA
HMEL000025-RF	0	NA	NA	NA	NA	NA
HMEL000025-RG	8.25555117212071	-0.388259659400716	0.439964514858794	-0.882479487068013	0.377517567836519	0.487606860565599
HMEL000025-RH	0	NA	NA	NA	NA	NA
HMEL000025-RI	0	NA	NA	NA	NA	NA
HMEL000026-RA	634.305053508314	0.871499582349136	0.166601691752235	5.23103681110997	1.68561935874075e-07	1.55876346885614e-06
HMEL000027g1.t1	320.876696567247	0.644576987630481	0.200484118275281	3.21510248879377	0.0013039795695903	0.00439312553585916
HMEL000028-RA	2744.31005313925	0.0514895012542338	0.186562647618693	0.275990408109296	0.782555433449926	0.838589978412106
HMEL000029g1.t1	2499.89614422507	0.258034105423465	0.142366669209594	1.81246149015106	0.069914919108383	0.129362435173958
HMEL000030-RA	3096.84812514264	0.0348164673218211	0.171140221986071	0.20343825032934	0.838792505409866	0.881801204046469
HMEL000032-RA	458.371776225407	0.389914922346702	0.143267261890169	2.72159122190538	0.00649684513741023	0.017646237965956
HMEL000033-RA	151.083817272563	-0.433354757193648	0.355170274203084	-1.22013239471122	0.222414689925545	0.325358845154563
HMEL000036-RA	158.890714236739	0.51259727764339	0.33547750228174	1.52796319919212	0.126521675253256	0.208238426976461
HMEL000037-RA	57.5801929489371	-1.26619050036752	0.44173127624625	-2.86642709822898	0.00415133760487307	0.0119734721272384
HMEL000039-RA	1550.90610771321	0.521418211270166	0.133894001355747	3.89426117668105	9.84984799390166e-05	0.000461675435690649
HMEL000040-RA	411.678164779398	0.461694203095169	0.169590427710473	2.72240720970041	0.00648082304801144	0.0176127196336035
HMEL000041-RA	1433.34832521895	0.933055136310084	0.25745932400363	3.62408757158443	0.000289983347914899	0.00118841833502988
HMEL000042-RA	845.462374369399	0.957669875936017	0.167607235837043	5.71377405726752	1.10497689780126e-08	1.29352597367403e-07
HMEL000043-RA	12.5649958546601	-3.2204959197618	0.540719868606932	-5.9559415267259	2.58578778926981e-09	3.42670603431212e-08
HMEL000044g1.t1	955.143919459763	0.967929836099762	0.168201524861369	5.75458419236998	8.68553106552496e-09	1.04052372163952e-07
HMEL000045g1.t1	200.50475626391	0.365240634613073	0.294783482314303	1.23901323013631	0.215340598546486	0.317437168276413
HMEL000047-RA	5352.03229415624	0.483154683588981	0.147800498479906	3.26896518319028	0.00107941582816223	0.00373385778881279
