baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
evm.model.Herato0101.1	1881.34511076641	0.0317330705678613	0.352106218569159	0.090123573212691	0.928189016728394	0.996806414121336
evm.model.Herato0101.10	0	NA	NA	NA	NA	NA
evm.model.Herato0101.100	0.422945104425271	-2.92818544739526	4.24843288827645	-0.689238955727791	0.490672905807027	NA
evm.model.Herato0101.101	2044.48273388797	-0.658192354761943	0.686969646086295	-0.95810980661475	0.338007390946091	0.933543269938077
evm.model.Herato0101.102	404.267214683925	0.774217140225295	0.680163860600873	1.13828032489308	0.255003446941813	0.883053081464555
evm.model.Herato0101.103	372.094124258886	-0.384955776784486	0.336765112735144	-1.1430987422003	0.252997596467824	0.880514022985033
evm.model.Herato0101.104	0	NA	NA	NA	NA	NA
evm.model.Herato0101.104.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.104.2	0	NA	NA	NA	NA	NA
evm.model.Herato0101.105	0	NA	NA	NA	NA	NA
evm.model.Herato0101.105.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.106	0	NA	NA	NA	NA	NA
evm.model.Herato0101.107	0	NA	NA	NA	NA	NA
evm.model.Herato0101.108	0	NA	NA	NA	NA	NA
evm.model.Herato0101.109	0	NA	NA	NA	NA	NA
evm.model.Herato0101.110	0	NA	NA	NA	NA	NA
evm.model.Herato0101.111	0.103146138720263	-0.146612517101016	4.32796801761291	-0.0338756008603501	0.972976349711271	NA
evm.model.Herato0101.112	1.03567974698292	2.53147776446406	3.24189015213129	0.780864756567958	0.434882042445614	NA
evm.model.Herato0101.113	0	NA	NA	NA	NA	NA
evm.model.Herato0101.114	0	NA	NA	NA	NA	NA
evm.model.Herato0101.114.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.115	41.7865869156636	0.995265091717796	0.87687559071277	1.13501288239623	0.256369920798056	0.883053081464555
evm.model.Herato0101.116	0	NA	NA	NA	NA	NA
evm.model.Herato0101.117	12.5701128438814	0.2438181819562	1.42984406886298	0.170520819203793	0.86460056277216	0.994563202764539
evm.model.Herato0101.118	0.133219086894665	-0.146612517101016	4.32796801761291	-0.0338756008603501	0.972976349711271	NA
evm.model.Herato0101.119	6.06838321044814	0.338733220010361	1.32688524670337	0.255284487375182	0.798503380389026	0.994563202764539
evm.model.Herato0101.119.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.11_evm.model.Herato0101.13_evm.model.Herato0101.13.1	31.240723964729	0.463068813575234	0.947742427795871	0.488601966097662	0.625123520815456	0.982269402665703
evm.model.Herato0101.12	0	NA	NA	NA	NA	NA
evm.model.Herato0101.120	4.69839293183629	1.66117196598657	1.84036870238297	0.902629980522724	0.366722309360774	0.947614662457456
evm.model.Herato0101.121	250.568209369506	0.292477923129723	1.12294919436756	0.26045516983023	0.794512691515913	0.994563202764539
evm.model.Herato0101.122	167.171730496037	0.718471458927604	0.930418588379043	0.772202391376672	0.439994565406296	0.965987878063018
evm.model.Herato0101.123	1.37896597729583	-1.17608807202159	2.98058461538588	-0.394583017690753	0.693150648591828	NA
evm.model.Herato0101.124	2.97862876961092	-3.62248992810809	2.33074074022691	-1.55422259781473	0.120131328979465	NA
evm.model.Herato0101.124.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.124.2	2.89997939633879	4.04012210660636	1.9732688145419	2.04742611692482	0.0406162642456494	NA
evm.model.Herato0101.125	13.0795479622159	-3.11625993760673	2.84739557686474	-1.09442466053067	0.273768773170284	0.888923313277066
evm.model.Herato0101.126	0	NA	NA	NA	NA	NA
evm.model.Herato0101.127	0	NA	NA	NA	NA	NA
evm.model.Herato0101.127.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.128	0	NA	NA	NA	NA	NA
evm.model.Herato0101.129	0	NA	NA	NA	NA	NA
evm.model.Herato0101.129.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.130	0	NA	NA	NA	NA	NA
evm.model.Herato0101.130.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.130.2	0	NA	NA	NA	NA	NA
evm.model.Herato0101.131	0	NA	NA	NA	NA	NA
evm.model.Herato0101.131.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.132	106.538421149341	-1.77917505097587	2.68747293219174	-0.662025291367265	NA	NA
evm.model.Herato0101.133	233.722729817321	0.138268772330691	0.570316377557125	0.242442226405889	0.808437518174256	0.994563202764539
evm.model.Herato0101.134	214.352277211875	-0.543036343908267	0.446968347507978	-1.21493243746656	0.224391860860207	0.867608244561383
evm.model.Herato0101.135	0	NA	NA	NA	NA	NA
evm.model.Herato0101.135.1	1.26833772943679	-0.300724147526362	2.12080414352363	-0.141797227454828	0.887240174111951	NA
evm.model.Herato0101.135.2	137.125676176188	-0.744351718340961	0.517977259126108	-1.43703551695836	0.150707901891049	0.787280484857077
evm.model.Herato0101.136	0.228402140845107	0.573348919589223	3.94421044991832	0.145364687526016	0.884422943752608	NA
evm.model.Herato0101.136.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.137	37.949139468195	0.267772090289004	1.30498741176642	0.205191320525116	0.837422650392856	0.994563202764539
evm.model.Herato0101.138	0	NA	NA	NA	NA	NA
evm.model.Herato0101.139	15.370048104075	2.00195509123924	1.50399240052754	1.33109388753363	0.18315811998081	0.829510082260852
evm.model.Herato0101.14	1.19793824079405	2.77191297401827	3.00609434390747	0.922097797641043	0.356477565647038	NA
evm.model.Herato0101.140	0	NA	NA	NA	NA	NA
evm.model.Herato0101.141	0	NA	NA	NA	NA	NA
evm.model.Herato0101.142	1.55917201452896	1.74239711115786	2.27928599341082	0.764448654620331	0.444599923624883	NA
evm.model.Herato0101.143	5.58812165867543	2.89118366479992	2.04224416863682	1.41568951901073	0.15686642838422	0.79337152671305
evm.model.Herato0101.144	0	NA	NA	NA	NA	NA
evm.model.Herato0101.145	0.198329192670705	0.462587470074274	4.06568122453649	0.113778588267705	0.90941331243945	NA
evm.model.Herato0101.146	0.845890208850542	-4.03470008905437	3.72203601879324	-1.08400350471689	0.278363244908198	NA
evm.model.Herato0101.147	0	NA	NA	NA	NA	NA
evm.model.Herato0101.148	0	NA	NA	NA	NA	NA
evm.model.Herato0101.149	0	NA	NA	NA	NA	NA
evm.model.Herato0101.15	284.57395497824	1.26969880664466	0.67043233418789	1.89385079134447	0.0582448177063058	0.638979491939264
evm.model.Herato0101.150	0	NA	NA	NA	NA	NA
evm.model.Herato0101.151	493.697932284344	-0.483859857904354	2.00474975348963	-0.241356736451574	0.809278640966231	0.994563202764539
evm.model.Herato0101.152	0	NA	NA	NA	NA	NA
evm.model.Herato0101.152.1	10.3875029885429	-1.01733730584423	1.47655536084509	-0.688993675971602	0.490827247266741	0.972897809910876
evm.model.Herato0101.153	153.346781212302	-0.070307084030508	0.77723643523894	-0.0904577820118456	0.927923441436881	0.996806414121336
evm.model.Herato0101.154	1647.54163637599	0.168761255352982	0.306887063349479	0.549913227071417	0.582378891482135	0.981914547712827
evm.model.Herato0101.155	0	NA	NA	NA	NA	NA
evm.model.Herato0101.155.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.155.2	4.19225417426044	-1.16588432654933	1.7896591244309	-0.651456084923475	0.514752116530633	0.973826026794808
evm.model.Herato0101.156	646.944478248598	0.290342296852459	0.754745871907829	0.384688817334686	0.700467981292378	0.992818690530576
evm.model.Herato0101.157	21.047858108091	-0.151721040419594	1.27793842877128	-0.11872327884018	0.905494593136859	0.996134623597239
evm.model.Herato0101.158	0	NA	NA	NA	NA	NA
evm.model.Herato0101.158.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.159	0	NA	NA	NA	NA	NA
evm.model.Herato0101.159.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.159.2	0	NA	NA	NA	NA	NA
evm.model.Herato0101.16	1.73227416553658	3.2189292971268	2.18814583159171	1.4710762192597	0.141270505432174	NA
evm.model.Herato0101.160	0	NA	NA	NA	NA	NA
evm.model.Herato0101.161	504.695743412717	0.28987222452887	0.512322214826908	0.565800615588775	0.571529327964113	0.981914547712827
evm.model.Herato0101.162	0.412584554881053	1.27647038640522	4.28205827110257	0.298097388122779	0.76562883497938	NA
evm.model.Herato0101.163	0.103146138720263	-0.146612517101016	4.32796801761291	-0.0338756008603501	0.972976349711271	NA
evm.model.Herato0101.164	0	NA	NA	NA	NA	NA
evm.model.Herato0101.165	0	NA	NA	NA	NA	NA
evm.model.Herato0101.166	1.26883531327581	-4.63262265298236	3.44136946994956	-1.34615672436074	0.178251978165748	NA
evm.model.Herato0101.167	0	NA	NA	NA	NA	NA
evm.model.Herato0101.168	0.245720247284764	-1.41402447194063	3.85340951174323	-0.366954113657374	0.713653245869842	NA
evm.model.Herato0101.169	2.33613896217135	-1.71037530440253	1.6521870289724	-1.03521893975062	0.300566675651643	NA
evm.model.Herato0101.17	0.764142393132518	-0.739734833403679	2.37247281401232	-0.311799076910239	0.755193225619521	NA
evm.model.Herato0101.170	0.1425741085645	-2.13247344030567	4.2852999506123	-0.497625245579595	0.618748206382867	NA
evm.model.Herato0101.171	0	NA	NA	NA	NA	NA
evm.model.Herato0101.171.1	0.637414423198938	0.208833491126243	2.82647495970215	0.0738847837336757	0.941102063574766	NA
evm.model.Herato0101.171.2	0	NA	NA	NA	NA	NA
evm.model.Herato0101.172	444.921057537706	-0.326780032522419	1.00757821282629	-0.324322249491472	0.745694076618665	0.994563202764539
evm.model.Herato0101.173	1238.90752458933	-0.503050023537565	0.596960374640785	-0.842685787712911	0.399404197814484	0.957821735972284
evm.model.Herato0101.174	741.868156313137	0.349253439387496	0.453065618724934	0.770867231926367	0.440785631591136	0.965987878063018
evm.model.Herato0101.175_evm.model.Herato0101.176	0	NA	NA	NA	NA	NA
evm.model.Herato0101.175_evm.model.Herato0101.176.1	0.103146138720263	-0.146612517101016	4.32796801761291	-0.0338756008603501	0.972976349711271	NA
evm.model.Herato0101.177	334.183142660195	0.643690050324716	0.775275561529661	0.830272592437559	0.406384680335878	0.958948210728176
evm.model.Herato0101.178	191.008111071112	0.470703949919768	0.782501322429113	0.601537577545	0.547481991099322	0.980042135757701
evm.model.Herato0101.179	70.7739158331744	0.152581678097879	1.38456680033098	0.110201745456704	0.912249378032645	0.996134623597239
evm.model.Herato0101.179.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.18	0.133219086894665	-0.146612517101016	4.32796801761291	-0.0338756008603501	0.972976349711271	NA
evm.model.Herato0101.180	3.20948752527471	-0.0310996809684199	1.84800631988438	-0.0168287741409702	0.986573214700033	0.999811668001229
evm.model.Herato0101.181	3.16649045548712	-2.02963407682004	1.6340953227562	-1.24205366024589	0.214216764349015	0.858150464990645
evm.model.Herato0101.182	0	NA	NA	NA	NA	NA
evm.model.Herato0101.183	16.2973174815463	0.259646700563103	1.68951063631267	0.153681601632161	0.877860792200979	0.996134623597239
evm.model.Herato0101.184	7.30806896952614	-0.673308764117438	1.49111852577098	-0.451546106148272	0.651596002842095	0.985940757200847
evm.model.Herato0101.185	0.428123270415827	-0.398519026164351	3.54881203388149	-0.112296459310772	0.910588349108328	NA
evm.model.Herato0101.186	0	NA	NA	NA	NA	NA
evm.model.Herato0101.187	1.53126591126431	3.11469853100435	3.0587137168081	1.01830338481454	0.308533800339002	NA
evm.model.Herato0101.188_evm.model.Herato0101.189	37.5973063104246	19.5566726051958	4.2069882224014	4.64861596261676	NA	NA
evm.model.Herato0101.19	387.010708292712	0.283567967434513	0.607980432466232	0.466409693950574	0.64092227398566	0.985290219980681
evm.model.Herato0101.190	5.46512904968649	0.601299656196532	2.25824613836348	0.266268431054325	0.790032484099804	0.994563202764539
evm.model.Herato0101.191	0	NA	NA	NA	NA	NA
evm.model.Herato0101.192	0	NA	NA	NA	NA	NA
evm.model.Herato0101.192.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.193	0	NA	NA	NA	NA	NA
evm.model.Herato0101.194	29.3886826062645	-0.434010589243828	3.95936679699085	-0.109616161244187	NA	NA
evm.model.Herato0101.195	221.95670441214	-0.294209506498945	0.481076575396713	-0.611564814304936	0.540825723618568	0.979090407853165
evm.model.Herato0101.196	0	NA	NA	NA	NA	NA
evm.model.Herato0101.196.1	1.35912997114463	0.557336627228089	1.87461401930014	0.297307403812207	0.766231829645191	NA
evm.model.Herato0101.197	137.450438946183	-0.313579013325133	0.49139148749165	-0.638144984818163	0.523379305728716	0.974465818208494
evm.model.Herato0101.198	69.9727157031378	0.49815929456141	0.772723818316126	0.644679616123351	0.519134828520241	0.973826026794808
evm.model.Herato0101.199	13.8043047015721	-1.14139715410957	1.42752040933865	-0.799566259538363	0.423962142659529	0.961796751803845
evm.model.Herato0101.2	0	NA	NA	NA	NA	NA
evm.model.Herato0101.2.1	1.88124799704062	-1.73493246365385	1.76298563061681	-0.98408769392344	0.325072397076182	NA
evm.model.Herato0101.20	746.583416474635	-0.226741541833915	0.475859886140231	-0.476488034478066	0.633726729889424	0.984162091632992
evm.model.Herato0101.200	0	NA	NA	NA	NA	NA
evm.model.Herato0101.200.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.201	0	NA	NA	NA	NA	NA
evm.model.Herato0101.201.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.202	0	NA	NA	NA	NA	NA
evm.model.Herato0101.202.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.202.2	0	NA	NA	NA	NA	NA
evm.model.Herato0101.203	71.3403655733573	-0.327202118954626	3.09460702651291	-0.105733011058056	NA	NA
evm.model.Herato0101.204	0.422945104425271	-2.92818544739526	4.24843288827645	-0.689238955727791	0.490672905807027	NA
evm.model.Herato0101.205	0.436086355185648	-0.362084833812464	2.911308794365	-0.124371840772542	0.901020868022742	NA
evm.model.Herato0101.206	0	NA	NA	NA	NA	NA
evm.model.Herato0101.206.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.207	2.22760674637435	2.27952404701804	2.39584211786804	0.951450026701466	0.341375975280589	NA
evm.model.Herato0101.208	7.39081892062855	4.03382360076679	1.9902902798369	2.02675139482536	0.0426878435024006	0.597241737729042
evm.model.Herato0101.209	0	NA	NA	NA	NA	NA
evm.model.Herato0101.209.1	0	NA	NA	NA	NA	NA
evm.model.Herato0101.209.2	0.0951830539504421	-0.146612517101016	4.32796801761291	-0.0338756008603501	0.972976349711271	NA
evm.model.Herato0101.21	178.730097837696	0.0775178718078613	0.677496916018485	0.114418043794824	0.908906411046692	0.996134623597239
evm.model.Herato0101.210	37.4148314182365	-0.981662918342032	0.770487847601282	-1.27407969041717	0.202635175329694	0.85316416513607
evm.model.Herato0101.211	1.34141091998265	-0.223358770992926	1.79008586372525	-0.12477545100999	0.900701322738804	NA
evm.model.Herato0101.212	0.1425741085645	-2.13247344030567	4.2852999506123	-0.497625245579595	0.618748206382867	NA
evm.model.Herato0101.213	24.5195625484843	0.862598564575491	0.924070340205023	0.933477168398357	0.350573653406052	0.941264571863074
evm.model.Herato0101.214	0	NA	NA	NA	NA	NA
evm.model.Herato0101.215	2.2246277664269	1.41777108720385	2.65629638853749	0.533739793993564	0.593521573117002	NA
evm.model.Herato0101.216	2.36531755728476	-4.64687916393779	2.71004943230887	-1.71468428159955	0.0864031269385047	NA
evm.model.Herato0101.216.1	0.30943841616079	0.941232994321842	4.29446984510152	0.219173268941557	0.826515077550464	NA
evm.model.Herato0101.217	34.1110109986316	0.33315251261093	0.725772023405948	0.459031902397521	0.646211256799744	0.985454344708642
evm.model.Herato0101.218	117.268089660089	0.303491750190276	0.603984547662411	0.50248264026766	0.615328060660898	0.982269402665703
evm.model.Herato0101.219	277.045427116755	0.117918841097545	0.704422314829435	0.167397935322502	0.867056949628923	0.994563202764539
evm.model.Herato0101.22	0.668665351710034	-2.70201898944522	2.66893936307695	-1.01239429671048	0.311349564205459	NA
evm.model.Herato0101.220	0	NA	NA	NA	NA	NA
evm.model.Herato0101.220.1	0.25059203515841	-0.146612517101015	4.32796801761291	-0.0338756008603501	0.972976349711271	NA
evm.model.Herato0101.221	0	NA	NA	NA	NA	NA
