baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HMEL000003g1.t1	0.141737580742508	-0.336454048914256	3.85820334496506	-0.0872048512822236	0.930508683284058	NA
HMEL000004-RA	50.847186990433	0.897661820749097	1.12198992975403	0.800062279476866	0.423674714388994	0.911136262345355
HMEL000006-RA	583.499521318716	-3.12600309830525	2.57536443667678	-1.21380999666944	0.224820288057407	0.840248011039197
HMEL000007g1.t1	0.138540129189528	2.71725382774639	3.98106479191055	0.682544487411459	0.494894722336296	NA
HMEL000008g1.t1	44.3737368664658	-0.267042238664895	0.917363470289463	-0.291097528202897	0.770976730319767	0.945002733312381
HMEL000010g1.t1	40.1624879543636	-0.865341799328641	1.59689167062421	-0.541891360101082	0.587893349050448	0.91887247834984
HMEL000012g1.t1	19.2779823402549	0.0485655781648925	1.11366166203342	0.0436089162629673	0.965216144310612	0.991856458879058
HMEL000013-RA	224.396132018518	-0.40106066410985	0.953366127925676	-0.420678533002293	0.67398983880325	0.93206944458768
HMEL000014-RA	11472.4225365745	0.904427516534242	0.759152394302315	1.1913649002786	0.23351036587851	0.846186551132486
HMEL000015g1.t1	94.7906448983222	-1.16359182451998	1.23513130656356	-0.942079452068444	0.346151963710666	0.896136676829766
HMEL000015g2.t1	0	NA	NA	NA	NA	NA
HMEL000016g1.t1	3.21109669160164	-1.40191052989937	1.50310582876987	-0.932675865575399	0.350987349520972	0.896136676829766
HMEL000017-RA	70.2505455986354	0.0626704691239058	0.721679474679152	0.0868397554908544	0.930798886656784	0.986472771371525
HMEL000019-RA	0.443290968208688	-0.506474510553354	2.13311206730882	-0.237434553165476	0.812319686449393	NA
HMEL000020g1.t1	571.437848349948	-1.44661796762251	1.4987983754639	-0.965185171871275	0.334452072585332	0.893946513564057
HMEL000021g1.t1	165.347415318451	-0.331478463639311	1.23310166613768	-0.268816815954492	0.788070652249119	0.950021256129308
HMEL000022-RA	1868.04325351098	0.0474487927223224	0.566472129933021	0.0837619191043568	0.933245725729868	0.987693729795119
HMEL000024-RA	40.0030127275722	-0.80039340922706	1.60505374034765	-0.49867078534934	0.618011329042343	0.924468810174761
HMEL000025-RA	0	NA	NA	NA	NA	NA
HMEL000025-RB	0.218818822982117	1.5182670619597	3.96073967308488	0.383329172648496	0.701475711550763	NA
HMEL000025-RC	0	NA	NA	NA	NA	NA
HMEL000025-RD	0	NA	NA	NA	NA	NA
HMEL000025-RE	0	NA	NA	NA	NA	NA
HMEL000025-RF	0	NA	NA	NA	NA	NA
HMEL000025-RG	0	NA	NA	NA	NA	NA
HMEL000025-RH	0	NA	NA	NA	NA	NA
HMEL000025-RI	0	NA	NA	NA	NA	NA
HMEL000026-RA	206.36823035896	-0.588416700275854	0.587341424661263	-1.00183075051315	0.316425342806861	0.892928488602452
HMEL000027g1.t1	91.48748196053	-0.692591571603213	0.958667636892496	-0.722452229479902	0.47001648530703	0.91687993625604
HMEL000028-RA	1462.25884827329	-0.83165221414648	0.62226277113038	-1.3364968189174	0.181386939561512	0.816094320405531
HMEL000029g1.t1	1815.09399023989	-0.0158096502103326	0.270306812549701	-0.0584877978516568	0.953360081760439	0.99124561919744
HMEL000030-RA	2096.30073259661	0.0860057125998079	0.247142013119165	0.348001181645868	0.727839296072917	0.937975085105692
HMEL000032-RA	213.073920594606	-0.563200063912095	0.917896329883405	-0.613576986394134	0.539494895002322	0.91887247834984
HMEL000033-RA	99.8312909329137	-0.57144435628241	1.3668929968274	-0.418060782818224	0.675902677175161	0.93206944458768
HMEL000036-RA	70.314008602097	-0.633566248424587	1.59060676905967	-0.398317334459188	0.690396284320029	0.933620004205577
HMEL000037-RA	26.2472458478066	2.32291865399922	1.17127262992033	1.98324334972058	0.0473402538592259	0.60841649698543
HMEL000039-RA	666.081420893159	-0.365156275816023	0.627492916041585	-0.581928921396499	0.560614558759325	0.91887247834984
HMEL000040-RA	152.712011688159	0.135828049401594	0.295954333749884	0.458949351004889	0.646270538074802	0.929913440498118
HMEL000041-RA	469.050331005503	-0.934824783627495	1.09369556866458	-0.854739481818448	0.392695387977611	0.911136262345355
HMEL000042-RA	290.745119563022	-0.640410792447011	0.338290252580319	-1.89308083092037	0.0583471209559733	0.638796208596991
HMEL000043-RA	10.1063150112348	1.39554265769483	1.18871579904216	1.17399184802569	0.240398290873516	0.850793245248168
HMEL000044g1.t1	450.031091747658	-0.487508128732868	0.445849985265497	-1.09343533664707	0.274202705673053	0.875476150656987
