eratoID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	day	TF	melpID
1	evm.model.Herato0204.44	0	0	0	0	0	0	0	acj6	HMEL012302g1.t2
2	evm.model.Herato0204.44	0	0	0	0	0	0	1	acj6	HMEL012302g1.t2
3	evm.model.Herato0204.44	0	0	0	0	0	0	2	acj6	HMEL012302g1.t2
4	evm.model.Herato0310.115	0	0	0	0	0	0	0	fru	HMEL008091g2.t1
5	evm.model.Herato0310.115	0	0	0	0	0	0	1	fru	HMEL008091g2.t1
6	evm.model.Herato0310.115	0	0	0	0	0	0	2	fru	HMEL008091g2.t1
7	evm.model.Herato0310.120	0	0	0	0	0	0	2	Abd-B	HMEL025035-RA
8	evm.model.Herato0310.120	0	0	0	0	0	0	0	Abd-B	HMEL025035-RA
9	evm.model.Herato0310.120	0	0	0	0	0	0	1	Abd-B	HMEL025035-RA
10	evm.model.Herato0310.123	148.293107349193	-7.11472639225675	1.2225997146059	-5.81934242848255	5.90795890345191e-09	2.04246307964591e-05	0	Ubx	HMEL025056-RA
11	evm.model.Herato0310.123	57.7694279475991	-6.560514341613	0.931710174926154	-7.04136814018692	1.90361311449748e-12	5.51032542876537e-09	1	Ubx	HMEL025056-RA
12	evm.model.Herato0310.123	22.2802596998083	0.0268702525755075	1.33577424496358	0.0201158636474834	0.983950945345321	0.997948217606135	2	Ubx	HMEL025056-RA
13	evm.model.Herato0310.131	0	0	0	0	0	0	2	Scr	HMEL025054-RA
14	evm.model.Herato0310.131	0	0	0	0	0	0	2	DFD	HMEL025054-RA
15	evm.model.Herato0310.131	0	0	0	0	0	0	0	Scr	HMEL025054-RA
16	evm.model.Herato0310.131	0	0	0	0	0	0	0	DFD	HMEL025054-RA
17	evm.model.Herato0310.131	0	0	0	0	0	0	1	Scr	HMEL025054-RA
18	evm.model.Herato0310.131	0	0	0	0	0	0	1	DFD	HMEL025054-RA
19	evm.model.Herato0701.14	0	0	0	0	0	0	2	HLH54F_da	HMEL016061g1.t2
20	evm.model.Herato0701.14	0	0	0	0	0	0	1	HLH54F_da	HMEL016061g1.t2
21	evm.model.Herato0701.14	0	0	0	0	0	0	0	HLH54F_da	HMEL016061g1.t2
22	evm.model.Herato0701.756	274.001862541557	-0.0185212201058168	0.123261482758655	-0.150259591977173	0.88055981191031	0.964042033110078	1	lola	HMEL005659g1.t1
23	evm.model.Herato0701.756	228.249782809144	-0.168001389941357	0.292583527954353	-0.574199754565703	0.565832635395412	0.868146837747683	2	lola	HMEL005659g1.t1
24	evm.model.Herato0701.756	292.411683753865	0.022344041592109	0.520524132351385	0.042926043584518	0.965760488102479	0.99900830116311	0	lola	HMEL005659g1.t1
25	evm.model.Herato0701.97	0	0	0	0	0	0	0	eve	HMEL011193g1.t1
26	evm.model.Herato0701.97	0	0	0	0	0	0	1	eve	HMEL011193g1.t1
27	evm.model.Herato0701.97	0	0	0	0	0	0	2	eve	HMEL011193g1.t1
28	evm.model.Herato0901.271	3.42248490530029	1.72492168316707	1.13208678974152	1.52366558712421	0.127592270097961	0.607372528505493	2	Med	HMEL002203g1.t1
29	evm.model.Herato0901.271	3.98221807954814	-0.144004334333197	1.60509790423465	-0.0897168540020378	0.928512222396952	0	0	Med	HMEL002203g1.t1
