gene_id A4_HPo2 B2_FD2 B4_HA2 B8_FP1 C3_FD1 C4_FM2 C6_HA1 C9_FP2 D10_FP1 D6_HA2 D9_HPo2 E3_FM2 E6_FP2 F21_HPo1 F8_FM1 G21_FM1 G5_FM1 G6_FD2 H4_HA1 Heh017PA Heh033DP Heh033ED Heh034IP Heh034JD Heh17DB Heh25CP Heh25DD Heh36PC Heh46HWH Hep40FWC Hep40HWD Hep41FWC_Crawler Hep41HWD_Crawler Hep47HWH I8_FD1 J4_FD1 J8_FP2 N3_FM2 S3_HPo1
evm.model.Herato0101.1 2068 1200 1220 1855 1359 1056 2504 1298 2262 1202 952 83 2007 2467 1696 2108 1577 1062 1422 3527 2790 58 1593 1871 5276 3516 3649 556 3699 1890 2239 825 999 3512 1684 2242 1245 1093 3323
evm.model.Herato0101.10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
evm.model.Herato0101.100 0 0 0 1 3 0 1 1 1 0 3 0 0 1 1 0 0 0 0 2 0 0 0 0 9 0 0 0 0 0 0 1 0 0 0 0 0 0 4
evm.model.Herato0101.101 500 2096 1408 794 194 1587 442 2330 1244 2684 2504 2538 1218 634 878 451 544 2340 518 2236 5710 169 4490 5518 1678 1779 1789 150 943 4048 4004 767 1032 2532 486 163 5649 2981 1134
evm.model.Herato0101.102 265 106 333 771 88 265 371 450 1141 512 214 205 974 436 810 399 535 374 338 1413 1386 11 682 982 1187 1543 1491 3 899 549 607 30 228 870 449 194 872 428 631
evm.model.Herato0101.103 262 373 369 175 452 319 190 262 245 149 197 175 344 286 294 241 376 173 424 383 447 30 281 264 614 552 533 189 657 455 448 195 198 513 185 59 252 159 444
evm.model.Herato0101.104 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 0 0 0 0 0 0 0 0 0 0 0 0
evm.model.Herato0101.104.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
evm.model.Herato0101.104.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
evm.model.Herato0101.105 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 3 1 32 1 0 0 0 0 0 0 0 0 0 0 0
evm.model.Herato0101.105.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
evm.model.Herato0101.106 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
