baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HMEL000003g1.t1	0.2929858233048	-0.684930707985622	1.03032877536076	-0.664769076012461	0.506198204644905	NA
HMEL000004-RA	245.235041203392	1.92780346044561	0.370112985156961	5.20868906998235	1.90179497007325e-07	2.15111752551985e-06
HMEL000006-RA	559.140256920103	-0.942829776164101	0.861068009295848	-1.09495390141728	0.273536832866065	0.397740123743348
HMEL000007g1.t1	9.05481209190591	4.22798184351158	0.964319391158352	4.38442064141516	1.1629486724227e-05	8.03392711392948e-05
HMEL000008g1.t1	44.286762605151	-0.939035941102691	0.425937345992745	-2.20463396773544	0.0274797901690694	0.0609631656745055
HMEL000010g1.t1	52.1831196134669	-0.435515427920869	0.392674665458654	-1.10909988912113	0.267387092734499	0.390959743088774
HMEL000012g1.t1	28.6383984200311	-0.180530867763653	0.69065845597677	-0.26138949896492	0.793792154240257	0.860530427794868
HMEL000013-RA	668.967590983456	1.0210597809238	0.249963904714891	4.0848288959497	4.41093078948362e-05	0.000258978045472282
HMEL000014-RA	17604.1569626475	-0.0261363054081656	0.256355565427451	-0.101953337211874	0.918793713515716	0.947552538692044
HMEL000015g1.t1	346.673199886629	1.33707484019724	0.321053880991431	4.16464313114137	3.11839946684975e-05	0.000192365408521132
HMEL000015g2.t1	0.258467155006193	0.302796518866339	1.30820535470357	0.231459470623364	0.816957868329016	NA
HMEL000016g1.t1	11.2993177224892	0.963762973615478	0.671882479114526	1.43442194665594	0.151451888436996	0.248422255333636
HMEL000017-RA	255.043202561492	1.22096133646739	0.141409939858788	8.63419740993206	5.91407904485619e-18	7.81272159104917e-16
HMEL000019-RA	2.32469571808116	1.24490166439823	0.620556914106561	2.00610393035514	0.0448451606186202	0.0920637419942148
HMEL000020g1.t1	614.16676896755	-0.713112744406943	0.679843571109392	-1.0489365123263	0.294207339405225	0.420686753159539
HMEL000021g1.t1	351.828548151989	0.484612660322046	0.325826879787719	1.48733174082439	0.136927215282458	0.22886032413467
HMEL000022-RA	2932.92944794475	0.00963555804777909	0.249857770968448	0.0385641719704443	0.96923786765697	0.979449943046875
HMEL000024-RA	163.744809480588	1.38772375507405	0.263162181195196	5.2732643754945	1.34018285696993e-07	1.58635507575231e-06
HMEL000025-RA	1.01735242029088	2.14304433086351	1.53810570261354	1.39330107626678	0.163528765329803	0.264086414590385
HMEL000025-RB	0.65479701853037	0.00619218348438327	1.3505617099805	0.00458489489123209	0.996341795970064	0.997410220829911
HMEL000025-RC	0	NA	NA	NA	NA	NA
HMEL000025-RD	0	NA	NA	NA	NA	NA
HMEL000025-RE	0	NA	NA	NA	NA	NA
HMEL000025-RF	0	NA	NA	NA	NA	NA
HMEL000025-RG	8.25555117212071	5.15586794744449	0.768764654261632	6.70669224822322	1.9908551026554e-11	6.27881621677558e-10
HMEL000025-RH	0	NA	NA	NA	NA	NA
HMEL000025-RI	0	NA	NA	NA	NA	NA
HMEL000026-RA	722.821400609652	1.30089919474602	0.310058490655905	4.19565738062542	2.72081281181187e-05	0.000170849963245747
HMEL000027g1.t1	320.876696567247	1.22724969614484	0.24095041865156	5.09337025854922	3.51753791756877e-07	3.70904242919544e-06
HMEL000028-RA	2744.31005313925	0.304551730308187	0.235848131048361	1.29130440404354	0.196598144107093	0.306008564603596
HMEL000029g1.t1	2736.89948623154	-0.0700959776836677	0.258299993193663	-0.271374291640466	0.786103172708737	0.855107801401418
HMEL000030-RA	3096.84812514264	-0.103729515107721	0.21891586698855	-0.473832785784989	0.635619152915301	0.739803424343194
HMEL000032-RA	458.371776225407	0.469780988755325	0.191952593427493	2.44738026388154	0.0143898928865007	0.0356640124052512
HMEL000033-RA	151.083817272563	-0.120671630820899	0.464706569272624	-0.259672745771119	0.795116217358703	0.861431500702037
HMEL000036-RA	158.890714236739	0.542169108424115	0.439860462963028	1.23259341103746	0.217727496435951	0.332697308227043
HMEL000037-RA	41.7745312687915	0.146265055081807	0.503126541635124	0.290712262180517	0.771271392596405	0.843758852384958
HMEL000039-RA	1550.90610771321	0.650011526061119	0.177780192158351	3.65626517875595	0.000255916622120382	0.00116713907885863
HMEL000040-RA	411.678164779398	0.913449786902979	0.204517191744202	4.46637164882191	7.9557355723631e-06	5.75434737705581e-05
HMEL000041-RA	1433.34832521895	1.08876278411619	0.344570939540079	3.15976380819994	0.00157897083329213	0.00551792577454199
HMEL000042-RA	957.91762203439	1.22699737647045	0.314571103497951	3.9005406498771	9.59781082372334e-05	0.000504119073385588
HMEL000043-RA	12.5649958546601	-0.468774995717381	0.810484728490681	-0.578388437485249	0.563001898507865	0.681039701520873
HMEL000044g1.t1	1227.23775128927	0.926036228721989	0.386948205442478	2.39317876578096	0.016703100627232	0.0404170585939399
HMEL000045g1.t1	200.50475626391	1.66763081047589	0.341806632327012	4.87887200761053	1.06694270765504e-06	9.95363007014888e-06
HMEL000047-RA	5352.03229415624	0.560448241309363	0.194943596586468	2.87492511230434	0.00404123336403171	0.0121881091528185
HMEL000048g1.t1	11.6287698295007	2.29948715621888	0.645091156487471	3.56459258989012	0.000364421794689923	0.00157694635075494
HMEL000049g1.t1	2.18800360263959	2.05884263431607	0.823239188527101	2.50090455241768	0.0123876559504782	0.0314646011744142
HMEL000050-RA	229.524704478031	-0.889486355552965	0.42995483034016	-2.0687902374518	0.0385657749360267	0.0813608270577527
HMEL000051g1.t1	9.44617697883139	4.30100225374521	1.28566348805088	3.34535614779394	0.000821769748109407	0.00317266109257679
HMEL000053-RA	1396.71104165524	-0.879234847779254	0.341658398427961	-2.57343256253846	0.0100695268462603	0.0263804648135047
HMEL000055g1.t1	2.14192032786435	1.94365143532801	0.79309545506714	2.45071563947302	0.014257253561511	0.0353979293655743
HMEL000055g2.t1	0.0132065430023242	-0.722847552187641	3.82940534725217	-0.188762349931518	0.850279081696172	NA
HMEL000055g3.t1	0.54074204239047	0.791473113059284	1.058184336134	0.747953911273033	0.454487957716322	0.581451988035639
HMEL000056g1.t1	7.47950436323518	2.96206485179022	0.826749977037585	3.58278189786458	0.000339954437265055	0.00148067868896503
HMEL000058-RA	20.4994631008818	1.35906632526556	0.547852442778712	2.48071600880771	0.0131118791778376	0.0330240869758093
HMEL000059g1.t1	38.0731405815211	-0.750359352886032	0.490207616539414	-1.53069705073769	0.125844283026512	0.213547927195861
HMEL000060g1.t1	476.155848354327	-0.538039452359336	0.355635007914367	-1.51289788796296	0.130305598488285	0.219627984548803
HMEL000061g1.t1	134.432262183638	-1.21179417216426	0.468052684477336	-2.58901233205711	0.00962516474134044	0.0253873011627407
HMEL001000g1.t1	0.217635439793751	-1.00553297257486	3.28029003193672	-0.306537825248695	0.759195184636899	NA
HMEL001000g2.t1	0.1842266014002	-3.20335191552126	3.79791337919835	-0.843450493912372	0.398976542127419	NA
HMEL001000g3.t1	0.046769496808885	-0.578701163303582	3.82937707629506	-0.151121488371022	0.879879881898989	NA
HMEL001000g4.t1	0.0157067657455553	-1.22473255723204	3.82511095667976	-0.320182230294079	0.748830192893331	NA
HMEL001004g1.t1	207.472324405414	0.368799076401402	0.168569784628468	2.18781246718826	0.0286832653753905	0.063232330770087
HMEL001006g1.t1	622.025690180668	-0.954502396774491	0.232955870760936	-4.09735283191907	4.17901683453065e-05	0.000247750942988707
HMEL001009g1.t1	17.8358458969708	-1.95794819910907	0.613350360503344	-3.19221822499997	0.00141184621582727	0.00503439841105913
HMEL001009g2.t1	0	NA	NA	NA	NA	NA
HMEL001009g3.t1	0.0518418200647305	-1.47123470857952	3.8166353272255	-0.385479508111412	0.699882185832955	NA
HMEL001009g4.t1	12.7393807627507	-2.16947059164738	0.480067638104948	-4.51909360150019	6.21049355803675e-06	4.6067771242006e-05
HMEL001009g4.t2	1.0580816941991	-2.07669259597073	0.796877634953311	-2.60603699348697	0.00915965682222848	0.0243536551686738
HMEL001014g1.t1	128.898588912086	0.971966707110325	0.410807198406536	2.36599239468162	0.0179818138004771	0.0429105894083301
HMEL001017g1.t1	80.9149605654699	-0.405357471798594	0.44300054701611	-0.915027023169461	0.360177443802834	0.489618944332695
HMEL001018g1.t1	788.311598052603	3.68785408095363	0.573229218795531	6.43347191670121	1.24721647468383e-10	3.18119713934384e-09
HMEL001019g1.t1	1913.75748328042	0.533776500597521	0.290159979656977	1.83959380348918	0.0658278947902374	0.126047861445056
HMEL001020g1.t1	1050.08810390616	-1.2306031451364	0.320727103322914	-3.8369165947831	0.000124588762087734	0.000630508288946345
HMEL001021g1.t1	0.363188905793274	0.435167068300332	1.21523405352895	0.358093214255013	0.720273557047345	NA
HMEL001022g1.t1	315.346265543817	2.02876920322559	0.391913441133788	5.17657469811817	2.25996592724289e-07	2.50564551695822e-06
HMEL001028-RA	2.95583337220771	3.22360226053471	1.11835075323282	2.88246084800875	0.00394582168462955	0.0119311900345212
HMEL001029g1.t1	562.894645592905	-0.394280978522196	0.332847191990006	-1.18457054170983	0.236187290030613	0.354559457793598
HMEL001031g1.t1	205.220065146329	-1.53075803436595	0.339949401675104	-4.50289962807149	6.70325469705352e-06	4.93769992229566e-05
HMEL001034g1.t1	15.3694259495375	0.153831581811955	0.392052724516548	0.392374729704146	0.694781354856571	0.785295287114098
HMEL001034g2.t1	821.640036053083	0.274518489582292	0.257705909102416	1.06523940618371	0.28676760536966	0.412576469535739
HMEL001035g1.t1	17453.0350739083	-0.230010094867989	0.295218577316766	-0.7791179571372	0.435910233043073	0.56352021725463
HMEL001036g1.t1	1132.57273916965	-1.66539693123678	0.386742605961124	-4.30621531108002	1.66071419069576e-05	0.000110108810664359
HMEL001037g1.t1	334.754915961721	-0.438286158547816	0.363589524007552	-1.2054422077868	0.228032635701052	0.344496817102366
HMEL001038g1.t1	2.26274993303213	1.62987748610069	0.94187847299388	1.73045412209063	0.0835491712575749	0.152793397560379
HMEL001039g1.t1	41.1399208965763	-0.473093361984932	0.445645454908485	-1.06159135423491	0.288421240372705	0.414232064506562
HMEL002001g1.t1	389.432489218314	-0.497247571346076	0.943904343037622	-0.526798689945488	0.598333392758775	0.709437976189765
HMEL002003g1.t1	0.145080024317811	-0.828944965607398	2.94742406560968	-0.281243875043115	0.778523354715839	NA
HMEL002008g1.t1	2663.7951550991	-1.84310436444125	0.904602005143718	-2.03747543556288	0.0416024211281081	0.0867419152854225
HMEL002010g1.t1	675.068054312058	0.0456956989367598	0.376005739747252	0.121529259014706	0.903271841109638	0.938851611018616
HMEL002011g1.t1	87.7609519589704	1.31749965509554	0.368588977774742	3.57444127344663	0.000350976575215817	0.00152252942464284
