sample_id	genus	species	race	wing	compartment	day
C9_FP2	Heliconius	erato	demophoon	forewing	proximal	2
C9_FP2	Heliconius	erato	demophoon	forewing	proximal	2
J8_FP2	Heliconius	erato	demophoon	forewing	proximal	2
J8_FP2	Heliconius	erato	demophoon	forewing	proximal	2
C4_FM2	Heliconius	erato	demophoon	forewing	medial	2
C4_FM2	Heliconius	erato	demophoon	forewing	medial	2
E3_FM2	Heliconius	erato	demophoon	forewing	medial	2
E3_FM2	Heliconius	erato	demophoon	forewing	medial	2
N3_FM2	Heliconius	erato	demophoon	forewing	medial	2
N3_FM2	Heliconius	erato	demophoon	forewing	medial	2
J4_FD1	Heliconius	erato	demophoon	forewing	distal	1
J4_FD1	Heliconius	erato	demophoon	forewing	distal	1
B2_FD2	Heliconius	erato	demophoon	forewing	distal	2
B2_FD2	Heliconius	erato	demophoon	forewing	distal	2
G6_FD2	Heliconius	erato	demophoon	forewing	distal	2
G6_FD2	Heliconius	erato	demophoon	forewing	distal	2
B4_HA2	Heliconius	erato	demophoon	hindwing	anterior	2
B4_HA2	Heliconius	erato	demophoon	hindwing	anterior	2
D6_HA2	Heliconius	erato	demophoon	hindwing	anterior	2
D6_HA2	Heliconius	erato	demophoon	hindwing	anterior	2
A4_HPo2	Heliconius	erato	demophoon	hindwing	posterior	2
A4_HPo2	Heliconius	erato	demophoon	hindwing	posterior	2
D9_HPo2	Heliconius	erato	demophoon	hindwing	posterior	2
D9_HPo2	Heliconius	erato	demophoon	hindwing	posterior	2
D10_FP1	Heliconius	erato	demophoon	forewing	proximal	1
D10_FP1	Heliconius	erato	demophoon	forewing	proximal	1
B8_FP1	Heliconius	erato	demophoon	forewing	proximal	1
B8_FP1	Heliconius	erato	demophoon	forewing	proximal	1
G21_FM1	Heliconius	erato	demophoon	forewing	medial	1
G21_FM1	Heliconius	erato	demophoon	forewing	medial	1
G5_FM1	Heliconius	erato	demophoon	forewing	medial	1
G5_FM1	Heliconius	erato	demophoon	forewing	medial	1
C3_FD1	Heliconius	erato	demophoon	forewing	distal	1
C3_FD1	Heliconius	erato	demophoon	forewing	distal	1
I8_FD1	Heliconius	erato	demophoon	forewing	distal	1
I8_FD1	Heliconius	erato	demophoon	forewing	distal	1
H4_HA1	Heliconius	erato	demophoon	hindwing	anterior	1
H4_HA1	Heliconius	erato	demophoon	hindwing	anterior	1
F8_FM1	Heliconius	erato	demophoon	forewing	medial	1
F8_FM1	Heliconius	erato	demophoon	forewing	medial	1
E6_FP2	Heliconius	erato	demophoon	forewing	proximal	2
E6_FP2	Heliconius	erato	demophoon	forewing	proximal	2
F21_HPo1	Heliconius	erato	demophoon	hindwing	posterior	1
F21_HPo1	Heliconius	erato	demophoon	hindwing	posterior	1
S3_HPo1	Heliconius	erato	demophoon	hindwing	posterior	1
S3_HPo1	Heliconius	erato	demophoon	hindwing	posterior	1
C6_HA1	Heliconius	erato	demophoon	hindwing	anterior	1
C6_HA1	Heliconius	erato	demophoon	hindwing	anterior	1
Hep41FWC_Crawler	Heliconius	erato	demophoon	forewing	whole	larval
Hep41FWC_Crawler	Heliconius	erato	demophoon	forewing	whole	larval
Hep41HWD_Crawler	Heliconius	erato	demophoon	hindwing	whole	larval
Hep41HWD_Crawler	Heliconius	erato	demophoon	hindwing	whole	larval
Heh017PA	Heliconius	erato	hydara	hindwing	anterior	1
Heh017PA	Heliconius	erato	hydara	hindwing	anterior	1
Heh36PC	Heliconius	erato	hydara	hindwing	anterior	2
Heh36PC	Heliconius	erato	hydara	hindwing	anterior	2
Heh033DP	Heliconius	erato	hydara	hindwing	anterior	2
Heh033DP	Heliconius	erato	hydara	hindwing	anterior	2
Heh033ED	Heliconius	erato	hydara	hindwing	posterior	2
Heh033ED	Heliconius	erato	hydara	hindwing	posterior	2
Heh034IP	Heliconius	erato	hydara	hindwing	anterior	2
Heh034IP	Heliconius	erato	hydara	hindwing	anterior	2
Heh034JD	Heliconius	erato	hydara	hindwing	posterior	2
Heh034JD	Heliconius	erato	hydara	hindwing	posterior	2
Heh46HWH	Heliconius	erato	hydara	hindwing	whole	larval
