baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
evm.model.Herato0901.271	31.4748099427713	-2.05814405812375	0.919665290553448	-2.23792729731616	0.0252257965920868	0.185632131666459
evm.model.Herato2001.92	175.255716783787	-0.687690527755084	0.803719656883351	-0.85563482473702	0.39219980098734	0.576555757305759
evm.model.Herato2101.308	40.7281815959549	-1.1827006975896	0.939810402789538	-1.25844605899139	0.208230483460284	0.400223115222162
evm.model.Herato0310.115	0	NA	NA	NA	NA	NA
evm.model.Herato1108.552	0	NA	NA	NA	NA	NA
evm.model.Herato0701.97	0	NA	NA	NA	NA	NA
evm.model.Herato2101.53	1.83695409076042	-1.06096665163736	1.52950088903689	-0.693668541968251	0.48789009845356	NA
evm.model.Herato0310.132	0.0877986995541921	-0.25855219696681	3.64969423107281	-0.0708421529577862	0.943523382872223	NA
evm.model.Herato0310.131	0	NA	NA	NA	NA	NA
evm.model.Herato0310.123	1.62697755661425	-3.64935947054833	3.55437221430282	-1.02672405997979	0.304550416628686	NA
evm.model.Herato2001.579	45.4005159228111	-0.457867087319134	0.395403603344936	-1.15797398770721	0.24687465186893	0.437965827828833
evm.model.Herato1108.80	0	NA	NA	NA	NA	NA
evm.model.Herato0204.44	0	NA	NA	NA	NA	NA
evm.model.Herato1108.432	169.151465451589	1.45851105551734	0.658038012184146	2.21645410829122	0.026660417522276	0.188889777763613
novel_model_8	722.780851100044	-1.49245636672432	0.961215599880788	-1.55267597291328	0.12050056527261	0.311025922553423
evm.model.Herato0701.167	558.97935689453	-0.430421044611729	0.54044985409668	-0.796412546601839	0.425792288067934	0.605200779904751
evm.model.Herato1904.21	662.761096664205	0.139324394843408	0.360552938390126	0.386418691983191	0.69918660895688	0.821430958115035
evm.model.Herato1301.690	0.31715596433977	-1.29707889070643	3.63742548705993	-0.356592566726317	0.721396843021802	NA
evm.model.Herato0901.62	23.5970696742001	-0.67624757043067	1.03319383632333	-0.654521491182267	0.512775885813002	0.674786817877068
evm.model.Herato1108.245	74.5007883691361	-0.829249542532756	1.88142881821327	-0.440755203973259	0.659390226835489	0.791531501834058
evm.model.Herato1807.12	452.918481330666	-1.01812439389912	0.439079277430865	-2.31877122476915	0.0204074442282142	0.172005699656523
evm.model.Herato0701.756	435.728305002394	0.451584528686228	0.207176522608462	2.1797089892259	0.0292790398080142	0.194999053605091
evm.model.Herato1701.314	0.0877986995541921	-0.25855219696681	3.64969423107281	-0.0708421529577862	0.943523382872223	NA
evm.model.Herato2001.371	0.857560480648441	-1.46219339840962	2.75316965230665	-0.531094550306616	0.595353260497916	NA
evm.model.Herato0310.120	0	NA	NA	NA	NA	NA
