baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
evm.model.Herato0901.271	31.4748099427713	1.6623644847689	1.04289410660145	1.59399163754617	0.110937907920054	0.536194830869461
evm.model.Herato2001.92	175.255716783787	-0.265655846308563	0.912932446432998	-0.290991789531121	0.77105759893792	0.914094841088417
evm.model.Herato2101.308	40.7281815959549	1.537234166498	0.956854395959548	1.60654972479531	0.108153178708436	0.536194830869461
evm.model.Herato0310.115	0	NA	NA	NA	NA	NA
evm.model.Herato1108.552	0	NA	NA	NA	NA	NA
evm.model.Herato0701.97	0	NA	NA	NA	NA	NA
evm.model.Herato2101.53	1.83695409076042	-1.45745577990176	1.76453051851353	-0.825973687964066	0.40881901785724	0.716454103807744
evm.model.Herato0310.132	0.0877986995541921	0.990390344850683	4.06864409841966	0.243420245392162	0.807679861838158	NA
evm.model.Herato0310.131	0	NA	NA	NA	NA	NA
evm.model.Herato0310.123	1.62697755661425	5.06425991723575	3.30448426308914	1.53254169608347	0.125388816512523	0.536194830869461
evm.model.Herato2001.579	45.4005159228111	0.270628893560716	0.471999177640091	0.573367298887702	0.566396026936347	0.811202295550062
evm.model.Herato1108.80	0	NA	NA	NA	NA	NA
evm.model.Herato0204.44	0	NA	NA	NA	NA	NA
evm.model.Herato1108.432	169.151465451589	-0.634677165523454	0.865684631059791	-0.733150552466743	NA	NA
novel_model_8	722.780851100044	0.822729751977173	1.11674295006984	0.736722584123519	0.461291069967622	0.751777693023921
evm.model.Herato0701.167	558.97935689453	-0.66494126126345	0.587154684014968	-1.13248055302323	0.257432455724894	0.600884033193045
evm.model.Herato1904.21	662.761096664205	0.148727778490496	0.406959668258726	0.36546073257545	0.71476751350569	0.885810904928015
evm.model.Herato1301.690	0.31715596433977	2.69925556689394	3.90319733894103	0.691549858359523	0.489220059634452	NA
evm.model.Herato0901.62	23.5970696742001	2.09468490497772	0.915824731578141	2.287211551241	0.0221834781147334	0.536194830869461
evm.model.Herato1108.245	74.5007883691361	1.76660331534317	1.50162170347916	1.176463626791	0.239409659094983	0.590205140691532
evm.model.Herato1807.12	452.918481330666	1.474900908875	0.255335791585194	5.77631870455144	7.63526879759022e-09	1.78959624329214e-05
evm.model.Herato0701.756	435.728305002394	-0.408407492480235	0.277322950767604	-1.47267830285882	0.140837799763965	0.53845924631065
evm.model.Herato1701.314	0.0877986995541921	0.990390344850683	4.06864409841966	0.243420245392162	0.807679861838158	NA
evm.model.Herato2001.371	0.857560480648441	1.79426554460421	2.97057623241643	0.604012623889021	0.545835249257314	NA
evm.model.Herato0310.120	0	NA	NA	NA	NA	NA
