baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HMEL002203g1.t1	19.7524970272974	-0.53573861396717	0.693737647667148	-0.77224958998364	0.439966615704349	0.959575929642304
HMEL012563g3.t1	180.938379662834	-0.886224887333981	0.375131276262859	-2.36243934700074	0.018155111987526	0.230185910459785
HMEL008789g3.t1	28.8123921841748	-1.2243975732671	0.751552845914322	-1.62915699131912	0.103279789026447	0.607943601318143
HMEL008091g2.t1	9.23656163887718	0.193785350443313	0.854058985066375	0.226899258519307	0.820502078634663	0.999443508988613
HMEL015430g1.t1	0	NA	NA	NA	NA	NA
HMEL011193g1.t1	0.134764084444445	-0.398301350327968	3.53380296008848	-0.112711816370768	0.910259032841757	NA
HMEL011021g1.t1	2.05150987751274	5.10525261961214	2.87243462193313	1.77732595918104	0.0755146249483902	0.517350233061426
HMEL025053-RA	0	NA	NA	NA	NA	NA
HMEL025054-RA	1.76548133089084	4.88783303702163	2.12223987957122	2.30314823695103	0.0212705040758499	0.257972458860599
HMEL025056-RA	0.489986011930187	3.03518569865915	3.40481640730246	0.891438872342561	0.372693771413898	NA
HMEL004546g1.t1	222.400796897723	-0.0390273690353561	0.234666343333409	-0.166310040378935	0.867912965002971	0.999443508988613
HMEL015209g1.t1	0.668357172763953	-1.12111907977516	2.29852848813993	-0.487755137932798	0.625723291430783	NA
HMEL012302g1.t2	4.53070091777259	-0.375751242847573	0.888464445945381	-0.4229220927887	0.672352103265945	0.999144353730244
HMEL009784g1.t1	74.9785382387595	0.0073232932553281	0.454143818529865	0.0161254936355508	0.987134275177669	0.999443508988613
HMEL030239g1.t1	1025.22336421597	-1.09974805636841	0.338321414976569	-3.2506013739762	0.00115161203485057	0.034696858386853
HMEL037395g1.t3	0	NA	NA	NA	NA	NA
HMEL006178g2.t1	402.717145556447	0.941444957653047	0.296674504313445	3.17332613340574	0.00150703134501529	0.0423931249854546
HMEL021801g1.t1	0	NA	NA	NA	NA	NA
HMEL007609g1.t1	3.72296190073571	0.714250283831198	1.07020700388591	0.667394514554442	0.504520168825556	0.981881053331264
HMEL011725g1.t1	64.2343045139416	1.1850657627261	0.911274109435463	1.30044928354242	0.193447027960702	0.776596020381024
HMEL016327g1.t1	419.847086448026	0.0473113119933796	0.396665095418498	0.119272687563962	0.905059321178559	0.999443508988613
HMEL005659g1.t1	182.754577917129	0.416647669888389	0.194643375747432	2.14056948143475	0.0323087720755737	0.331157682626002
HMEL002947g1.t1	0	NA	NA	NA	NA	NA
HMEL005340g3.t1	0.557919479307024	-0.824442941331569	2.75967781812051	-0.298746084024062	0.765133791841034	NA
HMEL025035-RA	0.191785523395229	-0.879193691837871	3.53380296008848	-0.248795335158092	0.803519099679329	NA
