baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
evm.model.Herato0901.271	31.4748099427713	-1.31734653495699	0.532415625215912	-2.47428225725488	0.0133504174157482	0.0958832561999434
evm.model.Herato2001.92	175.255716783787	-0.210070407708523	0.503950921031736	-0.416846956601343	0.676790353823722	0.779905047558065
evm.model.Herato2101.308	40.7281815959549	-0.886153131205589	0.53153391409328	-1.66716197726958	0.0954822010502579	0.216344808666067
evm.model.Herato0310.115	0	NA	NA	NA	NA	NA
evm.model.Herato1108.552	0	NA	NA	NA	NA	NA
evm.model.Herato0701.97	0	NA	NA	NA	NA	NA
evm.model.Herato2101.53	1.83695409076042	-0.00566118207821695	0.922071533138574	-0.00613963437190958	0.9951013113018	NA
evm.model.Herato0310.132	0.0877986995541921	-0.420754478960681	2.26342224394919	-0.185893056448254	0.852528627449791	NA
evm.model.Herato0310.131	0	NA	NA	NA	NA	NA
evm.model.Herato0310.123	1.62697755661425	-2.50397938589865	1.94550481465982	-1.28705895098825	0.198073741598306	NA
evm.model.Herato2001.579	45.4005159228111	-0.261701353486686	0.245777412910759	-1.06479008948519	0.286970930926548	0.438869441970736
evm.model.Herato1108.80	0	NA	NA	NA	NA	NA
evm.model.Herato0204.44	0	NA	NA	NA	NA	NA
evm.model.Herato1108.432	169.151465451589	0.673456355082275	0.439230471088762	1.53326419593093	0.125210772609756	0.254474661074962
novel_model_8	722.780851100044	-0.88068439278658	0.592682810851193	-1.48592869012308	0.137297983925734	0.270199840964733
evm.model.Herato0701.167	558.97935689453	0.0294360778465277	0.340305779454645	0.0864989066412574	0.931069825189547	0.955619038369092
evm.model.Herato1904.21	662.761096664205	0.00669013575053666	0.222572901779407	0.0300581773299936	0.976020655302658	0.985642443153272
evm.model.Herato1301.690	0.31715596433977	-1.26865117746261	2.20968690523571	-0.574131644830143	0.565878720771796	NA
evm.model.Herato0901.62	23.5970696742001	-0.779426152306717	0.586919017160229	-1.32799607700211	0.18417940290541	0.323143749278279
evm.model.Herato1108.245	74.5007883691361	-0.772527240845278	1.13195075827784	-0.682474246512817	0.494939121910188	0.634587707465629
evm.model.Herato1807.12	452.918481330666	-0.801589856543969	0.164216715062656	-4.88129272491005	1.0539266119057e-06	0.000879125355273913
evm.model.Herato0701.756	435.728305002394	0.296906038294764	0.120868515350909	2.45643820007864	0.0140321935039643	0.0973780821129744
evm.model.Herato1701.314	0.0877986995541921	-0.420754478960681	2.26342224394919	-0.185893056448254	0.852528627449791	NA
evm.model.Herato2001.371	0.857560480648441	-1.07099291716285	1.65879207720705	-0.645646269884592	0.518508464696793	NA
evm.model.Herato0310.120	0	NA	NA	NA	NA	NA
