start	end	length	IDY	missing1	missing2	
903417	903873	456	0.4452	0.5066	0.0241	
1071651	1073047	1396	0.5953	0.1447	0.1246	
1147560	1150096	2536	0.1901	0.0978	0.6822	
1147560	1150096	2536	0.1901	0.0978	0.6822	
1147560	1150096	2536	0.1901	0.0978	0.6822	
1195538	1196256	718	0.5655	0.2493	0.0766	
1219760	1220353	593	0.6627	0.0675	0.1619	
1254794	1255246	452	0.8628	0.0022	0.0442	
1725594	1725753	159	0.0943	0.8805	0.0	
1783126	1783874	748	0.2821	0.1404	0.5388	
1787262	1788925	1663	0.3307	0.1798	0.4299	
1842127	1844361	2234	0.2462	0.0654	0.6482	
1869868	1870727	859	0.4959	0.0512	0.3877	
1879502	1879864	362	0.6519	0.0608	0.1685	
1884640	1886673	2033	0.2332	0.124	0.6144	
2022986	2024648	1662	0.3779	0.1775	0.3905	
2022986	2024648	1662	0.3779	0.1775	0.3905	
2040086	2041292	1206	0.7919	0.0904	0.0547	
2164864	2166483	1619	0.3051	0.1266	0.5003	
2167111	2168871	1760	0.6051	0.079	0.1864	
2202133	2204978	2845	0.3012	0.265	0.3821	
2239009	2240768	1759	0.224	0.1876	0.5503	
2252373	2252712	339	0.8466	0.0177	0.0	
2256828	2258336	1508	0.6247	0.1034	0.187	
2273813	2273963	150	0.9267	0.0133	0.0	
2277578	2279868	2290	0.455	0.145	0.3301	
2423366	2424355	989	0.3225	0.092	0.5137	
2552235	2553067	832	0.2861	0.1238	0.5313	
2599476	2600147	671	0.9553	0.0	0.0	
2616867	2617364	497	0.7384	0.1066	0.0523	
2670329	2670903	574	0.5488	0.108	0.2683	
2692549	2692767	218	0.7523	0.1697	0.0321	
2709834	2710194	360	0.8611	0.0389	0.0222	
3200916	3201391	475	0.6168	0.0716	0.2126	
3327940	3330588	2648	0.0816	0.0759	0.8327	
3334142	3334702	560	0.6768	0.1214	0.1018	
3596461	3597239	778	0.2841	0.5488	0.0938	
3714599	3716070	1471	0.3549	0.2182	0.3705	
3737383	3738270	887	0.628	0.0665	0.2368	
3748447	3749198	751	0.3968	0.008	0.5619	
3756973	3757532	559	0.2379	0.1735	0.5599	
3862838	3864043	1205	0.2871	0.0473	0.6307	
3868350	3868777	427	0.5995	0.171	0.0773	
3896116	3898650	2534	0.4996	0.2194	0.2238	
4448556	4448718	162	0.0	1.0	0.0	
4643921	4646445	2524	0.3467	0.0689	0.5361	
4643921	4646445	2524	0.3467	0.0689	0.5361	
4643921	4646445	2524	0.3467	0.0689	0.5361	
4710171	4710573	402	0.5871	0.3358	0.01	
4888413	4889227	814	0.2826	0.188	0.4533	
5019104	5019690	586	0.9096	0.0188	0.0068	
5048272	5049970	1698	0.639	0.1101	0.159	
5143680	5144429	749	0.9079	0.0134	0.0107	
5196967	5197275	308	0.8961	0.0162	0.039	
5252304	5253242	938	0.7846	0.1023	0.0267	
5275021	5276847	1826	0.4792	0.1681	0.2766	
5275021	5276847	1826	0.4792	0.1681	0.2766	
5283743	5284897	1154	0.5451	0.2331	0.1646	
5287528	5287894	366	0.7623	0.0874	0.041	
5570902	5571881	979	0.3442	0.238	0.3647	
5643537	5643778	241	0.0	1.0	0.0	
5645806	5647312	1506	0.1102	0.1268	0.755	
5740312	5740570	258	0.8023	0.0039	0.0388	
5742925	5744119	1194	0.026	0.9539	0.0	
6647708	6647985	277	0.6679	0.2383	0.0	
7250040	7250318	278	0.7554	0.036	0.1151	
7474986	7476445	1459	0.464	0.4572	0.0281	
