PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_shared_5thdown_melpCoords.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_5th_p05FC1_shared_5thdown_melpCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
127	Hmel206015	80224	80768	+	0	NA	Intergenic	Intergenic	4289	ID=HMEL037165g1.t1-E2;Parent=HMEL037165g1.t1								
1801	Hmel218011	226865	227395	+	0	NA	Intergenic	Intergenic	-32915	ID=HMEL034333g1.t1-E1;Parent=HMEL034333g1.t1								
71	Hmel206009	2467447	2468031	+	0	NA	Intergenic	Intergenic	-7707	ID=HMEL005358g4.t1-E1;Parent=HMEL005358g4.t1								
1648	Hmel217004	3124910	3125787	+	0	NA	Intergenic	Intergenic	-5209	ID=HMEL004674g1.t1-E1;Parent=HMEL004674g1.t1								
1481	Hmel215047	2264714	2265408	+	0	NA	Intergenic	Intergenic	2191	ID=HMEL003185g1.t1-E1;Parent=HMEL003185g1.t1								
2266	Hmel220005	1773217	1773430	+	0	NA	Intergenic	Intergenic	-1708	ID=HMEL035106g1.t1-E1;Parent=HMEL035106g1.t1								
1178	Hmel213020	1004430	1005139	+	0	NA	promoter-TSS (ID=HMEL031902g1.t1-E2;Parent=HMEL031902g1.t1)	-promoter-TSS (ID=HMEL031902g1.t1-E2;Parent=HMEL031902g1.t1)	-161	ID=HMEL031902g1.t1-E2;Parent=HMEL031902g1.t1								
1387	Hmel214022	201542	202221	+	0	NA	promoter-TSS (ID=HMEL005513g1.t1-E3;Parent=HMEL005513g1.t1)	-promoter-TSS (ID=HMEL005513g1.t1-E3;Parent=HMEL005513g1.t1)	-592	ID=HMEL005513g1.t1-E3;Parent=HMEL005513g1.t1								
512	Hmel209007	2083890	2084777	+	0	NA	Intergenic	Intergenic	-24913	ID=HMEL030417g1.t1-E1;Parent=HMEL030417g1.t1								
1932	Hmel218018	7533590	7534204	+	0	NA	Intergenic	Intergenic	3060	ID=HMEL034482g1.t1-E2;Parent=HMEL034482g1.t1								
463	Hmel209001	1242839	1243290	+	0	NA	Intergenic	Intergenic	-52900	ID=HMEL007609g1.t1-E1;Parent=HMEL007609g1.t1								
517	Hmel201009	5096336	5096591	+	0	NA	Intergenic	Intergenic	8519	ID=HMEL030266g1.t1-E2;Parent=HMEL030266g1.t1								
458	Hmel209001	677305	677805	+	0	NA	Intergenic	Intergenic	-34438	ID=HMEL005267g1.t1-E1;Parent=HMEL005267g1.t1								
2634	Hmel205012	949378	950051	+	0	NA	Intergenic	Intergenic	18899	ID=HMEL036672g1.t2-E13;Parent=HMEL036672g1.t2								
1785	Hmel218007	1358670	1359014	+	0	NA	Intergenic	Intergenic	-22807	ID=HMEL034316g1.t1-E1;Parent=HMEL034316g1.t1								
1250	Hmel213062	44596	44908	+	0	NA	Intergenic	Intergenic	5108	ID=HMEL008480g1.t1-E1;Parent=HMEL008480g1.t1								
1363	Hmel214010	568705	569257	+	0	NA	Intergenic	Intergenic	-2908	ID=HMEL032404g1.t1-E1;Parent=HMEL032404g1.t1								
722	Hmel210011	3179745	3180089	+	0	NA	Intergenic	Intergenic	1566	ID=HMEL015976g1.t1-E4;Parent=HMEL015976g1.t1								
2507	Hmel203067	616267	616613	+	0	NA	Intergenic	Intergenic	-4727	ID=HMEL036144g1.t1-E1;Parent=HMEL036144g1.t1								
1109	Hmel212013	2779226	2779735	+	0	NA	Intergenic	Intergenic	2695	ID=HMEL031699g1.t1-E2;Parent=HMEL031699g1.t1								
2067	Hmel219003	6279950	6280524	+	0	NA	Intergenic	Intergenic	-19272	ID=HMEL034692g1.t1-E1;Parent=HMEL034692g1.t1								
1630	Hmel217004	2503787	2504066	+	0	NA	Intergenic	Intergenic	1877	ID=HMEL033813g1.t1-E1;Parent=HMEL033813g1.t1								
1597	Hmel217004	1118087	1118532	+	0	NA	TTS (ID=HMEL006590g1.t1-E1;Parent=HMEL006590g1.t1)	-TTS (ID=HMEL006590g1.t1-E1;Parent=HMEL006590g1.t1)	1271	ID=HMEL006590g1.t1-E1;Parent=HMEL006590g1.t1								
728	Hmel210011	3366298	3366659	+	0	NA	Intergenic	Intergenic	-1346	ID=HMEL015988g1.t1-E1;Parent=HMEL015988g1.t1								
