start	end	length	IDY	missing1	missing2	
139771777	139772065	288	0.9236	0.0	0.0174	
144794402	144794638	236	0.8432	0.0932	0.0	
148536171	148536356	185	0.9514	0.0	0.0	
163486704	163486968	264	0.75	0.0038	0.125	
176307733	176308788	1055	0.8607	0.0085	0.0673	
210825415	210825754	339	0.587	0.1976	0.1475	
212401574	212401862	288	0.9132	0.0	0.0278	
258108092	258108694	602	0.6512	0.015	0.2708	
277196727	277197282	555	0.9369	0.0036	0.0126	
285257430	285258027	597	0.469	0.1926	0.2781	
344896894	344897438	544	0.7776	0.046	0.0404	
383214130	383214659	529	0.6238	0.2741	0.0113	
386899037	386899466	429	0.9114	0.042	0.0	
392470110	392471111	1001	0.7043	0.1359	0.0689	
437343030	437343806	776	0.5541	0.183	0.192	
447174903	447175127	224	0.9821	0.0	0.0089	
453601004	453601255	251	0.8845	0.008	0.0159	
56373139	56373602	463	0.635	0.257	0.0497	
59271789	59272314	525	0.861	0.0362	0.0476	
59273338	59273618	280	0.9571	0.0	0.0	
59281076	59281457	381	0.8189	0.0289	0.0551	
59297502	59299121	1619	0.9024	0.0204	0.0154	
59317453	59318173	720	0.8778	0.0042	0.0333	
59329192	59329549	357	0.7955	0.0476	0.0196	
59339234	59339466	232	0.9483	0.0431	0.0043	
59348113	59348779	666	0.8859	0.0	0.042	
59350127	59350483	356	0.9354	0.0028	0.0	
59352440	59352903	463	0.797	0.0454	0.0583	
59353180	59353610	430	0.7907	0.0209	0.1186	
59361219	59362417	1198	0.7387	0.0735	0.121	
59367338	59368121	783	0.6462	0.1111	0.1226	
59378370	59378710	340	0.7559	0.1441	0.0235	
59382373	59383613	1240	0.8702	0.0226	0.0452	
59384098	59384355	257	0.9105	0.0	0.0272	
59389520	59390013	493	0.8073	0.0913	0.0345	
59390425	59391745	1320	0.6545	0.0841	0.1432	
59399216	59399702	486	0.8333	0.07	0.0144	
59400155	59400322	167	0.8743	0.006	0.018	
59401440	59402343	903	0.845	0.0266	0.0532	
59407540	59409056	1516	0.8674	0.0224	0.0356	
59426590	59426906	316	0.8924	0.0032	0.0285	
60239512	60239779	267	0.8801	0.0524	0.0112	
91341884	91342530	646	0.5604	0.1269	0.1471	
