start	end	length	IDY	missing1	missing2	
2005072	2005840	768	0.6836	0.1042	0.0924	
19559885	19560302	417	0.0	1.0	0.0	
21712109	21712302	193	0.5648	0.3161	0.0259	
25231116	25231394	278	0.7446	0.0971	0.0	
37225623	37225955	332	0.3373	0.5994	0.012	
87896412	87896694	282	0.6064	0.2199	0.0142	
95818898	95819529	631	0.6688	0.0602	0.1727	
124923630	124924671	1041	0.0	1.0	0.0	
143697817	143698059	242	0.8636	0.0124	0.0207	
145908423	145909550	1127	0.354	0.0923	0.504	
179570063	179570425	362	0.4751	0.4724	0.0	
186624140	186625021	881	0.639	0.1135	0.0953	
192537702	192539449	1747	0.1431	0.2261	0.5953	
204104560	204106958	2398	0.2093	0.0847	0.6718	
207540636	207540895	259	0.9228	0.0	0.0386	
234981246	234981717	471	0.431	0.1062	0.4183	
235209683	235210033	350	0.8886	0.0114	0.0086	
235760973	235761233	260	0.7192	0.0423	0.0654	
243705311	243705847	536	0.194	0.5168	0.2313	
283299558	283301883	2325	0.1015	0.0189	0.8619	
289929956	289930949	993	0.0	1.0	0.0	
291344979	291345490	511	0.0	1.0	0.0	
300201667	300202364	697	0.3974	0.2209	0.2482	
335794966	335795753	787	0.4511	0.244	0.2135	
381448591	381449579	988	0.0	1.0	0.0	
402711351	402711592	241	0.8631	0.0332	0.0207	
418651847	418653013	1166	0.2822	0.1063	0.5798	
419585763	419586169	406	0.4975	0.0394	0.436	
428453148	428453326	178	0.9157	0.0	0.0056	
446981213	446981431	218	0.6239	0.2936	0.0	
449574378	449574705	327	0.0979	0.8838	0.0	
472157859	472158597	738	0.3198	0.0528	0.5921	
482612218	482612435	217	0.0	1.0	0.0	
