PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_melpUnique_5thdown.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_5th_p05FC1_melpUnique_5thdown_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1801	Hmel209005	436250	438437	+	0	NA	Intergenic	Intergenic	-40156	ID=HMEL030326g1.t1-E1;Parent=HMEL030326g1.t1								
5006	Hmel220006	26470	26889	+	0	NA	promoter-TSS (ID=HMEL035243g1.t1-E11;Parent=HMEL035243g1.t1)	-promoter-TSS (ID=HMEL035243g1.t1-E11;Parent=HMEL035243g1.t1)	-832	ID=HMEL035243g1.t1-E11;Parent=HMEL035243g1.t1								
3074	Hmel213049	600656	601122	+	0	NA	Intergenic	Intergenic	31513	ID=HMEL032073g1.t1-E3;Parent=HMEL032073g1.t1								
3509	Hmel215006	1213357	1214754	+	0	NA	TTS (ID=HMEL000025-RA-E2;Parent=HMEL000025-RA)	-TTS (ID=HMEL000025-RA-E2;Parent=HMEL000025-RA)	246	ID=HMEL000025-RA-E3;Parent=HMEL000025-RA								
4863	Hmel220003	2501175	2501426	+	0	NA	Intergenic	Intergenic	17041	ID=HMEL012550g2.t1-E3;Parent=HMEL012550g2.t1								
3163	Hmel213062	390828	393678	+	0	NA	Intergenic	Intergenic	9835	ID=HMEL012881g1.t1-E1;Parent=HMEL012881g1.t1								
1178	Hmel206009	4372290	4372602	+	0	NA	promoter-TSS (ID=HMEL037086g1.t1-E3;Parent=HMEL037086g1.t1)	-promoter-TSS (ID=HMEL037086g1.t1-E3;Parent=HMEL037086g1.t1)	511	ID=HMEL037086g1.t1-E2;Parent=HMEL037086g1.t1								
4628	Hmel219003	6503807	6503945	+	0	NA	Intergenic	Intergenic	-8537	ID=HMEL034696g1.t1-E1;Parent=HMEL034696g1.t1								
1387	Hmel207002	4887205	4887490	+	0	NA	Intergenic	Intergenic	10618	ID=HMEL013840g1.t1-E1;Parent=HMEL013840g1.t1								
1932	Hmel209007	4566153	4566478	+	0	NA	Intergenic	Intergenic	24505	ID=HMEL003866g1.t1-E3;Parent=HMEL003866g1.t1								
458	Hmel202006	5058451	5058724	+	0	NA	Intergenic	Intergenic	16280	ID=HMEL033380g1.t1-E1;Parent=HMEL033380g1.t1								
2634	Hmel212001	3283664	3284052	+	0	NA	Intergenic	Intergenic	-3114	ID=HMEL004105g2.t1-E1;Parent=HMEL004105g2.t1								
1785	Hmel209003	45950	46430	+	0	NA	Intergenic	Intergenic	6465	ID=HMEL030304g1.t1-E2;Parent=HMEL030304g1.t1								
4361	Hmel218018	4045337	4045681	+	0	NA	Intergenic	Intergenic	-4247	ID=HMEL034417g1.t1-E1;Parent=HMEL034417g1.t1								
1250	Hmel206019	1532632	1533258	+	0	NA	promoter-TSS (ID=HMEL022529g1.t1-E1;Parent=HMEL022529g1.t1)	-promoter-TSS (ID=HMEL022529g1.t1-E1;Parent=HMEL022529g1.t1)	-487	ID=HMEL022529g1.t1-E1;Parent=HMEL022529g1.t1								
2507	Hmel211015	441716	441932	+	0	NA	Intergenic	Intergenic	-15613	ID=HMEL015399g1.t1-E1;Parent=HMEL015399g1.t1								
4893	Hmel220005	824374	824527	+	0	NA	Intergenic	Intergenic	14295	ID=HMEL035065g1.t1-E1;Parent=HMEL035065g1.t1								
3957	Hmel217004	2629250	2630142	+	0	NA	Intergenic	Intergenic	9092	ID=HMEL004142g1.t1-E5;Parent=HMEL004142g1.t1								
1630	Hmel208017	485418	486338	+	0	NA	Intergenic	Intergenic	3753	ID=HMEL037901g1.t1-E2;Parent=HMEL037901g1.t1								
3497	Hmel215006	392173	393751	+	0	NA	Intergenic	Intergenic	-10736	ID=HMEL032663g1.t1-E2;Parent=HMEL032663g1.t1								
4340	Hmel218018	2931308	2931569	+	0	NA	Intergenic	Intergenic	-8801	ID=HMEL010069g1.t1-E1;Parent=HMEL010069g1.t1								
3185	Hmel213062	625572	626146	+	0	NA	Intergenic	Intergenic	14457	ID=HMEL032116g1.t1-E1;Parent=HMEL032116g1.t1								
3109	Hmel213052	145509	146121	+	0	NA	Intergenic	Intergenic	-9303	ID=HMEL009884g1.t1-E1;Parent=HMEL009884g1.t1								
3919	Hmel217004	572005	572306	+	0	NA	Intergenic	Intergenic	1371	ID=HMEL017107g1.t1-E9;Parent=HMEL017107g1.t1								
728	Hmel204017	67788	68031	+	0	NA	Intergenic	Intergenic	6174	ID=HMEL036414g1.t1-E1;Parent=HMEL036414g1.t1								
1244	Hmel206019	1503182	1503521	+	0	NA	promoter-TSS (ID=HMEL037238g1.t1-E1;Parent=HMEL037238g1.t1)	-promoter-TSS (ID=HMEL037238g1.t1-E1;Parent=HMEL037238g1.t1)	-397	ID=HMEL037238g1.t1-E1;Parent=HMEL037238g1.t1								
1638	Hmel208019	284402	284727	+	0	NA	promoter-TSS (ID=HMEL037911g1.t1-E1;Parent=HMEL037911g1.t1)	-promoter-TSS (ID=HMEL037911g1.t1-E1;Parent=HMEL037911g1.t1)	-239	ID=HMEL037911g1.t1-E1;Parent=HMEL037911g1.t1								
5060	Hmel220014	78862	79897	+	0	NA	Intergenic	Intergenic	3729	ID=HMEL003493g1.t2-E1;Parent=HMEL003493g1.t2								
3936	Hmel217004	1197738	1198875	+	0	NA	Intergenic	Intergenic	-5680	ID=HMEL006591g1.t1-E1;Parent=HMEL006591g1.t1								
29	Hmel201002	1520810	1521015	+	0	NA	Intergenic	Intergenic	-7295	ID=HMEL011289g3.t1-E1;Parent=HMEL011289g3.t1								
350	Hmel202006	164135	165347	+	0	NA	Intergenic	Intergenic	-4433	ID=HMEL008309g1.t1-E2;Parent=HMEL008309g1.t1								
4087	Hmel217020	1764549	1766296	+	0	NA	promoter-TSS (ID=HmIR8a_1-E6;Parent=HmIR8a_1)	-promoter-TSS (ID=HmIR8a_1-E6;Parent=HmIR8a_1)	-254	ID=HmIR8a_1-E6;Parent=HmIR8a_1								
1969	Hmel210001	1250160	1250412	+	0	NA	Intergenic	Intergenic	-1751	ID=HMEL017339g1.t1-E1;Parent=HMEL017339g1.t1								
1810	Hmel209005	636448	636721	+	0	NA	promoter-TSS (ID=HMEL003709g1.t1-E1;Parent=HMEL003709g1.t1)	-promoter-TSS (ID=HMEL003709g1.t1-E1;Parent=HMEL003709g1.t1)	29	ID=HMEL003709g1.t1-E1;Parent=HMEL003709g1.t1								
2203	Hmel210011	1218385	1218736	+	0	NA	Intergenic	Intergenic	-3607	ID=HMEL006925g1.t1-E1;Parent=HMEL006925g1.t1								
4358	Hmel218018	3963476	3964169	+	0	NA	Intergenic	Intergenic	-17083	ID=HMEL006056g1.t1-E1;Parent=HMEL006056g1.t1								
2754	Hmel212011	1109595	1110080	+	0	NA	Intergenic	Intergenic	7318	ID=HMEL031613g1.t1-E1;Parent=HMEL031613g1.t1								
1546	Hmel207021	1968430	1968698	+	0	NA	Intergenic	Intergenic	26848	ID=HMEL009406g1.t1-E3;Parent=HMEL009406g1.t1								
2994	Hmel213028	109693	111175	+	0	NA	promoter-TSS (ID=HMEL031979g1.t1-E5;Parent=HMEL031979g1.t1)	-promoter-TSS (ID=HMEL031979g1.t1-E5;Parent=HMEL031979g1.t1)	549	ID=HMEL031979g1.t1-E4;Parent=HMEL031979g1.t1								
4003	Hmel217014	485545	485845	+	0	NA	Intergenic	Intergenic	3393	ID=HMEL033910g1.t1-E1;Parent=HMEL033910g1.t1								
3256	Hmel213067	775876	776853	+	0	NA	Intergenic	Intergenic	-1521	ID=HMEL011763g1.t1-E1;Parent=HMEL011763g1.t1								
311	Hmel201019	1317685	1318774	+	0	NA	promoter-TSS (ID=HMEL003933g1.t1-E1;Parent=HMEL003933g1.t1)	-promoter-TSS (ID=HMEL003933g1.t1-E1;Parent=HMEL003933g1.t1)	-143	ID=HMEL003933g1.t1-E1;Parent=HMEL003933g1.t1								
4537	Hmel219003	1921143	1921637	+	0	NA	TTS (ID=HMEL010668g2.t1-E1;Parent=HMEL010668g2.t1)	-TTS (ID=HMEL010668g2.t1-E1;Parent=HMEL010668g2.t1)	1012	ID=HMEL010668g2.t1-E1;Parent=HMEL010668g2.t1								
4836	Hmel220003	1112538	1113348	+	0	NA	Intergenic	Intergenic	2186	ID=HMEL017014g1.t2-E5;Parent=HMEL017014g1.t2								
3844	Hmel216012	246852	247389	+	0	NA	Intergenic	Intergenic	5829	ID=HMEL011495g3.t1-E5;Parent=HMEL011495g3.t1								
825	Hmel205005	241671	242112	+	0	NA	Intergenic	Intergenic	-1935	ID=HMEL016010g1.t1-E1;Parent=HMEL016010g1.t1								
