start	end	length	IDY	missing1	missing2	
340272	347150	6878	0.2091	0.06	0.6922	
388449	389394	945	0.4963	0.1249	0.2698	
492991	493173	182	0.8132	0.011	0.0769	
496028	496352	324	0.8457	0.037	0.0093	
496982	497925	943	0.6394	0.1135	0.1463	
500347	501296	949	0.627	0.0759	0.2034	
503002	503164	162	0.8333	0.1358	0.0	
503627	503880	253	0.6996	0.1858	0.004	
507290	509591	2301	0.3538	0.0287	0.5754	
839694	845646	5952	0.0188	0.0242	0.954	
907236	908612	1376	0.4702	0.0988	0.3241	
1088637	1089026	389	0.545	0.0566	0.3059	
1098789	1099000	211	0.8389	0.0	0.0474	
1113682	1114458	776	0.4523	0.0412	0.4652	
1164739	1168020	3281	0.0899	0.335	0.559	
1207876	1208251	375	0.7467	0.016	0.056	
1237578	1237831	253	0.2332	0.2411	0.4941	
1295148	1295493	345	0.9652	0.0	0.0	
1350242	1351173	931	0.3276	0.015	0.6122	
1378530	1379024	494	0.8158	0.0223	0.0405	
1405920	1407622	1702	0.4935	0.2421	0.1704	
1536422	1536623	201	0.9154	0.005	0.0	
1538359	1539063	704	0.5597	0.1591	0.1662	
1540075	1540904	829	0.5259	0.1749	0.2268	
1548697	1549667	970	0.4536	0.033	0.4598	
1667812	1668817	1005	0.4318	0.1383	0.3502	
1764529	1767366	2837	0.1163	0.2919	0.5686	
1786476	1786647	171	0.7836	0.152	0.0351	
1993635	1994009	374	0.5428	0.0267	0.3235	
2062205	2062696	491	0.7515	0.0204	0.1303	
2143743	2144063	320	0.7656	0.0344	0.1219	
2220037	2220387	350	0.5543	0.4086	0.0	
2294160	2295362	1202	0.5333	0.0923	0.282	
2306730	2307622	892	0.3599	0.2478	0.3038	
2321425	2322188	763	0.5465	0.2621	0.0655	
2419822	2420594	772	0.7163	0.0557	0.0855	
2426630	2428662	2032	0.6732	0.0507	0.1969	
2433418	2433639	221	0.9186	0.0	0.009	
2446515	2447674	1159	0.5065	0.1941	0.157	
2590859	2591006	147	0.9796	0.0068	0.0	
2607382	2607648	266	0.7744	0.0226	0.1165	
2608000	2608211	211	0.9289	0.0	0.0237	
2652497	2653123	626	0.5607	0.1901	0.1677	
2671902	2672500	598	0.9013	0.0284	0.0134	
2782226	2782385	159	0.9308	0.0	0.0	
2782605	2783406	801	0.015	0.3408	0.6292	
2896062	2897752	1690	0.4343	0.1231	0.3663	
3106391	3106734	343	0.8192	0.0	0.0087	
3231490	3231850	360	0.5861	0.0222	0.3306	
3378709	3379152	443	0.1806	0.7381	0.0023	
3404264	3404548	284	0.7183	0.0317	0.0423	
3681709	3681955	246	0.8008	0.0488	0.0366	
3687544	3688658	1114	0.6921	0.0637	0.1275	
3703202	3703511	309	0.8447	0.0227	0.0712	
3711148	3711410	262	0.9198	0.0229	0.0	
3717316	3717796	480	0.7562	0.0813	0.0917	
