PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_melpUnique_5thup.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_5th_p05FC1_melpUnique_5thup_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1801	Hmel207021	869044	869316	+	0	NA	Intergenic	Intergenic	18945	ID=HMEL037684g1.t1-E1;Parent=HMEL037684g1.t1								
5006	Hmel218018	1822411	1822948	+	0	NA	Intergenic	Intergenic	68505	ID=HMEL016199g2.t1-E7;Parent=HMEL016199g2.t1								
3074	Hmel212001	2857810	2858154	+	0	NA	TTS (ID=HMEL016850g1.t1-E1;Parent=HMEL016850g1.t1)	-TTS (ID=HMEL016850g1.t1-E1;Parent=HMEL016850g1.t1)	469	ID=HMEL016850g1.t1-E1;Parent=HMEL016850g1.t1								
3509	Hmel213022	307300	307770	+	0	NA	Intergenic	Intergenic	-1443	ID=HMEL007072g3.t1-E1;Parent=HMEL007072g3.t1								
4863	Hmel218004	260783	261183	+	0	NA	Intergenic	Intergenic	-1324	ID=HMEL034242g1.t1-E1;Parent=HMEL034242g1.t1								
3163	Hmel212004	560565	561852	+	0	NA	TTS (ID=HMEL017125g2.t1-E1;Parent=HMEL017125g2.t1)	-TTS (ID=HMEL017125g2.t1-E1;Parent=HMEL017125g2.t1)	700	ID=HMEL017125g2.t1-E1;Parent=HMEL017125g2.t1								
1178	Hmel203008	14509	15341	+	0	NA	promoter-TSS (ID=HMEL035970g1.t1-E10;Parent=HMEL035970g1.t1)	-promoter-TSS (ID=HMEL035970g1.t1-E10;Parent=HMEL035970g1.t1)	-296	ID=HMEL035970g1.t1-E9;Parent=HMEL035970g1.t1								
4628	Hmel217004	2275826	2275976	+	0	NA	Intergenic	Intergenic	-19004	ID=HMEL033812g1.t1-E1;Parent=HMEL033812g1.t1								
1387	Hmel206009	1216140	1216469	+	0	NA	Intergenic	Intergenic	2001	ID=HMEL016796g1.t1-E3;Parent=HMEL016796g1.t1								
1932	Hmel208014	121232	122711	+	0	NA	promoter-TSS (ID=HMEL037851g1.t1-E1;Parent=HMEL037851g1.t1)	-promoter-TSS (ID=HMEL037851g1.t1-E1;Parent=HMEL037851g1.t1)	-200	ID=HMEL037851g1.t1-E1;Parent=HMEL037851g1.t1								
458	Hmel202006	619130	619787	+	0	NA	Intergenic	Intergenic	-1039	ID=HMEL010201g1.t1-E2;Parent=HMEL010201g1.t1								
2634	Hmel210011	3972222	3973095	+	0	NA	Intergenic	Intergenic	35068	ID=HMEL030906g1.t1-E2;Parent=HMEL030906g1.t1								
