PeakID (cmd=annotatePeaks.pl development_D2_p05FC1_shared_D2down_eratoCoords.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_D2_p05FC1_shared_D2down_eratoCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1049	Herato2101	7456366	7456781	+	0	NA	Intergenic	Intergenic	13603	ID=evm.model.Herato2101.266-E10;Parent=evm.model.Herato2101.266								
127	Herato0701	8839006	8839356	+	0	NA	Intergenic	Intergenic	-86878	ID=evm.model.Herato0701.374.1-E1;Parent=evm.model.Herato0701.374.1								
71	Herato0101	10123276	10124204	+	0	NA	Intergenic	Intergenic	-5332	ID=evm.model.Herato0101.291.7-E2;Parent=evm.model.Herato0101.291.7								
882	Herato1807	3188193	3188490	+	0	NA	Intergenic	Intergenic	41893	ID=evm.model.Herato1807.62-E2;Parent=evm.model.Herato1807.62								
1050	Herato2101	7460027	7460804	+	0	NA	Intergenic	Intergenic	17445	ID=evm.model.Herato2101.266-E10;Parent=evm.model.Herato2101.266								
560	Herato1301	2404200	2404627	+	0	NA	Intergenic	Intergenic	-16068	ID=evm.model.Herato1301.60-E5;Parent=evm.model.Herato1301.60								
1178	Herato0503	6713754	6714362	+	0	NA	Intergenic	Intergenic	1408	ID=evm.model.Herato0503.231-E3;Parent=evm.model.Herato0503.231								
898	Herato1904	1175936	1177562	+	0	NA	Intergenic	Intergenic	6107	ID=evm.model.Herato1904.42-E1;Parent=evm.model.Herato1904.42								
798	Herato1801	4331216	4331545	+	0	NA	Intergenic	Intergenic	-8185	ID=evm.model.Herato1801.151-E3;Parent=evm.model.Herato1801.151								
1031	Herato2101	2336066	2336380	+	0	NA	Intergenic	Intergenic	10896	ID=evm.model.Herato2101.82-E38;Parent=evm.model.Herato2101.82								
512	Herato1202	14893475	14894076	+	0	NA	Intergenic	Intergenic	-28467	ID=evm.model.Herato1202.575.1-E1;Parent=evm.model.Herato1202.575.1								
463	Herato1202	7387500	7388027	+	0	NA	Intergenic	Intergenic	3931	ID=evm.model.Herato1202.294-E2;Parent=evm.model.Herato1202.294								
517	Herato1202	15945737	15946604	+	0	NA	Intergenic	Intergenic	19134	ID=evm.model.Herato1202.617-E1;Parent=evm.model.Herato1202.617								
458	Herato1202	5550166	5550631	+	0	NA	promoter-TSS (ID=evm.model.Herato1202.226-E7;Parent=evm.model.Herato1202.226)	-promoter-TSS (ID=evm.model.Herato1202.226-E7;Parent=evm.model.Herato1202.226)	-82	ID=evm.model.Herato1202.226-E7;Parent=evm.model.Herato1202.226								
451	Herato1202	3814641	3815341	+	0	NA	promoter-TSS (ID=evm.model.Herato1202.136.1-E1;Parent=evm.model.Herato1202.136.1)	-promoter-TSS (ID=evm.model.Herato1202.136.1-E1;Parent=evm.model.Herato1202.136.1)	-178	ID=evm.model.Herato1202.136.1-E1;Parent=evm.model.Herato1202.136.1								
454	Herato1202	4243011	4243313	+	0	NA	Intergenic	Intergenic	-5367	ID=evm.model.Herato1202.150.1-E8;Parent=evm.model.Herato1202.150.1								
