start	end	length	IDY	missing1	missing2	
100797236	100797561	325	0.5692	0.1262	0.1846	
105485487	105485876	389	0.6555	0.1388	0.0874	
107517863	107518348	485	0.7959	0.0124	0.1175	
107578216	107578855	639	0.7793	0.0438	0.0923	
10971521	10972543	1022	0.5753	0.1027	0.2476	
109716967	109719431	2464	0.737	0.1112	0.0617	
109730607	109731284	677	0.8168	0.0561	0.0768	
111716454	111716864	410	0.8341	0.0293	0.0244	
113314726	113315271	545	0.8606	0.0018	0.0202	
114290845	114291251	406	0.8744	0.0172	0.0099	
114535768	114536188	420	0.8357	0.0786	0.0071	
115885611	115885882	271	0.9114	0.0	0.0332	
116393546	116393875	329	0.9422	0.0061	0.0091	
116504477	116505070	593	0.8128	0.0708	0.0472	
117094659	117095463	804	0.5286	0.1692	0.2276	
117386941	117387534	593	0.7555	0.0944	0.0607	
11901963	11902513	550	0.8127	0.0218	0.0236	
120104593	120104926	333	0.973	0.0	0.003	
120170662	120171504	842	0.7007	0.0808	0.0689	
121195319	121196202	883	0.7078	0.0883	0.0781	
125709714	125711231	1517	0.5504	0.0844	0.2802	
128543401	128543708	307	0.873	0.0	0.0228	
128621400	128622042	642	0.2928	0.2072	0.4548	
129747709	129748775	1066	0.5113	0.3133	0.0675	
129897106	129897467	361	0.9391	0.0	0.0028	
12998142	12999475	1333	0.5319	0.2033	0.1913	
130147362	130149171	1809	0.5146	0.0978	0.3118	
13111617	13111876	259	0.9691	0.0039	0.0	
131948775	131949989	1214	0.6194	0.0956	0.1787	
132432258	132432785	527	0.8482	0.0076	0.0304	
132845746	132846014	268	0.9366	0.0149	0.0075	
134201487	134202847	1360	0.7721	0.086	0.0706	
134390648	134390834	186	0.8978	0.0	0.0538	
137044134	137045183	1049	0.5968	0.0724	0.2297	
137126844	137127325	481	0.5322	0.2121	0.1892	
138619315	138619665	350	0.8657	0.04	0.0229	
138642512	138643212	700	0.8657	0.03	0.0043	
138675665	138676130	465	0.7226	0.0516	0.1054	
138679884	138680565	681	0.4273	0.4758	0.0367	
139266917	139268348	1431	0.3459	0.1978	0.3906	
139383857	139384193	336	0.9137	0.0327	0.0	
139443298	139443661	363	0.8843	0.0138	0.0303	
139500402	139501393	991	0.5288	0.0343	0.3491	
139669619	139670798	1179	0.6514	0.1077	0.1467	
140487972	140489456	1484	0.4394	0.0916	0.407	
14059454	14059861	407	0.7862	0.1179	0.0098	
140879388	140880299	911	0.4621	0.1976	0.2141	
141086642	141086834	192	0.9271	0.0156	0.0208	
141096022	141098027	2005	0.2673	0.2424	0.4534	
141369955	141370698	743	0.4522	0.4361	0.074	
142017804	142018103	299	0.9264	0.0	0.01	
142280304	142280901	597	0.5963	0.1575	0.1809	
144060216	144060577	361	0.9058	0.0055	0.0055	
144171077	144171575	498	0.2711	0.5221	0.1506	
144319735	144319958	223	0.9013	0.0269	0.0045	
144323639	144324011	372	0.8737	0.0242	0.0457	
144355782	144356009	227	0.8811	0.0396	0.0088	
144896469	144896895	426	0.8404	0.0117	0.0211	
146847809	146848076	267	0.8577	0.0337	0.0262	
146939416	146940608	1192	0.3876	0.1728	0.3507	
148689722	148690002	280	0.8893	0.0036	0.0321	
148887305	148888876	1571	0.3959	0.1897	0.3724	
148966947	148967569	622	0.8505	0.0225	0.0804	
149210859	149211116	257	0.8677	0.0428	0.0	
149375838	149375998	160	0.9437	0.0	0.0	
14950134	14950786	652	0.8221	0.0138	0.0322	
151124738	151125623	885	0.6893	0.1864	0.052	
154906362	154908779	2417	0.6794	0.0463	0.1713	
157599034	157600000	966	0.8489	0.0248	0.0321	
157802099	157802743	644	0.5963	0.146	0.132	
15786325	15786617	292	0.8836	0.0068	0.0719	
158524257	158524549	292	0.8801	0.0	0.024	
158542735	158543243	508	0.7106	0.0846	0.1083	
160344960	160345334	374	0.8289	0.0107	0.0882	
161351652	161352009	357	0.7367	0.1232	0.0616	
161391450	161391700	250	0.88	0.024	0.008	
165683158	165683570	412	0.7257	0.1165	0.0461	
16749690	16750121	431	0.9188	0.0	0.0394	
16756261	16757267	1006	0.8042	0.0199	0.1083	
16770783	16772113	1330	0.8165	0.0429	0.0759	
168215904	168216136	232	0.931	0.0302	0.0	
168344996	168345517	521	0.8503	0.0211	0.0288	
170538515	170539048	533	0.8668	0.0432	0.0019	
172433115	172433274	159	0.8805	0.0126	0.0063	
17276578	17276864	286	0.7587	0.1329	0.0734	
172912352	172912641	289	0.9412	0.0	0.0277	
175313285	175313846	561	0.4848	0.0267	0.4011	
175663097	175663429	332	0.7741	0.0271	0.1295	
175726701	175727458	757	0.8996	0.0145	0.0238	
18080661	18080974	313	0.8946	0.0064	0.0032	
18152768	18153914	1146	0.7565	0.0829	0.0628	
18174642	18174950	308	0.8604	0.0	0.0584	
18493039	18493448	409	0.7751	0.0342	0.11	
185251658	185252034	376	0.4761	0.2473	0.1729	
189804837	189806045	1208	0.8104	0.053	0.0414	
192367248	192367437	189	0.8942	0.0582	0.0	
192490674	192491060	386	0.8446	0.0155	0.0518	
192588049	192588830	781	0.9449	0.0192	0.0077	
193580539	193581239	700	0.8371	0.0214	0.0314	
193597419	193598478	1059	0.6232	0.1294	0.1794	
197749298	197749785	487	0.922	0.0144	0.0	
199205101	199206041	940	0.5319	0.2436	0.1277	
200626039	200626370	331	0.7764	0.1269	0.0574	
201302119	201302265	146	0.9384	0.0137	0.0	
202938023	202939328	1305	0.6467	0.0414	0.2261	
203285054	203285597	543	0.9263	0.0	0.0221	
203340176	203340660	484	0.9566	0.0	0.0	
204035658	204036994	1336	0.8361	0.0644	0.0254	
204102438	204103325	887	0.7486	0.0733	0.0496	
204380179	204380441	262	0.9198	0.0229	0.0	
204799533	204800434	901	0.3629	0.4661	0.1487	
205045504	205047200	1696	0.9245	0.0094	0.0254	
205400322	205401174	852	0.8439	0.034	0.0258	
206752496	206752948	452	0.8164	0.0022	0.0996	
207036831	207037750	919	0.8868	0.0261	0.0098	
207062516	207063691	1175	0.8911	0.0162	0.0068	
207696540	207697386	846	0.3132	0.3924	0.247	
210343378	210343990	612	0.9052	0.0147	0.0359	
210892104	210892540	436	0.7179	0.0069	0.2087	
211095081	211095314	233	0.9657	0.0	0.0	
211142380	211142845	465	0.7892	0.0946	0.0323	
211154532	211155260	728	0.4657	0.0481	0.4121	
211521270	211522849	1579	0.6441	0.0247	0.2552	
211644685	211645951	1266	0.6864	0.0806	0.1295	
211796202	211796666	464	0.8987	0.0259	0.028	
211976637	211977200	563	0.5009	0.0142	0.4014	
212098890	212099356	466	0.5215	0.0472	0.3863	
212168656	212168959	303	0.934	0.0	0.0198	
212723278	212724388	1110	0.8649	0.0117	0.0541	
212861945	212866491	4546	0.3905	0.2547	0.3126	
213049785	213050601	816	0.9032	0.0123	0.0306	
213813534	213814001	467	0.8737	0.015	0.0257	
213829144	213829962	818	0.8655	0.0196	0.0232	
214431421	214433839	2418	0.7324	0.0513	0.1092	
220274583	220275908	1325	0.3713	0.3826	0.1872	
22183607	22183871	264	0.9015	0.0189	0.0038	
222263509	222264068	559	0.9034	0.0197	0.0233	
22251917	22252618	701	0.6776	0.2111	0.0599	
22317060	22318412	1352	0.5303	0.1509	0.2382	
223561424	223561677	253	0.8458	0.0237	0.0395	
22369722	22370026	304	0.8553	0.0559	0.0	
224286422	224288015	1593	0.4193	0.1425	0.349	
224585350	224585967	617	0.8331	0.0276	0.0292	
224612176	224612862	686	0.4752	0.2143	0.223	
225063155	225063993	838	0.9189	0.0215	0.0143	
226551952	226553095	1143	0.4427	0.2275	0.266	
226597807	226598988	1181	0.6528	0.1075	0.1296	
228821583	228821817	234	0.641	0.0128	0.2521	
229185271	229186756	1485	0.6875	0.0747	0.1596	
22949427	22950274	847	0.8312	0.0153	0.046	
23035441	23035857	416	0.774	0.0361	0.1298	
230883065	230883563	498	0.8173	0.0341	0.0683	
231011077	231011389	312	0.8782	0.0128	0.0128	
231168672	231168969	297	0.8519	0.0539	0.0101	
232657607	232658163	556	0.7608	0.0414	0.0773	
232666702	232666884	182	0.9341	0.0	0.0275	
232738160	232738561	401	0.616	0.1322	0.1247	
232746413	232747103	690	0.9217	0.0275	0.0174	
233701485	233701934	449	0.4543	0.0512	0.4165	
234465269	234465458	189	0.8624	0.0159	0.0476	
234743264	234744124	860	0.5826	0.1058	0.2488	
234869948	234870507	559	0.8193	0.0322	0.034	
234872442	234872782	340	0.9059	0.0088	0.0147	
234878446	234878877	431	0.6914	0.1647	0.0673	
23503008	23503272	264	0.8523	0.0	0.0758	
235187901	235188775	874	0.8844	0.0286	0.0172	
235210650	235211258	608	0.8701	0.0197	0.0099	
235221244	235222779	1535	0.4072	0.245	0.2756	
236582520	236582949	429	0.9254	0.0047	0.0117	
236622730	236623084	354	0.9435	0.0424	0.0	
23743989	23747061	3072	0.9508	0.0059	0.0062	
23756243	23756560	317	0.9401	0.0063	0.0158	
241647337	241647595	258	0.8643	0.0194	0.0736	
241657161	241657605	444	0.723	0.0563	0.1239	
241664141	241664432	291	0.8522	0.0722	0.0034	
241864548	241865552	1004	0.6195	0.1833	0.1275	
242932145	242932561	416	0.8245	0.012	0.0313	
243063621	243063875	254	0.937	0.0	0.0	
243284547	243284990	443	0.8149	0.0113	0.0181	
243531190	243532247	1057	0.6377	0.0227	0.2895	
243793483	243794212	729	0.8752	0.0384	0.0384	
243855252	243856637	1385	0.4585	0.1466	0.296	
245215023	245215420	397	0.8866	0.0025	0.0277	
245730772	245731520	748	0.6898	0.0722	0.1217	
246007919	246008333	414	0.785	0.0242	0.099	
24756647	24757048	401	0.8204	0.0025	0.0723	
24822514	24823637	1123	0.8112	0.0151	0.0695	
248397711	248398096	385	0.7065	0.0442	0.1455	
250886774	250887117	343	0.8367	0.0	0.0379	
251282802	251283153	351	0.7835	0.0484	0.0342	
251302792	251303948	1156	0.4697	0.1791	0.2846	
252481656	252482273	617	0.7844	0.0243	0.0989	
253657026	253657384	358	0.9106	0.0112	0.0363	
253665076	253665486	410	0.8976	0.0341	0.0049	
253690796	253691600	804	0.602	0.0522	0.2463	
253801815	253802772	957	0.4431	0.2142	0.2581	
253812996	253813300	304	0.9868	0.0	0.0	
254465229	254465508	279	0.8065	0.0717	0.0609	
254854507	254854939	432	0.8148	0.0532	0.0509	
25500713	25501700	987	0.5887	0.08	0.2644	
255772557	255773024	467	0.9208	0.0043	0.0128	
256250405	256250703	298	0.8154	0.0101	0.0537	
258165072	258165513	441	0.7959	0.1134	0.0113	
258238596	258238945	349	0.7163	0.0602	0.1576	
258266754	258267089	335	0.8209	0.0836	0.003	
258887223	258887931	708	0.7528	0.1017	0.0381	
258906815	258907060	245	0.8735	0.0735	0.0082	
260448518	260450138	1620	0.8056	0.0191	0.1025	
26069296	26070045	749	0.8158	0.0561	0.0534	
263362490	263363171	681	0.6755	0.1307	0.0896	
263444715	263444916	201	0.9104	0.0199	0.0249	
264555650	264556084	434	0.894	0.0138	0.0069	
265709497	265709868	371	0.6846	0.0485	0.1402	
266756901	266757426	525	0.8343	0.0267	0.0267	
266887069	266888043	974	0.9559	0.0	0.0	
267470479	267470867	388	0.8995	0.0	0.0258	
268136932	268137484	552	0.5978	0.0507	0.2736	
268371791	268373073	1282	0.7559	0.0335	0.0944	
268534543	268534865	322	0.8665	0.0248	0.0124	
270698139	270698556	417	0.8225	0.0647	0.012	
270930166	270930877	711	0.5823	0.173	0.0985	
271413042	271413301	259	0.668	0.2124	0.0772	
271730522	271730946	424	0.9481	0.0	0.0	
272275030	272276428	1398	0.6445	0.1237	0.1474	
272408876	272409639	763	0.751	0.0747	0.0931	
273333481	273334323	842	0.6568	0.0499	0.1888	
276256768	276257206	438	0.6507	0.2169	0.0753	
277330625	277331280	655	0.8229	0.0382	0.0611	
278665773	278666194	421	0.5226	0.209	0.1971	
279320086	279320502	416	0.863	0.0216	0.012	
280451847	280452680	833	0.8824	0.0372	0.012	
282817783	282818291	508	0.6457	0.1535	0.126	
282965775	282966571	796	0.7274	0.0327	0.0842	
282967288	282968752	1464	0.4317	0.2131	0.3087	
283013062	283013284	222	0.9189	0.0	0.0405	
283221271	283221823	552	0.8641	0.0217	0.0254	
283328377	283329747	1370	0.6591	0.1664	0.0861	
283338705	283341061	2356	0.149	0.5883	0.2368	
283562425	283562664	239	0.9163	0.0	0.046	
283615940	283617472	1532	0.6756	0.0953	0.1462	
283854788	283855646	858	0.824	0.0478	0.0303	
284061431	284062037	606	0.604	0.1617	0.1254	
284070916	284073741	2825	0.4485	0.1533	0.308	
284091935	284093321	1386	0.5548	0.1905	0.1696	
284093561	284093803	242	0.9091	0.0041	0.0248	
284102482	284102730	248	0.9355	0.0484	0.0	
287081075	287082276	1201	0.4438	0.2573	0.2498	
287135747	287136139	392	0.8724	0.0689	0.0026	
287139070	287139413	343	0.8397	0.07	0.0146	
288293640	288294139	499	0.8818	0.0301	0.01	
288494063	288494875	812	0.7956	0.0172	0.0924	
289652289	289654167	1878	0.9201	0.008	0.0325	
289937279	289937565	286	0.8986	0.0035	0.0245	
289962764	289963627	863	0.657	0.0776	0.1472	
290019463	290020224	761	0.4757	0.3233	0.1432	
290025707	290025926	219	0.9406	0.0	0.0046	
290355663	290355987	324	0.8148	0.0247	0.0802	
292349234	292349499	265	0.8868	0.0038	0.0038	
292931776	292932534	758	0.4894	0.1939	0.2282	
29362914	29364317	1403	0.8781	0.0364	0.0385	
29462526	29463274	748	0.9158	0.004	0.0147	
295692085	295692838	753	0.749	0.085	0.0863	
297153590	297154470	880	0.5727	0.1636	0.1864	
297299306	297300429	1123	0.4221	0.1318	0.4132	
297340609	297341950	1341	0.349	0.1081	0.484	
300717572	300718134	562	0.7883	0.0819	0.0107	
301761766	301762433	667	0.8921	0.003	0.03	
305024766	305024978	212	0.7547	0.0566	0.033	
305637200	305637595	395	0.9165	0.0025	0.0203	
307501774	307502176	402	0.6915	0.0697	0.1368	
309301499	309302739	1240	0.221	0.2863	0.4468	
30970076	30972056	1980	0.4278	0.2273	0.2596	
316351450	316352485	1035	0.2841	0.6367	0.0271	
316391649	316392220	571	0.6848	0.0946	0.1261	
316644359	316644803	444	0.7365	0.0225	0.1802	
316658783	316659055	272	0.7022	0.0882	0.1287	
317598716	317599574	858	0.6014	0.1457	0.141	
323222852	323225291	2439	0.9098	0.007	0.0217	
323227459	323227709	250	0.92	0.0	0.0	
324493484	324493817	333	0.7658	0.1802	0.003	
325082627	325083955	1328	0.6393	0.0986	0.1596	
325225874	325227282	1408	0.598	0.1548	0.1527	
326760206	326762069	1863	0.3586	0.2786	0.3231	
327688439	327689421	982	0.7454	0.0377	0.1334	
328511393	328511911	518	0.6795	0.083	0.1737	
329061080	329061391	311	0.8842	0.0161	0.0579	
329127546	329128001	455	0.7604	0.0593	0.0703	
330225796	330226223	427	0.8197	0.0	0.1171	
330302216	330302477	261	0.931	0.0038	0.0038	
335322766	335322921	155	0.7613	0.0194	0.0581	
335579730	335580806	1076	0.2528	0.4619	0.2546	
340169548	340170094	546	0.6484	0.0458	0.1648	
340217479	340217705	226	0.6726	0.0177	0.2699	
340663692	340664079	387	0.7106	0.0724	0.1447	
343114361	343114831	470	0.6745	0.0532	0.1638	
343136122	343136858	736	0.7554	0.0476	0.0639	
344829267	344830047	780	0.4782	0.0397	0.4141	
346099273	346099530	257	0.8521	0.0	0.0584	
346609538	346611395	1857	0.5283	0.2316	0.1939	
346907752	346908488	736	0.731	0.0938	0.0448	
347191319	347191977	658	0.7948	0.0122	0.0912	
348204232	348204802	570	0.9228	0.0246	0.0018	
348553102	348553254	152	0.9803	0.0	0.0	
348570600	348571093	493	0.9047	0.002	0.0101	
348961257	348962641	1384	0.5397	0.1582	0.2435	
350283083	350283342	259	0.9189	0.0232	0.0077	
350543095	350544410	1315	0.3688	0.2068	0.3658	
35089603	35089741	138	0.9855	0.0	0.0	
352449444	352450871	1427	0.5396	0.1626	0.1913	
352477050	352477909	859	0.4424	0.0163	0.4738	
352776351	352776705	354	0.822	0.0226	0.0282	
355310391	355310702	311	0.9325	0.0322	0.0	
355311789	355312210	421	0.7696	0.0285	0.1045	
355616691	355616961	270	0.8667	0.0148	0.0296	
35719124	35719525	401	0.6658	0.0249	0.1671	
35723067	35723947	880	0.4966	0.2125	0.2386	
358986688	358986901	213	0.7606	0.0423	0.0939	
360331481	360331784	303	0.8284	0.0231	0.0693	
