start	end	length	IDY	missing1	missing2	
5997871	5998101	230	0.6783	0.313	0.0	
12338115	12338309	194	0.9794	0.0	0.0	
46174427	46174695	268	0.8582	0.0075	0.0	
49785949	49786424	475	0.0	1.0	0.0	
56373024	56373910	886	0.4187	0.237	0.2799	
59206694	59206978	284	0.9225	0.0035	0.0	
59235853	59238415	2562	0.5574	0.1362	0.2201	
59249730	59250799	1069	0.5706	0.0627	0.2937	
59302202	59302831	629	0.3768	0.0143	0.5771	
59305779	59306236	457	0.7659	0.07	0.035	
59306718	59307194	476	0.7878	0.0462	0.0672	
59308425	59308600	175	0.9086	0.04	0.0	
59315415	59315576	161	0.8199	0.0186	0.0124	
59327051	59327475	424	0.9057	0.0118	0.0236	
59327680	59328703	1023	0.6813	0.0235	0.2053	
59359650	59360128	478	0.3703	0.023	0.5795	
59366020	59366897	877	0.4036	0.0958	0.4698	
59371250	59371661	411	0.9221	0.0268	0.0024	
59373317	59373568	251	0.8884	0.0398	0.0	
59386292	59386769	477	0.8449	0.0	0.044	
59396681	59396957	276	0.9348	0.0036	0.0072	
59408772	59409061	289	0.9204	0.0	0.0173	
59409490	59409703	213	0.9296	0.0	0.0423	
59418998	59419254	256	0.8828	0.0	0.0352	
63880925	63881122	197	0.0	1.0	0.0	
67955252	67955451	199	0.6332	0.1055	0.2111	
86255475	86255982	507	0.7396	0.0651	0.0631	
88752076	88753314	1238	0.3199	0.0275	0.5654	
91360136	91360949	813	0.3862	0.1107	0.4453	
96560116	96560269	153	0.8105	0.0719	0.0131	
107966795	107967097	302	0.9503	0.0	0.0	
119694353	119694627	274	0.7409	0.1752	0.0	
140785421	140786108	687	0.4527	0.1397	0.3013	
144794337	144794698	361	0.7064	0.1801	0.0471	
157934039	157935015	976	0.3566	0.2213	0.3832	
159897081	159898003	922	0.3774	0.0987	0.474	
163486676	163486971	295	0.7492	0.0034	0.1119	
163561158	163561468	310	0.7194	0.0387	0.0226	
167161164	167161424	260	0.9154	0.0231	0.0038	
173058473	173058979	506	0.5435	0.0791	0.3123	
193247191	193247509	318	0.7673	0.0503	0.0723	
200902531	200902736	205	0.922	0.0	0.0	
210269844	210270316	472	0.8305	0.0169	0.0106	
227733574	227734278	704	0.2955	0.142	0.5043	
232659708	232660502	794	0.3451	0.1763	0.4131	
232738868	232740093	1225	0.2531	0.1176	0.6008	
237155254	237155723	469	0.5714	0.0576	0.29	
248786474	248787206	732	0.4167	0.5164	0.0137	
250597731	250599196	1465	0.3085	0.1618	0.4833	
253437406	253437644	238	0.8109	0.0336	0.0462	
258940002	258940252	250	0.0	1.0	0.0	
271551898	271552457	559	0.3846	0.1699	0.3596	
276352690	276353173	483	0.7184	0.0455	0.1739	
277196821	277197204	383	0.9452	0.0052	0.0078	
285257040	285258029	989	0.5349	0.1193	0.2791	
286235150	286235362	212	0.8113	0.1415	0.0047	
297073580	297073798	218	0.9312	0.0046	0.0092	
298096104	298096786	682	0.9062	0.0103	0.0059	
300662097	300662355	258	0.8953	0.0039	0.0543	
306411624	306412674	1050	0.2305	0.2019	0.541	
311157385	311157667	282	0.8865	0.0	0.0248	
316859169	316860447	1278	0.6315	0.0149	0.2895	
320056025	320057849	1824	0.1924	0.0378	0.716	
326090164	326090443	279	0.8638	0.0	0.0179	
348272067	348272258	191	0.9215	0.0366	0.0105	
351081329	351082034	705	0.4411	0.027	0.4681	
367010448	367011483	1035	0.3449	0.1749	0.4396	
386899091	386899313	222	0.8829	0.0766	0.0	
399523101	399523614	513	0.7622	0.0136	0.1189	
403263034	403264485	1451	0.5003	0.144	0.2612	
412546675	412547060	385	0.0	1.0	0.0	
416387301	416388237	936	0.3868	0.1667	0.3729	
433618702	433620724	2022	0.3956	0.087	0.453	
445840455	445840609	154	0.9545	0.0	0.0065	
448532637	448532901	264	0.9205	0.0	0.0114	
