PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_shared_5thup_eratoCoords.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_5th_p05FC1_shared_5thup_eratoCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
127	Herato0101	9828428	9829053	+	0	NA	Intergenic	Intergenic	-72570	ID=evm.model.Herato0101.287-E1;Parent=evm.model.Herato0101.287								
1801	Herato2001	9885189	9885727	+	0	NA	Intergenic	Intergenic	-44330	ID=evm.model.Herato2001.395-E1;Parent=evm.model.Herato2001.395								
71	Herato0606	3122146	3122811	+	0	NA	Intergenic	Intergenic	29138	ID=evm.model.Herato0606.99-E6;Parent=evm.model.Herato0606.99								
1648	Herato0215	937908	938244	+	0	NA	Intergenic	Intergenic	-5547	ID=evm.model.Herato0215.32.4-E6;Parent=evm.model.Herato0215.32.4								
1481	Herato1805	3205228	3205684	+	0	NA	exon (ID=evm.model.Herato1805.90-E1;Parent=evm.model.Herato1805.90, exon 1 of 1)	-exon (ID=evm.model.Herato1805.90-E1;Parent=evm.model.Herato1805.90, exon 1 of 1)	195	ID=evm.model.Herato1805.90-E1;Parent=evm.model.Herato1805.90								
1178	Herato1505	3235593	3236214	+	0	NA	Intergenic	Intergenic	-16855	ID=evm.model.Herato1505.138-E1;Parent=evm.model.Herato1505.138								
1387	Herato1801	1411176	1411615	+	0	NA	Intergenic	Intergenic	-16039	ID=evm.model.Herato1801.65.1-E1;Parent=evm.model.Herato1801.65.1								
512	Herato1003	7048151	7048487	+	0	NA	promoter-TSS (ID=evm.model.Herato1003.256-E1;Parent=evm.model.Herato1003.256)	-promoter-TSS (ID=evm.model.Herato1003.256-E1;Parent=evm.model.Herato1003.256)	-390	ID=evm.model.Herato1003.256-E1;Parent=evm.model.Herato1003.256								
1932	Herato0301	3309051	3309672	+	0	NA	Intergenic	Intergenic	29529	ID=evm.model.Herato0301.87-E1;Parent=evm.model.Herato0301.87								
463	Herato1001	1527837	1529530	+	0	NA	Intergenic	Intergenic	-1531	ID=evm.model.Herato1001.59-E1;Parent=evm.model.Herato1001.59								
517	Herato1003	7283817	7284526	+	0	NA	Intergenic	Intergenic	5218	ID=evm.model.Herato1003.266-E2;Parent=evm.model.Herato1003.266								
458	Herato0904	464827	466241	+	0	NA	Intergenic	Intergenic	2115	ID=evm.model.Herato0904.29-E2;Parent=evm.model.Herato0904.29								
