start	end	length	IDY	missing1	missing2	
96839326	96839600	274	0.6277	0.2883	0.0474	
4600395	4601183	788	0.3744	0.0228	0.5546	
7518439	7520317	1878	0.1267	0.5421	0.3136	
9162451	9163304	853	0.8347	0.0234	0.0258	
12953502	12953693	191	0.9476	0.0052	0.0	
14058905	14059069	164	0.7988	0.0671	0.1037	
18143734	18145037	1303	0.5649	0.307	0.0568	
19470901	19471100	199	0.9497	0.0	0.0	
116441968	116442548	580	0.331	0.4931	0.1362	
116467690	116469346	1656	0.1178	0.6938	0.1775	
21387150	21387842	692	0.5405	0.1835	0.185	
117950742	117951446	704	0.5	0.4318	0.0128	
118933834	118934138	304	0.7829	0.0362	0.023	
22947694	22947998	304	0.7401	0.0099	0.1579	
23166870	23167273	403	0.933	0.0074	0.0099	
23580215	23580928	713	0.4137	0.4418	0.0856	
24725382	24726113	731	0.4761	0.4337	0.0301	
312799356	312800027	671	0.5425	0.0745	0.3204	
34221381	34222819	1438	0.2065	0.6008	0.1293	
34283142	34283424	282	0.5745	0.0	0.3369	
132420791	132421090	299	0.8194	0.0301	0.0268	
34789879	34790585	706	0.4873	0.0411	0.3711	
35147739	35148345	606	0.6353	0.066	0.1766	
35837359	35838132	773	0.3001	0.6028	0.0569	
37114106	37117420	3314	0.3277	0.5362	0.0917	
37512166	37512458	292	0.8733	0.0	0.0548	
42585216	42585503	287	0.0	0.0	1.0	
43359816	43360217	401	0.5337	0.1172	0.2768	
44503837	44504093	256	0.4531	0.0313	0.5	
140594878	140595358	480	0.7	0.0	0.2146	
44832432	44833220	788	0.5127	0.1865	0.1865	
49728059	49728914	855	0.724	0.0912	0.0994	
49862918	49863561	643	0.0	0.0	1.0	
51744238	51745211	973	0.2672	0.371	0.3155	
151080772	151081120	348	0.8707	0.0	0.0287	
338252806	338253084	278	0.0	0.0	1.0	
152186628	152187791	1163	0.1488	0.2322	0.5959	
152217136	152217478	342	0.3041	0.1433	0.4737	
64706329	64708106	1777	0.2746	0.4339	0.2589	
157255637	157256415	778	0.3895	0.0193	0.5656	
64721513	64721745	232	0.0	0.0	1.0	
67593491	67594179	688	0.5552	0.1424	0.2297	
70844031	70844754	723	0.3859	0.4799	0.0609	
75557624	75558805	1181	0.2777	0.5563	0.1135	
169974462	169974774	312	0.6026	0.0865	0.2212	
170000194	170000616	422	0.7251	0.0379	0.1185	
170755652	170755942	290	0.8414	0.069	0.0	
170756736	170757334	598	0.6421	0.107	0.1221	
79670276	79672761	2485	0.3944	0.301	0.2487	
171347880	171348494	614	0.4577	0.2427	0.2313	
359758620	359759534	914	0.2396	0.454	0.2845	
86055376	86055594	218	0.7202	0.0505	0.1422	
86349777	86350771	994	0.4085	0.161	0.328	
86916471	86916826	355	0.8592	0.0169	0.0197	
268809285	268809645	360	0.5278	0.0056	0.4139	
90070032	90070529	497	0.2877	0.1489	0.5252	
91441204	91441413	209	0.8038	0.0191	0.0	
93011786	93012018	232	0.5345	0.0345	0.3491	
94908021	94908422	401	0.3716	0.0	0.586	
96047960	96048546	586	0.657	0.0375	0.1826	
189276275	189276716	441	0.6916	0.0317	0.1451	
376493898	376495082	1184	0.1115	0.5245	0.353	
100567815	100568666	851	0.7732	0.0329	0.1187	
192596314	192596806	492	0.7886	0.002	0.1321	
192599784	192600193	409	0.5623	0.1174	0.2298	
104921659	104922361	702	0.604	0.0	0.3362	
105691747	105691940	193	0.8238	0.0	0.0674	
105960208	105960698	490	0.5122	0.2796	0.1408	
289263675	289263959	284	0.5282	0.0141	0.412	
201267957	201268331	374	0.6176	0.1818	0.1337	
290258415	290259004	589	0.2937	0.0917	0.5501	
482491839	482492074	235	0.8298	0.0128	0.1191	
111337856	111338438	582	0.4502	0.0052	0.4742	
292506419	292506574	155	0.9355	0.0065	0.0	
145209361	145210069	708	0.452	0.4506	0.024	
391485081	391485940	859	0.2177	0.6577	0.0838	
115438407	115438958	551	0.6152	0.0417	0.2577	
297588277	297589034	757	0.2787	0.4597	0.2351	
120625701	120626010	309	0.5858	0.0	0.3754	
303484295	303484888	593	0.5346	0.0489	0.3491	
306584838	306585291	453	0.3532	0.574	0.0618	
132305645	132306954	1309	0.2299	0.55	0.207	
222467468	222467744	276	0.8623	0.029	0.0254	
407429279	407429555	276	0.8406	0.0036	0.0254	
134256579	134256856	277	0.8231	0.0542	0.0181	
139044387	139044912	525	0.6476	0.0952	0.1219	
228883255	228883926	671	0.7973	0.0238	0.0999	
139749097	139749294	197	0.8731	0.0	0.0	
170061880	170062540	660	0.0	0.0	1.0	
140712227	140712529	302	0.904	0.0166	0.0	
142361453	142362606	1153	0.4458	0.2819	0.2298	
147759655	147761717	2062	0.1227	0.8598	0.0044	
150947230	150947646	416	0.8173	0.0072	0.0745	
151102168	151102761	593	0.801	0.0354	0.054	
243641219	243641634	415	0.8964	0.0024	0.0627	
152796132	152797505	1373	0.7706	0.0437	0.0655	
152896174	152896822	648	0.0	0.0	1.0	
153184922	153185934	1012	0.0	0.0	1.0	
155176400	155177055	655	0.3893	0.0809	0.4885	
