start	end	length	IDY	missing1	missing2	
375184758	375185709	951	0.5994	0.123	0.1809	
98936289	98936506	217	0.0	0.0	1.0	
3734645	3735594	949	0.7819	0.0242	0.0969	
4338695	4338888	193	0.9067	0.0	0.0	
4568437	4568776	339	0.9027	0.0059	0.0206	
4978217	4978422	205	0.8098	0.0293	0.0098	
4979496	4979819	323	0.8452	0.0124	0.0557	
5953019	5954256	1237	0.4244	0.1277	0.3605	
5960021	5960349	328	0.439	0.0549	0.439	
6070275	6070666	391	0.7315	0.156	0.0332	
8500733	8501441	708	0.339	0.3305	0.3037	
104447232	104447429	197	0.8173	0.0254	0.0203	
104737540	104737969	429	0.6876	0.0023	0.2331	
104840762	104841380	618	0.6133	0.0065	0.2427	
104889026	104889355	329	0.8571	0.0	0.0486	
104977882	104978923	1041	0.3987	0.3372	0.2181	
104998866	104999225	359	0.7465	0.0641	0.1365	
199633173	199635283	2110	0.2706	0.3308	0.3559	
14082167	14082847	680	0.9088	0.0294	0.0132	
15367805	15368078	273	0.5458	0.0696	0.326	
16100578	16100994	416	0.8558	0.012	0.0553	
17675791	17677053	1262	0.3106	0.397	0.2488	
113538230	113540858	2628	0.1024	0.8451	0.043	
113604472	113604712	240	0.8208	0.0125	0.05	
205800446	205801231	785	0.386	0.3108	0.2624	
18814324	18814887	563	0.2984	0.5364	0.1083	
21627067	21627280	213	0.7934	0.0	0.0798	
23277129	23277317	188	0.9043	0.0106	0.0053	
23530437	23530710	273	0.9377	0.0073	0.0037	
23553533	23555443	1910	0.666	0.1822	0.0864	
23588911	23589727	816	0.4056	0.1838	0.3652	
23607549	23607909	360	0.9083	0.0056	0.0083	
120240568	120241130	562	0.484	0.395	0.0623	
24772051	24772319	268	0.8881	0.0	0.0373	
24942459	24943815	1356	0.337	0.5229	0.0605	
24952895	24953548	653	0.2986	0.0199	0.6462	
25497043	25497633	590	0.2847	0.5932	0.1102	
26705744	26706759	1015	0.5665	0.0995	0.2581	
29663834	29664029	195	0.8462	0.0051	0.0154	
33633765	33637512	3747	0.0785	0.9034	0.0088	
33939604	33939826	222	0.9054	0.018	0.009	
33945163	33945373	210	0.7429	0.0857	0.0476	
35028721	35029097	376	0.6383	0.0053	0.2713	
35080031	35080466	435	0.5563	0.0046	0.3839	
35290370	35290762	392	0.3495	0.0	0.602	
223062572	223063106	534	0.5131	0.1948	0.2041	
38623248	38623851	603	0.4561	0.0299	0.4245	
136017051	136017391	340	0.0	0.0	1.0	
40336164	40336698	534	0.3315	0.0993	0.515	
139096457	139097179	722	0.6593	0.0235	0.2438	
139254947	139255181	234	0.0	0.0	1.0	
139524720	139527618	2898	0.1018	0.7681	0.109	
139579080	139579355	275	0.5273	0.0727	0.28	
139606854	139607689	835	0.6623	0.079	0.0994	
139790917	139791316	399	0.6115	0.0952	0.2356	
44991624	44992393	769	0.3589	0.2172	0.3758	
326098996	326099393	397	0.6045	0.1184	0.1814	
145908527	145909024	497	0.6579	0.0121	0.2636	
146772977	146773610	633	0.7583	0.0142	0.1232	
146837933	146838201	268	0.9179	0.0187	0.0	
147013413	147013595	182	0.8736	0.0165	0.0275	
53519651	53520129	478	0.4895	0.1255	0.3117	
54285152	54291342	6190	0.525	0.0981	0.2955	
55532410	55534667	2257	0.1608	0.7319	0.0961	
57584752	57584921	169	0.9645	0.0	0.0	
57591245	57591537	292	0.8219	0.0034	0.0959	
151828057	151828309	252	0.8651	0.0	0.0357	
243164628	243164950	322	0.4689	0.0062	0.4596	
152086301	152086832	531	0.5009	0.0207	0.4068	
243611867	243612312	445	0.6404	0.0899	0.036	
59481250	59481985	735	0.5347	0.2871	0.0898	
152847161	152847616	455	0.5011	0.1582	0.2769	
59566477	59566875	398	0.6533	0.2161	0.0251	
59977010	59977394	384	0.6615	0.0807	0.1901	
155337184	155337717	533	0.531	0.1013	0.2627	
64949091	64949391	300	0.8333	0.0067	0.03	
157788153	157788988	835	0.6419	0.2563	0.018	
66916177	66917148	971	0.3471	0.2008	0.4037	
159700728	159701138	410	0.0	0.0	1.0	
67799705	67801356	1651	0.338	0.3592	0.2362	
67850346	67851096	750	0.1933	0.532	0.2467	
347565653	347566241	588	0.3197	0.2211	0.4218	
163113059	163113392	333	0.1892	0.0	0.7808	
70227983	70228517	534	0.3052	0.5543	0.0861	
70229288	70229815	527	0.0	0.0	1.0	
70524236	70525251	1015	0.3813	0.2906	0.2995	
70556236	70556846	610	0.5164	0.3902	0.0607	
70557867	70558134	267	0.8914	0.0337	0.015	
70891331	70891819	488	0.4365	0.2131	0.2869	
72488068	72488486	418	0.9067	0.0	0.0072	
166943780	166944318	538	0.4963	0.0093	0.4387	
75480219	75480555	336	0.5268	0.247	0.1845	
75670130	75670754	624	0.2981	0.2724	0.4022	
76664910	76665159	249	0.8313	0.0161	0.1044	
355322360	355322724	364	0.9505	0.0	0.0	
78362895	78363333	438	0.7831	0.105	0.0525	
78590684	78590937	253	0.5455	0.0119	0.3992	
80656772	80657018	246	0.8659	0.0163	0.0122	
83118526	83119414	888	0.4144	0.2883	0.1914	
267568406	267569512	1106	0.0	0.0	1.0	
86561398	86561633	235	0.8553	0.0298	0.0596	
86564772	86566965	2193	0.4642	0.1769	0.2927	
87422276	87431988	9712	0.3271	0.1872	0.4318	
87472427	87473152	725	0.6745	0.1159	0.0717	
89114747	89116815	2068	0.4608	0.2113	0.2442	
89124793	89125140	347	0.9164	0.0115	0.0403	
89582787	89583258	471	0.9469	0.0191	0.0	
181582095	181582395	300	0.89	0.0033	0.0333	
92119537	92120072	535	0.8486	0.0336	0.0037	
94297916	94298418	502	0.3984	0.1414	0.4024	
96037607	96038157	550	0.7473	0.0455	0.1255	
97611918	97612075	157	0.7962	0.0127	0.121	
97900921	97901376	455	0.0	0.0	1.0	
190751353	190752105	752	0.2234	0.5944	0.1449	
98890226	98891370	1144	0.3374	0.0367	0.5918	
98918086	98918651	565	0.7823	0.0142	0.0566	
99007698	99008103	405	0.0	0.0	1.0	
100539038	100539646	608	0.597	0.1283	0.1612	
192537713	192538151	438	0.5479	0.1324	0.1804	
101255778	101256138	360	0.2639	0.2083	0.4889	
282752126	282752520	394	0.6954	0.1168	0.0533	
284706034	284707608	1574	0.2382	0.4187	0.3037	
104884519	104885408	889	0.3195	0.5332	0.0934	
384818944	384819721	777	0.6126	0.0875	0.2124	
289567510	289568222	712	0.4916	0.375	0.0871	
107969986	107970911	925	0.5784	0.1362	0.1719	
291322569	291322764	195	0.9282	0.0	0.0103	
291324695	291324906	211	0.9336	0.0	0.0095	
202517929	202518718	789	0.6958	0.071	0.1077	
112030741	112031036	295	0.5966	0.0542	0.2373	
292936399	292936808	409	0.5208	0.0538	0.3399	
112372952	112373836	884	0.6867	0.0962	0.121	
390323121	390324266	1145	0.648	0.1397	0.1319	
112781029	112781199	170	0.0	0.0	1.0	
112860367	112860753	386	0.7098	0.0	0.1865	
206145883	206146173	290	0.9414	0.0034	0.0	
114618751	114619301	550	0.7691	0.0345	0.0873	
207821203	207821374	171	0.8713	0.0351	0.0175	
116456312	116456524	212	0.9528	0.0	0.0094	
116613588	116614020	432	0.787	0.0394	0.0486	
297416194	297416745	551	0.5717	0.1361	0.2069	
393665114	393665776	662	0.2915	0.5831	0.0982	
116813817	116814201	384	0.8984	0.0	0.0078	
117452830	117453227	397	0.6373	0.136	0.1688	
117550704	117550875	171	0.0	0.0	1.0	
209988718	209989705	987	0.3333	0.2614	0.3425	
299812718	299812880	162	0.8951	0.0	0.0185	
119919974	119920444	470	0.6021	0.1319	0.1723	
120920755	120921207	452	0.6637	0.0265	0.2478	
121321899	121322258	359	0.7772	0.0167	0.1393	
212774387	212775130	743	0.3849	0.3338	0.2194	
152607464	152607978	514	0.1381	0.2218	0.6148	
401480185	401480461	276	0.8514	0.0181	0.0326	
126545720	126546238	518	0.7104	0.0347	0.1255	
217445673	217446360	687	0.2096	0.722	0.0568	
132136399	132136876	477	0.6751	0.1803	0.0545	
132485705	132485942	237	0.8017	0.0127	0.0633	
132624189	132624979	790	0.4152	0.2785	0.2595	
223173129	223173594	465	0.671	0.1806	0.0989	
223913289	223913685	396	0.7146	0.0152	0.2045	
409469549	409469830	281	0.9253	0.0107	0.0142	
317575541	317576575	1034	0.3549	0.3472	0.2408	
166800208	166800478	270	0.0	0.0	1.0	
258296820	258297253	433	0.9145	0.0069	0.0208	
136954795	136955017	222	0.7973	0.1036	0.009	
226785063	226786125	1062	0.2213	0.4915	0.2618	
139078913	139079603	690	0.3246	0.5203	0.1246	
139343180	139343592	412	0.8617	0.0413	0.0097	
140354778	140355293	515	0.5417	0.2621	0.1417	
230659510	230660027	517	0.2089	0.0503	0.6673	
172255123	172255665	542	0.4742	0.0203	0.4391	
142346100	142347305	1205	0.4921	0.2822	0.1394	
233321275	233321653	378	0.9392	0.0	0.0079	
143974045	143976866	2821	0.4077	0.2428	0.2769	
143987013	143988508	1495	0.1217	0.487	0.3672	
144845047	144845413	366	0.4945	0.0546	0.4044	
235184114	235184430	316	0.8639	0.019	0.0316	
174890029	174890687	658	0.4909	0.1489	0.2766	
175419440	175419826	386	0.5285	0.1632	0.2409	
331065062	331065564	502	0.0	0.0	1.0	
331546761	331547077	316	0.7342	0.0158	0.1456	
146810860	146811816	956	0.386	0.3473	0.2343	
146857195	146857407	212	0.9151	0.0283	0.0142	
146914973	146915442	469	0.7271	0.0682	0.1023	
177942691	177943139	448	0.5112	0.2545	0.1786	
239081258	239081680	422	0.3175	0.0308	0.6185	
148915390	148916119	729	0.4348	0.1427	0.3759	
150661097	150661455	358	0.3408	0.5251	0.0587	
242019633	242019884	251	0.7649	0.1076	0.0518	
151377681	151377928	247	0.6599	0.0	0.2834	
339235446	339236431	985	0.3168	0.3513	0.3025	
152721555	152721892	337	0.724	0.1217	0.0415	
153851837	153852115	278	0.946	0.0072	0.0	
343572746	343573317	571	0.7933	0.0718	0.0438	
156776420	156776734	314	0.9076	0.0127	0.0064	
279095816	279096053	237	0.8692	0.0591	0.0084	
157744135	157744517	382	0.6466	0.0654	0.1937	
158008307	158010033	1726	0.2161	0.5562	0.1842	
346983997	346984576	579	0.4387	0.0138	0.4991	
348249055	348249294	239	0.7741	0.0628	0.0167	
253792224	253792502	278	0.9317	0.0036	0.0	
253793035	253794807	1772	0.2077	0.4306	0.3284	
348813435	348815645	2210	0.3738	0.224	0.3276	
164114646	164114886	240	0.4958	0.0	0.4292	
350786596	350786856	260	0.0	0.0	1.0	
166531816	166532609	793	0.0	0.0	1.0	
258148640	258149149	509	0.8153	0.0255	0.0236	
167313639	167314109	470	0.7404	0.1723	0.017	
167975762	167976412	650	0.3615	0.2538	0.3385	
259904693	259905344	651	0.4916	0.2734	0.1997	
171292933	171293718	785	0.5796	0.2484	0.0866	
263375257	263375759	502	0.7649	0.0159	0.1255	
263622277	263622544	267	0.6255	0.2584	0.0487	
358194202	358194366	164	0.9024	0.0122	0.0	
172866644	172866954	310	0.7419	0.0419	0.1516	
174860792	174861507	715	0.5594	0.0853	0.2294	
174891933	174892448	515	0.3883	0.0447	0.5359	
266223320	266223744	424	0.5047	0.0189	0.4222	
175418067	175418325	258	0.6279	0.0233	0.2984	
266777471	266777758	287	0.8467	0.0	0.0662	
267135088	267135567	479	0.7307	0.023	0.1545	
176690457	176690765	308	0.8019	0.026	0.0357	
207245583	207246218	635	0.0488	0.1402	0.8031	
176973522	176974147	625	0.616	0.008	0.2912	
267991148	267991742	594	0.4731	0.0387	0.4512	
268090178	268090590	412	0.0	0.0	1.0	
268712148	268712496	348	0.0	0.0	1.0	
180147574	180147795	221	0.8326	0.0543	0.0045	
299806765	299807568	803	0.5293	0.0785	0.2914	
366186895	366187252	357	0.7059	0.0644	0.1653	
270719667	270719848	181	0.9448	0.0	0.011	
182525804	182526942	1138	0.1318	0.4938	0.2882	
184704900	184705080	180	0.8778	0.0167	0.0	
275757170	275758100	930	0.2978	0.3237	0.3462	
277035116	277035589	473	0.9641	0.0021	0.0106	
188338454	188338757	303	0.934	0.0033	0.0066	
189396970	189397566	596	0.3456	0.2869	0.3574	
190750107	190750632	525	0.3905	0.2133	0.3676	
192351732	192352041	309	0.8511	0.0421	0.0	
192520992	192522679	1687	0.2057	0.4908	0.2507	
282735187	282735506	319	0.8464	0.0251	0.0752	
282791802	282792123	321	0.8474	0.0312	0.0218	
193966887	193967147	260	0.8308	0.0192	0.0154	
