start	end	length	IDY	missing1	missing2	
100118677	100119713	1036	0.1998	0.5801	0.2017	
100120112	100121091	979	0.2952	0.286	0.3647	
100121477	100122527	1050	0.3162	0.4857	0.1686	
100152587	100153157	570	0.593	0.2018	0.086	
100163223	100163738	515	0.4252	0.0019	0.5495	
100503019	100503355	336	0.7143	0.1399	0.0327	
100611154	100611612	458	0.6987	0.0721	0.1528	
100611929	100612172	243	0.5391	0.1605	0.2305	
100685267	100686677	1410	0.2411	0.2369	0.4922	
100896656	100896992	336	0.8631	0.0208	0.0208	
10096067	10096335	268	0.709	0.0037	0.1903	
10111583	10112772	1189	0.7746	0.0235	0.1312	
101224274	101225822	1548	0.3068	0.3327	0.3366	
101319572	101319862	290	0.769	0.0241	0.069	
102484523	102485215	692	0.7991	0.1084	0.0289	
104673426	104673794	368	0.9185	0.019	0.0	
104844028	104844492	464	0.6228	0.0366	0.2349	
104880514	104880726	212	0.7358	0.0849	0.0802	
105006979	105007322	343	0.7668	0.0117	0.1574	
105007555	105008323	768	0.2669	0.5716	0.112	
105114419	105114993	574	0.4599	0.2613	0.2265	
105274019	105274670	651	0.3932	0.0061	0.553	
105441720	105442595	875	0.3074	0.0446	0.6034	
107514061	107514467	406	0.6724	0.064	0.1946	
107539445	107539610	165	0.8303	0.0	0.0242	
107660677	107661048	371	0.7736	0.0431	0.027	
10803695	10805987	2292	0.4346	0.25	0.2382	
108758278	108758943	665	0.5654	0.3128	0.0722	
109088148	109088365	217	0.8249	0.0922	0.0	
110171161	110172330	1169	0.1754	0.6621	0.1198	
110216856	110217475	619	0.8772	0.0145	0.0242	
110237345	110237672	327	0.5688	0.0214	0.3578	
110243038	110243436	398	0.907	0.0025	0.0101	
110253301	110254136	835	0.7066	0.0731	0.0946	
110412782	110412970	188	0.9255	0.0319	0.016	
111413593	111413925	332	0.9518	0.0	0.0	
111841919	111842234	315	0.8349	0.0349	0.0444	
111969872	111971287	1415	0.3887	0.2452	0.2862	
112142651	112142972	321	0.8474	0.0062	0.053	
112232478	112232856	378	0.7593	0.0265	0.1217	
112431871	112432325	454	0.7445	0.0352	0.152	
112438165	112439062	897	0.6689	0.0747	0.1873	
112733468	112733974	506	0.8953	0.0316	0.002	
112740194	112741239	1045	0.844	0.0431	0.0115	
112745232	112745629	397	0.5264	0.0227	0.3955	
112779660	112780622	962	0.6902	0.0042	0.236	
112788436	112789183	747	0.4779	0.158	0.332	
113470857	113471532	675	0.3304	0.2593	0.3659	
113486746	113487377	631	0.5214	0.0254	0.4089	
11353579	11354243	664	0.3133	0.012	0.6431	
113542956	113544247	1291	0.4415	0.1247	0.3811	
113550853	113551074	221	0.8824	0.0271	0.0362	
113568356	113570086	1730	0.2491	0.6121	0.1173	
113704544	113705154	610	0.5984	0.3	0.0328	
113969440	113970039	599	0.5392	0.0301	0.3589	
114002824	114003519	695	0.5799	0.0273	0.2964	
114302896	114303601	705	0.6496	0.0312	0.2681	
114304345	114304735	390	0.7179	0.0744	0.1205	
114366569	114367216	647	0.0	0.0	1.0	
114475394	114476796	1402	0.4044	0.5057	0.0428	
114560578	114560742	164	0.9024	0.0427	0.0122	
114615235	114615991	756	0.6944	0.1402	0.0648	
114635972	114636409	437	0.9497	0.0023	0.0092	
115048872	115049129	257	0.8716	0.0039	0.0389	
115201930	115203435	1505	0.6146	0.1116	0.1608	
115507349	115507515	166	0.9096	0.0361	0.012	
115560241	115560926	685	0.8803	0.0365	0.0088	
115574161	115575194	1033	0.666	0.1375	0.0823	
115673632	115674357	725	0.5628	0.0055	0.3834	
115702533	115703286	753	0.3745	0.4675	0.1262	
115793731	115794246	515	0.9126	0.0214	0.0155	
116426902	116427315	413	0.661	0.0847	0.1889	
116430501	116431313	812	0.7094	0.1441	0.0443	
116505693	116506622	929	0.5888	0.0592	0.282	
116650007	116650380	373	0.8177	0.0751	0.0456	
116929966	116930240	274	0.6569	0.0036	0.3175	
117075751	117076161	410	0.7049	0.0366	0.1488	
117345302	117345629	327	0.7615	0.0092	0.1223	
117413156	117413539	383	0.6762	0.0783	0.1514	
117639674	117642636	2962	0.0982	0.8626	0.0314	
118260393	118261313	920	0.3924	0.238	0.3196	
118358548	118360975	2427	0.3564	0.1372	0.4396	
118409899	118410091	192	0.8438	0.0521	0.0208	
118429643	118430833	1190	0.3092	0.2118	0.4168	
118432045	118432363	318	0.434	0.0252	0.4591	
118461210	118462537	1327	0.2057	0.3255	0.4491	
118895994	118897166	1172	0.4326	0.2671	0.2338	
118998862	119000242	1380	0.1384	0.4246	0.3812	
119001228	119001846	618	0.6133	0.0113	0.2476	
119005624	119006640	1016	0.3878	0.3789	0.1762	
119009032	119010015	983	0.2665	0.2564	0.4496	
119559530	119566029	6499	0.0468	0.9	0.0483	
120012154	120012868	714	0.1835	0.2731	0.5084	
120583615	120584417	802	0.4364	0.1284	0.3678	
120658588	120659162	574	0.4983	0.3833	0.0209	
120709524	120709916	392	0.6658	0.0179	0.2423	
120744873	120745536	663	0.4977	0.0302	0.3439	
121056007	121056679	672	0.3259	0.4107	0.2366	
121150610	121151747	1137	0.2753	0.299	0.3562	
121153482	121154461	979	0.6486	0.093	0.1399	
121326870	121327099	229	0.7293	0.0	0.2271	
121493278	121493609	331	0.5952	0.3142	0.0755	
121525618	121526616	998	0.4729	0.2064	0.2665	
122034718	122035885	1167	0.569	0.3025	0.0583	
122936856	122937697	841	0.3282	0.2485	0.3401	
123528979	123529171	192	0.9167	0.0208	0.0	
124004370	124004757	387	0.7674	0.0543	0.1189	
124233051	124233818	767	0.3807	0.3038	0.2725	
12467485	12468388	903	0.7841	0.021	0.1307	
126367013	126369816	2803	0.1316	0.7752	0.0703	
126451200	126452006	806	0.5782	0.0695	0.2184	
12667218	12667602	384	0.6641	0.0	0.2865	
1275378	1277049	1671	0.5446	0.2304	0.0928	
127995353	127996491	1138	0.4965	0.2329	0.1968	
12804818	12805324	506	0.666	0.0929	0.168	
128198607	128199727	1120	0.1964	0.6295	0.15	
129238686	129239422	736	0.4103	0.3601	0.163	
12925928	12927002	1074	0.6881	0.1229	0.0773	
12933877	12934751	874	0.7185	0.1648	0.0686	
12970981	12972330	1349	0.7665	0.0682	0.0578	
129727210	129729011	1801	0.3831	0.372	0.1843	
12985738	12986250	512	0.7031	0.0059	0.1777	
130077083	130077825	742	0.558	0.1846	0.1981	
13012567	13013510	943	0.7137	0.1166	0.0615	
130127884	130132999	5115	0.207	0.6651	0.0942	
130187927	130188270	343	0.7668	0.0058	0.2012	
130495090	130496592	1502	0.7011	0.0786	0.1185	
130684266	130684787	521	0.9712	0.0019	0.0019	
131266119	131266739	620	0.6258	0.0935	0.1758	
131484827	131485058	231	0.9004	0.026	0.0	
131612230	131613252	1022	0.8738	0.0342	0.0108	
131769602	131770099	497	0.9457	0.0	0.0141	
131784333	131784546	213	0.8826	0.0188	0.0094	
131834907	131835228	321	0.5826	0.2243	0.1121	
132123060	132123859	799	0.3329	0.1852	0.433	
132198273	132198748	475	0.5453	0.0168	0.3768	
132391565	132391824	259	0.8764	0.0232	0.0077	
132439960	132440665	705	0.5943	0.0979	0.2142	
132448715	132448912	197	0.9289	0.0203	0.0	
132454583	132454916	333	0.8889	0.027	0.006	
132479320	132479712	392	0.8954	0.0255	0.0281	
133014803	133015924	1121	0.5236	0.1508	0.2471	
133251045	133251309	264	0.7083	0.0303	0.1515	
133295858	133296707	849	0.3722	0.2721	0.2568	
133696750	133696984	234	0.6709	0.0598	0.1496	
133730737	133731032	295	0.9017	0.0136	0.0034	
133829796	133830412	616	0.5276	0.0081	0.388	
134939432	134940671	1239	0.2583	0.4988	0.2026	
135053542	135053923	381	0.7769	0.0105	0.0919	
135055239	135055689	450	0.8156	0.0267	0.0667	
135058416	135059238	822	0.3431	0.3504	0.2567	
135066609	135066831	222	0.8198	0.018	0.0721	
135102129	135102548	419	0.6874	0.031	0.1599	
135103167	135103862	695	0.3367	0.1439	0.4791	
135769662	135770304	642	0.4642	0.1511	0.3193	
136762886	136763702	816	0.4289	0.027	0.4767	
136769401	136770571	1170	0.3735	0.4402	0.1385	
136975517	136976328	811	0.455	0.2182	0.2503	
13702015	13702330	315	0.854	0.0159	0.0095	
137095650	137095970	320	0.7813	0.0344	0.1062	
137157274	137157896	622	0.7605	0.0611	0.1061	
137332019	137332673	654	0.2905	0.1391	0.5428	
137357103	137359665	2562	0.3673	0.2315	0.324	
137696826	137697748	922	0.4664	0.0846	0.3709	
1378540	1379041	501	0.8184	0.022	0.0399	
137912489	137913405	916	0.2293	0.595	0.1605	
138085344	138086101	757	0.8983	0.0066	0.0423	
138521957	138523007	1050	0.6171	0.0952	0.2038	
138785221	138785763	542	0.7712	0.0387	0.1052	
138870402	138870731	329	0.7933	0.0638	0.0152	
