PeakID (cmd=annotatePeaks.pl development_D1_p05FC1_melpUnique_D1down.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_D1_p05FC1_melpUnique_D1down_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
127	Hmel201011	2105142	2105576	+	0	NA	Intergenic	Intergenic	8384	ID=HMEL033069g1.t1-E2;Parent=HMEL033069g1.t1								
1801	Hmel213062	463053	463505	+	0	NA	Intergenic	Intergenic	-47347	ID=HMEL032112g1.t1-E1;Parent=HMEL032112g1.t1								
71	Hmel201009	1417494	1418532	+	0	NA	Intergenic	Intergenic	-35594	ID=HMEL030148g1.t1-E1;Parent=HMEL030148g1.t1								
1648	Hmel213005	56061	56308	+	0	NA	Intergenic	Intergenic	-2132	ID=HMEL009897-RA-E2;Parent=HMEL009897-RA								
1481	Hmel212001	3091715	3092209	+	0	NA	Intergenic	Intergenic	-30833	ID=HMEL031380g1.t1-E1;Parent=HMEL031380g1.t1								
2266	Hmel217004	3560723	3560919	+	0	NA	Intergenic	Intergenic	-27692	ID=HMEL010418g1.t1-E1;Parent=HMEL010418g1.t1								
1178	Hmel210004	5858896	5859378	+	0	NA	Intergenic	Intergenic	7762	ID=HMEL009011g1.t1-E1;Parent=HMEL009011g1.t1								
1387	Hmel211004	4115611	4116016	+	0	NA	Intergenic	Intergenic	8133	ID=HMEL015696g3.t1-E1;Parent=HMEL015696g3.t1								
512	Hmel205009	193179	193417	+	0	NA	Intergenic	Intergenic	3397	ID=HMEL008360g1.t1-E5;Parent=HMEL008360g1.t1								
1932	Hmel214029	760285	760624	+	0	NA	promoter-TSS (ID=HMEL011549-RA-E1;Parent=HMEL011549-RA)	-promoter-TSS (ID=HMEL011549-RA-E1;Parent=HMEL011549-RA)	-675	ID=HMEL011549-RA-E1;Parent=HMEL011549-RA								
463	Hmel204019	458438	458637	+	0	NA	Intergenic	Intergenic	-7207	ID=HMEL036512g1.t1-E1;Parent=HMEL036512g1.t1								
517	Hmel205011	12823	13279	+	0	NA	Intergenic	Intergenic	-1033	ID=HMEL036648g1.t1-E2;Parent=HMEL036648g1.t1								
458	Hmel204019	68006	68171	+	0	NA	Intergenic	Intergenic	2074	ID=HMEL004621g1.t1-E5;Parent=HMEL004621g1.t1								
2634	Hmel219018	2165105	2166626	+	0	NA	Intergenic	Intergenic	-11664	ID=HMEL005297g1.t1-E1;Parent=HMEL005297g1.t1								
1785	Hmel213052	38806	39758	+	0	NA	Intergenic	Intergenic	32656	ID=HMEL010907g1.t3-E36;Parent=HMEL010907g1.t3								
1250	Hmel210011	2560461	2561305	+	0	NA	promoter-TSS (ID=HMEL015931g3.t1-E1;Parent=HMEL015931g3.t1)	-promoter-TSS (ID=HMEL015931g3.t1-E1;Parent=HMEL015931g3.t1)	-1	ID=HMEL015931g3.t1-E1;Parent=HMEL015931g3.t1								
1363	Hmel211004	1592846	1593829	+	0	NA	promoter-TSS (ID=HMEL031062g1.t1-E4;Parent=HMEL031062g1.t1)	-promoter-TSS (ID=HMEL031062g1.t1-E4;Parent=HMEL031062g1.t1)	-225	ID=HMEL031062g1.t1-E4;Parent=HMEL031062g1.t1								
722	Hmel206011	5209	5967	+	0	NA	NA	NA	NA	NA								
2507	Hmel219003	1866489	1866806	+	0	NA	TTS (ID=HMEL034610g1.t1-E1;Parent=HMEL034610g1.t1)	-TTS (ID=HMEL034610g1.t1-E1;Parent=HMEL034610g1.t1)	1113	ID=HMEL034610g1.t1-E1;Parent=HMEL034610g1.t1								
1109	Hmel209007	4254575	4254730	+	0	NA	Intergenic	Intergenic	-3404	ID=HMEL009261g4.t1-E1;Parent=HMEL009261g4.t1								
2067	Hmel216006	14470	14957	+	0	NA	Intergenic	Intergenic	-20539	ID=HMEL013766g1.t1-E1;Parent=HMEL013766g1.t1								
1630	Hmel213004	1278781	1279263	+	0	NA	TTS (ID=HMEL031781g1.t2-E1;Parent=HMEL031781g1.t2)	-TTS (ID=HMEL031781g1.t2-E1;Parent=HMEL031781g1.t2)	808	ID=HMEL031781g1.t2-E1;Parent=HMEL031781g1.t2								
1597	Hmel212013	2845007	2845256	+	0	NA	Intergenic	Intergenic	-3701	ID=HMEL012642g2.t1-E3;Parent=HMEL012642g2.t1								
728	Hmel206012	265432	265974	+	0	NA	Intergenic	Intergenic	4762	ID=HMEL037103g1.t1-E1;Parent=HMEL037103g1.t1								
