start	end	length	IDY	missing1	missing2	
111642417	111643179	762	0.8635	0.0144	0.0367	
117386941	117387534	593	0.7555	0.0944	0.0607	
129869305	129870284	979	0.5546	0.0838	0.3044	
132511703	132512054	351	0.8832	0.0228	0.0	
134167593	134168856	1263	0.4996	0.1164	0.3096	
134205184	134205493	309	0.6667	0.1424	0.1521	
134206188	134206914	726	0.5096	0.259	0.1088	
137044134	137045183	1049	0.5968	0.0724	0.2297	
139500402	139501393	991	0.5288	0.0343	0.3491	
139700405	139700601	196	0.9541	0.0	0.0	
140599834	140600268	434	0.841	0.0161	0.0161	
144319735	144319958	223	0.9013	0.0269	0.0045	
144896469	144896895	426	0.8404	0.0117	0.0211	
171151664	171152570	906	0.4812	0.1457	0.2837	
172783961	172785258	1297	0.3362	0.2421	0.3392	
174952288	174953526	1238	0.4136	0.2544	0.2779	
18128782	18129186	404	0.6609	0.0421	0.2302	
18141710	18143558	1848	0.7051	0.04	0.1423	
192596972	192597822	850	0.5141	0.1529	0.2082	
204124464	204124946	482	0.5747	0.1722	0.1598	
22298738	22299038	300	0.9167	0.0267	0.0	
233835731	233835951	220	0.8955	0.0136	0.0273	
242698963	242699569	606	0.3201	0.4208	0.2096	
242932145	242932561	416	0.8245	0.012	0.0313	
243077214	243077991	777	0.7979	0.0463	0.0656	
243150299	243150963	664	0.7771	0.0331	0.0738	
253657026	253657384	358	0.9106	0.0112	0.0363	
253758338	253758752	414	0.9638	0.0024	0.0048	
253801815	253802772	957	0.4431	0.2142	0.2581	
256786823	256787311	488	0.5799	0.2193	0.1619	
257158886	257159360	474	0.6498	0.097	0.1582	
257946082	257946427	345	0.9275	0.0116	0.0058	
267120940	267121611	671	0.2444	0.2966	0.4382	
268534543	268534865	322	0.8665	0.0248	0.0124	
272235114	272235409	295	0.8847	0.0136	0.0	
292464929	292465880	951	0.6803	0.062	0.0789	
336122932	336123360	428	0.6168	0.0631	0.1986	
340919852	340920340	488	0.8607	0.0492	0.0082	
35159960	35160897	937	0.5912	0.0608	0.2305	
361191485	361191783	298	0.9195	0.0034	0.0	
361195076	361195468	392	0.7832	0.0408	0.0587	
365911113	365911741	628	0.8965	0.0159	0.0111	
37222531	37223079	548	0.5785	0.1113	0.177	
384530858	384531141	283	0.8869	0.0	0.0212	
391617174	391617433	259	0.9112	0.027	0.0	
400490501	400491792	1291	0.8125	0.0968	0.0364	
404389480	404390047	567	0.6825	0.1111	0.0899	
439944218	439945293	1075	0.5377	0.3005	0.0791	
447825196	447826018	822	0.6071	0.1582	0.1448	
454985437	454985698	261	0.908	0.0153	0.0	
49136864	49137007	143	0.9371	0.0	0.0	
53446486	53446783	297	0.7071	0.0303	0.1919	
59367338	59368121	783	0.6462	0.1111	0.1226	
70944421	70944713	292	0.6438	0.0137	0.2397	
7491706	7492263	557	0.5063	0.1454	0.2855	
86237711	86239056	1345	0.5888	0.1078	0.1554	
88211458	88212863	1405	0.6676	0.1189	0.1231	
