start	end	length	IDY	missing1	missing2	
104737540	104737969	429	0.6876	0.0023	0.2331	
104857205	104857479	274	0.8029	0.0036	0.1423	
187335650	187336314	664	0.3027	0.2877	0.3705	
107860346	107860949	603	0.529	0.1791	0.1857	
111684632	111684873	241	0.9502	0.0041	0.0166	
111735943	111736292	349	0.8911	0.0201	0.0229	
195132100	195132760	660	0.4061	0.1909	0.3652	
113636173	113636822	649	0.7057	0.0924	0.114	
114592216	114592401	185	0.9622	0.0	0.0	
119891527	119892219	692	0.0	0.0	1.0	
120670715	120671534	819	0.9512	0.0073	0.0024	
231373276	231374641	1365	0.5319	0.2022	0.1553	
129405247	129405548	301	0.7076	0.0199	0.1063	
132420791	132421090	299	0.8194	0.0301	0.0268	
138912565	138913298	733	0.7108	0.0246	0.1869	
141051451	141052534	1083	0.7276	0.0674	0.121	
144799811	144800219	408	0.4926	0.2108	0.1961	
146399544	146399971	427	0.0	0.0	1.0	
307228556	307228999	443	0.5214	0.2641	0.1558	
227471309	227471815	506	0.7609	0.0395	0.1206	
152645889	152646759	870	0.2977	0.2115	0.4448	
152671938	152672926	988	0.3188	0.0304	0.584	
315145958	315146460	502	0.7849	0.0339	0.0637	
315146816	315147196	380	0.6316	0.0184	0.3053	
152748075	152748461	386	0.6554	0.0363	0.1528	
317544171	317544911	740	0.3135	0.1649	0.4622	
236856793	236857422	629	0.5342	0.07	0.3164	
162432944	162433242	298	0.1007	0.0	0.5503	
171135761	171137992	2231	0.4908	0.1013	0.3187	
171289255	171290288	1033	0.4521	0.1665	0.2652	
253361043	253361574	531	0.6403	0.1149	0.1224	
17230115	17230714	599	0.8047	0.0367	0.0668	
172409995	172410397	402	0.9104	0.0	0.0174	
255591266	255591562	296	0.8412	0.0236	0.0676	
174287222	174288386	1164	0.1847	0.4794	0.317	
174559484	174560716	1232	0.2638	0.1656	0.5276	
175195026	175195532	506	0.5158	0.0771	0.3024	
175321374	175322311	937	0.3959	0.3127	0.2241	
176705236	176705926	690	0.0	0.0	1.0	
348785736	348786013	277	0.8953	0.0217	0.0036	
263458950	263459407	457	0.6149	0.2779	0.0635	
184038253	184039847	1594	0.2039	0.638	0.0985	
269480186	269480408	222	0.9279	0.0	0.0045	
190021210	190022282	1072	0.8172	0.0289	0.041	
438800311	438800988	677	0.7518	0.0133	0.1773	
360958942	360959270	328	0.8018	0.1006	0.0244	
360959575	360960003	428	0.9136	0.0164	0.0023	
197648657	197649280	623	0.4286	0.0626	0.4591	
201513611	201513975	364	0.0	0.0	1.0	
449015004	449015443	439	0.6036	0.18	0.1686	
205039988	205040409	421	0.2945	0.2067	0.4584	
235227301	235227819	518	0.4305	0.0058	0.4788	
290138539	290139231	692	0.6272	0.289	0.0246	
381287151	381288595	1444	0.4688	0.2943	0.1551	
212039599	212040505	906	0.4658	0.2263	0.2241	
212155728	212156351	623	0.3291	0.5377	0.0787	
212587673	212588890	1217	0.5629	0.1068	0.1783	
292753742	292754815	1073	0.3924	0.2992	0.2321	
382383946	382384764	818	0.5844	0.1553	0.1846	
215036358	215036933	575	0.4417	0.1339	0.3774	
30757792	30758686	894	0.2192	0.0101	0.7282	
230305616	230305971	355	0.8394	0.0028	0.062	
315141286	315142109	823	0.3913	0.0535	0.4824	
234401770	234402058	288	0.7882	0.0174	0.0903	
