start	end	length	IDY	missing1	missing2	
116467690	116469346	1656	0.1178	0.6938	0.1775	
22947694	22947998	304	0.7401	0.0099	0.1579	
26973597	26974582	985	0.2518	0.3949	0.3208	
34221381	34222819	1438	0.2065	0.6008	0.1293	
37512166	37512458	292	0.8733	0.0	0.0548	
51719938	51720292	354	0.7599	0.0	0.0932	
51744238	51745211	973	0.2672	0.371	0.3155	
151080772	151081120	348	0.8707	0.0	0.0287	
338252806	338253084	278	0.0	0.0	1.0	
75557624	75558805	1181	0.2777	0.5563	0.1135	
359758620	359759534	914	0.2396	0.454	0.2845	
86055376	86055594	218	0.7202	0.0505	0.1422	
189276275	189276716	441	0.6916	0.0317	0.1451	
192596314	192596806	492	0.7886	0.002	0.1321	
104967412	104968238	826	0.4528	0.178	0.2712	
139224837	139225773	936	0.4562	0.0481	0.4231	
139749097	139749294	197	0.8731	0.0	0.0	
147788324	147788941	617	0.47	0.3485	0.1102	
371635984	371636610	626	0.5176	0.3722	0.0479	
461747188	461747402	214	0.0	0.0	1.0	
189568310	189568522	212	0.9198	0.0	0.0	
283953763	283954144	381	0.8268	0.0262	0.1076	
211671985	211673592	1607	0.3727	0.4686	0.1145	
346560998	346561395	397	0.5768	0.1083	0.204	
316587854	316589164	1310	0.0	0.0	1.0	
416338137	416338615	478	0.6653	0.1109	0.1234	
277776094	277776716	622	0.8859	0.0096	0.0338	
250879078	250879267	189	0.6984	0.0529	0.1534	
383703571	383703791	220	0.8636	0.0227	0.0	
455016499	455016991	492	0.9228	0.0203	0.0183	
277126899	277127877	978	0.7249	0.0818	0.0777	
471811910	471812451	541	0.0	0.0	1.0	
383305132	383313428	8296	0.0239	0.932	0.0411	
359604164	359604457	293	0.8874	0.0068	0.0239	
436543229	436544280	1051	0.5205	0.1142	0.2892	
390731000	390731498	498	0.5803	0.2831	0.0823	
460790519	460792423	1904	0.0977	0.5961	0.2894	
397265170	397265352	182	0.8516	0.0	0.0879	
414672357	414673187	830	0.6988	0.1181	0.1169	
474748120	474748348	228	0.9868	0.0	0.0	
479736298	479736615	317	0.6782	0.1073	0.1167	
449191122	449191301	179	0.8939	0.0503	0.0056	
461779468	461780071	603	0.2106	0.0663	0.6733	
384570692	384571334	642	0.7181	0.0389	0.1199	
468182093	468182378	285	0.0	0.0	1.0	
18128782	18129186	404	0.6609	0.0421	0.2302	
18141710	18143558	1848	0.7051	0.04	0.1423	
35284068	35284863	795	0.4843	0.4038	0.0642	
102152223	102153393	1170	0.2675	0.2462	0.4248	
134261375	134261895	520	0.5365	0.0865	0.3173	
139500402	139501393	991	0.5288	0.0343	0.3491	
174952288	174953526	1238	0.4136	0.2544	0.2779	
192596972	192597822	850	0.5141	0.1529	0.2082	
253690796	253691600	804	0.602	0.0522	0.2463	
256786823	256787311	488	0.5799	0.2193	0.1619	
271626186	271627073	887	0.372	0.2401	0.3382	
317655430	317656208	778	0.8715	0.0116	0.0308	
336122932	336123360	428	0.6168	0.0631	0.1986	
390616061	390616570	509	0.7701	0.0354	0.0275	
392296496	392296778	282	0.9362	0.0	0.0142	
