start	end	length	IDY	missing1	missing2	
98936289	98936506	217	0.0	0.0	1.0	
4568437	4568776	339	0.9027	0.0059	0.0206	
6070275	6070666	391	0.7315	0.156	0.0332	
104714803	104715251	448	0.6585	0.2277	0.0491	
104737540	104737969	429	0.6876	0.0023	0.2331	
104889026	104889355	329	0.8571	0.0	0.0486	
104998866	104999225	359	0.7465	0.0641	0.1365	
105129962	105131297	1335	0.4127	0.3326	0.1873	
14082167	14082847	680	0.9088	0.0294	0.0132	
291327646	291327913	267	0.8427	0.0225	0.0487	
16147326	16147493	167	0.9521	0.0	0.006	
16974851	16975405	554	0.7924	0.0181	0.1047	
113538230	113540858	2628	0.1024	0.8451	0.043	
18126467	18126872	405	0.9111	0.0173	0.0247	
115831409	115831711	302	0.8543	0.0	0.0728	
20306464	20306676	212	0.9104	0.0	0.0142	
117633617	117633943	326	0.9233	0.0	0.0399	
119110586	119110738	152	0.9474	0.0263	0.0	
23022929	23023153	224	0.9375	0.0134	0.0	
23144977	23147410	2433	0.6313	0.2791	0.0501	
23168396	23168718	322	0.9503	0.0	0.0	
23277129	23277317	188	0.9043	0.0106	0.0053	
23410766	23410939	173	0.9075	0.0116	0.0	
23607549	23607909	360	0.9083	0.0056	0.0083	
24942459	24943815	1356	0.337	0.5229	0.0605	
25593550	25593768	218	0.9633	0.0	0.0	
29518144	29518442	298	0.7584	0.0403	0.047	
29677573	29677993	420	0.7214	0.0143	0.1452	
29723185	29723460	275	0.8764	0.0	0.04	
29746412	29746969	557	0.763	0.149	0.0431	
31950910	31951125	215	0.8093	0.0093	0.0279	
136017051	136017391	340	0.0	0.0	1.0	
40477301	40477507	206	0.8786	0.0194	0.0049	
139606854	139607689	835	0.6623	0.079	0.0994	
139790917	139791316	399	0.6115	0.0952	0.2356	
44991624	44992393	769	0.3589	0.2172	0.3758	
46011021	46012176	1155	0.4407	0.2944	0.213	
143729416	143730338	922	0.0	0.0	1.0	
145851608	145852000	392	0.9107	0.0051	0.0485	
146925523	146925861	338	0.8077	0.0325	0.074	
147013413	147013595	182	0.8736	0.0165	0.0275	
147197565	147198839	1274	0.8885	0.0204	0.0361	
147246465	147246669	204	0.9314	0.0	0.0098	
53473281	53473798	517	0.5184	0.0793	0.3598	
53519651	53520129	478	0.4895	0.1255	0.3117	
54285152	54291342	6190	0.525	0.0981	0.2955	
149363039	149364290	1251	0.5412	0.1487	0.2406	
59452604	59453490	886	0.3623	0.0011	0.5903	
152847161	152847616	455	0.5011	0.1582	0.2769	
152848182	152849116	934	0.2591	0.2056	0.5	
59733810	59734172	362	0.8702	0.0193	0.0525	
59904714	59904943	229	0.8952	0.0	0.0175	
59923184	59924030	846	0.6359	0.1962	0.1324	
59977010	59977394	384	0.6615	0.0807	0.1901	
157280380	157280954	574	0.8101	0.0261	0.0348	
66916177	66917148	971	0.3471	0.2008	0.4037	
67799705	67801356	1651	0.338	0.3592	0.2362	
68872755	68872952	197	0.9543	0.0	0.0	
69772198	69772524	326	0.5613	0.0767	0.3129	
70227983	70228517	534	0.3052	0.5543	0.0861	
70229288	70229815	527	0.0	0.0	1.0	
70524236	70525251	1015	0.3813	0.2906	0.2995	
163890708	163891353	645	0.5287	0.2078	0.1829	
71016079	71016345	266	0.9135	0.0188	0.0376	
72488068	72488486	418	0.9067	0.0	0.0072	
75670130	75670754	624	0.2981	0.2724	0.4022	
76664910	76665159	249	0.8313	0.0161	0.1044	
355322360	355322724	364	0.9505	0.0	0.0	
78358482	78358737	255	0.8078	0.0235	0.0863	
170905671	170906120	449	0.7728	0.0045	0.1292	
84662103	84662499	396	0.7449	0.0253	0.1414	
85338345	85339189	844	0.6066	0.0083	0.327	
85343800	85344248	448	0.7969	0.0268	0.0491	
86146950	86147719	769	0.4304	0.0936	0.4291	
176324278	176324907	629	0.5739	0.1415	0.2258	
267568406	267569512	1106	0.0	0.0	1.0	
87472427	87473152	725	0.6745	0.1159	0.0717	
87473911	87474475	564	0.734	0.0816	0.0142	
87848834	87849403	569	0.768	0.007	0.1388	
88014625	88015260	635	0.378	0.3213	0.2535	
368817829	368818073	244	0.918	0.0	0.0205	
276783551	276783985	434	0.7373	0.0	0.2212	
96037607	96038157	550	0.7473	0.0455	0.1255	
188980520	188980883	363	0.6529	0.1625	0.0854	
99718351	99718584	233	0.8498	0.03	0.0258	
191783378	191784090	712	0.382	0.3076	0.2514	
192493686	192494183	497	0.5775	0.1489	0.169	
282752126	282752520	394	0.6954	0.1168	0.0533	
194069830	194070396	566	0.7102	0.0954	0.1095	
194196178	194196725	547	0.0219	0.0018	0.9653	
104715813	104716239	426	0.4671	0.3122	0.1972	
105118158	105118852	694	0.5	0.3818	0.0245	
477929079	477929785	706	0.5921	0.2493	0.0637	
107969986	107970911	925	0.5784	0.1362	0.1719	
291322569	291322764	195	0.9282	0.0	0.0103	
291324695	291324906	211	0.9336	0.0	0.0095	
112338200	112338756	556	0.4155	0.1871	0.3309	
112372952	112373836	884	0.6867	0.0962	0.121	
206216882	206217189	307	0.8762	0.0	0.0358	
114618751	114619301	550	0.7691	0.0345	0.0873	
393665114	393665776	662	0.2915	0.5831	0.0982	
208178395	208178601	206	0.9612	0.0	0.0097	
121454733	121455009	276	0.8514	0.0109	0.0543	
127109297	127110350	1053	0.2251	0.623	0.1064	
403048022	403048201	179	0.905	0.0	0.0279	
132624189	132624979	790	0.4152	0.2785	0.2595	
437127574	437127852	278	0.8741	0.0288	0.0288	
135991844	135992042	198	0.8737	0.0202	0.0404	
136007477	136008158	681	0.0	0.0	1.0	
136954795	136955017	222	0.7973	0.1036	0.009	
137150101	137150865	764	0.4411	0.4869	0.0157	
226785063	226786125	1062	0.2213	0.4915	0.2618	
139078913	139079603	690	0.3246	0.5203	0.1246	
139558177	139558488	311	0.5659	0.1383	0.2251	
172255123	172255665	542	0.4742	0.0203	0.4391	
233554331	233554666	335	0.5522	0.1224	0.2627	
174872984	174873220	236	0.75	0.0551	0.0763	
175095221	175095404	183	0.9071	0.0055	0.0219	
145385227	145385414	187	0.9144	0.0053	0.0	
146714299	146714590	291	0.0	0.0	1.0	
146810860	146811816	956	0.386	0.3473	0.2343	
146857195	146857407	212	0.9151	0.0283	0.0142	
146914973	146915442	469	0.7271	0.0682	0.1023	
147184014	147184350	336	0.869	0.0387	0.003	
239081258	239081680	422	0.3175	0.0308	0.6185	
151377681	151377928	247	0.6599	0.0	0.2834	
151502145	151502671	526	0.8612	0.0114	0.0437	
243039118	243039424	306	0.8203	0.0556	0.0294	
243053957	243054190	233	0.8369	0.0386	0.0601	
151845200	151845849	649	0.5716	0.265	0.0817	
339235446	339236431	985	0.3168	0.3513	0.3025	
153851837	153852115	278	0.946	0.0072	0.0	
155901874	155902259	385	0.5818	0.0156	0.2857	
434158354	434158626	272	0.6949	0.1728	0.0294	
251043247	251044212	965	0.5979	0.2736	0.0518	
348869127	348869970	843	0.5872	0.0925	0.172	
166946173	166946350	177	0.9266	0.0	0.0169	
168442847	168443272	425	0.6024	0.2965	0.0447	
168487629	168487945	316	0.8576	0.0633	0.0222	
259904693	259905344	651	0.4916	0.2734	0.1997	
355028565	355029188	623	0.4077	0.4446	0.0803	
169862511	169862768	257	0.8872	0.0117	0.0078	
358194202	358194366	164	0.9024	0.0122	0.0	
173454350	173454683	333	0.8949	0.003	0.03	
448611988	448612478	490	0.7694	0.0367	0.1204	
174826792	174827046	254	0.8386	0.0591	0.0354	
266931350	266931651	301	0.9435	0.01	0.0	
267616913	267617378	465	0.8581	0.0086	0.0301	
176756834	176757101	267	0.7378	0.0112	0.1311	
176973522	176974147	625	0.616	0.008	0.2912	
267991148	267991742	594	0.4731	0.0387	0.4512	
268712148	268712496	348	0.0	0.0	1.0	
270632414	270632756	342	0.9035	0.0497	0.0	
366186895	366187252	357	0.7059	0.0644	0.1653	
181515711	181516069	358	0.7123	0.0196	0.2263	
183949825	183950081	256	0.832	0.0	0.0977	
186417226	186417877	651	0.619	0.1567	0.1367	
306456618	306456784	166	0.6747	0.0301	0.2229	
283270978	283271856	878	0.3098	0.5137	0.1196	
283919632	283919980	348	0.4425	0.0316	0.4914	
283924866	283925068	202	0.8713	0.0891	0.0	
316554428	316554917	489	0.7751	0.0245	0.0982	
474906065	474906368	303	0.9109	0.0561	0.0033	
475011469	475012578	1109	0.8431	0.0271	0.0505	
289965486	289965830	344	0.7733	0.032	0.1366	
289966528	289966812	284	0.8415	0.0035	0.0528	
231378207	231378874	667	0.2954	0.3148	0.3673	
393663418	393664511	1093	0.2498	0.3843	0.3385	
208534078	208534496	418	0.8158	0.0885	0.0072	
299794887	299795209	322	0.7329	0.0497	0.1366	
396205330	396205582	252	0.9008	0.0198	0.004	
213037883	213038071	188	0.9043	0.0	0.0213	
399917757	399918365	608	0.3832	0.3536	0.2072	
214478025	214478348	323	0.4644	0.0062	0.4737	
342060861	342062387	1526	0.1291	0.846	0.0183	
402763659	402765278	1619	0.2007	0.727	0.0611	
404359287	404359834	547	0.6673	0.1188	0.1718	
313046966	313047368	402	0.6095	0.0	0.3557	
352287056	352287322	266	0.906	0.0263	0.0	
225824835	225827200	2365	0.1044	0.8089	0.0529	
416586293	416586886	593	0.5346	0.2125	0.1771	
361606260	361606545	285	0.8281	0.014	0.0842	
236772420	236773090	670	0.0463	0.2612	0.6806	
237053197	237055002	1805	0.2986	0.5934	0.0748	
337836737	337837501	764	0.322	0.4018	0.2448	
426340867	426341097	230	0.9609	0.0	0.0	
243039817	243040214	397	0.6448	0.0353	0.2141	
273622446	273622966	520	0.9077	0.0019	0.025	
306209342	306209880	538	0.71	0.0223	0.1803	
433068520	433068799	279	0.5125	0.0466	0.2867	
345846175	345846372	197	0.9391	0.0	0.0	
434139210	434139765	555	0.3459	0.573	0.0523	
280655633	280656243	610	0.6787	0.1213	0.1246	
282758456	282758739	283	0.9541	0.0	0.0	
438666467	438666656	189	0.836	0.0423	0.0423	
438789888	438790714	826	0.839	0.0363	0.0412	
474914756	474915113	357	0.5714	0.1204	0.2213	
354819094	354819643	549	0.8616	0.0164	0.0237	
354994731	354995145	414	0.9372	0.0072	0.0	
261216628	261216940	312	0.9038	0.016	0.016	
261639372	261639781	409	0.7873	0.1565	0.0147	
387295878	387296223	345	0.9159	0.0029	0.0203	
357412522	357412895	373	0.7399	0.0456	0.0804	
416694411	416695078	667	0.3898	0.4813	0.087	
416695825	416695998	173	0.896	0.0116	0.0578	
449701605	449702158	553	0.3309	0.5081	0.1103	
267581416	267582223	807	0.5613	0.1066	0.2862	
267972912	267973434	522	0.7069	0.0517	0.0709	
268066728	268067041	313	0.7923	0.0032	0.1118	
393314578	393315158	580	0.519	0.0672	0.3621	
423784174	423784919	745	0.4805	0.1879	0.2376	
282799719	282801540	1821	0.257	0.5942	0.1214	
283143198	283143861	663	0.911	0.0045	0.0106	
371826314	371826703	389	0.0	0.0	1.0	
373963348	373964370	1022	0.1898	0.636	0.1605	
433784134	433790049	5915	0.1156	0.8774	0.0005	
433869464	433869821	357	0.8571	0.0224	0.0532	
404391194	404391596	402	0.7388	0.1642	0.0473	
466455872	466456795	923	0.1896	0.2784	0.4832	
416384540	416385088	548	0.5091	0.2099	0.2263	
282730220	282730774	554	0.8195	0.0162	0.0433	
282793193	282793659	466	0.7618	0.0	0.1974	
283336110	283336873	763	0.5806	0.0197	0.3159	
283342594	283343074	480	0.9042	0.0333	0.0083	
418533878	418534927	1049	0.7445	0.0867	0.0858	
418623092	418623601	509	0.609	0.1415	0.1906	
284251822	284252433	611	0.982	0.0	0.0	
294485511	294486301	790	0.3759	0.3253	0.2253	
401205272	401205827	555	0.7369	0.0757	0.0414	
433121344	433124161	2817	0.2176	0.6468	0.1083	
394643205	394644317	1112	0.4568	0.1358	0.3687	
387609981	387610523	542	0.7731	0.0461	0.048	
291355851	291356177	326	0.5399	0.0153	0.3957	
419774558	419775059	501	0.7365	0.0319	0.1657	
376636806	376637321	515	0.4117	0.2816	0.2893	
407501250	407502001	751	0.1917	0.4101	0.3848	
303848755	303848925	170	0.8235	0.0706	0.0059	
437820490	437821153	663	0.7451	0.0332	0.0814	
399626098	399627301	1203	0.4705	0.3026	0.1721	
382788209	382789229	1020	0.2627	0.3863	0.3245	
462060111	462060293	182	0.4615	0.0	0.533	
433232405	433233144	739	0.6292	0.1313	0.1313	
345997231	345997454	223	0.9596	0.0045	0.0	
418765996	418766669	673	0.2927	0.581	0.0862	
357413149	357413537	388	0.8144	0.0077	0.0567	
368547704	368548254	550	0.5727	0.0	0.4	
406697093	406698571	1478	0.2639	0.6766	0.0298	
449719476	449719972	496	0.4476	0.2258	0.2843	
434137788	434138302	514	0.3774	0.5467	0.0506	
421408393	421408997	604	0.2185	0.5927	0.1656	
436989178	436989532	354	0.7345	0.1186	0.113	
474842611	474843188	577	0.8354	0.0364	0.0121	
466678064	466678289	225	0.9467	0.0	0.0	
439667655	439667931	276	0.6993	0.0181	0.2391	
416702404	416703641	1237	0.2951	0.4956	0.1617	
369132495	369133732	1237	0.4931	0.3096	0.1657	
416700835	416701030	195	0.9692	0.0	0.0	
359559921	359560340	419	0.8592	0.0263	0.0191	
461266376	461267771	1395	0.2975	0.0717	0.5591	
475027737	475028358	621	0.5201	0.3043	0.095	
353305515	353306042	527	0.0	0.0	1.0	
7247060	7247407	347	0.9625	0.0	0.0115	
8204552	8204817	265	0.9396	0.0151	0.0	
8486919	8487233	314	0.8089	0.0223	0.051	
10114311	10114720	409	0.868	0.0147	0.0342	
10274938	10275239	301	0.9269	0.0	0.0066	
10309328	10309635	307	0.9577	0.0033	0.0163	
10966382	10966729	347	0.634	0.2421	0.0461	
11162666	11162988	322	0.9068	0.0	0.0435	
12367478	12367875	397	0.8892	0.0151	0.0302	
12525733	12526036	303	0.9538	0.0099	0.0	
12585704	12586131	427	0.8712	0.0351	0.0258	
16099052	16100049	997	0.9077	0.0211	0.0321	
23023503	23024670	1167	0.9529	0.0	0.0	
23051093	23051635	542	0.4299	0.5498	0.0055	
23208835	23209198	363	0.6942	0.0193	0.1983	
23499803	23500098	295	0.8814	0.0	0.0373	
23926419	23927243	824	0.4636	0.3519	0.0947	
26724961	26726839	1878	0.3823	0.2881	0.2833	
27223372	27223651	279	0.914	0.0	0.0	
29673987	29674887	900	0.5811	0.0167	0.3133	
29692131	29692390	259	0.9266	0.0039	0.027	
37257592	37258192	600	0.8033	0.0233	0.0617	
37870863	37871471	608	0.6102	0.0378	0.2171	
45355992	45357319	1327	0.2585	0.3587	0.3331	
55222260	55222800	540	0.8481	0.037	0.0407	
58688221	58688485	264	0.8712	0.0303	0.0114	
59564657	59565109	452	0.8296	0.0708	0.0265	
59565662	59566194	532	0.8759	0.015	0.015	
59686870	59687280	410	0.8585	0.0098	0.0293	
59730714	59731276	562	0.8665	0.0231	0.0285	
59732679	59732954	275	0.7527	0.1673	0.0073	
59911667	59912011	344	0.8953	0.0	0.0262	
60144913	60145687	774	0.8747	0.0065	0.0413	
70508044	70508337	293	0.7031	0.0444	0.2082	
70794553	70794944	391	0.9258	0.0051	0.0051	
72229303	72229770	467	0.8929	0.0107	0.0171	
73345346	73345654	308	0.776	0.0487	0.0682	
79445379	79445646	267	0.8951	0.0225	0.0075	
87126509	87127093	584	0.8168	0.0257	0.0976	
88710904	88711354	450	0.6467	0.1556	0.08	
93350077	93350251	174	0.9195	0.0115	0.0287	
94043614	94044097	483	0.9565	0.0041	0.0	
95481925	95482292	367	0.812	0.0327	0.0272	
98617052	98617245	193	0.886	0.0	0.0104	
104739756	104739963	207	0.9227	0.029	0.0048	
104834243	104834652	409	0.8362	0.0	0.0538	
104851748	104852821	1073	0.6729	0.1249	0.1333	
104855563	104856080	517	0.8801	0.0251	0.0155	
104959058	104960166	1108	0.3935	0.3682	0.1742	
104990088	104990766	678	0.7537	0.0413	0.1298	
104995219	104995733	514	0.8638	0.037	0.0467	
105002236	105002777	541	0.9187	0.0018	0.0074	
105115693	105116164	471	0.7473	0.0531	0.1062	
105123835	105124080	245	0.8898	0.0327	0.0122	
105150744	105150959	215	0.8093	0.1628	0.0186	
107511762	107512242	480	0.8271	0.0083	0.0875	
107735382	107735700	318	0.805	0.0031	0.1101	
110243038	110243436	398	0.907	0.0025	0.0101	
113484259	113484778	519	0.7996	0.0212	0.0405	
116608525	116608790	265	0.883	0.0151	0.034	
119409647	119410084	437	0.8627	0.0114	0.0297	
119710101	119710479	378	0.6772	0.2275	0.0397	
121731209	121731475	266	0.8684	0.0602	0.0	
132656963	132657269	306	0.8954	0.0229	0.0033	
139354917	139355130	213	0.9624	0.0141	0.0	
139647948	139648190	242	0.7479	0.0413	0.1529	
142309392	142310038	646	0.5898	0.1238	0.192	
142353476	142353777	301	0.8804	0.0166	0.01	
146738123	146738804	681	0.8767	0.0426	0.0206	
146739367	146739779	412	0.8277	0.0437	0.0558	
146809722	146810738	1016	0.7589	0.0295	0.1024	
146859775	146860442	667	0.916	0.0195	0.0165	
146867308	146867844	536	0.8451	0.0224	0.0504	
146875578	146875978	400	0.85	0.05	0.0175	
146897228	146899726	2498	0.9183	0.0112	0.0164	
146906251	146906776	525	0.9676	0.0	0.0076	
146921504	146922876	1372	0.7733	0.0736	0.0918	
146932996	146933720	724	0.6602	0.0815	0.1837	
146934728	146936100	1372	0.5211	0.1735	0.2369	
146941569	146942149	580	0.7293	0.0448	0.1293	
146942620	146943217	597	0.675	0.1558	0.1256	
146952631	146953107	476	0.813	0.0441	0.0273	
147018086	147018270	184	0.8804	0.0	0.0435	
147034597	147034784	187	0.9679	0.0	0.0	
