start	end	length	IDY	missing1	missing2	
134261375	134261895	520	0.5365	0.0865	0.3173	
105123835	105124080	245	0.8898	0.0327	0.0122	
168542153	168542463	310	0.9129	0.0	0.0129	
392236840	392237346	506	0.9348	0.004	0.0079	
10114311	10114720	409	0.868	0.0147	0.0342	
104851748	104852821	1073	0.6729	0.1249	0.1333	
105123835	105124080	245	0.8898	0.0327	0.0122	
110243038	110243436	398	0.907	0.0025	0.0101	
146738123	146738804	681	0.8767	0.0426	0.0206	
146809722	146810738	1016	0.7589	0.0295	0.1024	
146906251	146906776	525	0.9676	0.0	0.0076	
146921504	146922876	1372	0.7733	0.0736	0.0918	
146942620	146943217	597	0.675	0.1558	0.1256	
147230768	147232334	1566	0.9189	0.0102	0.016	
163916442	163916921	479	0.8413	0.0063	0.0418	
168219260	168219506	246	0.9878	0.0	0.0	
168469708	168470451	743	0.8183	0.0713	0.0188	
168541273	168541502	229	0.9083	0.0655	0.0	
168542153	168542463	310	0.9129	0.0	0.0129	
168625592	168626900	1308	0.9197	0.0191	0.0084	
168631996	168632582	586	0.7986	0.0341	0.0836	
176276748	176278229	1481	0.6462	0.1357	0.1215	
181514166	181514928	762	0.6286	0.2822	0.0236	
207040644	207041052	408	0.8799	0.0417	0.0368	
211678603	211679397	794	0.5189	0.3451	0.1045	
212062036	212062650	614	0.5081	0.202	0.1857	
234753163	234753372	209	0.9426	0.0096	0.0048	
255799862	255800428	566	0.8322	0.0848	0.0106	
27223372	27223651	279	0.914	0.0	0.0	
282804381	282804799	418	0.8445	0.0263	0.0167	
282805203	282805500	297	0.9259	0.0	0.0337	
343129633	343130141	508	0.7854	0.0177	0.0433	
345203543	345204368	825	0.5709	0.1188	0.2073	
345991608	345991970	362	0.9254	0.011	0.0166	
345993195	345993737	542	0.9041	0.0074	0.0314	
351326517	351327378	861	0.5714	0.072	0.1986	
359310292	359310733	441	0.7846	0.0794	0.0113	
359500494	359501242	748	0.6711	0.1618	0.1123	
364618063	364618374	311	0.9196	0.0161	0.0	
368495697	368496075	378	0.8466	0.045	0.0185	
389919232	389920036	804	0.8682	0.051	0.0224	
390310136	390310445	309	0.9417	0.0162	0.0	
390359960	390361130	1170	0.8197	0.0282	0.0726	
392236840	392237346	506	0.9348	0.004	0.0079	
436783993	436784656	663	0.8326	0.0	0.0452	
438804902	438805072	170	0.8824	0.0	0.0471	
449694448	449695011	563	0.7798	0.0497	0.087	
59565662	59566194	532	0.8759	0.015	0.015	
72229303	72229770	467	0.8929	0.0107	0.0171	
8204552	8204817	265	0.9396	0.0151	0.0	
98617052	98617245	193	0.886	0.0	0.0104	
