start	end	length	IDY	missing1	missing2	
7695221	7695436	215	0.9395	0.0	0.0047	
12796555	12796801	246	0.8659	0.0488	0.0122	
139524720	139527618	2898	0.1018	0.7681	0.109	
88227110	88227467	357	0.5994	0.0084	0.2885	
107435612	107435877	265	0.7623	0.0755	0.0264	
111698201	111698661	460	0.7043	0.1739	0.037	
209988718	209989705	987	0.3333	0.2614	0.3425	
136757906	136758788	882	0.1984	0.7676	0.0193	
141223216	141224160	944	0.2924	0.4703	0.197	
242552913	242553080	167	0.6467	0.0299	0.2216	
253792224	253792502	278	0.9317	0.0036	0.0	
174630799	174631433	634	0.459	0.1151	0.3817	
270659665	270659907	242	0.905	0.0372	0.0083	
184038253	184039847	1594	0.2039	0.638	0.0985	
283461589	283461838	249	0.8996	0.008	0.0201	
399078443	399078597	154	0.8117	0.039	0.0909	
316807772	316809360	1588	0.5094	0.0239	0.3923	
445820461	445820700	239	0.6485	0.0711	0.1674	
341171156	341172764	1608	0.3315	0.2531	0.3234	
331060009	331060414	405	0.0	0.0	1.0	
423765520	423765805	285	0.8632	0.0561	0.0035	
253843821	253844015	194	0.933	0.0206	0.0	
361243522	361243729	207	0.8937	0.0628	0.0	
276251717	276252083	366	0.8415	0.0792	0.0164	
339653438	339654088	650	0.0	0.0	1.0	
419418041	419418642	601	0.4875	0.0649	0.386	
346139070	346139284	214	0.7383	0.0	0.1869	
381479904	381480591	687	0.1994	0.2198	0.524	
348329099	348329382	283	0.9364	0.0	0.0106	
415840421	415841687	1266	0.1382	0.816	0.0284	
403286474	403287117	643	0.5194	0.1415	0.2255	
418514241	418514428	187	0.9091	0.0	0.0267	
57705742	57706477	735	0.3728	0.4449	0.1279	
79854209	79854964	755	0.6278	0.0225	0.2358	
85440556	85440815	259	0.8263	0.0232	0.0077	
105134018	105134989	971	0.4645	0.2533	0.1905	
147179859	147180077	218	0.8853	0.0413	0.0046	
152748929	152749190	261	0.8391	0.0268	0.0038	
184721201	184722229	1028	0.4183	0.4115	0.0953	
209169345	209169794	449	0.931	0.0156	0.0134	
262333125	262334146	1021	0.7659	0.0793	0.0323	
313181101	313181382	281	0.669	0.0142	0.21	
384530858	384531141	283	0.8869	0.0	0.0212	
403302290	403303518	1228	0.6938	0.0684	0.1034	
415767816	415767955	139	0.9281	0.036	0.0	
424525687	424526464	777	0.3616	0.5251	0.0695	
427400865	427401381	516	0.4554	0.124	0.374	
