start	end	length	IDY	missing1	missing2	
388449	389394	945	0.4963	0.1249	0.2698	
907236	908612	1376	0.4702	0.0988	0.3241	
1164739	1168020	3281	0.0899	0.335	0.559	
1667812	1668817	1005	0.4318	0.1383	0.3502	
1786476	1786647	171	0.7836	0.152	0.0351	
2005072	2005840	768	0.6836	0.1042	0.0924	
2062205	2062696	491	0.7515	0.0204	0.1303	
2218344	2219811	1467	0.4751	0.122	0.3292	
2220037	2220387	350	0.5543	0.4086	0.0	
2273272	2273432	160	0.8187	0.1187	0.0	
2419822	2420594	772	0.7163	0.0557	0.0855	
2590859	2591006	147	0.9796	0.0068	0.0	
2652497	2653123	626	0.5607	0.1901	0.1677	
2664566	2665020	454	0.7555	0.0176	0.1806	
2678640	2678972	332	0.5633	0.3886	0.009	
2896062	2897752	1690	0.4343	0.1231	0.3663	
3180319	3180822	503	0.0	1.0	0.0	
3378709	3379152	443	0.1806	0.7381	0.0023	
3687544	3688658	1114	0.6921	0.0637	0.1275	
3717316	3717796	480	0.7562	0.0813	0.0917	
3774904	3775130	226	0.8717	0.0531	0.0221	
3871193	3871752	559	0.7209	0.1646	0.025	
4310159	4311679	1520	0.3901	0.0908	0.4303	
4417723	4418564	841	0.4078	0.0892	0.4376	
4471796	4474273	2477	0.2644	0.2087	0.4719	
4474994	4475851	857	0.042	0.1995	0.7386	
4671943	4672258	315	0.5905	0.1873	0.0762	
4723001	4723351	350	0.46	0.4771	0.0029	
5148137	5148424	287	0.5436	0.4007	0.0	
5245271	5245748	477	0.7778	0.0482	0.0294	
5297848	5297993	145	0.9241	0.0276	0.0	
5719381	5720315	934	0.4004	0.0428	0.5075	
6241145	6242654	1509	0.393	0.175	0.3824	
7155743	7156276	533	0.3433	0.1614	0.4559	
7302008	7303569	1561	0.1666	0.0647	0.7527	
7621640	7621926	286	0.0	1.0	0.0	
7626629	7626868	239	0.9163	0.0	0.0209	
7870816	7871025	209	0.488	0.3493	0.0766	
8233402	8234681	1279	0.62	0.122	0.154	
8478874	8480143	1269	0.5524	0.0898	0.3042	
8501139	8501562	423	0.6123	0.0969	0.2482	
8852472	8855079	2607	0.2754	0.2417	0.4534	
9214732	9214924	192	0.8698	0.0208	0.0	
10562159	10563483	1324	0.2009	0.1458	0.6231	
10786763	10791141	4378	0.1448	0.2266	0.6085	
11063820	11065898	2078	0.6386	0.0977	0.1877	
11122531	11127349	4818	0.0548	0.0376	0.9058	
11127789	11127940	151	0.8742	0.053	0.0	
11596087	11596234	147	0.7891	0.034	0.0068	
12658462	12659679	1217	0.355	0.1331	0.4782	
12864286	12865085	799	0.7134	0.1402	0.025	
13284466	13285757	1291	0.4214	0.1464	0.3718	
13287582	13288011	429	0.7786	0.0163	0.1096	
13681102	13681368	266	0.8835	0.0113	0.015	
14062887	14063127	240	0.9667	0.0	0.0	
14324383	14327572	3189	0.3728	0.3308	0.2446	
14328003	14328322	319	0.8182	0.0219	0.0502	
14348342	14348631	289	0.8789	0.0692	0.0	
14893807	14894070	263	0.943	0.0152	0.0076	
15117708	15118348	640	0.4984	0.0344	0.4391	
15251126	15251681	555	0.4919	0.2937	0.1153	
15276151	15277322	1171	0.3988	0.1033	0.4637	
15495971	15496769	798	0.6855	0.0576	0.1516	
16071841	16072865	1024	0.4717	0.0361	0.4531	
16325615	16325810	195	0.9333	0.0	0.0	
16379950	16380115	165	0.7455	0.0485	0.0424	
16601826	16602107	281	0.9395	0.0	0.0	
16628316	16628470	154	0.8961	0.0	0.0195	
16763906	16764219	313	0.9425	0.0032	0.0096	
16765688	16767526	1838	0.6349	0.0424	0.278	
16781619	16781861	242	0.9669	0.0	0.0041	
16787684	16788115	431	0.5731	0.0882	0.2483	
16788969	16789491	522	0.4713	0.2299	0.2126	
17275502	17276060	558	0.7563	0.1398	0.0753	
17676390	17676886	496	0.5444	0.3266	0.0706	
17940283	17940755	472	0.3644	0.5572	0.0339	
17953847	17955677	1830	0.4585	0.094	0.3858	
17994470	17994715	245	0.9347	0.0	0.0286	
18256038	18256623	585	0.788	0.0803	0.053	
18553795	18553981	186	0.7688	0.1613	0.0215	
18833013	18833338	325	0.7723	0.0215	0.0646	
19280800	19282032	1232	0.6453	0.0252	0.2719	
19297490	19298658	1168	0.1943	0.0976	0.7046	
19559885	19560302	417	0.0	1.0	0.0	
19985293	19985990	697	0.3874	0.089	0.4706	
20174529	20175050	521	0.7965	0.0077	0.0345	
20529224	20529476	252	0.5	0.3294	0.0794	
21059164	21059415	251	0.0	1.0	0.0	
21381057	21382065	1008	0.6498	0.0804	0.1776	
21391139	21392429	1290	0.2333	0.0775	0.6612	
21708504	21709553	1049	0.8084	0.0477	0.0515	
21712109	21712302	193	0.5648	0.3161	0.0259	
21784332	21784495	163	0.908	0.0	0.0123	
21812829	21813198	369	0.8509	0.0488	0.0298	
22024716	22025215	499	0.0701	0.6653	0.2485	
22082340	22082929	589	0.0	1.0	0.0	
22221000	22221135	135	0.9259	0.0148	0.0	
22255371	22256838	1467	0.4813	0.1629	0.2434	
22808778	22810386	1608	0.4409	0.069	0.4335	
23107107	23107475	368	0.356	0.1549	0.413	
23140011	23140405	394	0.0	1.0	0.0	
23235712	23236226	514	0.4883	0.4455	0.0097	
23474689	23475061	372	0.8011	0.0161	0.0538	
23550063	23550907	844	0.2464	0.0415	0.6919	
23554642	23555374	732	0.8552	0.0656	0.0178	
23771226	23771379	153	0.9869	0.0	0.0	
23883137	23883330	193	0.8394	0.0207	0.0052	
24752684	24752903	219	0.8721	0.0046	0.0365	
24793870	24794996	1126	0.2682	0.1998	0.5098	
24817054	24817251	197	0.9137	0.0254	0.0051	
25102651	25104806	2155	0.2817	0.097	0.5893	
25285298	25285905	607	0.2982	0.0988	0.5618	
