start	end	length	IDY	missing1	missing2	
104850956	104851361	405	0.8346	0.0148	0.0395	
104873673	104875349	1676	0.5823	0.1372	0.1826	
105629377	105629572	195	0.9128	0.0	0.0103	
107590438	107590783	345	0.6609	0.0087	0.2696	
199627136	199627415	279	0.7061	0.043	0.172	
109790513	109792815	2302	0.1321	0.6268	0.2037	
111420930	111421380	450	0.7444	0.1044	0.0489	
112414101	112414449	348	0.5776	0.2155	0.1638	
113943472	113943878	406	0.0	0.0	1.0	
113996137	113996319	182	0.8956	0.022	0.0055	
204495162	204495319	157	0.9363	0.0	0.0	
114646485	114647432	947	0.4424	0.3949	0.1119	
1153910	1154351	441	0.678	0.0499	0.2063	
116823158	116823673	515	0.6466	0.068	0.1922	
121333433	121333767	334	0.7066	0.009	0.2246	
121397881	121398057	176	0.9659	0.0114	0.0	
12337650	12338223	573	0.2251	0.6684	0.0995	
215729723	215730111	388	0.7809	0.0851	0.0979	
129617769	129618227	458	0.81	0.0633	0.0197	
133251898	133253369	1471	0.2352	0.6948	0.0442	
135066609	135066831	222	0.8198	0.018	0.0721	
135504220	135504582	362	0.9282	0.011	0.0083	
136775831	136776366	535	0.3888	0.4168	0.1421	
13680550	13681809	1259	0.2518	0.1104	0.6037	
137177586	137177925	339	0.8555	0.0	0.059	
137835415	137835656	241	0.5021	0.0	0.4647	
139558177	139558488	311	0.5659	0.1383	0.2251	
139567011	139567657	646	0.5882	0.1207	0.1548	
139705268	139705450	182	0.8407	0.0769	0.022	
140785787	140786661	874	0.7231	0.0812	0.0744	
229031996	229032440	444	0.7815	0.0113	0.1419	
325114465	325115186	721	0.3578	0.294	0.3107	
145209361	145210069	708	0.452	0.4506	0.024	
146371147	146371339	192	0.9375	0.0	0.0313	
147798087	147799620	1533	0.1057	0.8043	0.0848	
149153228	149153607	379	0.5937	0.0211	0.2665	
151033344	151034187	843	0.4437	0.1518	0.3179	
151080772	151081120	348	0.8707	0.0	0.0287	
151081332	151081567	235	0.8213	0.0043	0.1064	
344009242	344010328	1086	0.2541	0.511	0.198	
345863929	345864507	578	0.4291	0.4983	0.0173	
