PeakID (cmd=annotatePeaks.pl development_D1_p05FC1_shared_D1down_eratoCoords.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_D1_p05FC1_shared_D1down_eratoCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1049	Herato2001	3587678	3588889	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.107-E1;Parent=evm.model.Herato2001.107)	-promoter-TSS (ID=evm.model.Herato2001.107-E1;Parent=evm.model.Herato2001.107)	96	ID=evm.model.Herato2001.107-E1;Parent=evm.model.Herato2001.107								
127	Herato0701	9630076	9630683	+	0	NA	Intergenic	Intergenic	10312	ID=evm.model.Herato0701.398.1-E3;Parent=evm.model.Herato0701.398.1								
71	Herato0101	10247183	10248339	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.297-E1;Parent=evm.model.Herato0101.297)	-promoter-TSS (ID=evm.model.Herato0101.297-E1;Parent=evm.model.Herato0101.297)	-210	ID=evm.model.Herato0101.297-E1;Parent=evm.model.Herato0101.297								
882	Herato1805	3492561	3492891	+	0	NA	Intergenic	Intergenic	21449	ID=evm.model.Herato1805.101-E5;Parent=evm.model.Herato1805.101								
1050	Herato2001	3629240	3629444	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.112-E5;Parent=evm.model.Herato2001.112)	-promoter-TSS (ID=evm.model.Herato2001.112-E5;Parent=evm.model.Herato2001.112)	112	ID=evm.model.Herato2001.112-E4;Parent=evm.model.Herato2001.112								
560	Herato1301	2592462	2593654	+	0	NA	Intergenic	Intergenic	-13619	ID=evm.model.Herato1301.64-E4;Parent=evm.model.Herato1301.64								
1178	Herato0310	7286691	7287071	+	0	NA	Intergenic	Intergenic	-16142	ID=evm.model.Herato0310.180-E1;Parent=evm.model.Herato0310.180								
898	Herato1805	8993461	8994207	+	0	NA	Intergenic	Intergenic	-2473	ID=evm.model.Herato1805.266.1-E1;Parent=evm.model.Herato1805.266.1								
798	Herato1701	6264069	6264502	+	0	NA	Intergenic	Intergenic	-23056	ID=evm.model.Herato1701.175.1-E1;Parent=evm.model.Herato1701.175.1								
1031	Herato2001	1484340	1485005	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.28-E5;Parent=evm.model.Herato2001.28)	-promoter-TSS (ID=evm.model.Herato2001.28-E5;Parent=evm.model.Herato2001.28)	61	ID=evm.model.Herato2001.28-E5;Parent=evm.model.Herato2001.28								
512	Herato1202	14617808	14618549	+	0	NA	promoter-TSS (ID=evm.model.Herato1202.567-E3;Parent=evm.model.Herato1202.567)	-promoter-TSS (ID=evm.model.Herato1202.567-E3;Parent=evm.model.Herato1202.567)	-114	ID=evm.model.Herato1202.567.2.3-E3;Parent=evm.model.Herato1202.567.2.3								
1273	Herato0101	7930145	7930618	+	0	NA	Intergenic	Intergenic	11924	ID=evm.model.Herato0101.239-E13;Parent=evm.model.Herato0101.239								
463	Herato1202	2208608	2209221	+	0	NA	Intergenic	Intergenic	-3151	ID=evm.model.Herato1202.75-E2;Parent=evm.model.Herato1202.75								
517	Herato1202	14838825	14839383	+	0	NA	Intergenic	Intergenic	2401	ID=evm.model.Herato1202.572-E2;Parent=evm.model.Herato1202.572								
458	Herato1202	841840	842045	+	0	NA	Intergenic	Intergenic	8975	ID=evm.model.Herato1202.38.1-E1;Parent=evm.model.Herato1202.38.1								
451	Herato1108	11979369	11980005	+	0	NA	Intergenic	Intergenic	-3821	ID=evm.model.Herato1108.512-E2;Parent=evm.model.Herato1108.512								
454	Herato0101	18850942	18851231	+	0	NA	Intergenic	Intergenic	22473	ID=evm.model.Herato0101.746-E1;Parent=evm.model.Herato0101.746								
1250	Herato0503	4586646	4586963	+	0	NA	promoter-TSS (ID=evm.model.Herato0503.132-E3;Parent=evm.model.Herato0503.132)	-promoter-TSS (ID=evm.model.Herato0503.132-E3;Parent=evm.model.Herato0503.132)	-574	ID=evm.model.Herato0503.132.1-E2;Parent=evm.model.Herato0503.132.1								
722	Herato0209	455096	455280	+	0	NA	Intergenic	Intergenic	1739	ID=evm.model.Herato0209.29.1-E2;Parent=evm.model.Herato0209.29.1								
634	Herato1408	1817942	1818669	+	0	NA	Intergenic	Intergenic	10811	ID=evm.model.Herato1408.58.1-E1;Parent=evm.model.Herato1408.58.1								
1109	Herato2001	14419422	14419925	+	0	NA	Intergenic	Intergenic	8908	ID=evm.model.Herato2001.568-E8;Parent=evm.model.Herato2001.568								
578	Herato1301	6710440	6711310	+	0	NA	Intergenic	Intergenic	-11700	ID=evm.model.Herato1301.247-E1;Parent=evm.model.Herato1301.247								
695	Herato1507	3320550	3320914	+	0	NA	Intergenic	Intergenic	3141	ID=evm.model.Herato1507.127-E1;Parent=evm.model.Herato1507.127								
978	Herato1904	3367027	3367528	+	0	NA	Intergenic	Intergenic	-41435	ID=evm.model.Herato1904.118-E1;Parent=evm.model.Herato1904.118								
728	Herato1601	5027322	5027567	+	0	NA	Intergenic	Intergenic	-6855	ID=evm.model.Herato1601.107-E2;Parent=evm.model.Herato1601.107								
1244	Herato0503	4394809	4395257	+	0	NA	Intergenic	Intergenic	89398	ID=evm.model.Herato0503.130-E12;Parent=evm.model.Herato0503.130								
742	Herato1603	2412637	2413266	+	0	NA	Intergenic	Intergenic	6948	ID=evm.model.Herato1603.132-E3;Parent=evm.model.Herato1603.132								
378	Herato1007	4785133	4785531	+	0	NA	TTS (ID=evm.model.Herato1007.194-E22;Parent=evm.model.Herato1007.194)	-TTS (ID=evm.model.Herato1007.194-E22;Parent=evm.model.Herato1007.194)	801	ID=evm.model.Herato1007.194.1-E21;Parent=evm.model.Herato1007.194.1								
325	Herato1005	2360681	2362117	+	0	NA	Intergenic	Intergenic	-5834	ID=evm.model.Herato1005.116-E3;Parent=evm.model.Herato1005.116								
29	Herato0606	2892244	2892412	+	0	NA	Intergenic	Intergenic	-6922	ID=evm.model.Herato0606.89-E4;Parent=evm.model.Herato0606.89								
889	Herato1805	5748644	5748996	+	0	NA	Intergenic	Intergenic	31426	ID=evm.model.Herato1805.157-E2;Parent=evm.model.Herato1805.157								
350	Herato1007	1015432	1015946	+	0	NA	Intergenic	Intergenic	-13760	ID=evm.model.Herato1007.41-E1;Parent=evm.model.Herato1007.41								
1233	Herato0503	3017225	3017737	+	0	NA	Intergenic	Intergenic	-14359	ID=evm.model.Herato0503.113-E1;Parent=evm.model.Herato0503.113								
540	Herato1202	19210289	19210712	+	0	NA	Intergenic	Intergenic	6405	ID=evm.model.Herato1202.776-E18;Parent=evm.model.Herato1202.776								
1162	Herato0310	440178	441274	+	0	NA	Intergenic	Intergenic	-7677	ID=evm.model.Herato0310.10-E7;Parent=evm.model.Herato0310.10								
58	Herato0606	5879554	5880150	+	0	NA	Intergenic	Intergenic	-6731	ID=evm.model.Herato0606.202.4-E1;Parent=evm.model.Herato0606.202.4								
684	Herato1505	1344635	1345065	+	0	NA	Intergenic	Intergenic	-16529	ID=evm.model.Herato1505.48-E2;Parent=evm.model.Herato1505.48								
211	Herato0821	2248165	2248549	+	0	NA	Intergenic	Intergenic	1731	ID=evm.model.Herato0821.84-E6;Parent=evm.model.Herato0821.84								
153	Herato0701	14603940	14604604	+	0	NA	Intergenic	Intergenic	13166	ID=evm.model.Herato0701.665-E1;Parent=evm.model.Herato0701.665								
861	Herato1805	920282	920970	+	0	NA	Intergenic	Intergenic	56685	ID=evm.model.Herato1805.55-E5;Parent=evm.model.Herato1805.55								
337	Herato1005	3474068	3474415	+	0	NA	Intergenic	Intergenic	8232	ID=evm.model.Herato1005.180-E7;Parent=evm.model.Herato1005.180								
101	Herato0701	3850797	3851414	+	0	NA	Intergenic	Intergenic	4265	ID=evm.model.Herato0701.183.1-E2;Parent=evm.model.Herato0701.183.1								
340	Herato0101	16643346	16643654	+	0	NA	Intergenic	Intergenic	119920	ID=evm.model.Herato0101.644.1.1-E9;Parent=evm.model.Herato0101.644.1.1								
76	Herato0101	10317691	10318978	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.299.1-E1;Parent=evm.model.Herato0101.299.1)	-promoter-TSS (ID=evm.model.Herato0101.299.1-E1;Parent=evm.model.Herato0101.299.1)	73	ID=evm.model.Herato0101.299.1-E1;Parent=evm.model.Herato0101.299.1								
311	Herato1005	941367	941563	+	0	NA	Intergenic	Intergenic	6446	ID=evm.model.Herato1005.59.1-E1;Parent=evm.model.Herato1005.59.1								
982	Herato1904	4634005	4634453	+	0	NA	Intergenic	Intergenic	10487	ID=evm.model.Herato1904.155_evm.model.Herato1904.156-E1;Parent=evm.model.Herato1904.155_evm.model.Herato1904.156								
571	Herato1301	4863945	4864326	+	0	NA	promoter-TSS (ID=evm.model.Herato1301.138-E8;Parent=evm.model.Herato1301.138)	-promoter-TSS (ID=evm.model.Herato1301.138-E8;Parent=evm.model.Herato1301.138)	-602	ID=evm.model.Herato1301.138-E8;Parent=evm.model.Herato1301.138								
1214	Herato0411	5054924	5055118	+	0	NA	Intergenic	Intergenic	-3012	ID=evm.model.Herato0411.116.2.3-E1;Parent=evm.model.Herato0411.116.2.3								
1190	Herato0401	1382319	1382848	+	0	NA	Intergenic	Intergenic	-4178	ID=evm.model.Herato0401.26-E7;Parent=evm.model.Herato0401.26								
825	Herato1703	670052	670929	+	0	NA	promoter-TSS (ID=evm.model.Herato1703.5-E11;Parent=evm.model.Herato1703.5)	-promoter-TSS (ID=evm.model.Herato1703.5-E11;Parent=evm.model.Herato1703.5)	-314	ID=evm.model.Herato1703.5-E11;Parent=evm.model.Herato1703.5								
389	Herato0101	17405734	17405917	+	0	NA	Intergenic	Intergenic	2343	ID=evm.model.Herato0101.679-E2;Parent=evm.model.Herato0101.679								
917	Herato1807	2061780	2062647	+	0	NA	Intergenic	Intergenic	-9037	ID=evm.model.Herato1807.40-E3;Parent=evm.model.Herato1807.40								
495	Herato1202	9162468	9163984	+	0	NA	Intergenic	Intergenic	2015	ID=evm.model.Herato1202.371-E1;Parent=evm.model.Herato1202.371								
1171	Herato0310	3773054	3773385	+	0	NA	Intergenic	Intergenic	-1667	ID=evm.model.Herato0310.93-E5;Parent=evm.model.Herato0310.93								
1123	Herato2101	2977531	2978355	+	0	NA	Intergenic	Intergenic	-44501	ID=evm.model.Herato2101.110-E1;Parent=evm.model.Herato2101.110								
966	Herato1904	1178879	1179170	+	0	NA	Intergenic	Intergenic	3832	ID=evm.model.Herato1904.42-E1;Parent=evm.model.Herato1904.42								
992	Herato1904	7628489	7629751	+	0	NA	promoter-TSS (ID=evm.model.Herato1904.266-E2;Parent=evm.model.Herato1904.266)	-promoter-TSS (ID=evm.model.Herato1904.266-E2;Parent=evm.model.Herato1904.266)	-264	ID=evm.model.Herato1904.266-E2;Parent=evm.model.Herato1904.266								
758	Herato1603	3839803	3840448	+	0	NA	Intergenic	Intergenic	-34919	ID=evm.model.Herato1603.118.1-E1;Parent=evm.model.Herato1603.118.1								
236	Herato0901	5323334	5324081	+	0	NA	Intergenic	Intergenic	65334	ID=evm.model.Herato0901.145-E5;Parent=evm.model.Herato0901.145								
706	Herato1507	7516022	7516791	+	0	NA	TTS (ID=evm.model.Herato1507.262-E2;Parent=evm.model.Herato1507.262)	-TTS (ID=evm.model.Herato1507.262-E2;Parent=evm.model.Herato1507.262)	368	ID=evm.model.Herato1507.262-E2;Parent=evm.model.Herato1507.262								
218	Herato0901	1609527	1609878	+	0	NA	Intergenic	Intergenic	5102	ID=evm.model.Herato0901.59-E1;Parent=evm.model.Herato0901.59								
1172	Herato0310	4998404	4998999	+	0	NA	Intergenic	Intergenic	15741	ID=evm.model.Herato0310.122-E3;Parent=evm.model.Herato0310.122								
14	Herato0601	1566933	1567857	+	0	NA	Intergenic	Intergenic	7568	ID=evm.model.Herato0601.20-E1;Parent=evm.model.Herato0601.20								
1259	Herato0503	6693371	6694658	+	0	NA	promoter-TSS (ID=evm.model.Herato0503.230.3-E1;Parent=evm.model.Herato0503.230.3)	-promoter-TSS (ID=evm.model.Herato0503.230.3-E1;Parent=evm.model.Herato0503.230.3)	16	ID=evm.model.Herato0503.230.3-E1;Parent=evm.model.Herato0503.230.3								
834	Herato1703	1163372	1163760	+	0	NA	Intergenic	Intergenic	7153	ID=evm.model.Herato1703.19-E2;Parent=evm.model.Herato1703.19								
285	Herato1003	4170639	4172033	+	0	NA	TTS (ID=evm.model.Herato1003.126-E1;Parent=evm.model.Herato1003.126)	-TTS (ID=evm.model.Herato1003.126-E1;Parent=evm.model.Herato1003.126)	334	ID=evm.model.Herato1003.126-E1;Parent=evm.model.Herato1003.126								
234	Herato0901	5270370	5270563	+	0	NA	Intergenic	Intergenic	12093	ID=evm.model.Herato0901.145-E5;Parent=evm.model.Herato0901.145								
