PeakID (cmd=annotatePeaks.pl development_D1_p05FC1_shared_D1down_melpCoords.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_D1_p05FC1_shared_D1down_melpCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1049	Hmel220003	2527851	2528887	+	0	NA	promoter-TSS (ID=HMEL012547g1.t1-E2;Parent=HMEL012547g1.t1)	-promoter-TSS (ID=HMEL012547g1.t1-E2;Parent=HMEL012547g1.t1)	35	ID=HMEL012547g1.t1-E2;Parent=HMEL012547g1.t1								
127	Hmel207008	125476	125965	+	0	NA	Intergenic	Intergenic	7376	ID=HMEL011586g1.t1-E3;Parent=HMEL011586g1.t1								
71	Hmel201009	1751365	1753035	+	0	NA	Intergenic	Intergenic	21488	ID=HMEL030156g1.t1-E1;Parent=HMEL030156g1.t1								
882	Hmel218018	723133	723574	+	0	NA	Intergenic	Intergenic	15584	ID=HMEL016237g1.t1-E5;Parent=HMEL016237g1.t1								
1050	Hmel220003	2563543	2563754	+	0	NA	Intergenic	Intergenic	-3241	ID=HMEL012545g1.t1-E1;Parent=HMEL012545g1.t1								
560	Hmel213004	1598307	1599765	+	0	NA	Intergenic	Intergenic	-12214	ID=HMEL031787g1.t1-E1;Parent=HMEL031787g1.t1								
1178	Hmel203069	252851	253145	+	0	NA	Intergenic	Intergenic	-12529	ID=HMEL036175g1.t1-E1;Parent=HMEL036175g1.t1								
898	Hmel218018	4694729	4696144	+	0	NA	Intergenic	Intergenic	-2856	ID=HMEL034433g1.t1-E1;Parent=HMEL034433g1.t1								
798	Hmel217004	1735147	1735422	+	0	NA	TTS (ID=HMEL033802g1.t1-E1;Parent=HMEL033802g1.t1)	-TTS (ID=HMEL033802g1.t1-E1;Parent=HMEL033802g1.t1)	156	ID=HMEL033802g1.t1-E2;Parent=HMEL033802g1.t1								
1031	Hmel220003	932729	933372	+	0	NA	promoter-TSS (ID=HMEL017007g1.t1-E5;Parent=HMEL017007g1.t1)	-promoter-TSS (ID=HMEL017007g1.t1-E5;Parent=HMEL017007g1.t1)	89	ID=HMEL017007g1.t2-E5;Parent=HMEL017007g1.t2								
512	Hmel212011	695278	696044	+	0	NA	promoter-TSS (ID=HMEL012680g1.t1-E3;Parent=HMEL012680g1.t1)	-promoter-TSS (ID=HMEL012680g1.t1-E3;Parent=HMEL012680g1.t1)	-6	ID=HMEL012680g1.t3-E3;Parent=HMEL012680g1.t3								
1273	Hmel201007	1916768	1917188	+	0	NA	Intergenic	Intergenic	-9156	ID=HMEL004328g1.t1-E3;Parent=HMEL004328g1.t1								
463	Hmel212001	1998825	1999526	+	0	NA	Intergenic	Intergenic	-3391	ID=HMEL016806g1.t1-E2;Parent=HMEL016806g1.t1								
517	Hmel212011	903509	904004	+	0	NA	promoter-TSS (ID=HMEL012674g5.t1-E3;Parent=HMEL012674g5.t1)	-promoter-TSS (ID=HMEL012674g5.t1-E3;Parent=HMEL012674g5.t1)	44	ID=HMEL012674g5.t1-E3;Parent=HMEL012674g5.t1								
458	Hmel212001	1036673	1036949	+	0	NA	Intergenic	Intergenic	12021	ID=HMEL010993g1.t1-E2;Parent=HMEL010993g1.t1								
451	Hmel211012	992244	993019	+	0	NA	Intergenic	Intergenic	-3390	ID=HMEL015096g1.t1-E2;Parent=HMEL015096g1.t1								
454	Hmel201011	2553400	2553668	+	0	NA	Intergenic	Intergenic	13637	ID=HMEL033076g1.t1-E2;Parent=HMEL033076g1.t1								
1250	Hmel205012	1277696	1278004	+	0	NA	promoter-TSS (ID=HMEL017902g2.t1-E1;Parent=HMEL017902g2.t1)	-promoter-TSS (ID=HMEL017902g2.t1-E1;Parent=HMEL017902g2.t1)	65	ID=HMEL017902g2.t1-E1;Parent=HMEL017902g2.t1								
722	Hmel202006	436050	436218	+	0	NA	Intergenic	Intergenic	1368	ID=HMEL008332g1.t1-E1;Parent=HMEL008332g1.t1								
634	Hmel214008	1138620	1139448	+	0	NA	Intergenic	Intergenic	10653	ID=HMEL032339g1.t1-E2;Parent=HMEL032339g1.t1								
1109	Hmel220014	114241	114844	+	0	NA	Intergenic	Intergenic	8077	ID=HmelUGT351A1-E8;Parent=HmelUGT351A1								
578	Hmel213022	24139	25111	+	0	NA	Intergenic	Intergenic	2854	ID=HMEL031907g1.t1-E1;Parent=HMEL031907g1.t1								
695	Hmel215031	102808	103083	+	0	NA	Intergenic	Intergenic	2811	ID=HMEL032787g1.t1-E1;Parent=HMEL032787g1.t1								
978	Hmel219003	5211318	5211777	+	0	NA	Intergenic	Intergenic	7051	ID=HMEL034658g1.t1-E2;Parent=HMEL034658g1.t1								
728	Hmel216009	585301	585485	+	0	NA	Intergenic	Intergenic	-3039	ID=HMEL033493g1.t1-E1;Parent=HMEL033493g1.t1								
1244	Hmel205012	1118438	1118710	+	0	NA	Intergenic	Intergenic	69940	ID=HMEL017894g4.t1-E10;Parent=HMEL017894g4.t1								
742	Hmel216011	903651	904226	+	0	NA	Intergenic	Intergenic	-9064	ID=HMEL011145g1.t1-E1;Parent=HMEL011145g1.t1								
378	Hmel210011	5786389	5786868	+	0	NA	Intergenic	Intergenic	1441	ID=HMEL009165g1.t1-E10;Parent=HMEL009165g1.t1								
325	Hmel210011	177521	179158	+	0	NA	Intergenic	Intergenic	-5651	ID=HMEL013312g1.t1-E2;Parent=HMEL013312g1.t1								
29	Hmel206009	1816554	1816758	+	0	NA	Intergenic	Intergenic	-6578	ID=HMEL016766g2.t1-E2;Parent=HMEL016766g2.t1								
889	Hmel218018	2527997	2528300	+	0	NA	Intergenic	Intergenic	11466	ID=HMEL034392g1.t1-E2;Parent=HMEL034392g1.t1								
350	Hmel210011	2772720	2773265	+	0	NA	Intergenic	Intergenic	-10919	ID=HMEL030881g1.t1-E1;Parent=HMEL030881g1.t1								
1233	Hmel205012	90999	91275	+	0	NA	Intergenic	Intergenic	-19869	ID=HMEL036657g1.t1-E1;Parent=HMEL036657g1.t1								
540	Hmel212013	2828266	2828541	+	0	NA	Intergenic	Intergenic	6501	ID=HMEL012642g1.t1-E19;Parent=HMEL012642g1.t1								
1162	Hmel203041	170301	171765	+	0	NA	Intergenic	Intergenic	6214	ID=HMEL036051g1.t1-E2;Parent=HMEL036051g1.t1								
58	Hmel206009	4125483	4125904	+	0	NA	Intergenic	Intergenic	-6319	ID=HMEL037073g1.t4-E1;Parent=HMEL037073g1.t4								
684	Hmel215006	736004	736535	+	0	NA	Intergenic	Intergenic	-15204	ID=HMEL002008g1.t1-E1;Parent=HMEL002008g1.t1								
211	Hmel208051	748881	749282	+	0	NA	Intergenic	Intergenic	-9741	ID=HMEL038155g1.t1-E1;Parent=HMEL038155g1.t1								
153	Hmel207021	801976	802486	+	0	NA	Intergenic	Intergenic	12270	ID=HMEL037683g1.t1-E1;Parent=HMEL037683g1.t1								
861	Hmel218007	1340008	1340325	+	0	NA	Intergenic	Intergenic	5370	ID=HMEL034315g1.t1-E1;Parent=HMEL034315g1.t1								
337	Hmel210011	1061493	1061801	+	0	NA	Intergenic	Intergenic	6231	ID=HMEL006931g1.t1-E7;Parent=HMEL006931g1.t1								
101	Hmel207002	2640476	2640997	+	0	NA	Intergenic	Intergenic	3348	ID=HMEL037406g1.t1-E2;Parent=HMEL037406g1.t1								
340	Hmel201011	777057	777361	+	0	NA	Intergenic	Intergenic	-15190	ID=HMEL033023g1.t1-E1;Parent=HMEL033023g1.t1								
76	Hmel201009	1811796	1813069	+	0	NA	Intergenic	Intergenic	-5437	ID=HMEL015815g1.t1-E2;Parent=HMEL015815g1.t1								
311	Hmel210009	162356	162652	+	0	NA	Intergenic	Intergenic	2600	ID=HMEL030795g1.t1-E2;Parent=HMEL030795g1.t1								
982	Hmel219003	6104828	6105073	+	0	NA	Intergenic	Intergenic	-8023	ID=HMEL008565g4.t1-E1;Parent=HMEL008565g4.t1								
571	Hmel213016	47714	47928	+	0	NA	promoter-TSS (ID=HMEL031847g1.t1-E6;Parent=HMEL031847g1.t1)	-promoter-TSS (ID=HMEL031847g1.t1-E6;Parent=HMEL031847g1.t1)	-548	ID=HMEL031847g1.t1-E6;Parent=HMEL031847g1.t1								
1214	Hmel204017	2643721	2644026	+	0	NA	Intergenic	Intergenic	5138	ID=HMEL036490g1.t1-E2;Parent=HMEL036490g1.t1								
1190	Hmel204001	1013154	1013570	+	0	NA	Intergenic	Intergenic	-17129	ID=HMEL017425g1.t1-E1;Parent=HMEL017425g1.t1								
825	Hmel217018	249693	250456	+	0	NA	promoter-TSS (ID=HMEL033956g1.t1-E13;Parent=HMEL033956g1.t1)	-promoter-TSS (ID=HMEL033956g1.t1-E13;Parent=HMEL033956g1.t1)	-290	ID=HMEL033956g1.t1-E13;Parent=HMEL033956g1.t1								
389	Hmel201011	1373109	1373248	+	0	NA	Intergenic	Intergenic	1896	ID=HMEL033041g1.t1-E1;Parent=HMEL033041g1.t1								
917	Hmel218018	7409900	7411075	+	0	NA	Intergenic	Intergenic	-30414	ID=HMEL034479g1.t1-E1;Parent=HMEL034479g1.t1								
495	Hmel212004	235404	236082	+	0	NA	Intergenic	Intergenic	-10386	ID=HMEL031498g1.t1-E1;Parent=HMEL031498g1.t1								
1171	Hmel203048	454736	455085	+	0	NA	Intergenic	Intergenic	-1378	ID=HMEL036098g1.t1-E4;Parent=HMEL036098g1.t1								
1123	Hmel221001	2154563	2155437	+	0	NA	Intergenic	Intergenic	-11689	ID=HMEL007289-RA-E1;Parent=HMEL007289-RA								
966	Hmel219003	3608484	3608957	+	0	NA	Intergenic	Intergenic	-46351	ID=HMEL003149g1.t1-E1;Parent=HMEL003149g1.t1								
992	Hmel219005	913274	915162	+	0	NA	promoter-TSS (ID=HMEL034722g1.t1-E2;Parent=HMEL034722g1.t1)	-promoter-TSS (ID=HMEL034722g1.t1-E2;Parent=HMEL034722g1.t1)	172	ID=HMEL034722g1.t1-E1;Parent=HMEL034722g1.t1								
758	Hmel216011	1985617	1986383	+	0	NA	Intergenic	Intergenic	5758	ID=HMEL033573g1.t1-E2;Parent=HMEL033573g1.t1								
236	Hmel209007	525570	526692	+	0	NA	Intergenic	Intergenic	-4512	ID=HMEL030374g1.t1-E1;Parent=HMEL030374g1.t1								
706	Hmel215047	818206	819374	+	0	NA	TTS (ID=HMEL032877g1.t1-E1;Parent=HMEL032877g1.t1)	-TTS (ID=HMEL032877g1.t1-E1;Parent=HMEL032877g1.t1)	130	ID=HMEL032877g1.t1-E1;Parent=HMEL032877g1.t1								
218	Hmel209001	1119333	1119640	+	0	NA	Intergenic	Intergenic	-9923	ID=HMEL007018g1.t4-E1;Parent=HMEL007018g1.t4								
1172	Hmel203067	308423	308904	+	0	NA	Intergenic	Intergenic	13397	ID=HMEL025033-RA-E3;Parent=HMEL025033-RA								
14	Hmel206006	796971	798262	+	0	NA	Intergenic	Intergenic	-6109	ID=HMEL036941g1.t1-E1;Parent=HMEL036941g1.t1								
1259	Hmel205017	144302	145566	+	0	NA	Intergenic	Intergenic	-8542	ID=HMEL036720g1.t1-E1;Parent=HMEL036720g1.t1								
834	Hmel217018	664967	665276	+	0	NA	Intergenic	Intergenic	-9952	ID=HMEL033973g1.t1-E1;Parent=HMEL033973g1.t1								
285	Hmel210004	5862056	5863284	+	0	NA	Intergenic	Intergenic	-10495	ID=HMEL009011g1.t1-E2;Parent=HMEL009011g1.t1								
234	Hmel209007	476530	476683	+	0	NA	promoter-TSS (ID=HMEL013542g2.t1-E1;Parent=HMEL013542g2.t1)	-promoter-TSS (ID=HMEL013542g2.t1-E1;Parent=HMEL013542g2.t1)	-516	ID=HMEL013542g2.t1-E1;Parent=HMEL013542g2.t1								
594	Hmel213046	83654	84924	+	0	NA	promoter-TSS (ID=HMEL003999g1.t1-E1;Parent=HMEL003999g1.t1)	-promoter-TSS (ID=HMEL003999g1.t1-E1;Parent=HMEL003999g1.t1)	-279	ID=HMEL003999g1.t1-E1;Parent=HMEL003999g1.t1								
1216	Hmel204017	2665874	2667303	+	0	NA	promoter-TSS (ID=HMEL007151g1.t1-E4;Parent=HMEL007151g1.t1)	-promoter-TSS (ID=HMEL007151g1.t1-E4;Parent=HMEL007151g1.t1)	72	ID=HMEL007151g1.t3-E5;Parent=HMEL007151g1.t3								
1135	Hmel216009	1042655	1043611	+	0	NA	promoter-TSS (ID=HMEL033506g1.t1-E1;Parent=HMEL033506g1.t1)	-promoter-TSS (ID=HMEL033506g1.t1-E1;Parent=HMEL033506g1.t1)	-31	ID=HMEL033506g1.t1-E1;Parent=HMEL033506g1.t1								
1203	Hmel204013	1158344	1159697	+	0	NA	promoter-TSS (ID=HMEL007911g1.t1-E1;Parent=HMEL007911g1.t1)	-promoter-TSS (ID=HMEL007911g1.t1-E1;Parent=HMEL007911g1.t1)	-634	ID=HMEL007911g1.t1-E1;Parent=HMEL007911g1.t1								
96	Hmel207002	1690154	1690679	+	0	NA	Intergenic	Intergenic	-21894	ID=HMEL011242g1.t2-E1;Parent=HMEL011242g1.t2								
1068	Hmel220005	1669264	1670025	+	0	NA	Intergenic	Intergenic	-8566	ID=HMEL035096g1.t1-E1;Parent=HMEL035096g1.t1								
486	Hmel212001	5859633	5860031	+	0	NA	Intergenic	Intergenic	2037	ID=HMEL031453g1.t1-E1;Parent=HMEL031453g1.t1								
160	Hmel207021	1951375	1951760	+	0	NA	Intergenic	Intergenic	9851	ID=HMEL009406g1.t1-E3;Parent=HMEL009406g1.t1								
569	Hmel213013	187686	188055	+	0	NA	promoter-TSS (ID=HMEL015354g1.t1-E3;Parent=HMEL015354g1.t1)	-promoter-TSS (ID=HMEL015354g1.t1-E3;Parent=HMEL015354g1.t1)	-904	ID=HMEL015354g1.t1-E3;Parent=HMEL015354g1.t1								
8	Hmel205025	17547	18024	+	0	NA	NA	NA	NA	NA								
98	Hmel207002	2111696	2112142	+	0	NA	Intergenic	Intergenic	3243	ID=HMEL037395g1.t3-E3;Parent=HMEL037395g1.t3								
1048	Hmel220003	2524322	2525792	+	0	NA	promoter-TSS (ID=HMEL012548g1.t1-E1;Parent=HMEL012548g1.t1)	-promoter-TSS (ID=HMEL012548g1.t1-E1;Parent=HMEL012548g1.t1)	-352	ID=HMEL012548g1.t1-E1;Parent=HMEL012548g1.t1								
1000	Hmel219012	334022	334454	+	0	NA	Intergenic	Intergenic	-40342	ID=HMEL034766g1.t1-E1;Parent=HMEL034766g1.t1								
