PeakID (cmd=annotatePeaks.pl development_D2_p05FC1_shared_D2up_eratoCoords.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_D2_p05FC1_shared_D2up_eratoCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
559	Herato1603	2176269	2176530	+	0	NA	Intergenic	Intergenic	-9887	ID=evm.model.Herato1603.62-E1;Parent=evm.model.Herato1603.62								
127	Herato0701	17492322	17492726	+	0	NA	promoter-TSS (ID=evm.model.Herato0701.734.2-E1;Parent=evm.model.Herato0701.734.2)	-promoter-TSS (ID=evm.model.Herato0701.734.2-E1;Parent=evm.model.Herato0701.734.2)	-1000	ID=evm.model.Herato0701.734.2-E1;Parent=evm.model.Herato0701.734.2								
32	Herato0606	3897001	3897157	+	0	NA	promoter-TSS (ID=evm.model.Herato0606.120-E2;Parent=evm.model.Herato0606.120)	-promoter-TSS (ID=evm.model.Herato0606.120-E2;Parent=evm.model.Herato0606.120)	-644	ID=evm.model.Herato0606.120-E2;Parent=evm.model.Herato0606.120								
443	Herato1301	18947643	18948085	+	0	NA	Intergenic	Intergenic	12391	ID=evm.model.Herato1301.653-E1;Parent=evm.model.Herato1301.653								
206	Herato0101	14519496	14519839	+	0	NA	Intergenic	Intergenic	27656	ID=evm.model.Herato0101.515-E3;Parent=evm.model.Herato0101.515								
118	Herato0701	14810500	14810708	+	0	NA	Intergenic	Intergenic	-72229	ID=evm.model.Herato0701.666.3-E1;Parent=evm.model.Herato0701.666.3								
71	Herato0701	3189016	3189339	+	0	NA	Intergenic	Intergenic	24495	ID=evm.model.Herato0701.167-E3;Parent=evm.model.Herato0701.167								
959	Herato0503	4571553	4571877	+	0	NA	Intergenic	Intergenic	5566	ID=evm.model.Herato0503.132.2-E2;Parent=evm.model.Herato0503.132.2								
882	Herato0101	4471367	4472125	+	0	NA	Intergenic	Intergenic	-64914	ID=evm.model.Herato0101.137-E1;Parent=evm.model.Herato0101.137								
358	Herato1202	9898534	9898695	+	0	NA	Intergenic	Intergenic	-17684	ID=evm.model.Herato1202.407-E1;Parent=evm.model.Herato1202.407								
331	Herato0101	19073818	19074096	+	0	NA	Intergenic	Intergenic	-7650	ID=evm.model.Herato0101.756-E1;Parent=evm.model.Herato0101.756								
737	Herato1904	1182243	1183102	+	0	NA	exon (ID=evm.model.Herato1904.42-E1;Parent=evm.model.Herato1904.42, exon 1 of 1)	-exon (ID=evm.model.Herato1904.42-E1;Parent=evm.model.Herato1904.42, exon 1 of 1)	184	ID=evm.model.Herato1904.42-E1;Parent=evm.model.Herato1904.42								
560	Herato1603	2680000	2680760	+	0	NA	Intergenic	Intergenic	-19232	ID=evm.model.Herato1603.81-E1;Parent=evm.model.Herato1603.81								
767	Herato1906	868569	868925	+	0	NA	Intergenic	Intergenic	15004	ID=evm.model.Herato1906.27-E2;Parent=evm.model.Herato1906.27								
580	Herato1605	1385462	1385800	+	0	NA	promoter-TSS (ID=evm.model.Herato1605.44-E2;Parent=evm.model.Herato1605.44)	-promoter-TSS (ID=evm.model.Herato1605.44-E2;Parent=evm.model.Herato1605.44)	-579	ID=evm.model.Herato1605.44-E2;Parent=evm.model.Herato1605.44								
898	Herato0310	9329084	9329352	+	0	NA	Intergenic	Intergenic	-8911	ID=evm.model.Herato0310.285.2-E2;Parent=evm.model.Herato0310.285.2								
798	Herato2001	2300844	2301399	+	0	NA	Intergenic	Intergenic	-48773	ID=evm.model.Herato2001.58-E1;Parent=evm.model.Herato2001.58								
805	Herato2001	4886141	4886369	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.168-E3;Parent=evm.model.Herato2001.168)	-promoter-TSS (ID=evm.model.Herato2001.168-E3;Parent=evm.model.Herato2001.168)	-945	ID=evm.model.Herato2001.168-E3;Parent=evm.model.Herato2001.168								
84	Herato0701	7623807	7624558	+	0	NA	TTS (ID=evm.model.Herato0701.346-E3;Parent=evm.model.Herato0701.346)	-TTS (ID=evm.model.Herato0701.346-E3;Parent=evm.model.Herato0701.346)	386	ID=evm.model.Herato0701.346-E3;Parent=evm.model.Herato0701.346								
512	Herato1507	339173	340597	+	0	NA	promoter-TSS (ID=evm.model.Herato1507.16-E3;Parent=evm.model.Herato1507.16)	-promoter-TSS (ID=evm.model.Herato1507.16-E3;Parent=evm.model.Herato1507.16)	-2	ID=evm.model.Herato1507.16-E3;Parent=evm.model.Herato1507.16								
437	Herato1301	17718974	17719479	+	0	NA	Intergenic	Intergenic	26398	ID=evm.model.Herato1301.622-E14;Parent=evm.model.Herato1301.622								
463	Herato1408	187382	187997	+	0	NA	promoter-TSS (ID=evm.model.Herato1408.12-E2;Parent=evm.model.Herato1408.12)	-promoter-TSS (ID=evm.model.Herato1408.12-E2;Parent=evm.model.Herato1408.12)	-863	ID=evm.model.Herato1408.12-E2;Parent=evm.model.Herato1408.12								
194	Herato0901	5318176	5318778	+	0	NA	Intergenic	Intergenic	60104	ID=evm.model.Herato0901.145-E5;Parent=evm.model.Herato0901.145								
517	Herato1507	3308115	3308536	+	0	NA	TTS (ID=evm.model.Herato1507.126-E4;Parent=evm.model.Herato1507.126)	-TTS (ID=evm.model.Herato1507.126-E4;Parent=evm.model.Herato1507.126)	1000	ID=evm.model.Herato1507.126-E4;Parent=evm.model.Herato1507.126								
458	Herato1301	21818888	21819323	+	0	NA	Intergenic	Intergenic	33170	ID=evm.model.Herato1301.740-E1;Parent=evm.model.Herato1301.740								
451	Herato1301	20299745	20299952	+	0	NA	Intergenic	Intergenic	-7175	ID=evm.model.Herato1301.693.1-E2;Parent=evm.model.Herato1301.693.1								
220	Herato1001	555842	556174	+	0	NA	Intergenic	Intergenic	-14356	ID=evm.model.Herato1001.28-E1;Parent=evm.model.Herato1001.28								
454	Herato1301	20648137	20648457	+	0	NA	promoter-TSS (ID=evm.model.Herato1301.704-E1;Parent=evm.model.Herato1301.704)	-promoter-TSS (ID=evm.model.Herato1301.704-E1;Parent=evm.model.Herato1301.704)	-93	ID=evm.model.Herato1301.704-E1;Parent=evm.model.Herato1301.704								
846	Herato2001	17248726	17249984	+	0	NA	Intergenic	Intergenic	-21885	ID=evm.model.Herato2001.663-E1;Parent=evm.model.Herato2001.663								
722	Herato1901	2842619	2843587	+	0	NA	promoter-TSS (ID=evm.model.Herato1901.90-E4;Parent=evm.model.Herato1901.90)	-promoter-TSS (ID=evm.model.Herato1901.90-E4;Parent=evm.model.Herato1901.90)	-80	ID=evm.model.Herato1901.90-E4;Parent=evm.model.Herato1901.90								
634	Herato0101	2976090	2976755	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.94-E3;Parent=evm.model.Herato0101.94)	-promoter-TSS (ID=evm.model.Herato0101.94-E3;Parent=evm.model.Herato0101.94)	-60	ID=evm.model.Herato0101.94-E3;Parent=evm.model.Herato0101.94								
31	Herato0606	3679323	3679683	+	0	NA	TTS (ID=evm.model.Herato0606.111-E2;Parent=evm.model.Herato0606.111)	-TTS (ID=evm.model.Herato0606.111-E2;Parent=evm.model.Herato0606.111)	1203	ID=evm.model.Herato0606.111-E2;Parent=evm.model.Herato0606.111								
578	Herato1605	1140878	1141948	+	0	NA	Intergenic	Intergenic	-1424	ID=evm.model.Herato1605.37-E1;Parent=evm.model.Herato1605.37								
934	Herato0503	773508	773746	+	0	NA	promoter-TSS (ID=evm.model.Herato0503.23-E2;Parent=evm.model.Herato0503.23)	-promoter-TSS (ID=evm.model.Herato0503.23-E2;Parent=evm.model.Herato0503.23)	-202	ID=evm.model.Herato0503.23.1-E2;Parent=evm.model.Herato0503.23.1								
695	Herato1807	737656	738311	+	0	NA	Intergenic	Intergenic	-25099	ID=evm.model.Herato1807.12-E1;Parent=evm.model.Herato1807.12								
728	Herato1901	3005986	3006257	+	0	NA	Intergenic	Intergenic	-3463	ID=evm.model.Herato1901.99-E1;Parent=evm.model.Herato1901.99								
948	Herato0503	4271887	4272443	+	0	NA	Intergenic	Intergenic	-3762	ID=evm.model.Herato0503.131-E1;Parent=evm.model.Herato0503.131								
742	Herato1904	3285130	3285420	+	0	NA	Intergenic	Intergenic	-1121	ID=evm.model.Herato1904.117-E3;Parent=evm.model.Herato1904.117								
378	Herato1202	17332920	17333437	+	0	NA	Intergenic	Intergenic	2338	ID=evm.model.Herato1202.710-E6;Parent=evm.model.Herato1202.710								
325	Herato1108	11962510	11962821	+	0	NA	Intergenic	Intergenic	8865	ID=evm.model.Herato1108.512-E1;Parent=evm.model.Herato1108.512								
29	Herato0606	3445135	3445810	+	0	NA	Intergenic	Intergenic	-6271	ID=evm.model.Herato0606.104.2-E1;Parent=evm.model.Herato0606.104.2								
889	Herato0310	5882630	5882882	+	0	NA	Intergenic	Intergenic	-6057	ID=evm.model.Herato0310.139-E1;Parent=evm.model.Herato0310.139								
572	Herato1605	112760	113332	+	0	NA	Intergenic	Intergenic	2474	ID=evm.model.Herato1605.7-E2;Parent=evm.model.Herato1605.7								
350	Herato1202	7224867	7225399	+	0	NA	promoter-TSS (ID=evm.model.Herato1202.286.1-E1;Parent=evm.model.Herato1202.286.1)	-promoter-TSS (ID=evm.model.Herato1202.286.1-E1;Parent=evm.model.Herato1202.286.1)	-691	ID=evm.model.Herato1202.286.4-E1;Parent=evm.model.Herato1202.286.4								
968	Herato0503	8001676	8002010	+	0	NA	Intergenic	Intergenic	-6074	ID=evm.model.Herato0503.298-E1;Parent=evm.model.Herato0503.298								
675	Herato1805	3393597	3393942	+	0	NA	Intergenic	Intergenic	42733	ID=evm.model.Herato1805.100-E5;Parent=evm.model.Herato1805.100								
540	Herato1601	4817433	4817582	+	0	NA	Intergenic	Intergenic	30644	ID=evm.model.Herato1601.100.1-E1;Parent=evm.model.Herato1601.100.1								
226	Herato1001	2251932	2252200	+	0	NA	Intergenic	Intergenic	2889	ID=evm.model.Herato1001.80-E9;Parent=evm.model.Herato1001.80								
58	Herato0609	1185382	1186254	+	0	NA	TTS (ID=evm.model.Herato0609.92-E3;Parent=evm.model.Herato0609.92)	-TTS (ID=evm.model.Herato0609.92-E3;Parent=evm.model.Herato0609.92)	703	ID=evm.model.Herato0609.92-E3;Parent=evm.model.Herato0609.92								
684	Herato1805	5739386	5739931	+	0	NA	Intergenic	Intergenic	22264	ID=evm.model.Herato1805.157-E2;Parent=evm.model.Herato1805.157								
211	Herato0101	14632233	14633674	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.518-E2;Parent=evm.model.Herato0101.518)	-promoter-TSS (ID=evm.model.Herato0101.518-E2;Parent=evm.model.Herato0101.518)	-259	ID=evm.model.Herato0101.518.1-E2;Parent=evm.model.Herato0101.518.1								
153	Herato0101	13128408	13129231	+	0	NA	Intergenic	Intergenic	-11784	ID=evm.model.Herato0101.456-E1;Parent=evm.model.Herato0101.456								
15	Herato0606	1383701	1384032	+	0	NA	Intergenic	Intergenic	-68375	ID=evm.model.Herato0606.49-E1;Parent=evm.model.Herato0606.49								
527	Herato1507	7915023	7915641	+	0	NA	Intergenic	Intergenic	-1358	ID=evm.model.Herato1507.277_evm.model.Herato1507.278-E25;Parent=evm.model.Herato1507.277_evm.model.Herato1507.278								
431	Herato1301	16711230	16712174	+	0	NA	Intergenic	Intergenic	48557	ID=evm.model.Herato1301.592-E2;Parent=evm.model.Herato1301.592								
