start	end	length	IDY	missing1	missing2	
25876344	25876683	339	0.6726	0.2832	0.0	
37116778	37117203	425	0.5553	0.2776	0.0918	
73126414	73127204	790	0.243	0.4759	0.2139	
116469014	116469444	430	0.4302	0.0558	0.4907	
134261022	134261891	869	0.6318	0.099	0.1899	
152796066	152796768	702	0.7393	0.0655	0.0812	
210888541	210889214	673	0.419	0.0535	0.4487	
233874127	233874629	502	0.3367	0.0219	0.6076	
248786474	248787206	732	0.4167	0.5164	0.0137	
253656985	253657385	400	0.9125	0.01	0.0325	
257713353	257713695	342	0.8567	0.0234	0.0351	
292316018	292316585	567	0.8042	0.0847	0.0229	
300697527	300697879	352	0.7756	0.0199	0.0994	
300771699	300772001	302	0.8841	0.0497	0.0066	
370064433	370064868	435	0.4667	0.0966	0.377	
381740331	381740870	539	0.5844	0.1429	0.154	
383312943	383314286	1343	0.2673	0.1243	0.5786	
385027977	385028907	930	0.9376	0.0086	0.0022	
388123232	388123500	268	0.8246	0.0	0.097	
419651284	419651575	291	0.8316	0.0241	0.0619	
452935999	452936632	633	0.5972	0.0427	0.2907	
