start	end	length	IDY	missing1	missing2	
4380284	4380544	260	0.6115	0.35	0.0	
7758301	7759420	1119	0.437	0.0581	0.479	
18113309	18113891	582	0.8608	0.0172	0.0636	
22328059	22328514	455	0.8835	0.0066	0.0066	
23115295	23115765	470	0.0	1.0	0.0	
23153577	23153774	197	0.9188	0.0355	0.0	
26596222	26596368	146	0.911	0.0068	0.0	
30336838	30337883	1045	0.2804	0.0957	0.5828	
33140495	33142282	1787	0.1102	0.0358	0.8349	
34049233	34057380	8147	0.0239	0.0252	0.9487	
44559088	44563834	4746	0.1323	0.137	0.7061	
44653996	44654359	363	0.8843	0.0083	0.0303	
44684336	44685169	833	0.4718	0.2377	0.2305	
47161828	47162012	184	0.663	0.1739	0.0	
51203645	51204383	738	0.4756	0.1233	0.3699	
51451293	51451522	229	0.8384	0.0786	0.0	
55305894	55306366	472	0.7712	0.1335	0.0191	
56321002	56321390	388	0.6727	0.2758	0.0026	
59234756	59235089	333	0.8769	0.0	0.045	
59235853	59238415	2562	0.5574	0.1362	0.2201	
59238841	59239493	652	0.3359	0.0077	0.6028	
59249730	59250799	1069	0.5706	0.0627	0.2937	
59255496	59256157	661	0.2617	0.056	0.6732	
59271148	59271511	363	0.9394	0.0	0.0	
59271823	59272310	487	0.8624	0.0329	0.0513	
59297351	59299102	1751	0.9069	0.0188	0.016	
59305779	59306236	457	0.7659	0.07	0.035	
59317461	59318333	872	0.8796	0.0046	0.0321	
59322289	59322518	229	0.8166	0.0786	0.0	
59327051	59327475	424	0.9057	0.0118	0.0236	
59330089	59330254	165	0.6909	0.1818	0.0606	
59331060	59331368	308	0.9481	0.0	0.0065	
59339219	59339509	290	0.9552	0.0345	0.0034	
59346975	59347399	424	0.816	0.0448	0.0731	
59348092	59348768	676	0.8891	0.0	0.0414	
59361215	59362437	1222	0.743	0.072	0.1187	
59367356	59367974	618	0.6359	0.0955	0.1521	
59371250	59371661	411	0.9221	0.0268	0.0024	
59372054	59372526	472	0.8814	0.0233	0.0297	
59381153	59381863	710	0.9099	0.0042	0.0197	
59382406	59382633	227	0.9207	0.0	0.022	
59382742	59383561	819	0.8486	0.033	0.0623	
59386917	59387409	492	0.8232	0.0488	0.002	
59392547	59392938	391	0.9028	0.0205	0.0128	
59393806	59394005	199	0.9296	0.0452	0.0	
59396681	59396957	276	0.9348	0.0036	0.0072	
59400153	59400324	171	0.8772	0.0058	0.0175	
59403956	59404614	658	0.9149	0.0076	0.0137	
59405066	59405343	277	0.8736	0.0722	0.0144	
59407239	59408676	1437	0.8135	0.0466	0.071	
59409490	59409703	213	0.9296	0.0	0.0423	
59414998	59415286	288	0.8194	0.0243	0.0035	
65317912	65319332	1420	0.2613	0.3535	0.3317	
69974007	69975339	1332	0.3701	0.0465	0.518	
70455709	70456342	633	0.6477	0.267	0.0142	
71431112	71431617	505	0.695	0.2554	0.004	
73299877	73300191	314	0.0	1.0	0.0	
75377064	75380065	3001	0.2806	0.089	0.5868	
81505632	81506906	1274	0.3069	0.3454	0.2991	
87133449	87133832	383	0.8329	0.0235	0.0601	
95814061	95814449	388	0.8711	0.0077	0.0438	
98471608	98471884	276	0.8043	0.0725	0.0072	
107748528	107749117	589	0.6333	0.1205	0.1443	
110738626	110743098	4472	0.1279	0.2299	0.6201	
112414248	112414720	472	0.4258	0.0191	0.5212	
112947166	112947420	254	0.0	1.0	0.0	
112957046	112957758	712	0.7865	0.052	0.0688	
114523510	114523927	417	0.8321	0.0048	0.0288	
118378227	118379035	808	0.5012	0.3589	0.047	
119121478	119121827	349	0.6562	0.1662	0.0401	
