start	end	length	IDY	missing1	missing2	
30843300	30844455	1155	0.1861	0.3221	0.4753	
46266686	46268815	2129	0.2039	0.1343	0.6294	
47672258	47672626	368	0.0	1.0	0.0	
50792522	50793101	579	0.4162	0.0225	0.5389	
55260282	55261094	812	0.3842	0.1663	0.4212	
69742715	69743022	307	0.9218	0.0163	0.0	
86310541	86311229	688	0.564	0.2573	0.0625	
86915229	86917230	2001	0.2179	0.1364	0.6082	
92835929	92836323	394	0.2919	0.1802	0.5076	
92872078	92872482	404	0.7772	0.104	0.0149	
95877999	95878229	230	0.8826	0.0043	0.0217	
102031213	102032012	799	0.4118	0.1039	0.4393	
105548271	105549642	1371	0.3742	0.1751	0.3858	
132678166	132678421	255	0.6588	0.1569	0.0471	
143808197	143809672	1475	0.2197	0.0922	0.6549	
144921088	144922077	989	0.6218	0.0445	0.2427	
145047878	145048293	415	0.9446	0.0072	0.0048	
148697427	148698240	813	0.3604	0.1525	0.4539	
160476517	160476965	448	0.4464	0.0223	0.4531	
174560170	174562287	2117	0.2064	0.1866	0.5838	
175194981	175196100	1119	0.4307	0.1072	0.3905	
179192565	179193157	592	0.5574	0.2297	0.0541	
179387861	179388700	839	0.6448	0.0822	0.1919	
181855326	181857041	1715	0.1324	0.137	0.7044	
181868788	181871451	2663	0.2347	0.1633	0.552	
184039522	184039833	311	0.7395	0.0611	0.0997	
187206685	187209535	2850	0.1509	0.0705	0.7439	
192391568	192392219	651	0.8203	0.0261	0.0614	
202523097	202523316	219	0.8447	0.0457	0.0091	
202643849	202644142	293	0.884	0.041	0.0034	
210889392	210889611	219	0.9315	0.0183	0.0	
223118749	223119058	309	0.9061	0.0259	0.0291	
223607262	223608348	1086	0.2422	0.0773	0.6529	
230305622	230306338	716	0.4092	0.183	0.3617	
241709958	241711784	1826	0.4633	0.1079	0.3762	
243705311	243705847	536	0.194	0.5168	0.2313	
257222393	257222604	211	0.8436	0.019	0.0237	
261167696	261169127	1431	0.7317	0.0049	0.1817	
262735614	262735883	269	0.7546	0.0297	0.0558	
263459169	263459376	207	0.9372	0.0193	0.0193	
271726881	271727037	156	0.9744	0.0	0.0256	
272273926	272274491	565	0.6743	0.0442	0.2212	
275493205	275494066	861	0.3357	0.2834	0.2927	
281452707	281453296	589	0.528	0.1885	0.1783	
309718947	309719670	723	0.7552	0.0111	0.0526	
312886100	312886578	478	0.7908	0.0962	0.023	
315141324	315143768	2444	0.243	0.1837	0.5307	
315143877	315144168	291	0.8316	0.0275	0.0172	
315145980	315148147	2167	0.4305	0.0817	0.4098	
317810198	317810565	367	0.8529	0.0	0.0599	
335604740	335606251	1511	0.321	0.0615	0.5606	
346543309	346544252	943	0.2227	0.0308	0.72	
351418409	351418655	246	0.7276	0.187	0.0041	
359005888	359007112	1224	0.4608	0.0989	0.384	
383224311	383225733	1422	0.4543	0.0499	0.4353	
384731912	384732615	703	0.3926	0.0413	0.5306	
391545247	391545655	408	0.6373	0.1446	0.0319	
394602231	394603938	1707	0.3603	0.1236	0.461	
395030821	395031160	339	0.8378	0.0678	0.0088	
399145737	399146859	1122	0.2718	0.1248	0.5829	
421105815	421106521	706	0.432	0.1388	0.3725	
421109288	421109636	348	0.8362	0.0201	0.0374	
428495427	428496021	594	0.6094	0.1347	0.1852	
428652812	428653402	590	0.3797	0.261	0.3424	
429597285	429597657	372	0.2876	0.6667	0.0027	
438081243	438081823	580	0.5172	0.2207	0.1966	
438161404	438162424	1020	0.7598	0.0686	0.0343	
439205140	439205773	633	0.6746	0.09	0.128	
439946973	439947286	313	0.8498	0.0032	0.0415	
440966515	440966813	298	0.8456	0.0101	0.0168	
441070333	441070642	309	0.7929	0.0291	0.0518	
441096805	441097100	295	0.7932	0.1322	0.0068	
441107216	441108458	1242	0.3349	0.3776	0.2536	
442051468	442051651	183	0.9235	0.0	0.0164	
444276026	444276358	332	0.7771	0.0602	0.0361	
449093514	449094442	928	0.2478	0.1153	0.6272	
449170406	449171169	763	0.5557	0.0917	0.3028	
458240403	458240877	474	0.6519	0.0781	0.1793	
461117266	461117560	294	0.4966	0.2449	0.1939	
463399797	463400152	355	0.7634	0.0338	0.1268	
469012727	469013046	319	0.7994	0.1505	0.0	
469855191	469856933	1742	0.3163	0.1073	0.531	
470697107	470698114	1007	0.5631	0.1301	0.2145	
