PeakID (cmd=annotatePeaks.pl development_D1_p05FC1_eratoUnique_D1down.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_D1_p05FC1_eratoUnique_D1down_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1801	Herato1708	718676	718828	+	0	NA	promoter-TSS (ID=evm.model.Herato1708.47-E26;Parent=evm.model.Herato1708.47)	-promoter-TSS (ID=evm.model.Herato1708.47-E26;Parent=evm.model.Herato1708.47)	91	ID=evm.model.Herato1708.47-E26;Parent=evm.model.Herato1708.47								
5006	Herato2001	16654998	16655286	+	0	NA	Intergenic	Intergenic	-70298	ID=evm.model.Herato2001.648-E1;Parent=evm.model.Herato2001.648								
3074	Herato1603	3929454	3929724	+	0	NA	Intergenic	Intergenic	-1137	ID=evm.model.Herato1603.133-E1;Parent=evm.model.Herato1603.133								
3509	Herato1408	2787737	2788019	+	0	NA	TTS (ID=evm.model.Herato1408.80-E1;Parent=evm.model.Herato1408.80)	-TTS (ID=evm.model.Herato1408.80-E1;Parent=evm.model.Herato1408.80)	1022	ID=evm.model.Herato1408.80-E1;Parent=evm.model.Herato1408.80								
4863	Herato1801	2169549	2170582	+	0	NA	promoter-TSS (ID=evm.model.Herato1801.88-E2;Parent=evm.model.Herato1801.88)	-promoter-TSS (ID=evm.model.Herato1801.88-E2;Parent=evm.model.Herato1801.88)	-822	ID=evm.model.Herato1801.88.1-E2;Parent=evm.model.Herato1801.88.1								
3163	Herato1605	2765965	2766631	+	0	NA	promoter-TSS (ID=evm.model.Herato1605.94-E7;Parent=evm.model.Herato1605.94)	-promoter-TSS (ID=evm.model.Herato1605.94-E7;Parent=evm.model.Herato1605.94)	-656	ID=evm.model.Herato1605.94-E7;Parent=evm.model.Herato1605.94								
1178	Herato0801	1974747	1974936	+	0	NA	Intergenic	Intergenic	-64098	ID=evm.model.Herato0801.39-E1;Parent=evm.model.Herato0801.39								
4628	Herato2101	5758599	5758888	+	0	NA	Intergenic	Intergenic	-3299	ID=evm.model.Herato2101.196-E3;Parent=evm.model.Herato2101.196								
1387	Herato0901	67300	68330	+	0	NA	promoter-TSS (ID=evm.model.Herato0901.4-E1;Parent=evm.model.Herato0901.4)	-promoter-TSS (ID=evm.model.Herato0901.4-E1;Parent=evm.model.Herato0901.4)	-141	ID=evm.model.Herato0901.4-E1;Parent=evm.model.Herato0901.4								
1932	Herato1301	13715098	13715378	+	0	NA	Intergenic	Intergenic	2039	ID=evm.model.Herato1301.529-E1;Parent=evm.model.Herato1301.529								
458	Herato0606	8889835	8890087	+	0	NA	promoter-TSS (ID=evm.model.Herato0606.281_evm.model.Herato0606.282.4-E1;Parent=evm.model.Herato0606.281_evm.model.Herato0606.282.4)	-promoter-TSS (ID=evm.model.Herato0606.281_evm.model.Herato0606.282.4-E1;Parent=evm.model.Herato0606.281_evm.model.Herato0606.282.4)	-496	ID=evm.model.Herato0606.281_evm.model.Herato0606.282.4-E1;Parent=evm.model.Herato0606.281_evm.model.Herato0606.282.4								
2634	Herato1507	1007487	1007872	+	0	NA	Intergenic	Intergenic	37128	ID=evm.model.Herato1507.36-E6;Parent=evm.model.Herato1507.36								
1785	Herato1001	405127	405383	+	0	NA	Intergenic	Intergenic	-2416	ID=evm.model.Herato1001.18-E1;Parent=evm.model.Herato1001.18								
4361	Herato1505	1448701	1448954	+	0	NA	Intergenic	Intergenic	-8196	ID=evm.model.Herato1505.49-E2;Parent=evm.model.Herato1505.49								
5521	Herato1904	6576546	6577127	+	0	NA	Intergenic	Intergenic	-1028	ID=evm.model.Herato1904.237-E39;Parent=evm.model.Herato1904.237								
5499	Herato0411	3111401	3111845	+	0	NA	Intergenic	Intergenic	1705	ID=evm.model.Herato0411.58-E1;Parent=evm.model.Herato0411.58								
1250	Herato1605	343501	344249	+	0	NA	Intergenic	Intergenic	-11079	ID=evm.model.Herato1605.24.1-E1;Parent=evm.model.Herato1605.24.1								
2507	Herato0206	428026	428270	+	0	NA	Intergenic	Intergenic	-7280	ID=evm.model.Herato0206.16_evm.model.Herato0206.18.1-E1;Parent=evm.model.Herato0206.16_evm.model.Herato0206.18.1								
4893	Herato1701	4900288	4900823	+	0	NA	Intergenic	Intergenic	-10521	ID=evm.model.Herato1701.111-E1;Parent=evm.model.Herato1701.111								
3957	Herato0310	3752414	3753226	+	0	NA	Intergenic	Intergenic	-7763	ID=evm.model.Herato0310.93-E1;Parent=evm.model.Herato0310.93								
1630	Herato0901	7568347	7568626	+	0	NA	Intergenic	Intergenic	-32217	ID=evm.model.Herato0901.254-E1;Parent=evm.model.Herato0901.254								
3497	Herato1908	2752634	2753020	+	0	NA	Intergenic	Intergenic	4457	ID=evm.model.Herato1908.103-E2;Parent=evm.model.Herato1908.103								
4340	Herato2001	5037710	5038329	+	0	NA	Intergenic	Intergenic	3351	ID=evm.model.Herato2001.171-E2;Parent=evm.model.Herato2001.171								
3185	Herato2001	4315932	4316131	+	0	NA	Intergenic	Intergenic	-7944	ID=evm.model.Herato2001.138-E1;Parent=evm.model.Herato2001.138								
3109	Herato1605	1068553	1068844	+	0	NA	Intergenic	Intergenic	5375	ID=evm.model.Herato1605.35-E1;Parent=evm.model.Herato1605.35								
3919	Herato1301	20953561	20953694	+	0	NA	Intergenic	Intergenic	-14939	ID=evm.model.Herato1301.715-E1;Parent=evm.model.Herato1301.715								
728	Herato0411	5929197	5929962	+	0	NA	Intergenic	Intergenic	49557	ID=evm.model.Herato0411.139-E10;Parent=evm.model.Herato0411.139								
1244	Herato1202	7238379	7238823	+	0	NA	Intergenic	Intergenic	9655	ID=evm.model.Herato1202.286.4-E2;Parent=evm.model.Herato1202.286.4								
1638	Herato1701	8645615	8645957	+	0	NA	TTS (ID=evm.model.Herato1701.269-E4;Parent=evm.model.Herato1701.269)	-TTS (ID=evm.model.Herato1701.269-E4;Parent=evm.model.Herato1701.269)	159	ID=evm.model.Herato1701.269-E5;Parent=evm.model.Herato1701.269								
5060	Herato0501	419689	420277	+	0	NA	Intergenic	Intergenic	51314	ID=evm.model.Herato0501.16-E3;Parent=evm.model.Herato0501.16								
3936	Herato1805	5657397	5657577	+	0	NA	Intergenic	Intergenic	3255	ID=evm.model.Herato1805.156-E4;Parent=evm.model.Herato1805.156								
29	Herato0508	1275953	1276500	+	0	NA	Intergenic	Intergenic	-26157	ID=evm.model.Herato0508.94-E1;Parent=evm.model.Herato0508.94								
350	Herato1005	2214749	2215018	+	0	NA	Intergenic	Intergenic	17297	ID=evm.model.Herato1005.113-E6;Parent=evm.model.Herato1005.113								
4087	Herato0214	669009	669812	+	0	NA	TTS (ID=evm.model.Herato0214.42-E3;Parent=evm.model.Herato0214.42)	-TTS (ID=evm.model.Herato0214.42-E3;Parent=evm.model.Herato0214.42)	852	ID=evm.model.Herato0214.42-E3;Parent=evm.model.Herato0214.42								
1969	Herato1301	15142680	15142986	+	0	NA	Intergenic	Intergenic	-1411	ID=evm.model.Herato1301.561-E4;Parent=evm.model.Herato1301.561								
1810	Herato1001	1626173	1627022	+	0	NA	TTS (ID=evm.model.Herato1001.62-E1;Parent=evm.model.Herato1001.62)	-TTS (ID=evm.model.Herato1001.62-E1;Parent=evm.model.Herato1001.62)	1226	ID=evm.model.Herato1001.62-E1;Parent=evm.model.Herato1001.62								
2203	Herato0310	7269054	7269469	+	0	NA	Intergenic	Intergenic	-18196	ID=evm.model.Herato0310.179-E1;Parent=evm.model.Herato0310.179								
4358	Herato0411	5985306	5985578	+	0	NA	Intergenic	Intergenic	105420	ID=evm.model.Herato0411.139-E10;Parent=evm.model.Herato0411.139								
2754	Herato1507	6550677	6550861	+	0	NA	Intergenic	Intergenic	-4517	ID=evm.model.Herato1507.233-E1;Parent=evm.model.Herato1507.233								
1546	Herato0901	5185639	5186828	+	0	NA	Intergenic	Intergenic	-3073	ID=evm.model.Herato0901.142-E1;Parent=evm.model.Herato0901.142								
