start	end	length	IDY	missing1	missing2	
189218	189535	317	0.4227	0.1167	0.4069	
192539	193213	674	0.1499	0.2611	0.5682	
201123	201369	246	0.0	0.0	1.0	
206617	207410	793	0.203	0.0151	0.7264	
344914	345813	899	0.5506	0.1468	0.2125	
187646765	187647857	1092	0.1364	0.3654	0.478	
438431	438654	223	0.5785	0.0	0.3363	
187703715	187706867	3152	0.144	0.5673	0.2652	
95941133	95941601	468	0.6282	0.0855	0.2201	
95942115	95942818	703	0.6017	0.1451	0.1636	
498282	498451	169	0.858	0.0	0.0355	
96011810	96012068	258	0.7326	0.0736	0.1589	
277165244	277166288	1044	0.9272	0.0105	0.0096	
96083797	96084302	505	0.3921	0.105	0.4574	
96108783	96109440	657	0.5921	0.3303	0.0289	
96222355	96222672	317	0.8265	0.0189	0.0536	
96252331	96252488	157	0.0	0.0	1.0	
96261022	96261268	246	0.6098	0.1626	0.0976	
893962	894280	318	0.0	0.0	1.0	
908060	908285	225	0.8178	0.0489	0.0222	
956907	957231	324	0.8519	0.0247	0.0247	
96441403	96442145	742	0.2318	0.2183	0.5108	
1113040	1114056	1016	0.5965	0.0384	0.2795	
1153910	1154351	441	0.678	0.0499	0.2063	
1154995	1155621	626	0.7188	0.1086	0.0751	
1166882	1167050	168	0.8155	0.0833	0.0357	
1178273	1178979	706	0.6147	0.2167	0.0779	
1194594	1195381	787	0.5693	0.1741	0.1652	
1199991	1200441	450	0.5844	0.0111	0.3333	
1206257	1206426	169	0.8935	0.0	0.0	
96752441	96752673	232	0.8836	0.0431	0.0172	
96757605	96758531	926	0.4741	0.27	0.1901	
1242344	1243345	1001	0.5185	0.048	0.3666	
96806360	96806683	323	0.6099	0.096	0.2074	
96839326	96839600	274	0.6277	0.2883	0.0474	
96899560	96899955	395	0.8152	0.0481	0.0051	
1362875	1363489	614	0.3746	0.1384	0.4707	
188783775	188784509	734	0.2439	0.5123	0.1948	
1490163	1490450	287	0.6829	0.1672	0.0627	
1506281	1507603	1322	0.3101	0.1513	0.4667	
97189847	97190308	461	0.0	0.0	1.0	
1560943	1561189	246	0.9634	0.0	0.0	
97272905	97273192	287	0.0976	0.0	0.7631	
375184758	375185709	951	0.5994	0.123	0.1809	
1665085	1665501	416	0.4808	0.0	0.4784	
1694689	1694914	225	0.9022	0.0222	0.0	
1790399	1790648	249	0.7992	0.0241	0.0924	
1829921	1830528	607	0.5898	0.0807	0.2191	
1873742	1874694	952	0.2374	0.4643	0.2742	
97574666	97574828	162	0.8951	0.0432	0.0	
1902078	1903670	1592	0.6891	0.0565	0.1966	
189315350	189315746	396	0.7273	0.0	0.1742	
97634974	97635639	665	0.5744	0.0286	0.2887	
1992930	1993878	948	0.635	0.0981	0.1667	
2002359	2002926	567	0.5785	0.0123	0.3668	
97670332	97670479	147	0.8095	0.0748	0.0068	
2033840	2034290	450	0.6467	0.1978	0.06	
189428318	189429162	844	0.1623	0.1422	0.6801	
2048655	2048989	334	0.3683	0.0299	0.5419	
2068893	2069437	544	0.3658	0.1489	0.4375	
2141652	2142137	485	0.1773	0.0309	0.7423	
2158324	2159128	804	0.2724	0.1505	0.5498	
97868478	97868787	309	0.7896	0.0129	0.1262	
97922658	97922889	231	0.3247	0.013	0.3766	
2257837	2258235	398	0.691	0.0704	0.1558	
2270311	2270805	494	0.5749	0.1457	0.2227	
2276221	2276550	329	0.1702	0.0426	0.7568	
2276677	2276915	238	0.7605	0.0	0.1807	
97990749	97990921	172	0.9128	0.0291	0.0	
2294056	2294568	512	0.6797	0.1445	0.0645	
2294933	2295398	465	0.5226	0.0903	0.3333	
2301290	2301471	181	0.7735	0.0	0.1215	
2302693	2303762	1069	0.2413	0.3695	0.3686	
2305623	2307599	1976	0.2915	0.3077	0.3376	
2330432	2331734	1302	0.6628	0.0576	0.1874	
189862221	189863749	1528	0.7559	0.0851	0.0432	
2445208	2445454	246	0.7724	0.0244	0.1057	
2458631	2458794	163	0.908	0.0	0.0307	
2460044	2461997	1953	0.2028	0.1214	0.6267	
2504552	2504850	298	0.0	0.0	1.0	
2505235	2511578	6343	0.0605	0.9172	0.018	
2593924	2594451	527	0.7514	0.0114	0.1537	
2607405	2608198	793	0.7554	0.0958	0.0757	
98443550	98444917	1367	0.2516	0.0015	0.7191	
2651863	2652926	1063	0.4647	0.3575	0.1119	
2654993	2655356	363	0.9036	0.0028	0.0386	
2655418	2655800	382	0.7958	0.0654	0.0183	
2694245	2694586	341	0.6979	0.0997	0.1466	
190269850	190270525	675	0.443	0.1126	0.3407	
98541336	98541667	331	0.0	0.0	1.0	
