start	end	length	IDY	missing1	missing2	
100503019	100503355	336	0.7143	0.1399	0.0327	
100685267	100686677	1410	0.2411	0.2369	0.4922	
100896656	100896992	336	0.8631	0.0208	0.0208	
10096067	10096335	268	0.709	0.0037	0.1903	
101224274	101225822	1548	0.3068	0.3327	0.3366	
102484523	102485215	692	0.7991	0.1084	0.0289	
104673426	104673794	368	0.9185	0.019	0.0	
104880514	104880726	212	0.7358	0.0849	0.0802	
105006979	105007322	343	0.7668	0.0117	0.1574	
105114419	105114993	574	0.4599	0.2613	0.2265	
105274019	105274670	651	0.3932	0.0061	0.553	
107514061	107514467	406	0.6724	0.064	0.1946	
107660677	107661048	371	0.7736	0.0431	0.027	
10803695	10805987	2292	0.4346	0.25	0.2382	
108758278	108758943	665	0.5654	0.3128	0.0722	
109088148	109088365	217	0.8249	0.0922	0.0	
110216856	110217475	619	0.8772	0.0145	0.0242	
110243038	110243436	398	0.907	0.0025	0.0101	
110253301	110254136	835	0.7066	0.0731	0.0946	
110412782	110412970	188	0.9255	0.0319	0.016	
111413593	111413925	332	0.9518	0.0	0.0	
111841919	111842234	315	0.8349	0.0349	0.0444	
111969872	111971287	1415	0.3887	0.2452	0.2862	
112431871	112432325	454	0.7445	0.0352	0.152	
112733468	112733974	506	0.8953	0.0316	0.002	
112740194	112741239	1045	0.844	0.0431	0.0115	
112779660	112780622	962	0.6902	0.0042	0.236	
113486746	113487377	631	0.5214	0.0254	0.4089	
11353579	11354243	664	0.3133	0.012	0.6431	
113542956	113544247	1291	0.4415	0.1247	0.3811	
113550853	113551074	221	0.8824	0.0271	0.0362	
113568356	113570086	1730	0.2491	0.6121	0.1173	
113704544	113705154	610	0.5984	0.3	0.0328	
113969440	113970039	599	0.5392	0.0301	0.3589	
114002824	114003519	695	0.5799	0.0273	0.2964	
114302896	114303601	705	0.6496	0.0312	0.2681	
114304345	114304735	390	0.7179	0.0744	0.1205	
114560578	114560742	164	0.9024	0.0427	0.0122	
114635972	114636409	437	0.9497	0.0023	0.0092	
115201930	115203435	1505	0.6146	0.1116	0.1608	
115560241	115560926	685	0.8803	0.0365	0.0088	
115673632	115674357	725	0.5628	0.0055	0.3834	
115702533	115703286	753	0.3745	0.4675	0.1262	
115793731	115794246	515	0.9126	0.0214	0.0155	
116430501	116431313	812	0.7094	0.1441	0.0443	
116505693	116506622	929	0.5888	0.0592	0.282	
116650007	116650380	373	0.8177	0.0751	0.0456	
116929966	116930240	274	0.6569	0.0036	0.3175	
117075751	117076161	410	0.7049	0.0366	0.1488	
117345302	117345629	327	0.7615	0.0092	0.1223	
117413156	117413539	383	0.6762	0.0783	0.1514	
118260393	118261313	920	0.3924	0.238	0.3196	
118358548	118360975	2427	0.3564	0.1372	0.4396	
118432045	118432363	318	0.434	0.0252	0.4591	
118895994	118897166	1172	0.4326	0.2671	0.2338	
119001228	119001846	618	0.6133	0.0113	0.2476	
121525618	121526616	998	0.4729	0.2064	0.2665	
122034718	122035885	1167	0.569	0.3025	0.0583	
123528979	123529171	192	0.9167	0.0208	0.0	
124004370	124004757	387	0.7674	0.0543	0.1189	
124233051	124233818	767	0.3807	0.3038	0.2725	
126451200	126452006	806	0.5782	0.0695	0.2184	
12667218	12667602	384	0.6641	0.0	0.2865	
1275378	1277049	1671	0.5446	0.2304	0.0928	
127995353	127996491	1138	0.4965	0.2329	0.1968	
12804818	12805324	506	0.666	0.0929	0.168	
129238686	129239422	736	0.4103	0.3601	0.163	
130187927	130188270	343	0.7668	0.0058	0.2012	
130684266	130684787	521	0.9712	0.0019	0.0019	
131484827	131485058	231	0.9004	0.026	0.0	
131612230	131613252	1022	0.8738	0.0342	0.0108	
131769602	131770099	497	0.9457	0.0	0.0141	
131784333	131784546	213	0.8826	0.0188	0.0094	
131834907	131835228	321	0.5826	0.2243	0.1121	
132198273	132198748	475	0.5453	0.0168	0.3768	
132391565	132391824	259	0.8764	0.0232	0.0077	
132448715	132448912	197	0.9289	0.0203	0.0	
132454583	132454916	333	0.8889	0.027	0.006	
132479320	132479712	392	0.8954	0.0255	0.0281	
133251045	133251309	264	0.7083	0.0303	0.1515	
133295858	133296707	849	0.3722	0.2721	0.2568	
135103167	135103862	695	0.3367	0.1439	0.4791	
135769662	135770304	642	0.4642	0.1511	0.3193	
136762886	136763702	816	0.4289	0.027	0.4767	
13702015	13702330	315	0.854	0.0159	0.0095	
137157274	137157896	622	0.7605	0.0611	0.1061	
137332019	137332673	654	0.2905	0.1391	0.5428	
137357103	137359665	2562	0.3673	0.2315	0.324	
137696826	137697748	922	0.4664	0.0846	0.3709	
1378540	1379041	501	0.8184	0.022	0.0399	
138085344	138086101	757	0.8983	0.0066	0.0423	
138521957	138523007	1050	0.6171	0.0952	0.2038	
138785221	138785763	542	0.7712	0.0387	0.1052	
138870402	138870731	329	0.7933	0.0638	0.0152	
139019145	139019303	158	0.9684	0.0	0.0	
139215351	139217481	2130	0.5413	0.1742	0.207	
139321327	139321694	367	0.8202	0.0381	0.0	
139354917	139355130	213	0.9624	0.0141	0.0	
139413264	139413479	215	0.5163	0.1721	0.2	
139427699	139428197	498	0.8414	0.0341	0.0141	
139555496	139557015	1519	0.5418	0.2646	0.0915	
139659235	139659547	312	0.8077	0.0641	0.0032	
139707480	139708164	684	0.7003	0.0965	0.1754	
13972997	13973456	459	0.8366	0.0479	0.0065	
139774344	139774650	306	0.7386	0.0948	0.0948	
139943685	139944483	798	0.8371	0.0226	0.0439	
139951296	139952497	1201	0.2939	0.5079	0.1415	
140318290	140318531	241	0.9461	0.0083	0.0	
140328898	140329437	539	0.5139	0.1763	0.2412	
140746043	140746313	270	0.9	0.0185	0.0111	
140765569	140765876	307	0.899	0.013	0.0033	
14086789	14087394	605	0.7256	0.0364	0.1702	
141065508	141066016	508	0.7323	0.0276	0.1378	
141217226	141217551	325	0.6523	0.0769	0.2031	
141543277	141543854	577	0.3622	0.0503	0.5615	
141650130	141650483	353	0.6176	0.0822	0.238	
142625652	142626717	1065	0.3531	0.2141	0.3822	
14288676	14289263	587	0.9284	0.0	0.0204	
143553990	143554914	924	0.7024	0.0563	0.1732	
144822407	144822838	431	0.7517	0.0186	0.1369	
145058617	145059179	562	0.7064	0.1192	0.0907	
145575464	145575807	343	0.8222	0.0087	0.0612	
146205441	146206398	957	0.2675	0.3333	0.3636	
14621963	14623178	1215	0.7342	0.0897	0.1152	
146455967	146456877	910	0.5758	0.0286	0.3462	
146558265	146559173	908	0.9053	0.0	0.0319	
146822608	146822944	336	0.7619	0.0238	0.122	
146823847	146824214	367	0.861	0.0163	0.0763	
14700973	14701213	240	0.8417	0.0042	0.0542	
147179859	147180077	218	0.8853	0.0413	0.0046	
148132735	148133224	489	0.8098	0.0143	0.0859	
148186643	148187605	962	0.6383	0.0644	0.2422	
148537162	148538283	1121	0.5789	0.1597	0.1936	
148942104	148942446	342	0.7719	0.0468	0.038	
148992949	148993230	281	0.9466	0.0	0.0	
14905984	14906504	520	0.8692	0.0096	0.0385	
150333504	150333764	260	0.8769	0.0077	0.0538	
150338552	150338757	205	0.7073	0.1512	0.0244	
150488639	150489053	414	0.8237	0.0217	0.0145	
151066618	151067300	682	0.4531	0.346	0.1584	
151096300	151097019	719	0.4131	0.0682	0.459	
151477330	151478104	774	0.4961	0.0103	0.469	
152313203	152314656	1453	0.3173	0.0585	0.5822	
152689921	152690298	377	0.7745	0.0318	0.0928	
152690803	152691206	403	0.6476	0.2208	0.0744	
152713506	152713841	335	0.6836	0.0537	0.1851	
152741978	152744203	2225	0.6404	0.1213	0.1294	
154327682	154327966	284	0.9225	0.0	0.0317	
154333207	154333641	434	0.6198	0.1544	0.1843	
154731755	154733018	1263	0.2835	0.0808	0.578	
154868336	154868569	233	0.9571	0.0	0.0	
15520822	15521447	625	0.9296	0.0016	0.0128	
15673186	15674664	1478	0.7537	0.1313	0.0399	
15686162	15686562	400	0.85	0.0625	0.015	
157482425	157482720	295	0.8983	0.0	0.0203	
158560529	158561247	718	0.4234	0.337	0.1602	
159650162	159651850	1688	0.4615	0.2541	0.2103	
159901132	159902095	963	0.7487	0.0395	0.1246	
159923370	159924021	651	0.9109	0.0061	0.0138	
159927726	159928553	827	0.8138	0.0339	0.0665	
16055534	16055869	335	0.8627	0.0179	0.0478	
161306662	161307420	758	0.7032	0.0646	0.1121	
16151750	16151948	198	0.9343	0.0303	0.0	
162502314	162502548	234	0.8632	0.0085	0.0513	
162598633	162599619	986	0.8489	0.0233	0.0527	
16283373	16283799	426	0.5446	0.2582	0.1573	
163644690	163645156	466	0.7146	0.0129	0.2082	
16491899	16492808	909	0.7085	0.0935	0.0979	
16520157	16521669	1512	0.6753	0.0357	0.2189	
165747771	165748047	276	0.558	0.0181	0.3768	
165787606	165787793	187	0.8824	0.0	0.0588	
165924444	165924821	377	0.4668	0.183	0.252	
166026418	166026721	303	0.8515	0.0264	0.0132	
166103054	166103493	439	0.8474	0.0046	0.0661	
166104000	166104335	335	0.8119	0.0149	0.0239	
166166129	166166760	631	0.8542	0.0032	0.0254	
168238537	168239084	547	0.8355	0.0457	0.011	
168431480	168432378	898	0.5523	0.0223	0.2984	
168457343	168457637	294	0.8469	0.0306	0.0034	
168524916	168525162	246	0.7805	0.0081	0.0935	
168628654	168629055	401	0.7955	0.0349	0.0424	
16870246	16870396	150	0.98	0.0	0.0	
16909060	16909245	185	0.9568	0.0054	0.0	
169959416	169960312	896	0.4721	0.3002	0.1239	
170006150	170006406	256	0.8164	0.0508	0.0195	
170159433	170159983	550	0.48	0.1327	0.28	
170836791	170837172	381	0.5197	0.0	0.4226	
170934302	170935045	743	0.288	0.3526	0.3244	
171145915	171146251	336	0.8542	0.0119	0.0268	
171248979	171250350	1371	0.6579	0.097	0.1524	
171306704	171307937	1233	0.3212	0.3496	0.266	
17145561	17147270	1709	0.9157	0.0246	0.0035	
172188812	172189236	424	0.816	0.0259	0.0236	
172323742	172324384	642	0.8707	0.0	0.0249	
172332972	172333899	927	0.8954	0.0076	0.0108	
172340008	172340350	342	0.7895	0.0292	0.0906	
172362423	172362573	150	0.9133	0.0133	0.02	
172367893	172368231	338	0.8609	0.0089	0.0473	
172369728	172370574	846	0.5626	0.0579	0.2813	
172378659	172379917	1258	0.461	0.1161	0.3347	
172857645	172858464	819	0.5714	0.1844	0.127	
173038919	173039346	427	0.452	0.4918	0.0258	
174316396	174317119	723	0.4786	0.3098	0.1369	
174935060	174935262	202	0.8713	0.005	0.0149	
175231805	175232528	723	0.8354	0.0041	0.1079	
175318113	175318882	769	0.2822	0.4265	0.2432	
175403583	175403712	129	0.8682	0.0	0.0078	
175467992	175468554	562	0.6512	0.0712	0.1993	
176617304	176617799	495	0.6182	0.0101	0.2566	
176811047	176811252	205	0.8244	0.0537	0.0244	
176811806	176812100	294	0.568	0.0748	0.2959	
176830139	176830649	510	0.649	0.1333	0.1451	
176854756	176855173	417	0.801	0.0336	0.0743	
176876130	176876743	613	0.509	0.0163	0.385	
176884818	176885610	792	0.7159	0.0556	0.1035	
176899065	176899309	244	0.8443	0.0164	0.0328	
176971460	176971890	430	0.3465	0.3209	0.2465	
177748775	177749200	425	0.48	0.1224	0.3412	
177798700	177799442	742	0.3841	0.2722	0.2736	
177857247	177857904	657	0.7869	0.035	0.0989	
179300922	179303134	2212	0.3454	0.2152	0.3847	
180252303	180252969	666	0.4174	0.2012	0.3288	
180304436	180305320	884	0.2692	0.3314	0.3575	
18065190	18065799	609	0.936	0.0	0.0033	
180910882	180911315	433	0.7321	0.0323	0.1016	
18180125	18180469	344	0.5843	0.0	0.3837	
18235809	18236330	521	0.8944	0.0326	0.0	
18236799	18237280	481	0.869	0.0042	0.0894	
182543330	182544653	1323	0.26	0.1557	0.5238	
18304529	18305290	761	0.4639	0.1406	0.3009	
18310996	18312451	1455	0.9498	0.0089	0.0014	
183218138	183218435	297	0.7778	0.0505	0.0303	
183226412	183227425	1013	0.3929	0.2162	0.2902	
18397689	18397930	241	0.9129	0.0166	0.0041	
184259196	184259704	508	0.6929	0.1181	0.1654	
18488707	18489134	427	0.9016	0.0	0.0047	
185193715	185194499	784	0.4056	0.2832	0.2411	
186282114	186283043	929	0.4413	0.0172	0.4499	
187359986	187360477	491	0.8045	0.0081	0.0448	
187449830	187450203	373	0.7265	0.1072	0.0375	
187457456	187459134	1678	0.584	0.2443	0.093	
187770272	187770848	576	0.6944	0.0955	0.0417	
187830744	187832466	1722	0.694	0.0703	0.1167	
188236524	188237007	483	0.5631	0.0911	0.2588	
188520165	188520942	777	0.5431	0.2883	0.0412	
189583410	189583715	305	0.7016	0.118	0.1311	
189584505	189584728	223	0.9283	0.0	0.0045	
190672855	190673074	219	0.9406	0.0	0.0183	
191212617	191213275	658	0.6261	0.0623	0.1261	
191237496	191238118	622	0.4405	0.1833	0.3376	
191258938	191259942	1004	0.4183	0.0299	0.4412	
19446186	19446523	337	0.7745	0.1454	0.0119	
195811961	195812158	197	0.8832	0.0152	0.0102	
195832767	195833279	512	0.457	0.3438	0.1719	
196304788	196305083	295	0.8814	0.0373	0.0169	
197417379	197418136	757	0.5509	0.037	0.3303	
200911859	200912090	231	0.8745	0.0087	0.0693	
200932572	200932874	302	0.904	0.0132	0.0033	
200999919	201000065	146	0.8904	0.0548	0.0	
202325776	202326285	509	0.5501	0.3536	0.0688	
202430140	202431208	1068	0.5899	0.0571	0.2987	
203496822	203497493	671	0.6677	0.082	0.1684	
203505074	203505245	171	0.9357	0.0175	0.0	
203755086	203755559	473	0.9598	0.0	0.0	
204037004	204039248	2244	0.7438	0.0896	0.1074	
2044185	2045102	917	0.566	0.2388	0.1101	
204678695	204679274	579	0.8532	0.0155	0.019	
204683987	204684407	420	0.7738	0.0667	0.0714	
204886358	204886525	167	0.8802	0.0	0.0	
20489720	20490502	782	0.6074	0.0959	0.234	
204900786	204901525	739	0.4303	0.4208	0.0609	
204901728	204902448	720	0.8333	0.0458	0.0486	
205019390	205019587	197	0.9188	0.0	0.0355	
205191810	205192074	264	0.9621	0.0	0.0	
205337954	205338219	265	0.9283	0.0	0.0151	
20539981	20540210	229	0.8428	0.0524	0.0437	
205403826	205404092	266	0.906	0.0	0.0038	
206192885	206193823	938	0.5171	0.1578	0.2441	
20627890	20628401	511	0.3933	0.1937	0.3738	
206672054	206672501	447	0.736	0.094	0.1186	
206709279	206709944	665	0.5233	0.1203	0.2827	
206926715	206927142	427	0.9368	0.0023	0.0094	
207029435	207030141	706	0.9334	0.0071	0.0156	
207888748	207889798	1050	0.6438	0.081	0.1676	
208015849	208016140	291	0.6357	0.244	0.0584	
208020903	208021189	286	0.8741	0.007	0.0	
208039164	208039817	653	0.6907	0.0643	0.1455	
208336022	208336350	328	0.9238	0.0061	0.0335	
20857544	20857790	246	0.8211	0.0285	0.0732	
20860505	20860814	309	0.9515	0.0	0.0032	
209533946	209534526	580	0.9069	0.0086	0.0293	
209999798	210000751	953	0.3274	0.0147	0.6118	
210001381	210001998	617	0.6904	0.1102	0.1086	
210079953	210080680	727	0.6602	0.0757	0.205	
210287315	210288928	1613	0.8053	0.0366	0.0719	
210740740	210741611	871	0.3238	0.3111	0.3341	
210828211	210828502	291	0.8866	0.0275	0.0069	
210877750	210878452	702	0.6125	0.1638	0.1311	
210901299	210901655	356	0.8848	0.0	0.0281	
210908755	210909001	246	0.8374	0.0244	0.0528	
210913871	210914139	268	0.9328	0.0112	0.0037	
210982481	210983002	521	0.6795	0.0768	0.0845	
211778992	211779257	265	0.883	0.0453	0.0	
211851413	211851729	316	0.8829	0.0285	0.0063	
211855654	211856841	1187	0.8635	0.0514	0.0185	
2118783	2119622	839	0.6007	0.0715	0.1979	
211999922	212000164	242	0.938	0.0	0.0	
212035651	212035832	181	0.8177	0.0552	0.0221	
212238126	212238606	480	0.5625	0.0292	0.3083	
212559363	212559746	383	0.9295	0.0	0.0157	
212596566	212597424	858	0.6853	0.0664	0.1399	
213026485	213027102	617	0.8363	0.0389	0.0438	
214870211	214870452	241	0.9793	0.0	0.0041	
214987778	214988230	452	0.8208	0.0376	0.0177	
215108520	215109679	1159	0.5229	0.0846	0.277	
215405786	215407110	1324	0.5378	0.065	0.2908	
215685085	215685449	364	0.7912	0.0467	0.1154	
216887560	216888027	467	0.591	0.0171	0.2912	
222881781	222882221	440	0.9614	0.0	0.0227	
223163701	223163946	245	0.902	0.0122	0.0	
223605426	223605991	565	0.3522	0.3381	0.269	
223861129	223861589	460	0.7239	0.0478	0.1565	
22388632	22389480	848	0.8184	0.0283	0.0413	
