start	end	length	IDY	missing1	missing2	
607986	608992	1006	0.4553	0.2942	0.2137	
2294933	2295398	465	0.5226	0.0903	0.3333	
2616961	2617392	431	0.7517	0.0812	0.0557	
3413555	3414072	517	0.47	0.0174	0.4739	
3734645	3735594	949	0.7819	0.0242	0.0969	
3874640	3875131	491	0.5377	0.0937	0.3238	
4338695	4338888	193	0.9067	0.0	0.0	
4568437	4568776	339	0.9027	0.0059	0.0206	
4568437	4568776	339	0.9027	0.0059	0.0206	
4600395	4601183	788	0.3744	0.0228	0.5546	
4708538	4709341	803	0.6725	0.066	0.0971	
4978217	4978422	205	0.8098	0.0293	0.0098	
4978217	4978422	205	0.8098	0.0293	0.0098	
4979496	4979819	323	0.8452	0.0124	0.0557	
5121763	5122689	926	0.4892	0.0713	0.3261	
5719386	5719788	402	0.8483	0.0448	0.0124	
5942274	5942766	492	0.685	0.0752	0.124	
5953019	5954256	1237	0.4244	0.1277	0.3605	
5960021	5960349	328	0.439	0.0549	0.439	
6070275	6070666	391	0.7315	0.156	0.0332	
6070275	6070666	391	0.7315	0.156	0.0332	
6070275	6070666	391	0.7315	0.156	0.0332	
7247060	7247407	347	0.9625	0.0	0.0115	
7247060	7247407	347	0.9625	0.0	0.0115	
7247060	7247407	347	0.9625	0.0	0.0115	
7491706	7492263	557	0.5063	0.1454	0.2855	
7491706	7492263	557	0.5063	0.1454	0.2855	
7491706	7492263	557	0.5063	0.1454	0.2855	
7518439	7520317	1878	0.1267	0.5421	0.3136	
7695221	7695436	215	0.9395	0.0	0.0047	
7717779	7718124	345	0.7913	0.0319	0.1246	
7762804	7763142	338	0.8964	0.0	0.0118	
7794896	7795333	437	0.4943	0.2952	0.1922	
8162147	8163139	992	0.3165	0.5716	0.0907	
8204552	8204817	265	0.9396	0.0151	0.0	
8204552	8204817	265	0.9396	0.0151	0.0	
8263470	8263758	288	0.691	0.0694	0.184	
8486919	8487233	314	0.8089	0.0223	0.051	
8500733	8501441	708	0.339	0.3305	0.3037	
8854308	8855105	797	0.6236	0.1029	0.1907	
9162451	9163304	853	0.8347	0.0234	0.0258	
9162451	9163304	853	0.8347	0.0234	0.0258	
9181645	9182542	897	0.6912	0.0613	0.1449	
9266576	9266770	194	0.8351	0.0412	0.0052	
9300796	9301505	709	0.7094	0.0917	0.0649	
9358407	9358989	582	0.5601	0.012	0.3677	
9359407	9359806	399	0.7218	0.0852	0.0777	
9455196	9456412	1216	0.4581	0.338	0.1234	
9853139	9854349	1210	0.2545	0.2992	0.3926	
9857946	9858639	693	0.0	0.0	1.0	
9949089	9949519	430	0.6814	0.1698	0.0395	
10114311	10114720	409	0.868	0.0147	0.0342	
10114311	10114720	409	0.868	0.0147	0.0342	
10274938	10275239	301	0.9269	0.0	0.0066	
10309328	10309635	307	0.9577	0.0033	0.0163	
10800041	10800312	271	0.7528	0.0406	0.0664	
10966382	10966729	347	0.634	0.2421	0.0461	
11157480	11157691	211	0.9431	0.0	0.0284	
11162666	11162988	322	0.9068	0.0	0.0435	
11162666	11162988	322	0.9068	0.0	0.0435	
11501830	11502214	384	0.8646	0.0313	0.0182	
11901963	11902513	550	0.8127	0.0218	0.0236	
12367478	12367875	397	0.8892	0.0151	0.0302	
12367478	12367875	397	0.8892	0.0151	0.0302	
12367478	12367875	397	0.8892	0.0151	0.0302	
12486037	12486711	674	0.6261	0.1142	0.1988	
12525733	12526036	303	0.9538	0.0099	0.0	
12525733	12526036	303	0.9538	0.0099	0.0	
12585704	12586131	427	0.8712	0.0351	0.0258	
12585704	12586131	427	0.8712	0.0351	0.0258	
12796555	12796801	246	0.8659	0.0488	0.0122	
