PeakID (cmd=annotatePeaks.pl development_D2_p05FC1_melpUnique_D2up.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_D2_p05FC1_melpUnique_D2up_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1049	Hmel213004	1813485	1814289	+	0	NA	promoter-TSS (ID=HMEL031794g1.t1-E1;Parent=HMEL031794g1.t1)	-promoter-TSS (ID=HMEL031794g1.t1-E1;Parent=HMEL031794g1.t1)	78	ID=HMEL031794g1.t1-E1;Parent=HMEL031794g1.t1								
127	Hmel202006	1002826	1003519	+	0	NA	Intergenic	Intergenic	-15480	ID=HMEL006878g1.t1-E1;Parent=HMEL006878g1.t1								
1801	Hmel220011	39274	39507	+	0	NA	TTS (ID=HMEL010952g1.t1-E3;Parent=HMEL010952g1.t1)	-TTS (ID=HMEL010952g1.t1-E3;Parent=HMEL010952g1.t1)	530	ID=HMEL010952g1.t1-E4;Parent=HMEL010952g1.t1								
71	Hmel201009	3555845	3556041	+	0	NA	promoter-TSS (ID=HMEL030223g1.t1-E1;Parent=HMEL030223g1.t1)	-promoter-TSS (ID=HMEL030223g1.t1-E1;Parent=HMEL030223g1.t1)	-329	ID=HMEL030223g1.t1-E1;Parent=HMEL030223g1.t1								
1648	Hmel219003	5780792	5781006	+	0	NA	TTS (ID=HMEL016871g3.t1-E5;Parent=HMEL016871g3.t1)	-TTS (ID=HMEL016871g3.t1-E5;Parent=HMEL016871g3.t1)	844	ID=HMEL016871g3.t1-E5;Parent=HMEL016871g3.t1								
1481	Hmel217018	660142	660288	+	0	NA	Intergenic	Intergenic	-7270	ID=HMEL009592g1.t1-E1;Parent=HMEL009592g1.t1								
882	Hmel211008	1920	2211	+	0	NA	promoter-TSS (ID=HMEL031149g1.t1-E1;Parent=HMEL031149g1.t1)	-promoter-TSS (ID=HMEL031149g1.t1-E1;Parent=HMEL031149g1.t1)	-910	ID=HMEL031149g1.t1-E1;Parent=HMEL031149g1.t1								
1488	Hmel217019	664550	664888	+	0	NA	Intergenic	Intergenic	9364	ID=HMEL010148g1.t1-E50;Parent=HMEL010148g1.t1								
1050	Hmel213004	1886373	1887253	+	0	NA	Intergenic	Intergenic	-3721	ID=HMEL031796g1.t1-E1;Parent=HMEL031796g1.t1								
560	Hmel207008	845355	845781	+	0	NA	promoter-TSS (ID=HMEL037548g1.t1-E1;Parent=HMEL037548g1.t1)	-promoter-TSS (ID=HMEL037548g1.t1-E1;Parent=HMEL037548g1.t1)	-154	ID=HMEL037548g1.t1-E1;Parent=HMEL037548g1.t1								
1178	Hmel213069	398363	398572	+	0	NA	Intergenic	Intergenic	27208	ID=HMEL004784g1.t1-E5;Parent=HMEL004784g1.t1								
898	Hmel211012	865484	865949	+	0	NA	Intergenic	Intergenic	-3868	ID=HMEL015087g1.t1-E1;Parent=HMEL015087g1.t1								
798	Hmel210004	6811947	6812171	+	0	NA	Intergenic	Intergenic	1222	ID=HMEL022548g3.t1-E3;Parent=HMEL022548g3.t1								
1387	Hmel216011	1272083	1272645	+	0	NA	Intergenic	Intergenic	24369	ID=HMEL033556g1.t1-E4;Parent=HMEL033556g1.t1								
1031	Hmel212013	2970834	2971573	+	0	NA	TTS (ID=HMEL031701g1.t1-E1;Parent=HMEL031701g1.t1)	-TTS (ID=HMEL031701g1.t1-E1;Parent=HMEL031701g1.t1)	301	ID=HMEL031701g1.t1-E2;Parent=HMEL031701g1.t1								
512	Hmel207002	1888417	1888739	+	0	NA	Intergenic	Intergenic	2256	ID=HMEL005798g1.t1-E3;Parent=HMEL005798g1.t1								
1273	Hmel215003	8012	8152	+	0	NA	Intergenic	Intergenic	-1722	ID=HMEL032651g1.t1-E1;Parent=HMEL032651g1.t1								
463	Hmel206009	3177703	3178079	+	0	NA	promoter-TSS (ID=HmGr69_1-E2;Parent=HmGr69_1)	-promoter-TSS (ID=HmGr69_1-E2;Parent=HmGr69_1)	-438	ID=HmGr69_1-E2;Parent=HmGr69_1								
