PeakID (cmd=annotatePeaks.pl development_D2_p05FC1_eratoUnique_D2down.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_D2_p05FC1_eratoUnique_D2down_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1801	Herato1301	1186306	1186819	+	0	NA	Intergenic	Intergenic	-14499	ID=evm.model.Herato1301.35.4-E1;Parent=evm.model.Herato1301.35.4								
5006	Herato1603	2363493	2364015	+	0	NA	Intergenic	Intergenic	-7018	ID=evm.model.Herato1603.65-E1;Parent=evm.model.Herato1603.65								
3074	Herato1202	2134980	2135658	+	0	NA	Intergenic	Intergenic	25255	ID=evm.model.Herato1202.72-E6;Parent=evm.model.Herato1202.72								
3509	Herato1202	17389491	17389696	+	0	NA	Intergenic	Intergenic	-30740	ID=evm.model.Herato1202.710-E1;Parent=evm.model.Herato1202.710								
4863	Herato2001	8674368	8675848	+	0	NA	Intergenic	Intergenic	-2148	ID=evm.model.Herato2001.368-E4;Parent=evm.model.Herato2001.368								
3163	Herato0209	1069702	1070124	+	0	NA	Intergenic	Intergenic	1333	ID=evm.model.Herato0209.67.3-E1;Parent=evm.model.Herato0209.67.3								
1178	Herato0701	18859770	18859980	+	0	NA	Intergenic	Intergenic	39174	ID=evm.model.Herato0701.761-E10;Parent=evm.model.Herato0701.761								
4628	Herato0419	1707682	1708147	+	0	NA	promoter-TSS (ID=evm.model.Herato0419.63-E1;Parent=evm.model.Herato0419.63)	-promoter-TSS (ID=evm.model.Herato0419.63-E1;Parent=evm.model.Herato0419.63)	-196	ID=evm.model.Herato0419.63-E1;Parent=evm.model.Herato0419.63								
1387	Herato0101	1269642	1269830	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.23-E1;Parent=evm.model.Herato0101.23)	-promoter-TSS (ID=evm.model.Herato0101.23-E1;Parent=evm.model.Herato0101.23)	-583	ID=evm.model.Herato0101.23-E1;Parent=evm.model.Herato0101.23								
1932	Herato1001	1156797	1157130	+	0	NA	Intergenic	Intergenic	12026	ID=evm.model.Herato1001.49.1-E3;Parent=evm.model.Herato1001.49.1								
458	Herato1007	4054556	4055370	+	0	NA	TTS (ID=evm.model.Herato1007.157-E7;Parent=evm.model.Herato1007.157)	-TTS (ID=evm.model.Herato1007.157-E7;Parent=evm.model.Herato1007.157)	1229	ID=evm.model.Herato1007.158-E9;Parent=evm.model.Herato1007.158								
2634	Herato1901	3132467	3133235	+	0	NA	Intergenic	Intergenic	-10732	ID=evm.model.Herato1901.105-E3;Parent=evm.model.Herato1901.105								
1785	Herato0901	9062014	9062280	+	0	NA	Intergenic	Intergenic	-5567	ID=evm.model.Herato0901.297-E1;Parent=evm.model.Herato0901.297								
4361	Herato0204	1314609	1315333	+	0	NA	Intergenic	Intergenic	-1175	ID=evm.model.Herato0204.50-E3;Parent=evm.model.Herato0204.50								
5521	Herato0215	6601	6865	+	0	NA	Intergenic	Intergenic	-4127	ID=evm.model.Herato0215.1.1-E7;Parent=evm.model.Herato0215.1.1								
5499	Herato1703	857106	857349	+	0	NA	Intergenic	Intergenic	1988	ID=evm.model.Herato1703.46-E3;Parent=evm.model.Herato1703.46								
1250	Herato0801	1465978	1466555	+	0	NA	Intergenic	Intergenic	-22669	ID=evm.model.Herato0801.21-E1;Parent=evm.model.Herato0801.21								
2507	Herato1411	408258	408705	+	0	NA	Intergenic	Intergenic	-10640	ID=evm.model.Herato1411.5_evm.model.Herato1411.6.1-E1;Parent=evm.model.Herato1411.5_evm.model.Herato1411.6.1								
5810	Herato1910	3138608	3139188	+	0	NA	Intergenic	Intergenic	4489	ID=evm.model.Herato1910.156-E2;Parent=evm.model.Herato1910.156								
4893	Herato1605	1765621	1766114	+	0	NA	Intergenic	Intergenic	10321	ID=evm.model.Herato1605.54-E2;Parent=evm.model.Herato1605.54								
3957	Herato1605	3576338	3576553	+	0	NA	Intergenic	Intergenic	-3499	ID=evm.model.Herato1605.106-E1;Parent=evm.model.Herato1605.106								
1630	Herato1202	16644169	16644474	+	0	NA	promoter-TSS (ID=evm.model.Herato1202.664-E4;Parent=evm.model.Herato1202.664)	-promoter-TSS (ID=evm.model.Herato1202.664-E4;Parent=evm.model.Herato1202.664)	137	ID=evm.model.Herato1202.664-E3;Parent=evm.model.Herato1202.664								
3497	Herato2001	10756516	10756753	+	0	NA	Intergenic	Intergenic	31150	ID=evm.model.Herato2001.420-E8;Parent=evm.model.Herato2001.420								
4340	Herato1807	1555137	1555464	+	0	NA	Intergenic	Intergenic	39080	ID=evm.model.Herato1807.33-E7;Parent=evm.model.Herato1807.33								
3185	Herato1603	3124438	3124615	+	0	NA	Intergenic	Intergenic	-77488	ID=evm.model.Herato1603.86-E1;Parent=evm.model.Herato1603.86								
3109	Herato0209	843845	844889	+	0	NA	Intergenic	Intergenic	-2278	ID=evm.model.Herato0209.59-E1;Parent=evm.model.Herato0209.59								
3919	Herato1801	2863968	2864283	+	0	NA	promoter-TSS (ID=evm.model.Herato1801.99-E3;Parent=evm.model.Herato1801.99)	-promoter-TSS (ID=evm.model.Herato1801.99-E3;Parent=evm.model.Herato1801.99)	-452	ID=evm.model.Herato1801.99-E3;Parent=evm.model.Herato1801.99								
728	Herato0701	8029711	8030297	+	0	NA	Intergenic	Intergenic	-22488	ID=evm.model.Herato0701.362.2-E1;Parent=evm.model.Herato0701.362.2								
1244	Herato1202	4042914	4043258	+	0	NA	TTS (ID=evm.model.Herato1202.143-E6;Parent=evm.model.Herato1202.143)	-TTS (ID=evm.model.Herato1202.143-E6;Parent=evm.model.Herato1202.143)	1499	ID=evm.model.Herato1202.143.1-E6;Parent=evm.model.Herato1202.143.1								
1638	Herato0901	3292812	3293052	+	0	NA	Intergenic	Intergenic	-143915	ID=evm.model.Herato0901.90-E1;Parent=evm.model.Herato0901.90								
5060	Herato2101	6000188	6000577	+	0	NA	Intergenic	Intergenic	-7003	ID=evm.model.Herato2101.209-E1;Parent=evm.model.Herato2101.209								
3936	Herato2101	9644622	9644938	+	0	NA	TTS (ID=evm.model.Herato2101.329.1-E3;Parent=evm.model.Herato2101.329.1)	-TTS (ID=evm.model.Herato2101.329.1-E3;Parent=evm.model.Herato2101.329.1)	735	ID=evm.model.Herato2101.329.1-E3;Parent=evm.model.Herato2101.329.1								
29	Herato0508	1342429	1343041	+	0	NA	Intergenic	Intergenic	-22258	ID=evm.model.Herato0508.60-E1;Parent=evm.model.Herato0508.60								
5831	Herato2101	14549281	14550060	+	0	NA	Intergenic	Intergenic	1965	ID=evm.model.Herato2101.472-E4;Parent=evm.model.Herato2101.472								
350	Herato1005	4337540	4338442	+	0	NA	promoter-TSS (ID=evm.model.Herato1005.203-E3;Parent=evm.model.Herato1005.203)	-promoter-TSS (ID=evm.model.Herato1005.203-E3;Parent=evm.model.Herato1005.203)	19	ID=evm.model.Herato1005.203-E3;Parent=evm.model.Herato1005.203								
4087	Herato1805	3482901	3483353	+	0	NA	Intergenic	Intergenic	31048	ID=evm.model.Herato1805.101-E5;Parent=evm.model.Herato1805.101								
1969	Herato1301	6932556	6932739	+	0	NA	promoter-TSS (ID=evm.model.Herato1301.256-E6;Parent=evm.model.Herato1301.256)	-promoter-TSS (ID=evm.model.Herato1301.256-E6;Parent=evm.model.Herato1301.256)	-36	ID=evm.model.Herato1301.256-E6;Parent=evm.model.Herato1301.256								
1810	Herato0901	10527989	10528375	+	0	NA	promoter-TSS (ID=evm.model.Herato0901.324-E1;Parent=evm.model.Herato0901.324)	-promoter-TSS (ID=evm.model.Herato0901.324-E1;Parent=evm.model.Herato0901.324)	29	ID=evm.model.Herato0901.324-E1;Parent=evm.model.Herato0901.324								
2203	Herato1301	19649350	19649841	+	0	NA	Intergenic	Intergenic	-11221	ID=evm.model.Herato1301.673-E1;Parent=evm.model.Herato1301.673								
4358	Herato0401	1084849	1085099	+	0	NA	Intergenic	Intergenic	-39039	ID=evm.model.Herato0401.20-E1;Parent=evm.model.Herato0401.20								
2754	Herato1202	14335265	14335859	+	0	NA	promoter-TSS (ID=evm.model.Herato1202.544-E2;Parent=evm.model.Herato1202.544)	-promoter-TSS (ID=evm.model.Herato1202.544-E2;Parent=evm.model.Herato1202.544)	-531	ID=evm.model.Herato1202.544.1-E2;Parent=evm.model.Herato1202.544.1								
1546	Herato0901	1076809	1077017	+	0	NA	Intergenic	Intergenic	-19225	ID=evm.model.Herato0901.44-E2;Parent=evm.model.Herato0901.44								
2994	Herato1108	13574345	13575033	+	0	NA	Intergenic	Intergenic	-18485	ID=evm.model.Herato1108.573.1-E1;Parent=evm.model.Herato1108.573.1								
4003	Herato1904	1352485	1354136	+	0	NA	Intergenic	Intergenic	4150	ID=evm.model.Herato1904.47-E1;Parent=evm.model.Herato1904.47								
3256	Herato1202	7990809	7991351	+	0	NA	Intergenic	Intergenic	-2602	ID=evm.model.Herato1202.322-E1;Parent=evm.model.Herato1202.322								
311	Herato1301	23252136	23252668	+	0	NA	Intergenic	Intergenic	6447	ID=evm.model.Herato1301.773-E4;Parent=evm.model.Herato1301.773								
4537	Herato1605	3409909	3410095	+	0	NA	promoter-TSS (ID=evm.model.Herato1605.103-E2;Parent=evm.model.Herato1605.103)	-promoter-TSS (ID=evm.model.Herato1605.103-E2;Parent=evm.model.Herato1605.103)	-335	ID=evm.model.Herato1605.103-E2;Parent=evm.model.Herato1605.103								
4836	Herato1908	61540	62457	+	0	NA	Intergenic	Intergenic	-4036	ID=evm.model.Herato1908.105-E2;Parent=evm.model.Herato1908.105								
