start	end	length	IDY	missing1	missing2	
155988	156360	372	0.0	0.0	1.0	
189218	189535	317	0.4227	0.1167	0.4069	
192539	193213	674	0.1499	0.2611	0.5682	
201123	201369	246	0.0	0.0	1.0	
206617	207410	793	0.203	0.0151	0.7264	
95778663	95779027	364	0.8599	0.011	0.0192	
187646765	187647857	1092	0.1364	0.3654	0.478	
436518	437209	691	0.547	0.2156	0.165	
438431	438654	223	0.5785	0.0	0.3363	
187703715	187706867	3152	0.144	0.5673	0.2652	
95942115	95942818	703	0.6017	0.1451	0.1636	
498282	498451	169	0.858	0.0	0.0355	
277165244	277166288	1044	0.9272	0.0105	0.0096	
96083797	96084302	505	0.3921	0.105	0.4574	
665494	666054	560	0.6321	0.1161	0.1804	
96252331	96252488	157	0.0	0.0	1.0	
767907	768057	150	0.28	0.0133	0.6533	
96261022	96261268	246	0.6098	0.1626	0.0976	
830896	832011	1115	0.0	0.0	1.0	
956907	957231	324	0.8519	0.0247	0.0247	
96441403	96442145	742	0.2318	0.2183	0.5108	
1080818	1081244	426	0.5188	0.23	0.1502	
188313872	188314163	291	0.8041	0.0103	0.0893	
1194594	1195381	787	0.5693	0.1741	0.1652	
1212659	1212973	314	0.8439	0.0127	0.035	
96723999	96724383	384	0.7917	0.0156	0.0964	
96752441	96752673	232	0.8836	0.0431	0.0172	
96756917	96757412	495	0.4121	0.099	0.4525	
96757605	96758531	926	0.4741	0.27	0.1901	
96806360	96806683	323	0.6099	0.096	0.2074	
1362875	1363489	614	0.3746	0.1384	0.4707	
97030140	97031161	1021	0.2468	0.5054	0.1792	
188765764	188767395	1631	0.4243	0.3115	0.1839	
1464124	1465078	954	0.0304	0.0472	0.913	
1560943	1561189	246	0.9634	0.0	0.0	
1658236	1658978	742	0.0	0.0	1.0	
1726712	1727347	635	0.578	0.1606	0.189	
97469437	97470380	943	0.2556	0.6766	0.0424	
1790399	1790648	249	0.7992	0.0241	0.0924	
1882073	1882217	144	0.9514	0.0	0.0	
279175093	279175301	208	0.0	0.0	1.0	
1902078	1903670	1592	0.6891	0.0565	0.1966	
189344917	189346116	1199	0.6881	0.0559	0.156	
1992930	1993878	948	0.635	0.0981	0.1667	
2002359	2002926	567	0.5785	0.0123	0.3668	
2033840	2034290	450	0.6467	0.1978	0.06	
2046945	2047743	798	0.4561	0.0213	0.4561	
