start	end	length	IDY	missing1	missing2	
start	end	length	IDY	missing1	missing2	
132432258	132432785	527	0.8482	0.0076	0.0304	
144921019	144921655	636	0.6698	0.0975	0.1211	
194306886	194308039	1153	0.4727	0.1015	0.3374	
212054434	212054876	442	0.8416	0.0226	0.0271	
241712431	241713146	715	0.449	0.1343	0.3608	
261200568	261201254	686	0.7449	0.1152	0.0583	
261209839	261210670	831	0.4862	0.4356	0.0301	
307871782	307872577	795	0.4151	0.244	0.2717	
309772017	309772553	536	0.7407	0.056	0.0672	
321444658	321445576	918	0.8322	0.0283	0.024	
359012617	359013001	384	0.7552	0.0964	0.0547	
363957999	363959549	1550	0.7716	0.0555	0.0839	
394461557	394462725	1168	0.7654	0.0462	0.1045	
403295753	403296266	513	0.6218	0.1365	0.1735	
429603493	429604646	1153	0.3651	0.2853	0.2628	
438031153	438031766	613	0.4812	0.2757	0.2088	
439939283	439940410	1127	0.3416	0.2263	0.3496	
478316504	478317147	643	0.8476	0.0171	0.0342	
93244878	93245478	600	0.7283	0.08	0.0917	
95877955	95878252	297	0.8384	0.0505	0.0168	
