start	end	length	IDY	missing1	missing2	
605352	605683	331	0.9517	0.0	0.003	
607913	608992	1079	0.4819	0.2743	0.2002	
1074411	1075111	700	0.6429	0.1543	0.1186	
1074411	1079221	4810	0.2655	0.1214	0.5701	
1079046	1079527	481	0.2599	0.4595	0.2495	
1111656	1112221	565	0.7611	0.1044	0.0372	
1153409	1154351	942	0.396	0.0329	0.5117	
1154966	1157642	2676	0.4772	0.068	0.3786	
1164739	1167050	2311	0.1017	0.3994	0.4868	
1185029	1185271	242	0.9132	0.0165	0.0041	
1189165	1190880	1715	0.2764	0.2828	0.3866	
1196489	1200441	3952	0.3856	0.1245	0.4203	
1444735	1444993	258	0.9147	0.0078	0.0	
1488861	1490450	1589	0.2794	0.1435	0.5362	
1539821	1540645	824	0.3653	0.1966	0.4138	
1540075	1540904	829	0.5259	0.1749	0.2268	
1540681	1541612	931	0.3963	0.4436	0.0913	
1612405	1614847	2442	0.6638	0.0954	0.1261	
1745003	1745315	312	0.8878	0.0256	0.0288	
1775239	1775517	278	0.8345	0.0108	0.0324	
1781542	1781863	321	0.8598	0.0	0.0249	
1781542	1782458	916	0.452	0.4083	0.059	
1829921	1830528	607	0.5898	0.0807	0.2191	
1848222	1848481	259	0.8842	0.0	0.0541	
2025207	2027308	2101	0.6211	0.1104	0.1656	
2155354	2159128	3774	0.1733	0.0636	0.7279	
2256828	2258235	1407	0.6233	0.1073	0.1983	
2294160	2295362	1202	0.5333	0.0923	0.282	
2305515	2305693	178	0.7865	0.073	0.0281	
2305623	2307599	1976	0.2915	0.3077	0.3376	
2320668	2322183	1515	0.2726	0.468	0.196	
2419810	2420594	784	0.7194	0.0548	0.0842	
2419810	2421701	1891	0.5822	0.0799	0.2343	
2434698	2436890	2192	0.4795	0.0228	0.4288	
2443619	2443842	223	0.9327	0.0045	0.0179	
2446515	2447430	915	0.588	0.1104	0.1377	
2616867	2617364	497	0.7384	0.1066	0.0523	
2675944	2678175	2231	0.7158	0.065	0.1201	
2676003	2678972	2969	0.6463	0.1051	0.1533	
2764660	2765545	885	0.1175	0.5695	0.3028	
2764884	2766390	1506	0.1879	0.6268	0.156	
2826702	2827465	763	0.5963	0.0197	0.2818	
2896062	2896540	478	0.7636	0.136	0.0126	
3231268	3231850	582	0.4124	0.1031	0.4313	
3231268	3235933	4665	0.0605	0.8607	0.0714	
3231268	3238646	7378	0.069	0.8731	0.0466	
3585354	3585758	404	0.8837	0.0025	0.0396	
3701035	3701342	307	0.9577	0.0	0.0	
3755344	3755626	282	0.9504	0.0	0.0	
3755357	3756439	1082	0.6414	0.1331	0.1442	
3779309	3780755	1446	0.3679	0.1196	0.4606	
3883279	3884265	986	0.5183	0.1055	0.3022	
3900520	3901301	781	0.6364	0.114	0.1472	
4244673	4244906	233	0.6996	0.1459	0.0558	
4310159	4310565	406	0.5813	0.2266	0.0665	
4313406	4313732	326	0.7577	0.1472	0.0123	
4338625	4338888	263	0.8859	0.0	0.0	
4355537	4356838	1301	0.4596	0.1053	0.3359	
4357526	4358028	502	0.755	0.0697	0.0378	
4357614	4359025	1411	0.2211	0.0886	0.652	
4415279	4416770	1491	0.2247	0.1469	0.5895	
4415811	4418564	2753	0.2543	0.4417	0.2601	
4470077	4470596	519	0.5838	0.3276	0.0039	
4471796	4473699	1903	0.3442	0.1597	0.4246	
4471774	4472349	575	0.44	0.0052	0.473	
4653987	4654580	593	0.8634	0.0034	0.0287	
4771950	4772511	561	0.4831	0.0695	0.3957	
5051786	5053347	1561	0.3248	0.1531	0.4811	
5067660	5068646	986	0.2951	0.1897	0.4888	
5121372	5122689	1317	0.5444	0.0714	0.2779	
5145621	5147239	1618	0.0933	0.8986	0.0031	
5244599	5245233	634	0.265	0.5536	0.1246	
5244599	5245748	1149	0.4978	0.3255	0.0809	
5247462	5247728	266	0.9248	0.0263	0.0038	
5253734	5253994	260	0.8769	0.0692	0.0038	
5261201	5262367	1166	0.6012	0.1081	0.1921	
5266120	5266745	625	0.4368	0.2224	0.3008	
5317795	5318744	949	0.3909	0.1496	0.3909	
5595414	5595767	353	0.3456	0.1955	0.4249	
5719381	5719788	407	0.8428	0.0442	0.0197	
5769028	5769891	863	0.438	0.0197	0.4925	
5794999	5796022	1023	0.3216	0.0802	0.5523	
5808003	5808928	925	0.7632	0.0357	0.0551	
5926885	5927179	294	0.8129	0.0748	0.0068	
5942115	5942714	599	0.6444	0.1486	0.0851	
5959424	5960349	925	0.2746	0.1016	0.5827	
6020168	6022003	1835	0.2458	0.1793	0.5499	
6191859	6192828	969	0.6471	0.0795	0.1311	
6241145	6241677	532	0.6974	0.0677	0.1203	
6241145	6242654	1509	0.393	0.175	0.3824	
6754847	6755856	1009	0.3717	0.0406	0.5292	
6783315	6783570	255	0.7294	0.0627	0.0235	
7022217	7022387	170	0.8471	0.0941	0.0	
7049094	7049626	532	0.3891	0.0639	0.4887	
7092769	7093426	657	0.7473	0.105	0.0533	
7253384	7254200	816	0.5257	0.0159	0.4105	
7275063	7275322	259	0.9575	0.0116	0.0039	
7489048	7489823	775	0.7794	0.0516	0.0619	
7634718	7635041	323	0.7616	0.0774	0.0279	
7690440	7690910	470	0.8021	0.0362	0.0191	
7733772	7735414	1642	0.5012	0.1553	0.2747	
7754638	7755632	994	0.1861	0.331	0.4577	
7758301	7759420	1119	0.437	0.0581	0.479	
7762772	7763142	370	0.8784	0.0	0.0108	
7766578	7767269	691	0.055	0.0246	0.903	
7800435	7800929	494	0.5283	0.1154	0.3259	
7829637	7829902	265	0.9132	0.0	0.0226	
7843143	7844080	937	0.6574	0.1761	0.0758	
8233402	8234681	1279	0.62	0.122	0.154	
8294839	8295624	785	0.2561	0.4522	0.2191	
8294839	8295899	1060	0.3528	0.3491	0.1991	
8437629	8438226	597	0.459	0.3886	0.0838	
8774890	8775803	913	0.2815	0.2738	0.3987	
8932677	8932901	224	0.9554	0.0089	0.0045	
8957077	8959565	2488	0.3959	0.1732	0.3822	
9010919	9011657	738	0.7087	0.0203	0.1748	
9027136	9027670	534	0.7734	0.0225	0.0524	
9171804	9172033	229	0.6987	0.0131	0.2489	
9274119	9274410	291	0.7904	0.0447	0.0756	
9300796	9301505	709	0.7094	0.0917	0.0649	
9311367	9312366	999	0.7768	0.043	0.1121	
9425011	9425528	517	0.7834	0.0174	0.0484	
9433116	9434185	1069	0.5126	0.0879	0.3115	
9437413	9437658	245	0.7102	0.049	0.1633	
9603607	9604086	479	0.3591	0.524	0.0731	
9877886	9879321	1435	0.1275	0.4753	0.3763	
9919962	9921170	1208	0.3502	0.0637	0.4975	
10786763	10790820	4057	0.1435	0.2393	0.5975	
10887770	10888043	273	0.7216	0.0806	0.1612	
10925806	10926515	709	0.5374	0.086	0.2553	
10935715	10937857	2142	0.1774	0.2026	0.5915	
10937500	10939452	1952	0.2654	0.2264	0.4631	
10971521	10972543	1022	0.5753	0.1027	0.2476	
10973165	10973526	361	0.4986	0.144	0.3047	
10991074	10991886	812	0.564	0.1576	0.2044	
10991074	10991352	278	0.8849	0.0144	0.0	
11049351	11049594	243	0.8889	0.0041	0.0123	
11063820	11065016	1196	0.5309	0.1363	0.2734	
11063644	11063946	302	0.8046	0.0298	0.0397	
11091029	11091649	620	0.5774	0.0484	0.2629	
11106190	11109753	3563	0.2436	0.057	0.6753	
11106190	11108817	2627	0.1675	0.062	0.7609	
11122531	11127349	4818	0.0548	0.0376	0.9058	
11127167	11127940	773	0.1708	0.8085	0.0065	
11134140	11134906	766	0.6018	0.0496	0.2559	
11142963	11143323	360	0.6722	0.0139	0.2833	
11156672	11156917	245	0.849	0.0367	0.0	
11156672	11157691	1019	0.6438	0.0589	0.2022	
11224146	11224385	239	0.9247	0.0377	0.0042	
11392452	11394136	1684	0.4792	0.1698	0.2821	
11408565	11409340	775	0.4606	0.0413	0.4374	
11492154	11492717	563	0.9663	0.0053	0.0018	
11525590	11526115	525	0.8571	0.0324	0.021	
11594647	11595268	621	0.9807	0.0	0.0	
11708054	11709019	965	0.6021	0.1668	0.1067	
11709467	11709694	227	0.9383	0.0044	0.0	
11711187	11713150	1963	0.6933	0.0469	0.1814	
11736450	11736869	419	0.9284	0.0072	0.0048	
11901949	11902513	564	0.8138	0.0213	0.023	
11904412	11904726	314	0.8439	0.0	0.1338	
11918915	11919382	467	0.7966	0.0921	0.0364	
11921838	11922123	285	0.8526	0.0737	0.0175	
11943134	11943683	549	0.9089	0.0128	0.0182	
12027128	12028490	1362	0.5022	0.1013	0.3304	
12040572	12041001	429	0.5478	0.4242	0.0186	
12184304	12185031	727	0.542	0.2407	0.1472	
12367371	12367875	504	0.8452	0.0139	0.0377	
12387731	12388849	1118	0.7245	0.0912	0.0957	
12389761	12390086	325	0.7231	0.1508	0.0277	
12445630	12446100	470	0.866	0.0128	0.0213	
12453620	12453940	320	0.9719	0.0	0.0	
12455267	12455596	329	0.7872	0.0334	0.0456	
12571582	12571931	349	0.8997	0.0229	0.0057	
12594425	12594714	289	0.8547	0.0415	0.0104	
12783485	12784123	638	0.7665	0.0815	0.0533	
12785034	12785918	884	0.4683	0.1516	0.25	
12793685	12794812	1127	0.6513	0.016	0.2591	
12794784	12795216	432	0.7755	0.0162	0.1227	
12795674	12796733	1059	0.6723	0.1246	0.102	
12863447	12865085	1638	0.348	0.257	0.3358	
12928151	12928504	353	0.8414	0.034	0.017	
12951561	12952539	978	0.8558	0.0235	0.0613	
12980090	12980507	417	0.5899	0.1463	0.2062	
12998142	12999475	1333	0.5319	0.2033	0.1913	
13111594	13111862	268	0.959	0.0037	0.0	
13234206	13234966	760	0.0	0.5513	0.4487	
13278347	13278589	242	0.8471	0.0537	0.0083	
13284466	13285757	1291	0.4214	0.1464	0.3718	
13284757	13287943	3186	0.3503	0.3487	0.2448	
13680550	13681368	818	0.3362	0.1699	0.4621	
13825265	13826342	1077	0.3231	0.1086	0.5246	
14059454	14059861	407	0.7862	0.1179	0.0098	
14062754	14063127	373	0.6273	0.0268	0.3244	
14090880	14091392	512	0.8711	0.0117	0.0391	
14152291	14153734	1443	0.2751	0.1947	0.4879	
14316991	14319174	2183	0.4672	0.0573	0.4109	
14324383	14325458	1075	0.3563	0.5656	0.0335	
14617469	14617835	366	0.9235	0.0027	0.0055	
14617497	14618127	630	0.8333	0.0222	0.0619	
14718867	14719467	600	0.8883	0.0083	0.0567	
14893709	14893903	194	0.9639	0.0052	0.0	
14895083	14895754	671	0.9151	0.0045	0.0089	
14895083	14896330	1247	0.7715	0.1099	0.0561	
14903085	14904414	1329	0.538	0.0971	0.3123	
14949995	14950617	622	0.783	0.0482	0.0402	
14992160	14992934	774	0.4935	0.1615	0.2959	
15024582	15024863	281	0.8826	0.0036	0.0285	
15051571	15052658	1087	0.3413	0.2723	0.3597	
15056133	15056658	525	0.4362	0.1467	0.341	
15102293	15102450	157	0.8854	0.0127	0.0318	
15102332	15103009	677	0.7164	0.1699	0.0325	
15117214	15117385	171	0.8889	0.0	0.0117	
15117214	15118100	886	0.6445	0.2246	0.0677	
15123921	15124756	835	0.5234	0.0096	0.4311	
15220941	15221471	530	0.4057	0.4453	0.0792	
15222204	15222410	206	0.9175	0.0	0.0534	
15232296	15232705	409	0.8093	0.0513	0.0367	
15251126	15251681	555	0.4919	0.2937	0.1153	
15276117	15276714	597	0.8342	0.005	0.0921	
15350673	15351368	695	0.7755	0.0245	0.1007	
15402218	15402788	570	0.6088	0.2526	0.0246	
15414808	15416161	1353	0.6016	0.0414	0.2986	
15786325	15786576	251	0.9163	0.008	0.0558	
15908654	15909121	467	0.561	0.1135	0.2741	
16015895	16017029	1134	0.5882	0.216	0.1305	
16084768	16085692	924	0.8896	0.0141	0.0325	
16128250	16128427	177	0.9605	0.0	0.0	
16302457	16302646	189	0.9312	0.0	0.0053	
16313914	16314160	246	0.8211	0.0732	0.0041	
16346816	16348217	1401	0.4311	0.0985	0.4133	
16347849	16348615	766	0.6932	0.1175	0.1097	
