start	end	length	IDY	missing1	missing2	
10020827	10022091	1264	0.4003	0.2492	0.2722	
10047134	10047440	306	0.8824	0.0033	0.0359	
100541080	100541843	763	0.3709	0.0315	0.5216	
10058305	10059366	1061	0.8784	0.0028	0.05	
100685267	100686677	1410	0.2411	0.2369	0.4922	
10071862	10072175	313	0.8243	0.0192	0.0831	
10096067	10096335	268	0.709	0.0037	0.1903	
10114311	10114720	409	0.868	0.0147	0.0342	
101224274	101225822	1548	0.3068	0.3327	0.3366	
102484523	102485215	692	0.7991	0.1084	0.0289	
103764659	103765204	545	0.7174	0.0771	0.0936	
104007436	104009290	1854	0.2546	0.0987	0.5965	
104997373	104997693	320	0.8688	0.0563	0.0156	
105114419	105114993	574	0.4599	0.2613	0.2265	
105282920	105283566	646	0.644	0.1254	0.1006	
10555217	10556278	1061	0.5834	0.1018	0.1913	
105620312	105620516	204	0.8627	0.0294	0.0686	
105632214	105633447	1233	0.468	0.2498	0.1938	
107952803	107955093	2290	0.3428	0.0341	0.5598	
107967675	107968290	615	0.9366	0.0228	0.0065	
108258971	108259338	367	0.9183	0.0	0.0218	
109669544	109670375	831	0.6089	0.1625	0.1348	
109683105	109683502	397	0.8086	0.0479	0.0252	
109754343	109755030	687	0.8981	0.0204	0.0116	
11039320	11039943	623	0.7769	0.0546	0.0626	
111202678	111203245	567	0.7231	0.0265	0.127	
111413593	111413925	332	0.9518	0.0	0.0	
111841919	111842234	315	0.8349	0.0349	0.0444	
111940941	111941958	1017	0.4356	0.2035	0.2979	
111969872	111971287	1415	0.3887	0.2452	0.2862	
11220167	11220597	430	0.8884	0.0419	0.0163	
112218072	112218934	862	0.4478	0.0708	0.3944	
112403538	112403991	453	0.8013	0.0088	0.0905	
112431871	112432325	454	0.7445	0.0352	0.152	
113303519	113304499	980	0.8786	0.002	0.0245	
113319372	113319542	170	0.9529	0.0059	0.0	
113486746	113487377	631	0.5214	0.0254	0.4089	
113542956	113544247	1291	0.4415	0.1247	0.3811	
113550853	113551074	221	0.8824	0.0271	0.0362	
113568356	113570086	1730	0.2491	0.6121	0.1173	
113600970	113601541	571	0.5674	0.31	0.056	
113602239	113602952	713	0.7574	0.0659	0.0645	
113604046	113604333	287	0.9268	0.0	0.007	
113608615	113609267	652	0.5567	0.0276	0.3558	
113724228	113724996	768	0.513	0.224	0.2188	
113969440	113970039	599	0.5392	0.0301	0.3589	
114281050	114281239	189	0.8042	0.0529	0.0582	
114302896	114303601	705	0.6496	0.0312	0.2681	
114308121	114308803	682	0.8211	0.0323	0.0337	
114325535	114327749	2214	0.4237	0.1734	0.3564	
114537938	114538726	788	0.8464	0.033	0.0114	
114553534	114553767	233	0.9828	0.0	0.0043	
114578371	114578988	617	0.5948	0.1361	0.2204	
114633551	114634010	459	0.6623	0.0	0.2527	
114705390	114705773	383	0.9399	0.0	0.0	
114765488	114766835	1347	0.8159	0.0728	0.0661	
114791344	114792662	1318	0.4021	0.3392	0.1836	
114875441	114875982	541	0.6599	0.1275	0.159	
114882521	114883064	543	0.8361	0.0479	0.0221	
114890449	114890887	438	0.9132	0.0068	0.032	
115116494	115116935	441	0.9773	0.0	0.0	
115204433	115204765	332	0.9578	0.0	0.0	
115275541	115276066	525	0.56	0.1886	0.1981	
116509223	116509439	216	0.912	0.0417	0.0185	
117064761	117065358	597	0.6667	0.0	0.2529	
117345302	117345629	327	0.7615	0.0092	0.1223	
117631046	117632002	956	0.8985	0.0167	0.0377	
117635957	117636414	457	0.779	0.0547	0.0766	
117664148	117664740	592	0.8294	0.0541	0.0152	
118432045	118432363	318	0.434	0.0252	0.4591	
118895994	118897166	1172	0.4326	0.2671	0.2338	
119001228	119001846	618	0.6133	0.0113	0.2476	
12151887	12152632	745	0.8161	0.0201	0.0456	
121525618	121526616	998	0.4729	0.2064	0.2665	
12419560	12420645	1085	0.4129	0.3493	0.1677	
129094904	129096045	1141	0.1218	0.5644	0.3032	
129238686	129239422	736	0.4103	0.3601	0.163	
12939175	12940499	1324	0.6405	0.1261	0.1412	
129407164	129407800	636	0.9072	0.0016	0.0126	
129780571	129781422	851	0.5288	0.3702	0.0341	
130075031	130075519	488	0.7725	0.1311	0.0164	
130187927	130188270	343	0.7668	0.0058	0.2012	
13033638	13034943	1305	0.8881	0.013	0.0199	
130928966	130929489	523	0.9331	0.0057	0.0	
131246402	131247220	818	0.6381	0.0587	0.2066	
131261630	131262393	763	0.2726	0.2975	0.3945	
131283326	131284331	1005	0.4189	0.3055	0.201	
131478245	131478557	312	0.8814	0.0192	0.0	
131479131	131479558	427	0.5597	0.103	0.267	
131484827	131485058	231	0.9004	0.026	0.0	
131486941	131487944	1003	0.4566	0.1615	0.3111	
