start	end	length	IDY	missing1	missing2	
903417	903873	456	0.4452	0.5066	0.0241	
1133644	1134092	448	0.8393	0.0179	0.0223	
1147560	1150096	2536	0.1901	0.0978	0.6822	
1195538	1196256	718	0.5655	0.2493	0.0766	
1725594	1725753	159	0.0943	0.8805	0.0	
1783126	1783874	748	0.2821	0.1404	0.5388	
1787262	1788925	1663	0.3307	0.1798	0.4299	
1842127	1844361	2234	0.2462	0.0654	0.6482	
1879502	1879864	362	0.6519	0.0608	0.1685	
1881293	1881964	671	0.462	0.2399	0.1744	
1884640	1886673	2033	0.2332	0.124	0.6144	
1927842	1928497	655	0.7863	0.0519	0.0611	
2022986	2024648	1662	0.3779	0.1775	0.3905	
2164864	2166483	1619	0.3051	0.1266	0.5003	
2239009	2240768	1759	0.224	0.1876	0.5503	
2252373	2252712	339	0.8466	0.0177	0.0	
2255662	2256107	445	0.818	0.0427	0.0584	
2256828	2258336	1508	0.6247	0.1034	0.187	
2273813	2273963	150	0.9267	0.0133	0.0	
2277578	2279868	2290	0.455	0.145	0.3301	
2315738	2316173	435	0.8138	0.0276	0.0805	
2670329	2670903	574	0.5488	0.108	0.2683	
2709834	2710194	360	0.8611	0.0389	0.0222	
3200916	3201391	475	0.6168	0.0716	0.2126	
3310379	3310540	161	0.9379	0.0	0.0124	
3327940	3330588	2648	0.0816	0.0759	0.8327	
3334142	3334702	560	0.6768	0.1214	0.1018	
3335634	3336936	1302	0.3233	0.0584	0.5668	
3410232	3411323	1091	0.3703	0.1366	0.4418	
3596461	3597239	778	0.2841	0.5488	0.0938	
3696941	3697214	273	0.9304	0.0	0.033	
3737383	3738270	887	0.628	0.0665	0.2368	
3748447	3749198	751	0.3968	0.008	0.5619	
3756973	3757532	559	0.2379	0.1735	0.5599	
3868350	3868777	427	0.5995	0.171	0.0773	
3896116	3898650	2534	0.4996	0.2194	0.2238	
4167396	4167593	197	0.8223	0.1371	0.0102	
4380284	4380544	260	0.6115	0.35	0.0	
4448556	4448718	162	0.0	1.0	0.0	
4643921	4646445	2524	0.3467	0.0689	0.5361	
4710171	4710573	402	0.5871	0.3358	0.01	
4888413	4889227	814	0.2826	0.188	0.4533	
5019104	5019690	586	0.9096	0.0188	0.0068	
5048272	5049970	1698	0.639	0.1101	0.159	
5117791	5119503	1712	0.3008	0.0397	0.6174	
5136362	5137497	1135	0.4564	0.1612	0.3145	
5196967	5197275	308	0.8961	0.0162	0.039	
5275021	5276847	1826	0.4792	0.1681	0.2766	
5643537	5643778	241	0.0	1.0	0.0	
5645806	5647312	1506	0.1102	0.1268	0.755	
5647806	5650271	2465	0.3108	0.0114	0.6329	
