start	end	length	IDY	missing1	missing2	
112414101	112414449	348	0.5776	0.2155	0.1638	
116823158	116823673	515	0.6466	0.068	0.1922	
151019367	151019846	479	0.8434	0.0251	0.0125	
232739570	232740074	504	0.4544	0.1528	0.3512	
156278606	156281503	2897	0.3531	0.2347	0.3421	
157934029	157934423	394	0.8553	0.0305	0.0152	
159897059	159897338	279	0.7778	0.0466	0.1111	
160482258	160482724	466	0.2468	0.6094	0.1202	
183752715	183753087	372	0.629	0.078	0.1452	
267997493	267997753	260	0.9154	0.0	0.0308	
375600866	375601305	439	0.0	0.0	1.0	
215403383	215403870	487	0.6961	0.1027	0.1129	
22257951	22258289	338	0.9112	0.0	0.0089	
315454379	315454768	389	0.6992	0.0	0.2596	
59249730	59250194	464	0.8707	0.0194	0.0194	
265440246	265443298	3052	0.231	0.654	0.0711	
243122557	243122869	312	0.8974	0.0	0.0449	
250597814	250598130	316	0.8734	0.019	0.038	
253355275	253355874	599	0.8965	0.0234	0.015	
279838182	279839727	1545	0.6699	0.0848	0.1812	
422926650	422927386	736	0.4891	0.4457	0.0353	
423827591	423828068	477	0.87	0.0294	0.0231	
428092860	428093319	459	0.7712	0.1438	0.0327	
276945544	276946126	582	0.543	0.0292	0.3814	
279834965	279835347	382	0.877	0.0419	0.0288	
402479564	402480006	442	0.6425	0.2376	0.0588	
320773830	320774109	279	0.4194	0.1828	0.3692	
416387146	416387745	599	0.7095	0.0985	0.0701	
59229774	59230232	458	0.7795	0.0	0.1528	
59320318	59320574	256	0.6758	0.168	0.1055	
59347212	59347451	239	0.9414	0.0	0.0251	
59409447	59409879	432	0.8704	0.0208	0.0324	
8234452	8234683	231	0.9524	0.0	0.0	
66685071	66685428	357	0.2493	0.2773	0.4258	
59235760	59236532	772	0.5013	0.3472	0.0738	
59237834	59238481	647	0.8655	0.0155	0.017	
59292533	59293250	717	0.8912	0.0195	0.0404	
59377283	59377570	287	0.8571	0.0279	0.0453	
59396321	59397090	769	0.6476	0.0949	0.1951	
72489977	72491124	1147	0.1421	0.667	0.17	
357998579	357999579	1000	0.709	0.083	0.12	
408091029	408091388	359	0.0	0.0	1.0	
59284808	59285119	311	0.8553	0.0547	0.0161	
59386361	59387428	1067	0.8154	0.0356	0.0084	
401586485	401587596	1111	0.3204	0.5518	0.09	
59305761	59306000	239	0.8159	0.1004	0.0209	
86267653	86268390	737	0.6106	0.1085	0.2049	
404849955	404851094	1139	0.2353	0.446	0.2994	
59206744	59207284	540	0.8056	0.0426	0.0222	
59351671	59352091	420	0.7762	0.0548	0.0714	
434087209	434087736	527	0.7818	0.0171	0.1347	
44600862	44601324	462	0.6234	0.0195	0.3074	
59380332	59381830	1498	0.8097	0.0581	0.0714	
8405268	8405571	303	0.8317	0.0033	0.0726	
16059755	16060540	785	0.7885	0.0675	0.065	
59234796	59235097	301	0.8738	0.0	0.0498	
59248391	59248918	527	0.7571	0.0455	0.093	
59271166	59271511	345	0.9391	0.0	0.0	
59271789	59272314	525	0.861	0.0362	0.0476	
59273338	59273618	280	0.9571	0.0	0.0	
59281076	59281457	381	0.8189	0.0289	0.0551	
59297502	59299121	1619	0.9024	0.0204	0.0154	
59317453	59318173	720	0.8778	0.0042	0.0333	
59339234	59339466	232	0.9483	0.0431	0.0043	
59348113	59348779	666	0.8859	0.0	0.042	
59350849	59351141	292	0.9418	0.0	0.0103	
59352440	59352903	463	0.797	0.0454	0.0583	
59355865	59356166	301	0.9502	0.0	0.0133	
59361219	59362417	1198	0.7387	0.0735	0.121	
59367338	59368121	783	0.6462	0.1111	0.1226	
59371988	59372358	370	0.9189	0.0216	0.0	
59375186	59375754	568	0.8239	0.0246	0.0599	
59378370	59378710	340	0.7559	0.1441	0.0235	
59382373	59383613	1240	0.8702	0.0226	0.0452	
59389520	59390013	493	0.8073	0.0913	0.0345	
59390425	59391745	1320	0.6545	0.0841	0.1432	
59392604	59392973	369	0.8835	0.0217	0.0298	
59393833	59394175	342	0.9211	0.0029	0.0146	
59399216	59399702	486	0.8333	0.07	0.0144	
59400155	59400322	167	0.8743	0.006	0.018	
59401440	59402343	903	0.845	0.0266	0.0532	
59403953	59404582	629	0.9173	0.0079	0.0127	
59405119	59405316	197	0.9492	0.0	0.0	
59405723	59406523	800	0.92	0.005	0.025	
59407540	59409056	1516	0.8674	0.0224	0.0356	
59415557	59416009	452	0.8518	0.0155	0.0155	
65213153	65214226	1073	0.6076	0.1454	0.1482	
87133472	87133753	281	0.8185	0.032	0.0605	
112956640	112957700	1060	0.6538	0.1981	0.0594	
115347283	115347690	407	0.688	0.1057	0.1425	
137796397	137796662	265	0.766	0.0113	0.1509	
150980266	150980534	268	0.9403	0.0	0.0149	
151056991	151057437	446	0.8587	0.0	0.0919	
192596972	192597822	850	0.5141	0.1529	0.2082	
210020642	210021333	691	0.7033	0.013	0.2229	
316315152	316316229	1077	0.6955	0.1606	0.065	
326067095	326067617	522	0.7375	0.0651	0.0881	
345537460	345538203	743	0.6339	0.2813	0.0202	
348750182	348750720	538	0.539	0.1822	0.2156	
355148611	355148898	287	0.9791	0.0035	0.0	
357775253	357775670	417	0.8609	0.0216	0.0264	
425345507	425345951	444	0.8041	0.0946	0.027	
438419145	438419763	618	0.7524	0.0129	0.0971	
447596193	447596765	572	0.9476	0.0	0.0245	
453601004	453601255	251	0.8845	0.008	0.0159	
