PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_shared_5thup_melpCoords.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_5th_p05FC1_shared_5thup_melpCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
127	Hmel201009	1395256	1395866	+	0	NA	Intergenic	Intergenic	-13142	ID=HMEL030148g1.t1-E1;Parent=HMEL030148g1.t1								
1801	Hmel220005	4334189	4334701	+	0	NA	Intergenic	Intergenic	-4760	ID=HMEL035207g1.t1-E1;Parent=HMEL035207g1.t1								
71	Hmel206009	2008211	2008903	+	0	NA	Intergenic	Intergenic	-18544	ID=HMEL037036g1.t1-E1;Parent=HMEL037036g1.t1								
1648	Hmel202006	4554009	4554567	+	0	NA	Intergenic	Intergenic	-5034	ID=HMEL014045g1.t1-E4;Parent=HMEL014045g1.t1								
1481	Hmel218018	503126	503578	+	0	NA	Intergenic	Intergenic	-2542	ID=HMEL017486g1.t1-E1;Parent=HMEL017486g1.t1								
1178	Hmel215011	9319	10052	+	0	NA	Intergenic	Intergenic	1408	ID=HMEL032711g1.t1-E3;Parent=HMEL032711g1.t1								
1387	Hmel218003	816321	816890	+	0	NA	Intergenic	Intergenic	-14939	ID=HMEL001014g1.t1-E1;Parent=HMEL001014g1.t1								
512	Hmel210005	424692	425089	+	0	NA	Intergenic	Intergenic	-5071	ID=HMEL014104g1.t1-E1;Parent=HMEL014104g1.t1								
1932	Hmel203030	173592	174057	+	0	NA	Intergenic	Intergenic	-7240	ID=HMEL036017g1.t1-E1;Parent=HMEL036017g1.t1								
463	Hmel210001	1151308	1152760	+	0	NA	Intergenic	Intergenic	-1280	ID=HMEL017350g1.t1-E1;Parent=HMEL017350g1.t1								
517	Hmel210005	620531	621001	+	0	NA	TTS (ID=HMEL030757g1.t1-E1;Parent=HMEL030757g1.t1)	-TTS (ID=HMEL030757g1.t1-E1;Parent=HMEL030757g1.t1)	221	ID=HMEL030757g1.t1-E1;Parent=HMEL030757g1.t1								
458	Hmel209007	5315327	5316472	+	0	NA	TTS (ID=HMEL030522g1.t1-E2;Parent=HMEL030522g1.t1)	-TTS (ID=HMEL030522g1.t1-E2;Parent=HMEL030522g1.t1)	167	ID=HMEL030523g1.t1-E3;Parent=HMEL030523g1.t1								
1785	Hmel220005	3243541	3243715	+	0	NA	Intergenic	Intergenic	-1188	ID=HMEL035176g1.t1-E1;Parent=HMEL035176g1.t1								
1250	Hmel216011	1005865	1006029	+	0	NA	Intergenic	Intergenic	5612	ID=HMEL033547g1.t1-E6;Parent=HMEL033547g1.t1								
1363	Hmel217018	484026	484444	+	0	NA	Intergenic	Intergenic	-22625	ID=HMEL033964g1.t1-E1;Parent=HMEL033964g1.t1								
722	Hmel201002	1339568	1340437	+	0	NA	Intergenic	Intergenic	7652	ID=HMEL011296g1.t1-E2;Parent=HMEL011296g1.t1								
1109	Hmel202004	740614	741109	+	0	NA	Intergenic	Intergenic	-7929	ID=HMEL033198g1.t1-E1;Parent=HMEL033198g1.t1								
2067	Hmel201007	1432631	1433084	+	0	NA	Intergenic	Intergenic	-8199	ID=HMEL022587g1.t1-E1;Parent=HMEL022587g1.t1								
1630	Hmel219003	4688504	4688937	+	0	NA	Intergenic	Intergenic	-17837	ID=HMEL013138g1.t1-E1;Parent=HMEL013138g1.t1								
1597	Hmel219003	1878509	1879736	+	0	NA	promoter-TSS (ID=HMEL010666g1.t1-E3;Parent=HMEL010666g1.t1)	-promoter-TSS (ID=HMEL010666g1.t1-E3;Parent=HMEL010666g1.t1)	-279	ID=HMEL010666g1.t1-E3;Parent=HMEL010666g1.t1								
728	Hmel211012	943437	943702	+	0	NA	Intergenic	Intergenic	-10455	ID=HMEL015092g1.t1-E2;Parent=HMEL015092g1.t1								
1244	Hmel216011	822876	823200	+	0	NA	Intergenic	Intergenic	13254	ID=HMEL011147g1.t1-E4;Parent=HMEL011147g1.t1								
1638	Hmel219003	5194639	5195324	+	0	NA	Intergenic	Intergenic	23617	ID=HMEL034658g1.t1-E2;Parent=HMEL034658g1.t1								
742	Hmel201011	2565372	2565792	+	0	NA	Intergenic	Intergenic	-23686	ID=HMEL011985g1.t1-E1;Parent=HMEL011985g1.t1								
29	Hmel206006	2131808	2132235	+	0	NA	Intergenic	Intergenic	10072	ID=HMEL016514g1.t1-E26;Parent=HMEL016514g1.t1								
350	Hmel208021	174980	175723	+	0	NA	promoter-TSS (ID=HMEL037940g1.t1-E1;Parent=HMEL037940g1.t1)	-promoter-TSS (ID=HMEL037940g1.t1-E1;Parent=HMEL037940g1.t1)	-192	ID=HMEL037940g1.t1-E1;Parent=HMEL037940g1.t1								
1969	Hmel203049	66423	66830	+	0	NA	promoter-TSS (ID=HMEL010128g1.t1-E1;Parent=HMEL010128g1.t1)	-promoter-TSS (ID=HMEL010128g1.t1-E1;Parent=HMEL010128g1.t1)	-942	ID=HMEL010128g1.t1-E1;Parent=HMEL010128g1.t1								
1810	Hmel220005	5694038	5694932	+	0	NA	Intergenic	Intergenic	27175	ID=HMEL012769g1.t1-E1;Parent=HMEL012769g1.t1								
58	Hmel201009	648193	648620	+	0	NA	TTS (ID=HMEL003953g2.t1-E1;Parent=HMEL003953g2.t1)	-TTS (ID=HMEL003953g2.t1-E1;Parent=HMEL003953g2.t1)	831	ID=HMEL003953g2.t2-E1;Parent=HMEL003953g2.t2								
153	Hmel207002	1187458	1188448	+	0	NA	Intergenic	Intergenic	2420	ID=HMEL037381g1.t1-E2;Parent=HMEL037381g1.t1								
1546	Hmel218018	6749605	6749829	+	0	NA	Intergenic	Intergenic	2647	ID=HMEL034467g1.t1-E2;Parent=HMEL034467g1.t1								
101	Hmel206009	3757998	3758186	+	0	NA	Intergenic	Intergenic	-15696	ID=HMEL014666g1.t1-E1;Parent=HMEL014666g1.t1								
340	Hmel201009	3517424	3517790	+	0	NA	TTS (ID=HMEL012408g1.t1-E8;Parent=HMEL012408g1.t1)	-TTS (ID=HMEL012408g1.t1-E8;Parent=HMEL012408g1.t1)	1005	ID=HMEL012408g1.t1-E8;Parent=HMEL012408g1.t1								
311	Hmel207023	497810	498508	+	0	NA	Intergenic	Intergenic	-14696	ID=HMEL037742g1.t1-E1;Parent=HMEL037742g1.t1								
825	Hmel201019	285746	286238	+	0	NA	Intergenic	Intergenic	-1292	ID=HMEL033106g1.t1-E4;Parent=HMEL033106g1.t1								
917	Hmel212013	3178673	3180107	+	0	NA	Intergenic	Intergenic	10234	ID=HMEL012337g1.t1-E4;Parent=HMEL012337g1.t1								
495	Hmel210004	6821830	6822472	+	0	NA	Intergenic	Intergenic	4610	ID=HMEL022548g3.t1-E1;Parent=HMEL022548g3.t1								
1703	Hmel219018	1249530	1250132	+	0	NA	Intergenic	Intergenic	-13060	ID=HMEL034911g1.t1-E1;Parent=HMEL034911g1.t1								
2086	Hmel205012	1078418	1079706	+	0	NA	Intergenic	Intergenic	30428	ID=HMEL017894g4.t1-E10;Parent=HMEL017894g4.t1								
1322	Hmel217004	1471914	1472222	+	0	NA	Intergenic	Intergenic	-21511	ID=HMEL033798g1.t1-E1;Parent=HMEL033798g1.t1								
1816	Hmel220009	16904	17586	+	0	NA	promoter-TSS (ID=HMEL002238g3.t1-E1;Parent=HMEL002238g3.t1)	-promoter-TSS (ID=HMEL002238g3.t1-E1;Parent=HMEL002238g3.t1)	-146	ID=HMEL002238g3.t1-E1;Parent=HMEL002238g3.t1								
1172	Hmel215006	1933382	1934534	+	0	NA	Intergenic	Intergenic	-2382	ID=HMEL002914g1.t1-E1;Parent=HMEL002914g1.t1								
1259	Hmel216011	1331312	1332126	+	0	NA	Intergenic	Intergenic	15515	ID=HMEL033557g1.t1-E2;Parent=HMEL033557g1.t1								
834	Hmel212006	156811	157528	+	0	NA	TTS (ID=HMEL002720g1.t1-E1;Parent=HMEL002720g1.t1)	-TTS (ID=HMEL002720g1.t1-E1;Parent=HMEL002720g1.t1)	1476	ID=HMEL002720g1.t1-E1;Parent=HMEL002720g1.t1								
285	Hmel207021	1903234	1903997	+	0	NA	promoter-TSS (ID=HMEL037710g1.t1-E7;Parent=HMEL037710g1.t1)	-promoter-TSS (ID=HMEL037710g1.t1-E7;Parent=HMEL037710g1.t1)	-600	ID=HMEL037710g1.t1-E7;Parent=HMEL037710g1.t1								
1216	Hmel215047	1195920	1196124	+	0	NA	promoter-TSS (ID=HMEL032894g1.t1-E2;Parent=HMEL032894g1.t1)	-promoter-TSS (ID=HMEL032894g1.t1-E2;Parent=HMEL032894g1.t1)	-965	ID=HMEL032894g1.t1-E2;Parent=HMEL032894g1.t1								
1135	Hmel214024	845355	845933	+	0	NA	Intergenic	Intergenic	-3166	ID=HMEL013410g1.t1-E3;Parent=HMEL013410g1.t1								
2002	Hmel204001	1375030	1376162	+	0	NA	Intergenic	Intergenic	3156	ID=HMEL003675g2.t1-E6;Parent=HMEL003675g2.t1								
1203	Hmel215047	435509	435821	+	0	NA	Intergenic	Intergenic	6945	ID=HMEL032868g1.t1-E1;Parent=HMEL032868g1.t1								
96	Hmel206009	2883476	2883963	+	0	NA	promoter-TSS (ID=HMEL002773g1.t1-E1;Parent=HMEL002773g1.t1)	-promoter-TSS (ID=HMEL002773g1.t1-E1;Parent=HMEL002773g1.t1)	-191	ID=HMEL002773g1.t1-E1;Parent=HMEL002773g1.t1								
2088	Hmel205012	1267707	1268375	+	0	NA	Intergenic	Intergenic	-9744	ID=HMEL017902g2.t1-E1;Parent=HMEL017902g2.t1								
1068	Hmel213067	664121	665090	+	0	NA	Intergenic	Intergenic	-81637	ID=HMEL032194g1.t1-E1;Parent=HMEL032194g1.t1								
1667	Hmel219012	247255	247615	+	0	NA	Intergenic	Intergenic	-16969	ID=HMEL034765g1.t1-E1;Parent=HMEL034765g1.t1								
2114	Hmel205020	778262	778481	+	0	NA	Intergenic	Intergenic	-32963	ID=HMEL036806g1.t1-E1;Parent=HMEL036806g1.t1								
486	Hmel201011	98987	99531	+	0	NA	promoter-TSS (ID=HMEL006811g1.t2-E3;Parent=HMEL006811g1.t2)	-promoter-TSS (ID=HMEL006811g1.t2-E3;Parent=HMEL006811g1.t2)	-6	ID=HMEL006811g1.t2-E3;Parent=HMEL006811g1.t2								
1354	Hmel217014	383384	383695	+	0	NA	Intergenic	Intergenic	-7513	ID=HMEL033905g1.t1-E1;Parent=HMEL033905g1.t1								
569	Hmel201011	898387	900175	+	0	NA	promoter-TSS (ID=HMEL033027g1.t1-E3;Parent=HMEL033027g1.t1)	-promoter-TSS (ID=HMEL033027g1.t1-E3;Parent=HMEL033027g1.t1)	-34	ID=HMEL033027g1.t1-E3;Parent=HMEL033027g1.t1								
8	Hmel205024	616497	617141	+	0	NA	exon (ID=HMEL012717-RA-E2;Parent=HMEL012717-RA, exon 1 of 1)	-exon (ID=HMEL012717-RA-E2;Parent=HMEL012717-RA, exon 1 of 1)	595	ID=HMEL012717-RA-E2;Parent=HMEL012717-RA								
2045	Hmel204019	227712	228100	+	0	NA	Intergenic	Intergenic	19914	ID=HMEL036507g1.t1-E1;Parent=HMEL036507g1.t1								
1396	Hmel218003	1858980	1860444	+	0	NA	Intergenic	Intergenic	-27678	ID=HMEL034231g1.t1-E1;Parent=HMEL034231g1.t1								
686	Hmel211004	3223091	3223638	+	0	NA	promoter-TSS (ID=HMEL006237g1.t1-E2;Parent=HMEL006237g1.t1)	-promoter-TSS (ID=HMEL006237g1.t1-E2;Parent=HMEL006237g1.t1)	62	ID=HMEL006237g1.t1-E2;Parent=HMEL006237g1.t1								
1760	Hmel220005	646111	646460	+	0	NA	Intergenic	Intergenic	-15213	ID=HMEL012263g1.t1-E1;Parent=HMEL012263g1.t1								
2033	Hmel201007	636234	637345	+	0	NA	Intergenic	Intergenic	-13493	ID=HMEL030095g1.t1-E1;Parent=HMEL030095g1.t1								
391	Hmel209001	345294	345784	+	0	NA	TTS (ID=HMEL004647g2.t1-E1;Parent=HMEL004647g2.t1)	-TTS (ID=HMEL004647g2.t1-E1;Parent=HMEL004647g2.t1)	1388	ID=HMEL004647g2.t1-E1;Parent=HMEL004647g2.t1								
943	Hmel213004	696378	696957	+	0	NA	promoter-TSS (ID=HMEL011789g1.t1-E4;Parent=HMEL011789g1.t1)	-promoter-TSS (ID=HMEL011789g1.t1-E4;Parent=HMEL011789g1.t1)	-25	ID=HMEL011789g1.t1-E4;Parent=HMEL011789g1.t1								
1887	Hmel221012	1643033	1643245	+	0	NA	promoter-TSS (ID=HMEL012064g1.t1-E29;Parent=HMEL012064g1.t1)	-promoter-TSS (ID=HMEL012064g1.t1-E29;Parent=HMEL012064g1.t1)	149	ID=HMEL012064g1.t2-E27;Parent=HMEL012064g1.t2								
1375	Hmel217018	1032868	1033257	+	0	NA	Intergenic	Intergenic	3060	ID=HMEL033983g1.t1-E2;Parent=HMEL033983g1.t1								
180	Hmel207002	1772866	1773753	+	0	NA	Intergenic	Intergenic	-2893	ID=HMEL011244g1.t1-E2;Parent=HMEL011244g1.t1								
1585	Hmel218018	8905465	8906055	+	0	NA	Intergenic	Intergenic	3964	ID=HMEL034503g1.t1-E3;Parent=HMEL034503g1.t1								
1877	Hmel221009	405588	405959	+	0	NA	Intergenic	Intergenic	2356	ID=HMEL035526g1.t2-E1;Parent=HMEL035526g1.t2								
246	Hmel207014	188591	189296	+	0	NA	promoter-TSS (ID=HMEL037603g1.t1-E2;Parent=HMEL037603g1.t1)	-promoter-TSS (ID=HMEL037603g1.t1-E2;Parent=HMEL037603g1.t1)	-3	ID=HMEL037603g1.t1-E2;Parent=HMEL037603g1.t1								
690	Hmel211004	3567668	3567948	+	0	NA	promoter-TSS (ID=HMEL006268g1.t1-E4;Parent=HMEL006268g1.t1)	-promoter-TSS (ID=HMEL006268g1.t1-E4;Parent=HMEL006268g1.t1)	-254	ID=HMEL006268g1.t2-E4;Parent=HMEL006268g1.t2								
1168	Hmel215006	1324162	1324546	+	0	NA	TTS (ID=HMEL000025-RF-E1;Parent=HMEL000025-RF)	-TTS (ID=HMEL000025-RF-E1;Parent=HMEL000025-RF)	147	ID=HMEL000025-RC-E1;Parent=HMEL000025-RC								
61	Hmel206009	1241491	1241867	+	0	NA	Intergenic	Intergenic	8854	ID=HMEL016794g1.t1-E1;Parent=HMEL016794g1.t1								
536	Hmel201011	607947	608716	+	0	NA	Intergenic	Intergenic	-13766	ID=HMEL012837g1.t1-E1;Parent=HMEL012837g1.t1								
1767	Hmel220005	855546	855854	+	0	NA	Intergenic	Intergenic	-1555	ID=HMEL012268g1.t1-E3;Parent=HMEL012268g1.t1								
1653	Hmel219003	7082401	7082888	+	0	NA	Intergenic	Intergenic	-2784	ID=HMEL034705g1.t1-E1;Parent=HMEL034705g1.t1								
1688	Hmel219014	1954026	1954315	+	0	NA	Intergenic	Intergenic	-1222	ID=HMEL008053g1.t1-E2;Parent=HMEL008053g1.t1								
1266	Hmel216011	1957446	1958488	+	0	NA	Intergenic	Intergenic	-18081	ID=HMEL033572g1.t1-E1;Parent=HMEL033572g1.t1								
1458	Hmel218018	133059	133551	+	0	NA	Intergenic	Intergenic	-58093	ID=HMEL034351g1.t1-E1;Parent=HMEL034351g1.t1								
444	Hmel209007	2961786	2962612	+	0	NA	Intergenic	Intergenic	-10930	ID=HMEL010765g1.t1-E1;Parent=HMEL010765g1.t1								
508	Hmel210004	7366362	7366978	+	0	NA	Intergenic	Intergenic	-6271	ID=HMEL004083g2.t1-E1;Parent=HMEL004083g2.t1								
1336	Hmel217004	2047614	2048814	+	0	NA	Intergenic	Intergenic	5098	ID=HMEL016686g1.t1-E2;Parent=HMEL016686g1.t1								
39	Hmel201009	528536	528962	+	0	NA	Intergenic	Intergenic	-8393	ID=HMEL003948g1.t2-E1;Parent=HMEL003948g1.t2								
1089	Hmel202004	325658	325969	+	0	NA	Intergenic	Intergenic	17994	ID=HMEL014167g1.t1-E1;Parent=HMEL014167g1.t1								
558	Hmel210011	1886807	1887144	+	0	NA	Intergenic	Intergenic	1372	ID=HMEL030867g1.t1-E1;Parent=HMEL030867g1.t1								
12	Hmel206006	270240	270739	+	0	NA	Intergenic	Intergenic	-20070	ID=HMEL036934g1.t1-E1;Parent=HMEL036934g1.t1								
1554	Hmel202006	2519327	2519531	+	0	NA	Intergenic	Intergenic	15265	ID=HMEL033307g1.t1-E19;Parent=HMEL033307g1.t1								
573	Hmel210011	2564606	2565767	+	0	NA	promoter-TSS (ID=HMEL015931g4.t1-E1;Parent=HMEL015931g4.t1)	-promoter-TSS (ID=HMEL015931g4.t1-E1;Parent=HMEL015931g4.t1)	-777	ID=HMEL015931g4.t1-E1;Parent=HMEL015931g4.t1								
1084	Hmel213069	1226978	1228026	+	0	NA	Intergenic	Intergenic	-5884	ID=HMEL032235g1.t1-E1;Parent=HMEL032235g1.t1								
638	Hmel211002	91295	92514	+	0	NA	Intergenic	Intergenic	4902	ID=HMEL015337g1.t1-E7;Parent=HMEL015337g1.t1								
875	Hmel212011	1164125	1164529	+	0	NA	Intergenic	Intergenic	4912	ID=HMEL031614g1.t1-E1;Parent=HMEL031614g1.t1								
1522	Hmel218018	5391779	5392951	+	0	NA	Intergenic	Intergenic	-8894	ID=HMEL004603g1.t1-E1;Parent=HMEL004603g1.t1								
1	Hmel205022	386014	386306	+	0	NA	Intergenic	Intergenic	-2689	ID=HMEL036818g1.t1-E1;Parent=HMEL036818g1.t1								
506	Hmel210004	7304602	7304903	+	0	NA	Intergenic	Intergenic	-14660	ID=HMEL004083g1.t1-E1;Parent=HMEL004083g1.t1								
136	Hmel201009	1668304	1669049	+	0	NA	promoter-TSS (ID=HMEL030153g1.t1-E2;Parent=HMEL030153g1.t1)	-promoter-TSS (ID=HMEL030153g1.t1-E2;Parent=HMEL030153g1.t1)	-23	ID=HMEL030153g1.t1-E2;Parent=HMEL030153g1.t1								
116	Hmel206012	1338990	1339337	+	0	NA	Intergenic	Intergenic	18277	ID=HMEL037129g1.t1-E2;Parent=HMEL037129g1.t1								
1197	Hmel215034	500805	501996	+	0	NA	Intergenic	Intergenic	-4107	ID=HMEL032805g1.t2-E1;Parent=HMEL032805g1.t2								
1580	Hmel218018	8454036	8454351	+	0	NA	promoter-TSS (ID=HMEL009227g1.t1-E1;Parent=HMEL009227g1.t1)	-promoter-TSS (ID=HMEL009227g1.t1-E1;Parent=HMEL009227g1.t1)	806	ID=HMEL034492g1.t3-E1;Parent=HMEL034492g1.t3								
661	Hmel211004	1133567	1133833	+	0	NA	Intergenic	Intergenic	3411	ID=HMEL031052g1.t1-E3;Parent=HMEL031052g1.t1								
1935	Hmel203030	208533	209044	+	0	NA	Intergenic	Intergenic	25079	ID=HMEL036017g1.t1-E3;Parent=HMEL036017g1.t1								
581	Hmel210011	2832497	2832733	+	0	NA	Intergenic	Intergenic	14646	ID=HMEL015950g1.t1-E6;Parent=HMEL015950g1.t1								
308	Hmel207023	456800	457070	+	0	NA	Intergenic	Intergenic	32616	ID=HMEL005443g1.t1-E20;Parent=HMEL005443g1.t1								
678	Hmel211004	2118637	2119022	+	0	NA	Intergenic	Intergenic	7038	ID=HMEL015137g3.t1-E2;Parent=HMEL015137g3.t1								
1517	Hmel218018	4694729	4696144	+	0	NA	Intergenic	Intergenic	-2856	ID=HMEL034433g1.t1-E1;Parent=HMEL034433g1.t1								
1975	Hmel203067	465612	466379	+	0	NA	TTS (ID=HMEL036140g1.t1-E1;Parent=HMEL036140g1.t1)	-TTS (ID=HMEL036140g1.t1-E1;Parent=HMEL036140g1.t1)	413	ID=HMEL036140g1.t1-E1;Parent=HMEL036140g1.t1								
1973	Hmel203067	440090	440769	+	0	NA	Intergenic	Intergenic	-13765	ID=HMEL036139g1.t1-E1;Parent=HMEL036139g1.t1								
1991	Hmel203069	36534	36940	+	0	NA	Intergenic	Intergenic	4864	ID=HMEL022100g1.t1-E2;Parent=HMEL022100g1.t1								
927	Hmel212013	3278875	3279351	+	0	NA	Intergenic	Intergenic	-19644	ID=HMEL031706g1.t1-E1;Parent=HMEL031706g1.t1								
301	Hmel207021	2214591	2215118	+	0	NA	Intergenic	Intergenic	3304	ID=HMEL013372g1.t1-E4;Parent=HMEL013372g1.t1								
51	Hmel206009	856896	858695	+	0	NA	Intergenic	Intergenic	9624	ID=HMEL037009g1.t1-E1;Parent=HMEL037009g1.t1								
1758	Hmel220005	611037	611867	+	0	NA	promoter-TSS (ID=HMEL035056g1.t1-E1;Parent=HMEL035056g1.t1)	-promoter-TSS (ID=HMEL035056g1.t1-E1;Parent=HMEL035056g1.t1)	-156	ID=HMEL035056g1.t1-E1;Parent=HMEL035056g1.t1								
1822	Hmel220011	143236	144944	+	0	NA	Intergenic	Intergenic	-1028	ID=HMEL035267g1.t3-E8;Parent=HMEL035267g1.t3								
456	Hmel209007	5291754	5292399	+	0	NA	Intergenic	Intergenic	6566	ID=HMEL030515g1.t1-E2;Parent=HMEL030515g1.t1								
652	Hmel211004	193919	194689	+	0	NA	Intergenic	Intergenic	1975	ID=HMEL015227g1.t1-E10;Parent=HMEL015227g1.t1								
1033	Hmel213051	62259	62655	+	0	NA	TTS (ID=HMEL032083g1.t1-E4;Parent=HMEL032083g1.t1)	-TTS (ID=HMEL032083g1.t1-E4;Parent=HMEL032083g1.t1)	633	ID=HMEL032083g1.t1-E4;Parent=HMEL032083g1.t1								
2034	Hmel204017	2148907	2149165	+	0	NA	Intergenic	Intergenic	17443	ID=HMEL014400g1.t1-E2;Parent=HMEL014400g1.t1								
1539	Hmel218018	6293290	6293536	+	0	NA	Intergenic	Intergenic	-15276	ID=HMEL034459g1.t1-E1;Parent=HMEL034459g1.t1								
2029	Hmel201007	545318	546208	+	0	NA	Intergenic	Intergenic	-46057	ID=HMEL014538g1.t1-E1;Parent=HMEL014538g1.t1								
796	Hmel212001	3206478	3207103	+	0	NA	Intergenic	Intergenic	-1293	ID=HMEL004112g1.t1-E2;Parent=HMEL004112g1.t1								
366	Hmel201009	4088658	4089639	+	0	NA	Intergenic	Intergenic	4716	ID=HMEL012451g1.t1-E11;Parent=HMEL012451g1.t1								
844	Hmel212009	568968	569209	+	0	NA	promoter-TSS (ID=HMEL031558g1.t1-E1;Parent=HMEL031558g1.t1)	-promoter-TSS (ID=HMEL031558g1.t1-E1;Parent=HMEL031558g1.t1)	-894	ID=HMEL031558g1.t1-E1;Parent=HMEL031558g1.t1								
1541	Hmel218018	6417196	6418462	+	0	NA	Intergenic	Intergenic	-18101	ID=HMEL016325g1.t2-E1;Parent=HMEL016325g1.t2								
272	Hmel207021	800004	800472	+	0	NA	Intergenic	Intergenic	14263	ID=HMEL037683g1.t1-E1;Parent=HMEL037683g1.t1								
