PeakID (cmd=annotatePeaks.pl development_D2_p05FC1_shared_D2up_melpCoords.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_D2_p05FC1_shared_D2up_melpCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
559	Hmel216011	757357	757589	+	0	NA	Intergenic	Intergenic	-42794	ID=HMEL011147g1.t1-E1;Parent=HMEL011147g1.t1								
127	Hmel207023	167552	167952	+	0	NA	Intergenic	Intergenic	-1630	ID=HMEL013939g1.t1-E1;Parent=HMEL013939g1.t1								
32	Hmel206009	2530351	2530506	+	0	NA	Intergenic	Intergenic	27738	ID=HMEL005355g1.t1-E5;Parent=HMEL005355g1.t1								
443	Hmel213067	174198	174578	+	0	NA	Intergenic	Intergenic	-12110	ID=HMEL032184g1.t1-E1;Parent=HMEL032184g1.t1								
206	Hmel201009	5172719	5172995	+	0	NA	Intergenic	Intergenic	-7845	ID=HMEL030269g1.t1-E1;Parent=HMEL030269g1.t1								
118	Hmel207021	978538	978764	+	0	NA	Intergenic	Intergenic	-11641	ID=HMEL037686g1.t1-E1;Parent=HMEL037686g1.t1								
71	Hmel207002	2092664	2092914	+	0	NA	Intergenic	Intergenic	22373	ID=HMEL037395g1.t3-E3;Parent=HMEL037395g1.t3								
959	Hmel205012	1266813	1267093	+	0	NA	Intergenic	Intergenic	-10832	ID=HMEL017902g2.t1-E1;Parent=HMEL017902g2.t1								
882	Hmel201005	718416	719233	+	0	NA	Intergenic	Intergenic	12351	ID=HMEL008050g1.t1-E1;Parent=HMEL008050g1.t1								
358	Hmel212004	826960	827149	+	0	NA	Intergenic	Intergenic	29003	ID=HMEL017115g1.t1-E2;Parent=HMEL017115g1.t1								
331	Hmel201011	2720238	2720480	+	0	NA	Intergenic	Intergenic	-8963	ID=HMEL006157g5.t1-E1;Parent=HMEL006157g5.t1								
737	Hmel219003	3612412	3613301	+	0	NA	Intergenic	Intergenic	-50487	ID=HMEL003149g1.t1-E1;Parent=HMEL003149g1.t1								
560	Hmel216011	1101814	1102332	+	0	NA	Intergenic	Intergenic	-13082	ID=HMEL011130g1.t1-E1;Parent=HMEL011130g1.t1								
767	Hmel219012	316258	316516	+	0	NA	Intergenic	Intergenic	-22491	ID=HMEL034766g1.t1-E1;Parent=HMEL034766g1.t1								
580	Hmel216012	393022	393738	+	0	NA	promoter-TSS (ID=HMEL008238g1.t1-E2;Parent=HMEL008238g1.t1)	-promoter-TSS (ID=HMEL008238g1.t1-E2;Parent=HMEL008238g1.t1)	-571	ID=HMEL008238g1.t1-E2;Parent=HMEL008238g1.t1								
898	Hmel203069	1809331	1809572	+	0	NA	Intergenic	Intergenic	-8243	ID=HMEL007167g1.t1-E1;Parent=HMEL007167g1.t1								
798	Hmel220003	1607392	1607804	+	0	NA	Intergenic	Intergenic	-11909	ID=HMEL035000g1.t1-E1;Parent=HMEL035000g1.t1								
805	Hmel220005	527530	527965	+	0	NA	promoter-TSS (ID=HMEL006220g1.t1-E3;Parent=HMEL006220g1.t1)	-promoter-TSS (ID=HMEL006220g1.t1-E3;Parent=HMEL006220g1.t1)	-846	ID=HMEL006220g1.t1-E3;Parent=HMEL006220g1.t1								
84	Hmel207002	5492620	5493297	+	0	NA	TTS (ID=HMEL005504g1.t1-E3;Parent=HMEL005504g1.t1)	-TTS (ID=HMEL005504g1.t1-E3;Parent=HMEL005504g1.t1)	355	ID=HMEL005504g1.t1-E3;Parent=HMEL005504g1.t1								
512	Hmel215025	165186	166148	+	0	NA	TTS (ID=HMEL021946g1.t1-E3;Parent=HMEL021946g1.t1)	-TTS (ID=HMEL021946g1.t1-E3;Parent=HMEL021946g1.t1)	374	ID=HMEL021946g1.t1-E3;Parent=HMEL021946g1.t1								
