start	end	length	IDY	missing1	missing2	
903417	903873	456	0.4452	0.5066	0.0241	
1071651	1073047	1396	0.5953	0.1447	0.1246	
1102929	1104189	1260	0.4897	0.0659	0.3698	
1133644	1134092	448	0.8393	0.0179	0.0223	
1134661	1136784	2123	0.4503	0.1083	0.3726	
1147560	1150096	2536	0.1901	0.0978	0.6822	
1170475	1171809	1334	0.3103	0.1049	0.5615	
1195538	1196256	718	0.5655	0.2493	0.0766	
1219760	1220353	593	0.6627	0.0675	0.1619	
1234322	1235088	766	0.6906	0.1619	0.0313	
1254794	1255246	452	0.8628	0.0022	0.0442	
1725594	1725753	159	0.0943	0.8805	0.0	
1783126	1783874	748	0.2821	0.1404	0.5388	
1787262	1788925	1663	0.3307	0.1798	0.4299	
1842127	1844361	2234	0.2462	0.0654	0.6482	
1869868	1870727	859	0.4959	0.0512	0.3877	
1879502	1879864	362	0.6519	0.0608	0.1685	
1881293	1881964	671	0.462	0.2399	0.1744	
1884640	1886673	2033	0.2332	0.124	0.6144	
1927842	1928497	655	0.7863	0.0519	0.0611	
2022986	2024648	1662	0.3779	0.1775	0.3905	
2029183	2030515	1332	0.4474	0.229	0.2508	
2040086	2041292	1206	0.7919	0.0904	0.0547	
2164864	2166483	1619	0.3051	0.1266	0.5003	
2167111	2168871	1760	0.6051	0.079	0.1864	
2239009	2240768	1759	0.224	0.1876	0.5503	
2246450	2247123	673	0.8321	0.0089	0.0327	
2252373	2252712	339	0.8466	0.0177	0.0	
2255662	2256107	445	0.818	0.0427	0.0584	
2256828	2258336	1508	0.6247	0.1034	0.187	
2273813	2273963	150	0.9267	0.0133	0.0	
2277578	2279868	2290	0.455	0.145	0.3301	
2289121	2290899	1778	0.4162	0.2115	0.3273	
2315738	2316173	435	0.8138	0.0276	0.0805	
2423366	2424355	989	0.3225	0.092	0.5137	
2552235	2553067	832	0.2861	0.1238	0.5313	
2599476	2600147	671	0.9553	0.0	0.0	
2616867	2617364	497	0.7384	0.1066	0.0523	
2626958	2628275	1317	0.6834	0.0964	0.1139	
2653648	2654028	380	0.7737	0.0132	0.0868	
2670329	2670903	574	0.5488	0.108	0.2683	
2692549	2692767	218	0.7523	0.1697	0.0321	
2709834	2710194	360	0.8611	0.0389	0.0222	
2833164	2833512	348	0.8017	0.092	0.0172	
3200916	3201391	475	0.6168	0.0716	0.2126	
3310379	3310540	161	0.9379	0.0	0.0124	
3327940	3330588	2648	0.0816	0.0759	0.8327	
3334142	3334702	560	0.6768	0.1214	0.1018	
3335634	3336936	1302	0.3233	0.0584	0.5668	
3410232	3411323	1091	0.3703	0.1366	0.4418	
3596461	3597239	778	0.2841	0.5488	0.0938	
3693608	3694196	588	0.5323	0.2466	0.1701	
3696941	3697214	273	0.9304	0.0	0.033	
3714599	3716070	1471	0.3549	0.2182	0.3705	
3737383	3738270	887	0.628	0.0665	0.2368	
3748447	3749198	751	0.3968	0.008	0.5619	
3751463	3752368	905	0.6232	0.1978	0.0873	
3756973	3757532	559	0.2379	0.1735	0.5599	
3862838	3864043	1205	0.2871	0.0473	0.6307	
3868350	3868777	427	0.5995	0.171	0.0773	
3896116	3898650	2534	0.4996	0.2194	0.2238	
4167396	4167593	197	0.8223	0.1371	0.0102	
4380284	4380544	260	0.6115	0.35	0.0	
4448556	4448718	162	0.0	1.0	0.0	
4643921	4646445	2524	0.3467	0.0689	0.5361	
4651765	4652162	397	0.5164	0.0882	0.335	
4708613	4709098	485	0.7753	0.0433	0.0227	
