start	end	length	IDY	missing1	missing2	
340058	340766	708	0.3941	0.3065	0.2246	
883052	884183	1131	0.6393	0.0557	0.2034	
1032736	1033042	306	0.8922	0.0294	0.0098	
1102929	1103787	858	0.6725	0.0606	0.1667	
1133644	1134092	448	0.8393	0.0179	0.0223	
1133735	1135764	2029	0.655	0.139	0.0946	
1169732	1171809	2077	0.4136	0.1011	0.4357	
1234322	1235088	766	0.6906	0.1619	0.0313	
1388139	1388895	756	0.4034	0.2024	0.336	
1488861	1491534	2673	0.2742	0.177	0.5077	
1510396	1512843	2447	0.1553	0.0883	0.7295	
1645940	1648176	2236	0.3654	0.0926	0.4946	
1682418	1684245	1827	0.3257	0.1248	0.491	
1762147	1762592	445	0.6157	0.0247	0.2899	
1826888	1827709	821	0.4799	0.1291	0.3057	
1859729	1861396	1667	0.6395	0.1488	0.1326	
1866475	1866965	490	0.6755	0.0184	0.202	
1881285	1881538	253	0.7826	0.0435	0.0316	
1884640	1886673	2033	0.2332	0.124	0.6144	
1927834	1928080	246	0.9512	0.0	0.0	
2022986	2023831	845	0.471	0.1373	0.3101	
2029183	2029954	771	0.6226	0.0246	0.2555	
2075608	2076145	537	0.1043	0.2626	0.5791	
2161264	2162382	1118	0.458	0.0921	0.39	
2164864	2166483	1619	0.3051	0.1266	0.5003	
2202133	2204978	2845	0.3012	0.265	0.3821	
2255662	2256107	445	0.818	0.0427	0.0584	
2255740	2257575	1835	0.5989	0.2632	0.0763	
2277578	2278842	1264	0.466	0.182	0.2896	
2277416	2278031	615	0.2764	0.2325	0.452	
2283114	2283701	587	0.7274	0.0392	0.0835	
2289121	2290899	1778	0.4162	0.2115	0.3273	
2288884	2290127	1243	0.4256	0.177	0.3532	
2309150	2311752	2602	0.3543	0.1791	0.4154	
2309150	2310672	1522	0.3949	0.203	0.3377	
2309150	2309770	620	0.4548	0.2274	0.221	
2315686	2315940	254	0.874	0.0197	0.0394	
2316476	2317218	742	0.4515	0.2803	0.2089	
2324293	2324693	400	0.7	0.035	0.14	
2325410	2326350	940	0.6245	0.2277	0.0745	
2409842	2413021	3179	0.4146	0.1214	0.3875	
2579155	2579999	844	0.6754	0.0379	0.1848	
2626958	2628079	1121	0.678	0.0955	0.132	
2688312	2689217	905	0.7912	0.0431	0.0343	
2818927	2820378	1451	0.6161	0.1709	0.0861	
2833164	2833464	300	0.87	0.0333	0.0067	
3309836	3310540	704	0.3622	0.2727	0.3011	
3335458	3336253	795	0.4642	0.0981	0.361	
3410232	3410805	573	0.7051	0.0401	0.1571	
3693310	3693914	604	0.644	0.2434	0.0298	
3696474	3697214	740	0.5095	0.2568	0.1905	
3707787	3708382	595	0.5378	0.0639	0.3227	
3726758	3727051	293	0.8089	0.0683	0.0478	
3751227	3752368	1141	0.6976	0.1569	0.0692	
3895287	3895831	544	0.5882	0.1581	0.1507	
3896116	3897547	1431	0.624	0.1272	0.1824	
3896116	3898399	2283	0.5545	0.1827	0.1993	
3906119	3906491	372	0.8952	0.0188	0.0108	
4373627	4373950	323	0.7368	0.1238	0.1022	
4373627	4374050	423	0.7305	0.1135	0.0851	
4379947	4380544	597	0.2663	0.5293	0.1876	
4422671	4423361	690	0.4043	0.3826	0.1362	
4510579	4512251	1672	0.2207	0.125	0.6292	
4585116	4585612	496	0.9113	0.0081	0.002	
4604893	4605587	694	0.3905	0.0793	0.4611	
4612428	4612588	160	0.9313	0.0563	0.0	
4630565	4631179	614	0.4039	0.4088	0.1173	
4632491	4633758	1267	0.4672	0.0884	0.3686	
4651765	4652162	397	0.5164	0.0882	0.335	
