start	end	length	IDY	missing1	missing2	
100153854	100154401	547	0.7349	0.0219	0.0896	
100503019	100503355	336	0.7143	0.1399	0.0327	
100506082	100507227	1145	0.6961	0.0891	0.1074	
100685267	100686677	1410	0.2411	0.2369	0.4922	
101251797	101252013	216	0.6574	0.0417	0.1898	
101292765	101293339	574	0.5087	0.1864	0.2422	
102210566	102212391	1825	0.566	0.1447	0.2247	
102484523	102485215	692	0.7991	0.1084	0.0289	
102791530	102792064	534	0.9139	0.0037	0.0037	
103744215	103744850	635	0.3165	0.3339	0.3102	
104672126	104672614	488	0.4918	0.1885	0.2725	
104673426	104673794	368	0.9185	0.019	0.0	
104785834	104786241	407	0.9533	0.0	0.0	
104880514	104880726	212	0.7358	0.0849	0.0802	
104968971	104970664	1693	0.4288	0.3438	0.1453	
104990088	104990766	678	0.7537	0.0413	0.1298	
105005154	105005408	254	0.878	0.0354	0.0	
105006979	105007322	343	0.7668	0.0117	0.1574	
105087644	105088448	804	0.9428	0.0	0.0062	
105090610	105090872	262	0.8015	0.0992	0.0267	
105097554	105097951	397	0.7733	0.1159	0.0403	
105105033	105105466	433	0.806	0.0208	0.0716	
105120195	105121065	870	0.7977	0.0103	0.1218	
105485487	105485876	389	0.6555	0.1388	0.0874	
105627190	105627696	506	0.8261	0.083	0.0178	
105690364	105690558	194	0.9639	0.0206	0.0052	
105723558	105723856	298	0.9161	0.0235	0.0	
105990649	105991767	1118	0.4302	0.3587	0.1404	
106001042	106002104	1062	0.3644	0.2119	0.3493	
107411103	107411789	686	0.93	0.0	0.0131	
107511762	107512242	480	0.8271	0.0083	0.0875	
107517863	107518348	485	0.7959	0.0124	0.1175	
107552561	107552874	313	0.8243	0.0927	0.0096	
107576402	107577115	713	0.7784	0.0575	0.1164	
107578216	107578855	639	0.7793	0.0438	0.0923	
107607916	107608734	818	0.555	0.1895	0.1846	
107632211	107633995	1784	0.6401	0.1357	0.1474	
10803695	10805987	2292	0.4346	0.25	0.2382	
108322056	108322491	435	0.8805	0.0299	0.0138	
10875884	10877296	1412	0.4186	0.2025	0.3187	
109088148	109088365	217	0.8249	0.0922	0.0	
10925806	10926515	709	0.5374	0.086	0.2553	
109638586	109638940	354	0.7401	0.0056	0.1441	
109730607	109731284	677	0.8168	0.0561	0.0768	
110210499	110211284	785	0.879	0.0153	0.0115	
110216856	110217475	619	0.8772	0.0145	0.0242	
110234094	110234855	761	0.4389	0.4218	0.0447	
110243038	110243436	398	0.907	0.0025	0.0101	
110253301	110254136	835	0.7066	0.0731	0.0946	
110412782	110412970	188	0.9255	0.0319	0.016	
111191174	111192132	958	0.8873	0.0167	0.0104	
111197125	111197526	401	0.788	0.0274	0.0798	
11142963	11143326	363	0.6722	0.0165	0.281	
111576578	111577734	1156	0.4325	0.2621	0.2163	
11162666	11162988	322	0.9068	0.0	0.0435	
111642417	111643179	762	0.8635	0.0144	0.0367	
111680351	111681068	717	0.8787	0.0098	0.0153	
111690616	111691226	610	0.9016	0.0098	0.018	
111697162	111697649	487	0.9117	0.0082	0.0308	
111709251	111709855	604	0.7517	0.0281	0.0811	
111716454	111716864	410	0.8341	0.0293	0.0244	
111797928	111799085	1157	0.7139	0.1063	0.0908	
111841919	111842234	315	0.8349	0.0349	0.0444	
