start	end	length	IDY	missing1	missing2	
1013931	1015463	1532	0.4393	0.0744	0.4204	
5157978	5158195	217	0.8848	0.0	0.0369	
8204554	8204825	271	0.9446	0.0148	0.0	
8216848	8217245	397	0.7657	0.131	0.0302	
10114271	10114735	464	0.8599	0.0216	0.0302	
23144871	23145659	788	0.7576	0.047	0.1396	
27223377	27223644	267	0.9139	0.0	0.0	
29746235	29747914	1679	0.3651	0.1018	0.4854	
35207518	35207650	132	0.9621	0.0	0.0	
45069783	45072042	2259	0.1315	0.058	0.7884	
50913396	50913973	577	0.357	0.0693	0.5407	
50961081	50961709	628	0.7389	0.0637	0.0303	
52761343	52761929	586	0.3635	0.3567	0.2509	
53435977	53436241	264	0.875	0.0152	0.0227	
53519518	53520630	1112	0.2239	0.1178	0.6196	
59481445	59482919	1474	0.3948	0.2293	0.325	
59565626	59566068	442	0.8733	0.0317	0.0136	
59977136	59977856	720	0.3167	0.0347	0.625	
67800976	67801353	377	0.5756	0.3289	0.0265	
67936213	67936510	297	0.8451	0.0	0.0606	
67949950	67950227	277	0.8267	0.0469	0.0397	
72229289	72229729	440	0.8886	0.0114	0.0182	
75188262	75188630	368	0.9239	0.0	0.0272	
75524872	75525120	248	0.9274	0.0121	0.0161	
78055634	78055877	243	0.8477	0.0165	0.0165	
85177216	85177421	205	0.9024	0.0	0.0146	
85338345	85340577	2232	0.2424	0.0815	0.6528	
85343161	85344288	1127	0.4738	0.181	0.2635	
91082390	91082703	313	0.7732	0.0927	0.0479	
98617070	98617251	181	0.884	0.0	0.011	
98917431	98918660	1229	0.5826	0.0846	0.2433	
104736643	104737281	638	0.3511	0.0862	0.4953	
104822950	104823293	343	0.9096	0.0321	0.0	
104851878	104852959	1081	0.7077	0.086	0.1295	
104998932	104999688	756	0.5952	0.1098	0.2183	
105123780	105124108	328	0.875	0.0244	0.0244	
110243028	110243433	405	0.8988	0.0025	0.0198	
111683045	111683783	738	0.8604	0.0352	0.0596	
132624717	132624974	257	0.9027	0.0156	0.0117	
137118333	137118651	318	0.8648	0.0252	0.0283	
140306743	140307041	298	0.5906	0.1007	0.2517	
146738214	146738808	594	0.8704	0.0488	0.0236	
146809657	146810736	1079	0.7637	0.0278	0.0964	
146811449	146811816	367	0.8937	0.0	0.0272	
146897330	146897773	443	0.8758	0.0429	0.0113	
146906264	146906735	471	0.9639	0.0	0.0085	
146921779	146923114	1335	0.6652	0.0809	0.1903	
146942743	146943203	460	0.85	0.0804	0.0174	
146991144	146991589	445	0.7371	0.0989	0.0202	
147007473	147007996	523	0.5908	0.1358	0.1683	
147197533	147198130	597	0.928	0.0	0.0285	
147230849	147231716	867	0.9308	0.0092	0.0127	
151888153	151889603	1450	0.4262	0.1228	0.4083	
157729231	157729500	269	0.8141	0.1078	0.0037	
163916413	163916794	381	0.8898	0.0105	0.0026	
168219136	168219503	367	0.9728	0.0	0.0027	
168443045	168443607	562	0.5053	0.0694	0.3701	
168469669	168470397	728	0.8338	0.0495	0.0179	
168499012	168499303	291	0.8969	0.0103	0.0103	
168541326	168541538	212	0.8915	0.0708	0.0	
168542142	168542452	310	0.9129	0.0032	0.0129	
168558417	168558865	448	0.8549	0.0112	0.0402	
168581063	168581403	340	0.8441	0.0588	0.0176	
168625617	168627162	1545	0.8906	0.0227	0.0142	
168632120	168632571	451	0.8936	0.0288	0.031	
169972283	169973121	838	0.4487	0.3043	0.2172	
170413591	170413810	219	0.863	0.0	0.0183	
171919159	171919726	567	0.7072	0.0741	0.0688	
175085430	175085731	301	0.814	0.0532	0.0	
176276710	176277678	968	0.749	0.031	0.1136	
181514262	181515035	773	0.5847	0.2768	0.0427	
186640069	186640452	383	0.7702	0.0078	0.1201	
193148070	193149582	1512	0.3069	0.1032	0.5311	
193150270	193150760	490	0.8837	0.0286	0.0163	
196938316	196938795	479	0.7954	0.0188	0.0418	
202221156	202222048	892	0.398	0.0527	0.5258	
205731574	205731964	390	0.8205	0.0231	0.0718	
207040779	207041061	282	0.8688	0.0603	0.0248	
207362043	207362267	224	0.8571	0.0491	0.0	
211678821	211679221	400	0.7175	0.1425	0.1	
212061892	212062795	903	0.536	0.165	0.1628	
215393598	215394052	454	0.5705	0.1762	0.2004	
232733798	232734122	324	0.8735	0.0	0.0309	
233553902	233555204	1302	0.2496	0.0998	0.6121	
234266976	234267742	766	0.2702	0.2559	0.4504	
234753028	234753353	325	0.6954	0.2462	0.0062	
240096387	240096779	392	0.9235	0.0102	0.0281	
254578061	254578792	731	0.5937	0.1272	0.2271	
255800038	255800443	405	0.9235	0.0074	0.0025	
266840549	266840822	273	0.9634	0.0037	0.0	
276262365	276262811	446	0.7556	0.0852	0.0538	
276296390	276297046	656	0.8415	0.0335	0.0579	
282793190	282795327	2137	0.2504	0.1652	0.5629	
282799676	282800452	776	0.6392	0.0039	0.2861	
282804182	282804696	514	0.7977	0.0292	0.035	
282805236	282805480	244	0.9631	0.0	0.0164	
283336142	283336338	196	0.8724	0.0	0.0255	
283922624	283923309	685	0.7927	0.0204	0.092	
306554143	306554725	582	0.4003	0.0172	0.5481	
337688908	337689974	1066	0.5056	0.1163	0.3171	
339235919	339236340	421	0.7268	0.2114	0.0024	
343129844	343130138	294	0.8605	0.0306	0.017	
345203555	345204356	801	0.5643	0.1223	0.2122	
345991611	345992013	402	0.9179	0.01	0.0149	
345993195	345993756	561	0.9055	0.0071	0.0303	
346963376	346963732	356	0.7331	0.0506	0.1545	
348869516	348869927	411	0.7153	0.0438	0.129	
351326508	351327389	881	0.5743	0.0726	0.1941	
351329137	351329380	243	0.7078	0.2387	0.0	
