PeakID (cmd=annotatePeaks.pl development_D2_p05FC1_shared_D2down_melpCoords.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_D2_p05FC1_shared_D2down_melpCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1049	Hmel221012	1545500	1545814	+	0	NA	Intergenic	Intergenic	-4690	ID=HMEL035586g1.t1-E1;Parent=HMEL035586g1.t1								
127	Hmel207002	6432535	6432848	+	0	NA	Intergenic	Intergenic	-27383	ID=HMEL037498g1.t1-E1;Parent=HMEL037498g1.t1								
71	Hmel201009	1658262	1659096	+	0	NA	Intergenic	Intergenic	9974	ID=HMEL030153g1.t1-E2;Parent=HMEL030153g1.t1								
882	Hmel218018	8335674	8335921	+	0	NA	Intergenic	Intergenic	31576	ID=HMEL009224g1.t1-E2;Parent=HMEL009224g1.t1								
1050	Hmel221012	1548523	1549332	+	0	NA	Intergenic	Intergenic	-7960	ID=HMEL035586g1.t1-E1;Parent=HMEL035586g1.t1								
560	Hmel213004	1438297	1438554	+	0	NA	Intergenic	Intergenic	-15114	ID=HMEL013358g2.t1-E1;Parent=HMEL013358g2.t1								
1178	Hmel205017	162434	163072	+	0	NA	Intergenic	Intergenic	-4341	ID=HMEL036722g1.t1-E1;Parent=HMEL036722g1.t1								
898	Hmel219003	3605642	3607632	+	0	NA	Intergenic	Intergenic	-44268	ID=HMEL003149g1.t1-E1;Parent=HMEL003149g1.t1								
798	Hmel218005	650195	650576	+	0	NA	Intergenic	Intergenic	-7238	ID=HMEL014940g1.t1-E3;Parent=HMEL014940g1.t1								
1031	Hmel221001	1569872	1570327	+	0	NA	promoter-TSS (ID=HMEL013511g2.t1-E1;Parent=HMEL013511g2.t1)	-promoter-TSS (ID=HMEL013511g2.t1-E1;Parent=HMEL013511g2.t1)	-650	ID=HMEL013511g2.t1-E1;Parent=HMEL013511g2.t1								
