start	end	length	IDY	missing1	missing2	
388449	389394	945	0.4963	0.1249	0.2698	
607913	608992	1079	0.4819	0.2743	0.2002	
907236	908612	1376	0.4702	0.0988	0.3241	
1164739	1168020	3281	0.0899	0.335	0.559	
1667812	1668817	1005	0.4318	0.1383	0.3502	
1786476	1786647	171	0.7836	0.152	0.0351	
1875808	1878903	3095	0.3577	0.1276	0.4514	
2005072	2005840	768	0.6836	0.1042	0.0924	
2062205	2062696	491	0.7515	0.0204	0.1303	
2218344	2219811	1467	0.4751	0.122	0.3292	
2220037	2220387	350	0.5543	0.4086	0.0	
2273272	2273432	160	0.8187	0.1187	0.0	
2321425	2322188	763	0.5465	0.2621	0.0655	
2419822	2420594	772	0.7163	0.0557	0.0855	
2442689	2443279	590	0.8542	0.0068	0.0508	
2446515	2447674	1159	0.5065	0.1941	0.157	
2590859	2591006	147	0.9796	0.0068	0.0	
2652497	2653123	626	0.5607	0.1901	0.1677	
2663893	2664255	362	0.8508	0.0525	0.011	
2664566	2665020	454	0.7555	0.0176	0.1806	
2678640	2678972	332	0.5633	0.3886	0.009	
2896062	2897752	1690	0.4343	0.1231	0.3663	
3180319	3180822	503	0.0	1.0	0.0	
3378709	3379152	443	0.1806	0.7381	0.0023	
3687544	3688658	1114	0.6921	0.0637	0.1275	
3717316	3717796	480	0.7562	0.0813	0.0917	
3774904	3775130	226	0.8717	0.0531	0.0221	
3871193	3871752	559	0.7209	0.1646	0.025	
3874515	3874931	416	0.4351	0.0264	0.5048	
3900537	3901667	1130	0.4699	0.269	0.185	
4310159	4311679	1520	0.3901	0.0908	0.4303	
4417723	4418564	841	0.4078	0.0892	0.4376	
4471796	4474273	2477	0.2644	0.2087	0.4719	
4474994	4475851	857	0.042	0.1995	0.7386	
4671943	4672258	315	0.5905	0.1873	0.0762	
4723001	4723351	350	0.46	0.4771	0.0029	
5148137	5148424	287	0.5436	0.4007	0.0	
5245271	5245748	477	0.7778	0.0482	0.0294	
5261201	5264295	3094	0.4783	0.1448	0.288	
5297848	5297993	145	0.9241	0.0276	0.0	
5719381	5720315	934	0.4004	0.0428	0.5075	
6241145	6242654	1509	0.393	0.175	0.3824	
7155743	7156276	533	0.3433	0.1614	0.4559	
7275063	7275335	272	0.9596	0.011	0.0037	
7302008	7303569	1561	0.1666	0.0647	0.7527	
7491862	7492569	707	0.4569	0.3281	0.1641	
7621640	7621926	286	0.0	1.0	0.0	
7626629	7626868	239	0.9163	0.0	0.0209	
7870816	7871025	209	0.488	0.3493	0.0766	
7872779	7873094	315	0.8317	0.054	0.0032	
8233402	8234681	1279	0.62	0.122	0.154	
8478874	8480143	1269	0.5524	0.0898	0.3042	
8501139	8501562	423	0.6123	0.0969	0.2482	
8852472	8855079	2607	0.2754	0.2417	0.4534	
8957482	8959565	2083	0.4729	0.1003	0.3687	
9027183	9027670	487	0.768	0.0246	0.0575	
9214732	9214924	192	0.8698	0.0208	0.0	
9275028	9275209	181	0.9613	0.0	0.0	
9311596	9312366	770	0.9013	0.0052	0.0364	
10562159	10563483	1324	0.2009	0.1458	0.6231	
10786763	10791141	4378	0.1448	0.2266	0.6085	
10926127	10926838	711	0.5541	0.1758	0.1603	
10971536	10972782	1246	0.4607	0.0859	0.3933	
11063820	11065898	2078	0.6386	0.0977	0.1877	
11122531	11127349	4818	0.0548	0.0376	0.9058	
11127789	11127940	151	0.8742	0.053	0.0	
11143089	11143323	234	0.9701	0.0043	0.0	
11219211	11219745	534	0.8127	0.103	0.0225	
11408565	11409340	775	0.4606	0.0413	0.4374	
11596087	11596234	147	0.7891	0.034	0.0068	
11670233	11671766	1533	0.7241	0.1292	0.0476	
11683180	11683590	410	0.8634	0.0756	0.0098	
11901949	11902533	584	0.8065	0.0205	0.0223	
11904418	11904863	445	0.6899	0.1775	0.0989	
12220433	12222702	2269	0.6532	0.0529	0.2195	
12389761	12390086	325	0.7231	0.1508	0.0277	
12658462	12659679	1217	0.355	0.1331	0.4782	
12783485	12784123	638	0.7665	0.0815	0.0533	
12785034	12785918	884	0.4683	0.1516	0.25	
12787683	12788769	1086	0.2578	0.1611	0.5571	
12864286	12865085	799	0.7134	0.1402	0.025	
12998329	12999785	1456	0.5117	0.1525	0.263	
