start	end	length	IDY	missing1	missing2	
323033960	323034331	371	0.7655	0.035	0.0916	
146936764	146936997	233	0.8584	0.0172	0.0429	
146937195	146937422	227	0.8722	0.0	0.0088	
56116650	56117030	380	0.6789	0.0289	0.2368	
56119277	56119628	351	0.0	0.0	1.0	
410272757	410273029	272	0.8162	0.0147	0.114	
147049168	147049983	815	0.319	0.3742	0.2196	
147077684	147077900	216	0.0	0.0	1.0	
410349734	410350034	300	0.7267	0.0033	0.21	
147110184	147110375	191	0.9581	0.0	0.0	
56385434	56385728	294	0.7619	0.0204	0.1599	
234260792	234261052	260	0.6769	0.0154	0.2192	
234291382	234291828	446	0.1996	0.3655	0.3767	
354902685	354902894	209	0.8612	0.0	0.1148	
263954670	263956255	1585	0.0776	0.8139	0.0902	
147323965	147324313	348	0.7902	0.0431	0.0316	
324577466	324578098	632	0.693	0.1709	0.0775	
57110836	57111198	362	0.8702	0.0193	0.0166	
324709698	324719909	10211	0.0641	0.8714	0.0496	
57227523	57227806	283	0.8304	0.0141	0.0141	
147808689	147809072	383	0.2219	0.0026	0.7102	
324781336	324781532	196	0.9031	0.0204	0.0	
57278426	57278670	244	0.9016	0.0	0.0574	
147977703	147978069	366	0.0	0.0	1.0	
148059382	148059663	281	0.0	0.0	1.0	
148083049	148083508	459	0.0	0.0	1.0	
234922172	234922564	392	0.3929	0.2883	0.2653	
148162870	148163409	539	0.577	0.1688	0.1039	
57531263	57532955	1692	0.0	0.0	1.0	
57536762	57537009	247	0.0	0.0	1.0	
57539537	57539763	226	0.0	0.0	1.0	
57552772	57553309	537	0.0	0.0	1.0	
325127629	325127988	359	0.9109	0.0056	0.0111	
90619055	90619291	236	0.9407	0.0	0.0	
90619580	90620054	474	0.3945	0.4473	0.1055	
235218277	235219133	856	0.2336	0.3002	0.41	
235227301	235227819	518	0.4305	0.0058	0.4788	
25226812	25227175	363	0.0	0.0	1.0	
235234825	235235368	543	0.8453	0.0055	0.046	
411350387	411350528	141	0.0	0.0	1.0	
57708782	57708947	165	0.9879	0.0	0.0	
411803668	411803886	218	0.8486	0.0642	0.0092	
235703463	235703759	296	0.8716	0.0304	0.0169	
235713974	235714453	479	0.38	0.5219	0.0376	
325861664	325862244	580	0.0	0.0	1.0	
235758692	235759199	507	0.5838	0.0335	0.2978	
58283620	58283767	147	0.8639	0.0272	0.0	
148823378	148823672	294	0.1429	0.0136	0.8129	
58372358	58372755	397	0.0	0.0	1.0	
326100254	326100719	465	0.3527	0.1828	0.4129	
326111889	326112249	360	0.0	0.0	1.0	
148944964	148945427	463	0.9244	0.0022	0.0086	
58604007	58604317	310	0.6581	0.0323	0.2839	
148992048	148992279	231	0.0	0.0	1.0	
178268156	178268713	557	0.0	0.0	1.0	
326516111	326517102	991	0.3118	0.4097	0.2291	
149099965	149100166	201	0.9502	0.0	0.0	
236299553	236299923	370	0.3189	0.4622	0.1676	
149136367	149136622	255	0.8039	0.0275	0.098	
149155766	149156012	246	0.7276	0.0081	0.0691	
178598071	178598362	291	0.4742	0.1684	0.244	
236389717	236391043	1326	0.5271	0.1101	0.2685	
149215556	149216250	694	0.4597	0.2205	0.2507	
59284808	59285119	311	0.8553	0.0547	0.0161	
59300794	59301081	287	0.9164	0.0105	0.0174	
236707706	236708040	334	0.3413	0.1317	0.503	
327347621	327347865	244	0.6311	0.1598	0.1148	
413275661	413276037	376	0.4388	0.2819	0.1995	
149780418	149780770	352	0.0	0.0	1.0	
59574709	59574893	184	0.9293	0.0	0.0109	
92425115	92425371	256	0.2344	0.0	0.7383	
59600205	59600403	198	0.8283	0.0253	0.0253	
237024218	237024655	437	0.5584	0.0435	0.3318	
59645462	59645906	444	0.0	0.0	1.0	
59716214	59716493	279	0.8817	0.0036	0.0143	
150303389	150304262	873	0.0	0.0	1.0	
59929151	59930266	1115	0.261	0.5211	0.1731	
238196386	238245181	48795	0.2895	0.1766	0.4831	
414127391	414127756	365	0.7178	0.0247	0.1288	
150685542	150686021	479	0.3424	0.38	0.2046	
60485782	60486307	525	0.5314	0.1295	0.2533	
238489898	238490462	564	0.5443	0.1826	0.1755	
60507266	60508772	1506	0.2815	0.2105	0.4482	
238514275	238514430	155	0.9161	0.0	0.0323	
60533453	60534138	685	0.3606	0.2292	0.3212	
150888634	150888947	313	0.7125	0.0319	0.1278	
60779491	60779891	400	0.0	0.0	1.0	
60785455	60786005	550	0.0	0.0	1.0	
60792605	60793422	817	0.0	0.0	1.0	
60796982	60797440	458	0.0	0.0	1.0	
60814660	60815057	397	0.0	0.0	1.0	
60847617	60847792	175	0.0	0.0	1.0	
151022305	151022558	253	0.8458	0.0119	0.0514	
151024812	151025639	827	0.3736	0.1282	0.4438	
238692152	238692621	469	0.0554	0.0	0.9339	
61111642	61112003	361	0.651	0.0	0.3075	
151048051	151048297	246	0.8415	0.061	0.0041	
61188198	61188435	237	0.0	0.0	1.0	
61224243	61224430	187	0.0	0.0	1.0	
61238092	61238654	562	0.0	0.0	1.0	
61409343	61409595	252	0.0	0.0	1.0	
61490682	61490845	163	0.0	0.0	1.0	
61548037	61548272	235	0.0	0.0	1.0	
61745196	61745822	626	0.6565	0.0112	0.238	
61748686	61750926	2240	0.0339	0.4661	0.4946	
329807421	329807631	210	0.9905	0.0048	0.0	
