start	end	length	IDY	missing1	missing2	
112956640	112957700	1060	0.6538	0.1981	0.0594	
150980266	150980534	268	0.9403	0.0	0.0149	
151056991	151057437	446	0.8587	0.0	0.0919	
348750182	348750720	538	0.539	0.1822	0.2156	
438419145	438419763	618	0.7524	0.0129	0.0971	
59234796	59235097	301	0.8738	0.0	0.0498	
59271166	59271511	345	0.9391	0.0	0.0	
59271789	59272314	525	0.861	0.0362	0.0476	
59297502	59299121	1619	0.9024	0.0204	0.0154	
59317453	59318173	720	0.8778	0.0042	0.0333	
59339234	59339466	232	0.9483	0.0431	0.0043	
59348113	59348779	666	0.8859	0.0	0.042	
59361219	59362417	1198	0.7387	0.0735	0.121	
59367338	59368121	783	0.6462	0.1111	0.1226	
59371988	59372358	370	0.9189	0.0216	0.0	
59382373	59383613	1240	0.8702	0.0226	0.0452	
59392604	59392973	369	0.8835	0.0217	0.0298	
59393833	59394175	342	0.9211	0.0029	0.0146	
59400155	59400322	167	0.8743	0.006	0.018	
59403953	59404582	629	0.9173	0.0079	0.0127	
59405119	59405316	197	0.9492	0.0	0.0	
59407540	59409056	1516	0.8674	0.0224	0.0356	
87133472	87133753	281	0.8185	0.032	0.0605	
